,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526459246805,-52,-57,-45,-63,-59,-35,-59,-69,-78,-77,-200,-74,-69,-57,-53,-81,-83,-50,-200,-74,-36,-57,-53,-70,-68,-72,-68,-77,-84,-62,-80,-56,-70,-86,-87,-82,-88,-91,-200,-200,-200,-200
1526459249819,-52,-57,-45,-63,-59,-35,-59,-69,-78,-77,-200,-74,-69,-57,-53,-81,-83,-50,-200,-74,-36,-57,-53,-70,-68,-72,-68,-77,-84,-62,-80,-56,-70,-86,-87,-82,-88,-91,-200,-200,-200,-200
1526459252832,-48,-50,-45,-63,-59,-37,-64,-69,-73,-75,-200,-78,-69,-59,-52,-81,-85,-51,-200,-78,-36,-52,-49,-58,-68,-72,-68,-75,-84,-57,-80,-56,-70,-86,-88,-82,-88,-91,-200,-200,-200,-200
1526459255852,-48,-50,-45,-63,-59,-37,-64,-69,-73,-75,-200,-78,-69,-59,-52,-81,-85,-51,-200,-78,-36,-52,-49,-58,-68,-72,-68,-75,-84,-57,-80,-56,-70,-86,-88,-82,-88,-91,-200,-200,-200,-200
1526459258874,-46,-51,-45,-56,-59,-39,-67,-69,-73,-75,-200,-78,-65,-59,-55,-81,-85,-51,-200,-78,-35,-52,-49,-58,-68,-72,-68,-74,-84,-56,-200,-60,-70,-86,-88,-82,-88,-91,-72,-86,-200,-200
1526459261891,-46,-51,-45,-56,-59,-39,-67,-69,-73,-75,-200,-78,-65,-59,-55,-81,-85,-51,-200,-78,-35,-52,-49,-58,-68,-72,-68,-74,-84,-56,-200,-60,-70,-86,-88,-82,-88,-91,-72,-86,-200,-200
1526459264915,-47,-51,-46,-57,-59,-39,-66,-69,-73,-76,-200,-77,-67,-59,-55,-81,-85,-49,-200,-75,-37,-53,-50,-58,-69,-72,-68,-74,-84,-56,-200,-60,-70,-86,-88,-82,-88,-89,-72,-86,-85,-86
1526459267923,-47,-51,-46,-57,-59,-39,-66,-69,-73,-76,-200,-77,-67,-59,-55,-81,-85,-49,-200,-75,-37,-53,-50,-58,-69,-72,-68,-74,-84,-56,-200,-60,-70,-86,-88,-82,-88,-89,-72,-86,-85,-86
1526459270943,-51,-52,-50,-53,-56,-34,-66,-73,-71,-76,-200,-75,-67,-62,-55,-81,-81,-48,-200,-80,-40,-50,-52,-61,-69,-72,-200,-81,-84,-57,-200,-60,-70,-76,-88,-82,-88,-89,-72,-86,-81,-86
1526459273955,-51,-52,-50,-53,-56,-34,-66,-73,-71,-76,-200,-75,-67,-62,-55,-200,-81,-48,-200,-80,-40,-50,-52,-61,-69,-200,-200,-81,-200,-57,-200,-60,-200,-76,-88,-200,-200,-89,-72,-86,-81,-86
1526459276977,-51,-54,-46,-51,-56,-35,-61,-73,-71,-76,-200,-79,-67,-64,-53,-72,-82,-57,-200,-81,-42,-49,-52,-60,-68,-68,-200,-78,-200,-57,-76,-58,-200,-76,-88,-200,-200,-89,-72,-86,-81,-86
1526459279995,-51,-54,-46,-51,-56,-35,-61,-73,-71,-76,-200,-79,-67,-64,-53,-72,-82,-57,-200,-81,-42,-49,-52,-60,-68,-68,-200,-78,-200,-57,-76,-58,-200,-76,-88,-200,-200,-89,-72,-86,-81,-86
