,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro
1526460246078,-26,-34,-42,-46,-43,-50,-60,-53,-51,-48,-51,-63,-58,-200,-72,-69,-62,-67,-63,-73,-58,-70,-200,-80,-76,-78,-200,-78,-81,-200,-200,-83,-83,-200,-90,-77,-88,-73,-83,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526460249098,-26,-34,-42,-46,-43,-50,-60,-53,-51,-48,-51,-63,-58,-200,-72,-69,-62,-67,-63,-73,-58,-70,-200,-80,-76,-78,-200,-78,-81,-200,-200,-83,-83,-200,-90,-77,-88,-73,-83,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526460252118,-26,-33,-40,-45,-43,-51,-55,-54,-51,-44,-51,-63,-58,-200,-72,-67,-62,-69,-61,-73,-58,-71,-200,-80,-76,-200,-200,-78,-81,-200,-200,-83,-83,-200,-90,-76,-88,-73,-83,-81,-89,-79,-82,-200,-200,-200,-200,-200,-200
1526460255139,-27,-33,-40,-45,-43,-51,-55,-54,-51,-44,-51,-63,-58,-200,-72,-67,-62,-69,-61,-73,-58,-71,-200,-80,-76,-200,-200,-78,-81,-200,-200,-83,-83,-200,-90,-76,-88,-73,-83,-81,-89,-79,-82,-200,-200,-200,-200,-200,-200
1526460258161,-27,-34,-40,-44,-45,-51,-55,-54,-51,-48,-51,-62,-56,-200,-72,-67,-60,-69,-61,-73,-58,-71,-200,-80,-76,-200,-200,-78,-81,-200,-200,-83,-83,-200,-90,-76,-88,-200,-80,-81,-89,-73,-82,-80,-83,-200,-200,-200,-200
1526460261182,-27,-34,-40,-44,-45,-51,-55,-54,-51,-48,-51,-62,-56,-200,-72,-67,-60,-69,-61,-73,-58,-71,-200,-80,-76,-200,-200,-78,-81,-200,-200,-83,-83,-200,-90,-76,-88,-200,-80,-81,-89,-73,-82,-80,-83,-200,-200,-200,-200
1526460264196,-27,-34,-42,-48,-46,-57,-55,-59,-49,-52,-52,-62,-56,-200,-73,-67,-65,-67,-65,-77,-66,-69,-200,-80,-80,-200,-200,-78,-79,-200,-200,-86,-81,-200,-90,-76,-88,-200,-80,-81,-89,-73,-82,-80,-83,-88,-200,-200,-200
1526460267218,-29,-34,-42,-48,-46,-57,-55,-59,-49,-52,-52,-62,-56,-200,-73,-67,-65,-67,-65,-77,-66,-69,-200,-80,-80,-200,-200,-78,-79,-200,-200,-86,-81,-200,-90,-76,-88,-200,-80,-81,-89,-73,-82,-80,-83,-88,-200,-200,-200
1526460270239,-29,-35,-47,-48,-44,-61,-53,-59,-46,-52,-53,-67,-60,-200,-73,-67,-67,-67,-68,-77,-69,-75,-200,-81,-81,-71,-200,-200,-79,-200,-200,-86,-81,-200,-200,-76,-200,-200,-80,-200,-200,-73,-82,-81,-83,-88,-64,-200,-200
1526460273260,-32,-35,-47,-48,-44,-61,-53,-59,-46,-52,-53,-67,-60,-200,-73,-67,-67,-67,-68,-77,-69,-75,-200,-81,-81,-71,-200,-200,-79,-200,-200,-86,-81,-200,-200,-76,-200,-200,-80,-200,-200,-73,-82,-81,-83,-88,-64,-200,-200
1526460276285,-30,-35,-51,-52,-44,-61,-53,-59,-46,-51,-53,-68,-60,-69,-73,-67,-65,-66,-68,-77,-69,-76,-200,-81,-82,-71,-200,-200,-79,-200,-200,-85,-81,-200,-200,-76,-200,-200,-80,-200,-200,-77,-82,-81,-83,-88,-64,-72,-73
1526460279306,-31,-35,-51,-52,-44,-61,-53,-59,-46,-51,-53,-68,-60,-69,-73,-67,-65,-66,-68,-77,-69,-76,-200,-81,-82,-71,-200,-200,-79,-200,-200,-85,-81,-200,-200,-76,-200,-200,-80,-200,-200,-77,-82,-81,-83,-88,-64,-72,-73
