,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526450825344,-200,-200,-200,-75,-200,-200,-200,-78,-200,-80,-200,-80,-84,-200,-77,-78,-81,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526450827556,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-86,-81,-77,-83,-76,-200,-200,-200,-200,-200,-200,-200,-86,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526450827743,-74,-200,-88,-66,-200,-200,-200,-72,-200,-81,-200,-200,-200,-200,-71,-75,-200,-200,-200,-200,-92,-200,-95,-200,-76,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526450829853,-87,-200,-92,-72,-200,-200,-91,-200,-200,-87,-70,-200,-200,-200,-76,-200,-80,-200,-200,-200,-200,-200,-200,-200,-80,-93,-90,-93,-200,-200,-200,-200,-200,-200
1526450830958,-79,-200,-200,-67,-89,-200,-200,-200,-200,-200,-78,-84,-79,-200,-83,-200,-74,-200,-200,-200,-88,-83,-200,-84,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200
1526450832113,-200,-200,-200,-67,-200,-200,-200,-200,-80,-200,-72,-84,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-92,-91,-200,-91,-200,-200,-92,-200,-94,-88,-200,-200
1526450834322,-200,-200,-86,-200,-200,-66,-90,-70,-200,-200,-72,-87,-200,-91,-71,-200,-200,-200,-200,-95,-87,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450836468,-89,-200,-200,-67,-92,-200,-86,-200,-200,-200,-200,-200,-84,-200,-80,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200
1526450837577,-200,-200,-200,-67,-90,-200,-200,-200,-200,-200,-70,-200,-200,-77,-70,-200,-75,-200,-200,-200,-94,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-85,-200,-200
1526450837670,-200,-200,-200,-200,-87,-200,-200,-200,-200,-79,-200,-200,-200,-80,-75,-75,-200,-92,-200,-90,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200
1526450838740,-75,-200,-200,-66,-200,-74,-200,-78,-89,-92,-200,-88,-87,-200,-84,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-90,-200,-88,-85,-200,-200,-200,-90,-200
1526450840977,-82,-200,-85,-85,-200,-61,-94,-200,-81,-200,-200,-200,-90,-92,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526450842045,-200,-200,-200,-66,-200,-71,-200,-73,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-93,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-91,-200,-200
1526450843191,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-74,-200,-75,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450844241,-82,-200,-200,-75,-200,-67,-200,-76,-85,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-95,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450845368,-200,-200,-200,-66,-200,-200,-200,-75,-200,-200,-67,-200,-81,-200,-78,-200,-200,-200,-200,-200,-200,-200,-91,-86,-83,-200,-200,-200,-200,-200,-200,-89,-200,-200
1526450846463,-76,-200,-200,-200,-200,-67,-86,-73,-78,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450847565,-200,-200,-86,-67,-200,-72,-200,-79,-200,-94,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-92,-200,-200,-200,-200,-93,-94,-200,-200,-200,-200,-200
1526450847657,-76,-200,-200,-67,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-78,-200,-86,-200,-90,-200,-200,-200,-84,-200,-200,-84,-200,-200,-200,-200,-200,-200
1526450848753,-76,-200,-96,-72,-200,-200,-200,-75,-200,-200,-200,-200,-200,-77,-76,-80,-200,-200,-200,-200,-200,-200,-200,-200,-80,-96,-200,-93,-200,-200,-200,-200,-200,-96
1526450850950,-200,-200,-91,-68,-200,-200,-88,-79,-83,-85,-70,-200,-80,-76,-200,-200,-200,-200,-200,-200,-200,-85,-200,-86,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450853152,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-77,-200,-83,-200,-74,-200,-200,-200,-200,-200,-200,-87,-97,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526450854236,-74,-200,-200,-200,-200,-68,-200,-200,-200,-200,-69,-200,-86,-77,-200,-200,-88,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200
1526450855390,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-78,-200,-200,-75,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450856441,-85,-200,-92,-68,-200,-200,-200,-200,-87,-200,-200,-90,-200,-200,-200,-80,-76,-200,-200,-200,-90,-200,-200,-93,-200,-200,-93,-200,-200,-200,-200,-86,-200,-200
1526450857559,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-86,-79,-200,-86,-75,-200,-200,-200,-200,-200,-200,-86,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450857660,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-77,-70,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450858737,-200,-200,-200,-73,-200,-200,-200,-200,-90,-200,-67,-200,-93,-75,-80,-200,-200,-93,-200,-200,-200,-90,-200,-200,-200,-200,-200,-94,-92,-200,-200,-200,-200,-200
1526450859842,-73,-200,-200,-68,-200,-200,-200,-200,-87,-200,-70,-200,-200,-200,-71,-75,-200,-200,-200,-200,-200,-200,-200,-96,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526450862055,-200,-200,-200,-69,-200,-68,-86,-200,-200,-200,-67,-200,-200,-200,-82,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200,-92,-89,-95,-200,-200,-200,-200,-200,-93
1526450863164,-200,-200,-200,-70,-200,-66,-200,-200,-200,-86,-200,-85,-200,-200,-200,-75,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200
1526450864254,-73,-200,-200,-200,-200,-66,-200,-200,-200,-75,-72,-200,-200,-87,-200,-77,-74,-200,-93,-200,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450865408,-200,-200,-200,-77,-88,-200,-200,-200,-200,-85,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450866463,-200,-200,-200,-67,-200,-69,-200,-200,-83,-200,-70,-200,-200,-87,-76,-200,-79,-200,-200,-200,-200,-200,-200,-92,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450867611,-87,-200,-200,-69,-200,-200,-87,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450867716,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-72,-200,-200,-90,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450868764,-200,-200,-200,-72,-200,-65,-88,-200,-200,-81,-200,-85,-80,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
