,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526457127321,-85,-200,-200,-74,-90,-70,-200,-87,-89,-71,-85,-87,-200,-200
1526457127435,-84,-96,-200,-75,-90,-71,-200,-200,-90,-71,-85,-200,-200,-200
1526457127532,-84,-200,-200,-74,-200,-70,-200,-86,-90,-200,-85,-200,-200,-200
1526457132002,-86,-200,-200,-82,-93,-73,-96,-71,-96,-95,-200,-200,-200,-200
1526457132109,-89,-200,-200,-83,-93,-72,-200,-71,-97,-93,-93,-200,-200,-200
1526457132224,-200,-200,-200,-82,-200,-72,-200,-200,-97,-92,-200,-200,-200,-200
1526457132333,-87,-94,-200,-82,-93,-72,-200,-72,-200,-200,-92,-200,-200,-200
1526457132428,-87,-200,-200,-82,-94,-73,-98,-71,-200,-200,-200,-200,-200,-200
1526457132537,-86,-200,-200,-82,-93,-200,-200,-71,-200,-94,-91,-101,-200,-200
1526457132651,-88,-93,-200,-82,-91,-91,-200,-200,-91,-74,-88,-85,-86,-200
1526457137136,-89,-200,-200,-79,-90,-200,-200,-76,-92,-74,-89,-200,-200,-200
1526457137245,-200,-200,-200,-79,-91,-200,-200,-75,-93,-74,-200,-200,-200,-200
1526457137346,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457137459,-200,-200,-200,-79,-89,-90,-200,-200,-200,-200,-200,-200,-86,-200
1526457137565,-200,-200,-200,-79,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
