,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A48,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,ez-hr-honglianhu-1
1526447076782,-39,-53,-42,-48,-61,-54,-52,-50,-58,-74,-63,-62,-73,-200,-62,-62,-70,-68,-72,-68,-78,-200,-73,-69,-200,-79,-82,-79,-84,-84,-73,-70,-77,-200,-87,-200,-200,-88,-69,-80,-200,-86,-200,-200,-67,-200,-200,-86,-92,-200,-80,-83,-77,-91,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447077250,-39,-53,-42,-48,-61,-54,-52,-50,-58,-74,-63,-62,-73,-200,-62,-62,-70,-68,-72,-68,-78,-200,-73,-69,-200,-79,-82,-79,-84,-84,-73,-70,-77,-200,-87,-200,-200,-88,-69,-80,-200,-86,-200,-200,-67,-200,-200,-86,-92,-200,-80,-83,-77,-91,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447079786,-39,-45,-42,-47,-60,-55,-50,-71,-60,-73,-64,-70,-73,-200,-65,-63,-70,-68,-77,-68,-200,-200,-73,-69,-200,-200,-76,-200,-85,-84,-68,-70,-77,-200,-200,-200,-200,-83,-200,-80,-200,-200,-79,-200,-200,-200,-200,-200,-92,-200,-80,-200,-76,-200,-88,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447080283,-39,-45,-42,-47,-60,-55,-50,-71,-60,-73,-64,-70,-73,-200,-65,-63,-70,-68,-77,-68,-200,-200,-73,-69,-200,-200,-76,-200,-85,-84,-68,-70,-77,-200,-200,-200,-200,-83,-200,-80,-200,-200,-79,-200,-200,-200,-200,-200,-92,-200,-80,-200,-76,-200,-88,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447082817,-39,-62,-44,-48,-61,-55,-49,-51,-59,-74,-64,-62,-200,-67,-64,-63,-70,-67,-76,-70,-200,-200,-66,-69,-200,-200,-76,-200,-86,-200,-68,-85,-82,-200,-200,-200,-200,-84,-76,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-80,-200,-76,-200,-200,-89,-88,-89,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447083316,-39,-62,-44,-48,-61,-55,-49,-51,-59,-74,-64,-62,-200,-67,-64,-63,-70,-67,-76,-70,-200,-200,-66,-69,-200,-200,-76,-200,-86,-200,-68,-85,-82,-200,-200,-200,-200,-84,-76,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-80,-200,-76,-200,-200,-89,-88,-89,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447085865,-40,-51,-41,-48,-61,-58,-50,-51,-59,-72,-70,-69,-74,-67,-64,-61,-70,-67,-72,-68,-78,-200,-68,-69,-200,-75,-75,-200,-86,-200,-68,-71,-85,-200,-200,-200,-200,-84,-70,-200,-200,-87,-79,-200,-66,-90,-81,-200,-200,-200,-80,-200,-75,-200,-74,-89,-88,-89,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447086385,-40,-51,-41,-48,-61,-58,-50,-51,-59,-72,-70,-69,-74,-67,-64,-61,-70,-67,-72,-68,-78,-200,-68,-69,-200,-75,-75,-200,-86,-200,-68,-71,-85,-200,-200,-200,-200,-84,-70,-200,-200,-87,-79,-200,-66,-90,-81,-200,-200,-200,-80,-200,-75,-200,-74,-89,-88,-89,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447088877,-39,-51,-40,-46,-66,-60,-50,-60,-59,-66,-69,-67,-76,-69,-64,-64,-70,-70,-70,-70,-82,-200,-75,-69,-200,-75,-77,-83,-84,-86,-200,-88,-85,-200,-89,-200,-200,-200,-70,-82,-200,-87,-200,-200,-66,-83,-81,-85,-200,-200,-81,-200,-75,-200,-74,-200,-91,-200,-200,-200,-81,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526447089422,-39,-51,-40,-46,-66,-60,-50,-60,-59,-66,-69,-67,-76,-69,-64,-64,-70,-70,-70,-70,-82,-200,-75,-69,-200,-75,-77,-83,-84,-86,-200,-88,-85,-200,-89,-200,-200,-200,-70,-82,-200,-87,-200,-200,-66,-83,-81,-85,-200,-200,-81,-200,-75,-200,-74,-200,-91,-200,-200,-200,-81,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526447091922,-39,-68,-42,-46,-58,-63,-49,-57,-57,-70,-69,-67,-73,-65,-64,-64,-69,-76,-69,-70,-82,-200,-73,-69,-200,-200,-77,-83,-82,-86,-200,-88,-79,-200,-89,-200,-200,-200,-76,-82,-81,-200,-200,-200,-66,-83,-200,-84,-200,-200,-81,-200,-200,-200,-79,-200,-91,-200,-200,-200,-81,-84,-88,-89,-200,-200,-200,-200,-200,-200,-200
1526447092455,-39,-68,-42,-46,-58,-63,-49,-57,-57,-70,-69,-67,-73,-65,-64,-64,-69,-76,-69,-70,-82,-200,-73,-69,-200,-200,-77,-83,-82,-86,-200,-88,-79,-200,-89,-200,-200,-200,-76,-82,-81,-200,-200,-200,-66,-83,-200,-84,-200,-200,-81,-200,-200,-200,-79,-200,-91,-200,-200,-200,-81,-84,-88,-89,-200,-200,-200,-200,-200,-200,-200
1526447094980,-43,-49,-42,-46,-59,-76,-52,-60,-59,-70,-67,-62,-73,-71,-63,-65,-68,-76,-68,-70,-79,-200,-70,-69,-200,-200,-78,-84,-81,-86,-77,-87,-79,-200,-89,-200,-200,-200,-75,-82,-81,-88,-200,-200,-69,-83,-200,-84,-200,-200,-84,-200,-200,-200,-79,-200,-91,-200,-200,-200,-89,-84,-88,-89,-88,-200,-200,-200,-200,-200,-200
1526447095518,-43,-49,-42,-46,-59,-76,-52,-60,-59,-70,-67,-62,-73,-71,-63,-65,-68,-76,-68,-70,-79,-200,-70,-69,-200,-200,-78,-84,-81,-86,-77,-87,-79,-200,-89,-200,-200,-200,-75,-82,-81,-88,-200,-200,-69,-83,-200,-84,-200,-200,-84,-200,-200,-200,-79,-200,-91,-200,-200,-200,-89,-84,-88,-89,-88,-200,-200,-200,-200,-200,-200
1526447098013,-42,-44,-43,-46,-59,-74,-49,-69,-58,-70,-72,-61,-200,-63,-63,-64,-68,-200,-69,-72,-77,-200,-68,-81,-83,-200,-77,-84,-81,-89,-77,-87,-79,-200,-89,-200,-200,-200,-76,-200,-83,-88,-200,-200,-69,-200,-200,-200,-200,-200,-84,-83,-200,-200,-200,-200,-200,-200,-200,-200,-89,-84,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526447098553,-42,-44,-43,-46,-59,-74,-49,-69,-58,-70,-72,-61,-200,-63,-63,-64,-68,-200,-69,-72,-77,-200,-68,-81,-83,-200,-77,-84,-81,-89,-77,-87,-79,-200,-89,-200,-200,-200,-76,-200,-83,-88,-200,-200,-69,-200,-200,-200,-200,-200,-84,-83,-200,-200,-200,-200,-200,-200,-200,-200,-89,-84,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526447101054,-43,-43,-43,-46,-60,-69,-49,-58,-59,-65,-68,-63,-200,-70,-64,-65,-68,-74,-71,-72,-77,-70,-68,-74,-83,-200,-77,-200,-61,-89,-71,-85,-200,-200,-200,-200,-200,-200,-76,-200,-84,-200,-76,-200,-79,-84,-200,-90,-200,-200,-200,-83,-74,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-86,-87,-200,-200,-200,-200
1526447101593,-43,-43,-43,-46,-60,-69,-49,-58,-59,-65,-68,-63,-200,-70,-64,-65,-68,-74,-71,-72,-77,-70,-68,-74,-83,-200,-77,-200,-61,-89,-71,-85,-200,-200,-200,-200,-200,-200,-76,-200,-84,-200,-76,-200,-79,-84,-200,-90,-200,-200,-200,-83,-74,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-86,-87,-200,-200,-200,-200
1526447104061,-44,-43,-44,-46,-60,-69,-51,-56,-59,-65,-70,-64,-76,-73,-80,-65,-67,-74,-73,-72,-200,-72,-67,-74,-82,-200,-200,-94,-82,-200,-75,-83,-200,-200,-87,-200,-200,-84,-200,-200,-84,-87,-76,-200,-79,-84,-200,-86,-200,-200,-200,-84,-76,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-87,-86,-87,-89,-200,-200,-200
1526447104633,-44,-43,-44,-46,-60,-69,-51,-56,-59,-65,-70,-64,-76,-73,-80,-65,-67,-74,-73,-72,-200,-72,-67,-74,-82,-200,-200,-94,-82,-200,-75,-83,-200,-200,-87,-200,-200,-84,-200,-200,-84,-87,-76,-200,-79,-84,-200,-86,-200,-200,-200,-84,-76,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-87,-86,-87,-89,-200,-200,-200
1526447107110,-41,-43,-42,-46,-58,-200,-49,-59,-56,-68,-70,-62,-76,-73,-65,-66,-68,-74,-72,-74,-200,-70,-67,-77,-82,-200,-200,-94,-81,-200,-75,-72,-200,-200,-87,-200,-200,-84,-200,-200,-200,-87,-200,-200,-200,-71,-200,-82,-200,-200,-84,-84,-76,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-89,-88,-200,-200
1526447107666,-41,-43,-42,-46,-58,-200,-49,-59,-56,-68,-70,-62,-76,-73,-65,-66,-68,-74,-72,-74,-200,-70,-67,-77,-82,-200,-200,-94,-81,-200,-75,-72,-200,-200,-87,-200,-200,-84,-200,-200,-200,-87,-200,-200,-200,-71,-200,-82,-200,-200,-84,-84,-76,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-89,-88,-200,-200
1526447110157,-43,-43,-41,-46,-58,-57,-49,-60,-59,-66,-67,-63,-77,-62,-64,-65,-68,-74,-71,-70,-200,-70,-71,-77,-82,-200,-200,-94,-81,-200,-75,-68,-86,-200,-87,-200,-200,-84,-200,-200,-200,-88,-200,-200,-200,-71,-200,-82,-200,-200,-84,-84,-76,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-89,-88,-200,-200
1526447110731,-43,-43,-41,-46,-58,-57,-49,-60,-59,-66,-67,-63,-77,-62,-64,-65,-68,-74,-71,-70,-200,-70,-71,-77,-82,-200,-200,-94,-81,-200,-75,-68,-86,-200,-87,-200,-200,-84,-200,-200,-200,-88,-200,-200,-200,-71,-200,-82,-200,-200,-84,-84,-76,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-89,-88,-200,-200
1526447113203,-43,-43,-41,-46,-58,-65,-49,-64,-60,-66,-67,-63,-77,-62,-64,-66,-67,-74,-73,-70,-200,-70,-70,-200,-200,-200,-80,-200,-81,-200,-200,-83,-86,-200,-200,-88,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-81,-200,-200,-200,-88,-76,-75,-200,-200,-200,-89,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447113762,-43,-43,-41,-46,-58,-65,-49,-64,-60,-66,-67,-63,-77,-62,-64,-66,-67,-74,-73,-70,-200,-70,-70,-200,-200,-200,-80,-200,-81,-200,-200,-83,-86,-200,-200,-88,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-81,-200,-200,-200,-88,-76,-75,-200,-200,-200,-89,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447116244,-44,-47,-41,-46,-59,-61,-51,-62,-62,-67,-66,-62,-200,-75,-65,-66,-68,-76,-68,-73,-200,-69,-72,-79,-200,-200,-78,-200,-68,-87,-200,-76,-200,-200,-93,-88,-200,-85,-72,-200,-200,-84,-77,-200,-71,-200,-81,-86,-200,-200,-88,-76,-75,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-90,-200
1526447116778,-44,-47,-41,-46,-59,-61,-51,-62,-62,-67,-66,-62,-200,-75,-65,-66,-68,-76,-68,-73,-200,-69,-72,-79,-200,-200,-78,-200,-68,-87,-200,-76,-200,-200,-93,-88,-200,-85,-72,-200,-200,-84,-77,-200,-71,-200,-81,-86,-200,-200,-88,-76,-75,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-90,-200
1526447119294,-48,-52,-34,-55,-47,-52,-52,-57,-65,-62,-63,-70,-200,-74,-64,-82,-77,-71,-69,-73,-81,-69,-69,-66,-200,-200,-69,-200,-49,-87,-72,-78,-80,-200,-92,-200,-87,-85,-68,-79,-200,-200,-80,-84,-68,-82,-200,-84,-200,-200,-200,-81,-76,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-90,-88
1526447119781,-48,-52,-34,-55,-47,-52,-52,-57,-65,-62,-63,-70,-200,-74,-64,-82,-77,-71,-69,-73,-81,-69,-69,-66,-200,-200,-69,-200,-49,-87,-72,-78,-80,-200,-92,-200,-87,-85,-68,-79,-200,-200,-80,-84,-68,-82,-200,-84,-200,-200,-200,-81,-76,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-90,-88
1526447122357,-46,-51,-32,-63,-57,-62,-56,-51,-73,-64,-64,-72,-72,-74,-68,-82,-70,-75,-69,-64,-81,-200,-68,-66,-200,-200,-69,-79,-79,-80,-73,-78,-80,-84,-92,-200,-89,-200,-69,-79,-200,-200,-81,-84,-65,-82,-200,-88,-200,-200,-81,-81,-76,-200,-200,-200,-200,-200,-200,-89,-200,-82,-200,-87,-200,-200,-200,-200,-200,-200,-88
1526447122822,-46,-51,-32,-63,-57,-62,-56,-51,-73,-64,-64,-72,-72,-74,-68,-82,-70,-75,-69,-64,-81,-200,-68,-66,-200,-200,-69,-79,-79,-80,-73,-78,-80,-84,-92,-200,-89,-200,-69,-79,-200,-200,-81,-84,-65,-82,-200,-88,-200,-200,-81,-81,-76,-200,-200,-200,-200,-200,-200,-89,-200,-82,-200,-87,-200,-200,-200,-200,-200,-200,-88
1526447125430,-45,-50,-36,-54,-51,-63,-54,-57,-67,-60,-57,-64,-72,-66,-64,-83,-70,-67,-68,-64,-69,-73,-66,-66,-200,-200,-71,-79,-77,-80,-73,-76,-80,-84,-86,-200,-89,-200,-69,-79,-200,-200,-81,-84,-66,-82,-200,-88,-200,-200,-81,-81,-76,-89,-200,-200,-89,-200,-200,-89,-200,-82,-200,-87,-200,-200,-200,-200,-200,-200,-88
1526447125867,-45,-50,-36,-54,-51,-63,-54,-57,-67,-60,-57,-64,-72,-66,-64,-83,-70,-67,-68,-64,-69,-73,-66,-66,-200,-200,-71,-79,-77,-80,-73,-76,-80,-84,-86,-200,-89,-200,-69,-79,-200,-200,-81,-84,-66,-82,-200,-88,-200,-200,-81,-81,-76,-89,-200,-200,-89,-200,-200,-89,-200,-82,-200,-87,-200,-200,-200,-200,-200,-200,-88
