,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526446997483,-31,-37,-43,-59,-55,-65,-54,-65,-59,-57,-63,-60,-61,-73,-64,-55,-67,-68,-71,-62,-64,-62,-200,-71,-200,-200,-80,-69,-71,-78,-79,-200,-200,-72,-83,-91,-200,-200,-200,-200,-76,-200,-73,-200,-83,-200,-200,-83,-87,-89,-89,-92,-92,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447000025,-30,-37,-43,-63,-50,-79,-54,-65,-49,-57,-63,-66,-62,-67,-63,-72,-68,-68,-71,-87,-63,-64,-65,-71,-200,-88,-80,-65,-82,-78,-81,-200,-200,-86,-82,-82,-200,-200,-79,-200,-75,-200,-73,-77,-83,-200,-72,-83,-87,-89,-89,-92,-92,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447000523,-30,-37,-43,-63,-50,-79,-54,-65,-49,-57,-63,-66,-62,-67,-63,-72,-68,-68,-71,-87,-63,-64,-65,-71,-200,-88,-80,-65,-82,-78,-81,-200,-200,-86,-82,-82,-200,-200,-79,-200,-75,-200,-73,-77,-83,-200,-72,-83,-87,-89,-89,-92,-92,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447003056,-37,-37,-43,-64,-56,-79,-52,-65,-55,-57,-62,-66,-62,-71,-63,-55,-68,-71,-70,-76,-63,-71,-65,-200,-200,-88,-79,-65,-83,-200,-74,-200,-200,-86,-82,-82,-200,-200,-79,-200,-76,-200,-73,-77,-83,-200,-72,-83,-200,-89,-200,-200,-200,-80,-87,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447003559,-37,-37,-43,-64,-56,-79,-52,-65,-55,-57,-62,-66,-62,-71,-63,-55,-68,-71,-70,-76,-63,-71,-65,-200,-200,-88,-79,-65,-83,-200,-74,-200,-200,-86,-82,-82,-200,-200,-79,-200,-76,-200,-73,-77,-83,-200,-72,-83,-200,-89,-200,-200,-200,-80,-87,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447006112,-31,-37,-42,-64,-51,-70,-52,-65,-55,-56,-89,-65,-69,-67,-62,-56,-67,-72,-71,-76,-200,-62,-200,-200,-76,-77,-79,-66,-71,-200,-74,-200,-200,-73,-82,-86,-200,-200,-200,-200,-76,-200,-200,-56,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-92,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447006592,-31,-37,-42,-64,-51,-70,-52,-65,-55,-56,-89,-65,-69,-67,-62,-56,-67,-72,-71,-76,-200,-62,-200,-200,-76,-77,-79,-66,-71,-200,-74,-200,-200,-73,-82,-86,-200,-200,-200,-200,-76,-200,-200,-56,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-92,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447009124,-26,-36,-42,-64,-53,-66,-55,-65,-49,-58,-61,-66,-63,-88,-65,-56,-72,-67,-71,-200,-63,-58,-67,-73,-76,-77,-81,-68,-71,-79,-81,-200,-200,-73,-71,-86,-200,-200,-82,-73,-77,-91,-73,-56,-86,-90,-74,-200,-87,-200,-200,-200,-200,-80,-200,-200,-89,-89,-86,-93,-200,-200,-200,-200,-200,-200,-200
1526447009627,-26,-36,-42,-64,-53,-66,-55,-65,-49,-58,-61,-66,-63,-88,-65,-56,-72,-67,-71,-200,-63,-58,-67,-73,-76,-77,-81,-68,-71,-79,-81,-200,-200,-73,-71,-86,-200,-200,-82,-73,-77,-91,-73,-56,-86,-90,-74,-200,-87,-200,-200,-200,-200,-80,-200,-200,-89,-89,-86,-93,-200,-200,-200,-200,-200,-200,-200
1526447012160,-30,-37,-42,-59,-56,-66,-54,-66,-57,-58,-61,-65,-63,-67,-65,-54,-67,-70,-70,-76,-63,-62,-67,-73,-78,-200,-81,-66,-70,-79,-77,-200,-200,-200,-82,-200,-200,-200,-82,-73,-77,-91,-74,-200,-86,-90,-74,-200,-87,-200,-79,-200,-200,-80,-200,-200,-200,-200,-86,-93,-200,-200,-200,-200,-200,-200,-200
1526447012666,-30,-37,-42,-59,-56,-66,-54,-66,-57,-58,-61,-65,-63,-67,-65,-54,-67,-70,-70,-76,-63,-62,-67,-73,-78,-200,-81,-66,-70,-79,-77,-200,-200,-200,-82,-200,-200,-200,-82,-73,-77,-91,-74,-200,-86,-90,-74,-200,-87,-200,-79,-200,-200,-80,-200,-200,-200,-200,-86,-93,-200,-200,-200,-200,-200,-200,-200
1526447015208,-32,-37,-42,-64,-54,-66,-56,-64,-69,-58,-66,-67,-63,-71,-61,-56,-72,-66,-70,-83,-63,-61,-65,-73,-80,-80,-81,-66,-80,-79,-77,-200,-200,-200,-83,-200,-200,-200,-82,-73,-77,-91,-87,-88,-86,-90,-76,-200,-87,-200,-79,-200,-200,-80,-200,-200,-200,-200,-86,-93,-86,-88,-92,-200,-200,-200,-200
1526447015710,-32,-37,-42,-64,-54,-66,-56,-64,-69,-58,-66,-67,-63,-71,-61,-56,-72,-66,-70,-83,-63,-61,-65,-73,-80,-80,-81,-66,-80,-79,-77,-200,-200,-200,-83,-200,-200,-200,-82,-73,-77,-91,-87,-88,-86,-90,-76,-200,-87,-200,-79,-200,-200,-80,-200,-200,-200,-200,-86,-93,-86,-88,-92,-200,-200,-200,-200
1526447018245,-30,-36,-42,-58,-51,-63,-54,-66,-49,-56,-64,-66,-64,-71,-61,-56,-68,-65,-70,-74,-62,-60,-65,-73,-80,-79,-200,-65,-84,-200,-77,-200,-200,-200,-71,-90,-200,-200,-200,-200,-77,-200,-87,-73,-200,-200,-74,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-88,-92,-200,-200,-200,-200
1526447018745,-30,-36,-42,-58,-51,-63,-54,-66,-49,-56,-64,-66,-64,-71,-61,-56,-68,-65,-70,-74,-62,-60,-65,-73,-80,-79,-200,-65,-84,-200,-77,-200,-200,-200,-71,-90,-200,-200,-200,-200,-77,-200,-87,-73,-200,-200,-74,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-88,-92,-200,-200,-200,-200
1526447021256,-37,-36,-44,-61,-52,-63,-55,-65,-58,-58,-62,-66,-67,-200,-61,-56,-66,-68,-71,-74,-62,-62,-65,-71,-200,-79,-200,-65,-84,-200,-80,-200,-200,-200,-82,-90,-87,-200,-78,-67,-76,-200,-72,-73,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200
1526447021750,-37,-36,-44,-61,-52,-63,-55,-65,-58,-58,-62,-66,-67,-200,-61,-56,-66,-68,-71,-74,-62,-62,-65,-71,-200,-79,-200,-65,-84,-200,-80,-200,-200,-200,-82,-90,-87,-200,-78,-67,-76,-200,-72,-73,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200
1526447024306,-31,-35,-42,-65,-51,-67,-54,-64,-72,-57,-59,-68,-60,-200,-64,-55,-66,-72,-71,-74,-64,-60,-71,-71,-200,-89,-200,-65,-84,-200,-80,-200,-200,-85,-83,-200,-87,-200,-78,-67,-76,-200,-73,-73,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-90,-200,-200,-200,-92,-200,-89,-90,-200,-200
1526447024784,-31,-35,-42,-65,-51,-67,-54,-64,-72,-57,-59,-68,-60,-200,-64,-55,-66,-72,-71,-74,-64,-60,-71,-71,-200,-89,-200,-65,-84,-200,-80,-200,-200,-85,-83,-200,-87,-200,-78,-67,-76,-200,-73,-73,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-90,-200,-200,-200,-92,-200,-89,-90,-200,-200
1526447027346,-30,-36,-43,-60,-55,-67,-54,-65,-57,-57,-62,-66,-60,-200,-64,-56,-69,-72,-70,-73,-91,-59,-65,-71,-200,-89,-200,-67,-84,-78,-80,-200,-200,-85,-83,-200,-200,-200,-200,-70,-73,-200,-71,-76,-82,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-92,-200,-200,-90,-200,-200
1526447027830,-30,-36,-43,-60,-55,-67,-54,-65,-57,-57,-62,-66,-60,-200,-64,-56,-69,-72,-70,-73,-91,-59,-65,-71,-200,-89,-200,-67,-84,-78,-80,-200,-200,-85,-83,-200,-200,-200,-200,-70,-73,-200,-71,-76,-82,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-92,-200,-200,-90,-200,-200
1526447030354,-30,-36,-43,-61,-56,-67,-54,-65,-50,-58,-62,-67,-70,-200,-77,-57,-68,-67,-71,-73,-91,-62,-65,-71,-200,-79,-200,-66,-84,-78,-89,-200,-200,-74,-82,-200,-200,-200,-78,-70,-76,-200,-71,-88,-82,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-92,-86,-200,-90,-200,-200
1526447030866,-30,-36,-43,-61,-56,-67,-54,-65,-50,-58,-62,-67,-70,-200,-77,-57,-68,-67,-71,-73,-91,-62,-65,-71,-200,-79,-200,-66,-84,-78,-89,-200,-200,-74,-82,-200,-200,-200,-78,-70,-76,-200,-71,-88,-82,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-92,-86,-200,-90,-200,-200
1526447033397,-30,-35,-43,-59,-51,-67,-53,-65,-54,-59,-70,-66,-63,-68,-60,-56,-67,-67,-70,-73,-65,-74,-64,-71,-200,-79,-200,-66,-84,-77,-89,-200,-200,-74,-82,-200,-200,-200,-78,-71,-74,-200,-73,-70,-87,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-86,-200,-200,-200,-86,-200,-200,-88,-200
1526447033905,-30,-35,-43,-59,-51,-67,-53,-65,-54,-59,-70,-66,-63,-68,-60,-56,-67,-67,-70,-73,-65,-74,-64,-71,-200,-79,-200,-66,-84,-77,-89,-200,-200,-74,-82,-200,-200,-200,-78,-71,-74,-200,-73,-70,-87,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-86,-200,-200,-200,-86,-200,-200,-88,-200
1526447036432,-41,-37,-42,-64,-51,-65,-54,-64,-53,-58,-62,-64,-89,-67,-63,-56,-69,-67,-70,-73,-63,-59,-62,-71,-200,-73,-200,-200,-83,-77,-80,-200,-200,-200,-82,-200,-200,-200,-200,-71,-76,-200,-73,-74,-84,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-85,-200,-200,-200,-200,-200,-88,-200
1526447036961,-41,-37,-42,-64,-51,-65,-54,-64,-53,-58,-62,-64,-89,-67,-63,-56,-69,-67,-70,-73,-63,-59,-62,-71,-200,-73,-200,-200,-83,-77,-80,-200,-200,-200,-82,-200,-200,-200,-200,-71,-76,-200,-73,-74,-84,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-85,-200,-200,-200,-200,-200,-88,-200
1526447039439,-31,-36,-43,-58,-50,-69,-53,-65,-54,-37,-65,-67,-62,-67,-63,-56,-68,-67,-71,-200,-61,-61,-62,-71,-80,-87,-200,-65,-83,-75,-83,-200,-200,-74,-71,-200,-200,-200,-200,-200,-87,-200,-200,-72,-84,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-87,-200,-200,-200,-200,-200,-91
1526447039997,-31,-36,-43,-58,-50,-69,-53,-65,-54,-37,-65,-67,-62,-67,-63,-56,-68,-67,-71,-200,-61,-61,-62,-71,-80,-87,-200,-65,-83,-75,-83,-200,-200,-74,-71,-200,-200,-200,-200,-200,-87,-200,-200,-72,-84,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-87,-200,-200,-200,-200,-200,-91
1526447042474,-31,-35,-41,-62,-53,-89,-53,-66,-54,-57,-68,-64,-61,-67,-60,-56,-64,-66,-71,-74,-61,-60,-65,-74,-80,-80,-200,-65,-71,-75,-77,-200,-200,-86,-85,-200,-88,-200,-200,-200,-76,-200,-90,-72,-84,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-91
1526447043032,-33,-36,-51,-59,-55,-81,-54,-62,-49,-58,-62,-73,-77,-60,-76,-70,-69,-65,-71,-82,-65,-64,-64,-73,-80,-87,-200,-65,-72,-75,-92,-200,-200,-86,-81,-200,-88,-90,-200,-70,-77,-200,-90,-72,-86,-91,-76,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-91
