,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,DLINK_D00EC0,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526446766922,-29,-40,-50,-53,-55,-65,-200,-60,-58,-64,-58,-70,-200,-63,-65,-67,-85,-82,-66,-200,-200,-71,-63,-69,-200,-72,-73,-72,-200,-85,-62,-86,-74,-77,-200,-200,-60,-75,-77,-200,-70,-200,-200,-200,-76,-200,-86,-76,-200,-200,-79,-81,-200,-200,-59,-71,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526446769973,-31,-40,-57,-53,-56,-65,-200,-54,-58,-64,-59,-72,-200,-62,-60,-65,-85,-82,-65,-83,-200,-71,-66,-68,-200,-72,-73,-72,-200,-86,-64,-86,-77,-82,-200,-200,-59,-81,-75,-200,-74,-200,-200,-200,-77,-83,-86,-75,-200,-200,-79,-81,-200,-200,-63,-71,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-88,-200,-83,-200,-200,-200,-200,-200
1526446772978,-30,-40,-50,-53,-54,-66,-76,-70,-62,-67,-60,-71,-200,-62,-63,-67,-200,-200,-66,-200,-200,-71,-67,-69,-200,-87,-74,-200,-200,-200,-82,-85,-78,-200,-200,-91,-61,-82,-78,-87,-73,-200,-200,-200,-76,-200,-200,-87,-200,-200,-200,-200,-200,-200,-66,-72,-87,-81,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526446776019,-31,-40,-51,-53,-55,-66,-76,-55,-62,-66,-58,-72,-200,-65,-63,-68,-81,-87,-66,-200,-200,-70,-64,-71,-200,-87,-73,-73,-200,-200,-82,-85,-78,-200,-200,-91,-59,-82,-78,-87,-74,-200,-200,-200,-76,-200,-200,-81,-200,-200,-83,-200,-200,-200,-57,-72,-77,-81,-200,-200,-200,-87,-200,-84,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526446779093,-30,-41,-51,-53,-56,-65,-76,-58,-62,-65,-59,-73,-200,-65,-75,-66,-81,-87,-66,-200,-200,-70,-64,-71,-200,-74,-74,-73,-200,-200,-57,-85,-78,-200,-200,-91,-61,-81,-76,-79,-74,-200,-200,-200,-78,-200,-92,-81,-200,-200,-83,-200,-200,-200,-59,-72,-77,-82,-200,-77,-200,-87,-200,-84,-200,-200,-200,-200,-91,-91,-87,-200,-200,-200
1526446782143,-30,-40,-53,-52,-55,-65,-200,-58,-61,-62,-56,-68,-200,-64,-61,-66,-200,-200,-65,-200,-200,-70,-59,-71,-200,-74,-74,-71,-200,-200,-62,-85,-78,-200,-200,-200,-61,-81,-75,-77,-200,-200,-200,-200,-78,-200,-92,-77,-200,-200,-82,-200,-200,-200,-57,-72,-76,-82,-85,-77,-200,-200,-200,-84,-200,-200,-200,-200,-91,-200,-90,-89,-200,-200
1526446785197,-30,-40,-53,-53,-56,-65,-200,-60,-61,-62,-56,-67,-200,-64,-64,-66,-80,-200,-64,-200,-200,-70,-64,-69,-200,-74,-74,-71,-200,-200,-62,-85,-77,-200,-89,-200,-59,-81,-76,-77,-68,-200,-200,-200,-78,-200,-92,-77,-200,-200,-76,-200,-200,-200,-55,-72,-76,-82,-85,-77,-200,-200,-200,-86,-200,-200,-200,-200,-91,-200,-90,-89,-200,-200
1526446788261,-32,-41,-56,-53,-55,-53,-200,-67,-60,-67,-58,-73,-200,-61,-65,-66,-80,-200,-65,-83,-200,-71,-65,-69,-200,-200,-74,-72,-200,-200,-58,-85,-78,-200,-89,-200,-59,-81,-77,-79,-70,-200,-200,-200,-200,-200,-200,-81,-200,-200,-76,-200,-200,-200,-55,-200,-76,-200,-200,-77,-200,-200,-200,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446791324,-30,-40,-49,-53,-54,-66,-200,-55,-58,-67,-58,-73,-200,-64,-61,-66,-78,-200,-65,-83,-200,-70,-65,-200,-200,-200,-69,-76,-200,-200,-58,-85,-78,-200,-200,-200,-59,-82,-77,-79,-69,-200,-200,-200,-200,-200,-200,-76,-94,-200,-76,-200,-200,-200,-56,-72,-77,-200,-85,-77,-84,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446794366,-30,-39,-51,-53,-56,-65,-200,-56,-55,-64,-59,-71,-200,-65,-61,-67,-78,-200,-65,-200,-200,-72,-66,-200,-200,-200,-73,-74,-200,-200,-66,-86,-78,-79,-200,-83,-59,-82,-77,-200,-68,-200,-200,-200,-200,-200,-200,-75,-94,-200,-82,-200,-200,-90,-58,-72,-77,-83,-88,-89,-84,-87,-200,-200,-90,-200,-200,-200,-200,-81,-200,-200,-200,-200
1526446797386,-29,-41,-49,-52,-59,-67,-200,-55,-59,-68,-68,-69,-200,-65,-78,-66,-200,-200,-63,-200,-200,-71,-63,-200,-200,-74,-73,-74,-200,-200,-62,-86,-77,-75,-200,-83,-62,-81,-77,-200,-68,-200,-200,-200,-200,-84,-84,-75,-200,-200,-77,-200,-200,-90,-82,-72,-77,-83,-86,-76,-85,-87,-200,-200,-200,-200,-89,-200,-200,-81,-200,-200,-90,-91
1526446800439,-30,-40,-51,-53,-56,-65,-200,-55,-61,-77,-58,-67,-200,-65,-66,-64,-200,-200,-66,-200,-200,-77,-65,-69,-200,-74,-73,-73,-200,-200,-71,-86,-78,-75,-200,-83,-57,-82,-75,-200,-74,-200,-200,-200,-77,-84,-84,-75,-200,-200,-77,-200,-200,-90,-58,-72,-80,-80,-86,-77,-85,-87,-200,-200,-200,-200,-89,-200,-200,-81,-200,-90,-90,-91
