,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526447348003,-31,-48,-35,-50,-44,-60,-55,-48,-65,-43,-200,-65,-64,-71,-86,-66,-51,-57,-58,-58,-69,-65,-72,-71,-65,-66,-69,-69,-74,-200,-86,-74,-74,-200,-77,-200,-83,-200,-76,-69,-88,-88,-200,-65,-81,-200,-200,-200,-200,-82,-68,-86,-200,-200,-88,-78,-71,-200,-200,-86,-200,-200,-77,-90,-84,-90,-80,-85,-88,-200,-200,-200,-200
1526447351007,-30,-48,-34,-48,-44,-60,-54,-48,-62,-44,-64,-61,-64,-200,-86,-200,-70,-58,-63,-58,-64,-64,-72,-70,-64,-67,-70,-69,-75,-200,-85,-74,-73,-200,-76,-200,-200,-200,-200,-66,-89,-200,-200,-67,-200,-200,-200,-200,-78,-82,-62,-86,-200,-200,-200,-200,-71,-200,-200,-86,-200,-200,-200,-200,-200,-200,-80,-85,-88,-77,-200,-200,-200
1526447354055,-31,-47,-19,-49,-53,-61,-53,-51,-76,-43,-64,-81,-64,-91,-58,-200,-54,-58,-79,-59,-64,-60,-200,-70,-63,-70,-83,-70,-71,-79,-86,-200,-73,-88,-78,-200,-200,-200,-200,-80,-90,-200,-200,-67,-91,-200,-200,-91,-78,-85,-62,-200,-200,-200,-200,-77,-74,-83,-86,-86,-200,-200,-89,-200,-92,-200,-82,-200,-200,-77,-93,-200,-200
1526447357100,-32,-47,-35,-51,-45,-60,-55,-51,-61,-43,-200,-61,-62,-71,-58,-66,-53,-58,-79,-63,-64,-68,-200,-72,-64,-65,-70,-70,-73,-80,-84,-75,-74,-88,-72,-200,-80,-200,-200,-68,-90,-200,-200,-65,-91,-200,-200,-91,-200,-85,-61,-200,-200,-200,-200,-77,-74,-83,-86,-86,-200,-200,-77,-200,-92,-200,-82,-200,-200,-200,-93,-86,-200
1526447360109,-31,-82,-35,-51,-45,-55,-55,-51,-59,-43,-65,-61,-62,-71,-66,-66,-52,-58,-79,-59,-69,-70,-72,-72,-62,-64,-76,-69,-74,-80,-85,-75,-76,-88,-74,-200,-80,-200,-200,-68,-89,-200,-200,-61,-91,-80,-200,-91,-200,-85,-73,-200,-200,-77,-200,-77,-82,-83,-86,-87,-200,-200,-78,-76,-92,-200,-82,-200,-200,-76,-93,-86,-200
1526447363164,-31,-53,-35,-52,-45,-60,-56,-53,-59,-43,-63,-65,-65,-71,-59,-66,-53,-60,-59,-64,-69,-68,-72,-69,-62,-61,-76,-69,-75,-80,-84,-75,-76,-200,-77,-200,-84,-200,-200,-68,-89,-200,-200,-63,-200,-80,-200,-200,-200,-200,-63,-200,-200,-77,-200,-200,-82,-200,-200,-87,-200,-200,-78,-76,-200,-200,-200,-200,-200,-75,-200,-86,-67
1526447366223,-31,-52,-35,-51,-44,-60,-55,-51,-64,-43,-66,-66,-65,-81,-59,-66,-52,-58,-62,-59,-200,-90,-200,-70,-200,-62,-200,-68,-75,-200,-84,-77,-68,-200,-77,-200,-88,-200,-200,-200,-89,-200,-200,-65,-200,-200,-200,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-77,-200,-200,-200,-200,-200,-75,-200,-200,-68
1526447369273,-28,-83,-35,-50,-43,-60,-54,-50,-57,-44,-80,-66,-65,-81,-72,-200,-53,-58,-66,-61,-82,-63,-200,-70,-64,-66,-79,-82,-70,-88,-85,-74,-73,-200,-79,-200,-88,-200,-200,-64,-90,-200,-87,-79,-200,-82,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-73,-91,-200,-86,-200,-200,-88,-89,-200,-200,-92,-200,-200,-200,-200,-200,-70
1526447372309,-32,-53,-34,-51,-44,-56,-55,-51,-59,-43,-66,-66,-65,-200,-72,-67,-65,-57,-61,-63,-82,-65,-68,-72,-63,-67,-79,-69,-75,-88,-85,-74,-73,-200,-77,-200,-82,-200,-200,-66,-90,-200,-87,-79,-200,-82,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-73,-83,-200,-86,-200,-200,-88,-89,-200,-200,-92,-200,-200,-78,-200,-200,-70
1526447375360,-31,-47,-35,-51,-45,-61,-55,-50,-61,-43,-66,-66,-61,-200,-59,-67,-50,-59,-63,-58,-82,-57,-68,-71,-63,-67,-70,-69,-74,-80,-85,-71,-70,-79,-78,-200,-82,-200,-200,-66,-90,-200,-87,-79,-89,-82,-200,-200,-200,-200,-61,-200,-200,-200,-82,-81,-73,-83,-200,-86,-200,-200,-88,-79,-85,-200,-92,-200,-200,-78,-200,-200,-70
1526447378405,-31,-53,-35,-52,-44,-60,-55,-51,-58,-43,-66,-66,-61,-200,-58,-67,-53,-60,-63,-58,-70,-66,-68,-71,-61,-65,-70,-68,-75,-81,-85,-71,-74,-79,-72,-83,-80,-200,-74,-66,-89,-88,-87,-200,-89,-200,-200,-200,-200,-200,-61,-200,-200,-81,-82,-81,-200,-83,-200,-85,-200,-87,-200,-79,-85,-200,-200,-200,-200,-78,-200,-200,-200
1526447381467,-31,-53,-33,-89,-44,-60,-55,-52,-60,-44,-66,-66,-69,-200,-74,-200,-53,-59,-200,-62,-66,-65,-70,-71,-61,-65,-70,-68,-74,-81,-85,-200,-72,-78,-77,-83,-82,-200,-74,-68,-89,-88,-200,-65,-200,-200,-200,-200,-200,-200,-200,-86,-200,-81,-85,-200,-71,-200,-200,-85,-200,-87,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
