,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro
1526453965122,-38,-40,-48,-52,-47,-52,-54,-55,-60,-59,-63,-62,-65,-66,-63,-67,-67,-71,-69,-74,-78,-73,-69,-72,-81,-74,-75,-72,-73,-72,-75,-73,-77,-78,-75,-78,-81,-78,-79,-78,-83,-200,-86,-83,-78,-86,-81,-87,-85,-85,-85,-200,-90,-87,-86,-87,-85,-85,-78,-88,-92,-87,-93,-89,-91,-93,-200,-94,-93,-93,-200,-96,-200,-200,-96,-63,-81,-81,-93,-86,-88,-88,-86,-96,-200,-200,-66,-91,-200,-200,-200,-92,-95,-200,-200,-200,-200,-86,-86,-90,-96,-200,-200,-200,-200
1526453968170,-37,-41,-48,-51,-47,-51,-55,-59,-61,-61,-62,-64,-69,-65,-69,-61,-67,-70,-70,-70,-79,-73,-70,-72,-81,-68,-72,-74,-78,-73,-75,-71,-67,-77,-74,-77,-80,-78,-76,-78,-81,-200,-86,-84,-83,-86,-84,-87,-84,-87,-89,-200,-89,-87,-90,-87,-85,-200,-200,-88,-92,-87,-92,-83,-200,-91,-200,-94,-94,-93,-200,-96,-200,-200,-200,-60,-79,-88,-93,-86,-89,-91,-92,-94,-200,-98,-66,-200,-200,-200,-90,-92,-95,-200,-200,-200,-200,-90,-86,-90,-96,-88,-96,-200,-200
1526453971222,-37,-41,-49,-50,-47,-51,-56,-57,-60,-59,-64,-63,-64,-64,-69,-67,-67,-71,-69,-74,-79,-73,-68,-72,-200,-73,-72,-73,-74,-62,-78,-74,-75,-77,-72,-78,-80,-78,-76,-79,-83,-200,-85,-85,-81,-87,-80,-87,-92,-87,-87,-200,-89,-86,-90,-87,-85,-88,-200,-89,-92,-86,-96,-83,-200,-90,-200,-95,-93,-200,-96,-96,-200,-200,-200,-60,-81,-87,-98,-86,-90,-89,-92,-94,-200,-98,-66,-200,-92,-200,-90,-92,-200,-89,-200,-200,-200,-90,-200,-89,-96,-88,-96,-200,-200
1526453974277,-38,-40,-50,-51,-47,-51,-56,-59,-60,-60,-59,-64,-68,-65,-69,-66,-67,-71,-70,-69,-79,-73,-70,-71,-200,-73,-74,-73,-74,-72,-78,-74,-75,-77,-72,-78,-79,-78,-76,-79,-84,-82,-86,-85,-81,-87,-85,-81,-85,-85,-86,-200,-89,-88,-87,-87,-87,-85,-200,-87,-200,-86,-96,-83,-200,-90,-200,-95,-93,-200,-96,-200,-200,-97,-200,-60,-80,-87,-98,-87,-89,-92,-92,-94,-200,-98,-58,-91,-92,-200,-90,-200,-96,-89,-200,-200,-200,-90,-200,-89,-200,-88,-96,-200,-200
1526453977327,-37,-40,-47,-50,-45,-51,-55,-60,-60,-60,-63,-64,-63,-65,-69,-66,-200,-71,-71,-68,-72,-74,-71,-71,-200,-71,-74,-74,-74,-73,-78,-73,-75,-77,-75,-77,-79,-78,-76,-78,-84,-82,-86,-90,-81,-87,-86,-81,-94,-87,-86,-200,-90,-85,-86,-87,-87,-85,-200,-88,-200,-87,-96,-200,-200,-90,-200,-95,-93,-200,-96,-96,-200,-97,-200,-54,-79,-86,-87,-87,-89,-89,-200,-200,-96,-200,-58,-91,-92,-200,-200,-200,-96,-89,-200,-200,-200,-200,-87,-88,-200,-200,-200,-95,-200
1526453980381,-36,-39,-48,-50,-46,-53,-57,-55,-61,-61,-63,-64,-70,-68,-68,-66,-66,-71,-70,-73,-72,-69,-69,-71,-200,-75,-74,-73,-78,-72,-76,-72,-76,-77,-76,-77,-80,-83,-76,-78,-81,-82,-86,-84,-83,-87,-85,-81,-83,-85,-87,-200,-90,-86,-77,-86,-86,-88,-200,-88,-200,-87,-93,-200,-90,-90,-200,-95,-93,-93,-95,-96,-200,-97,-200,-62,-79,-82,-84,-87,-89,-89,-87,-200,-96,-200,-64,-90,-200,-94,-200,-94,-93,-85,-200,-200,-200,-89,-87,-89,-200,-200,-200,-95,-200
1526453983436,-36,-40,-49,-51,-46,-54,-58,-61,-59,-60,-64,-64,-63,-63,-68,-66,-71,-70,-68,-69,-78,-73,-71,-200,-200,-74,-73,-74,-76,-73,-77,-75,-76,-77,-76,-79,-80,-79,-76,-79,-79,-200,-86,-84,-82,-87,-85,-79,-92,-85,-85,-200,-89,-86,-88,-86,-86,-87,-200,-88,-200,-87,-92,-83,-93,-90,-200,-97,-94,-93,-95,-96,-200,-200,-200,-59,-80,-86,-84,-200,-90,-89,-87,-93,-96,-97,-66,-89,-200,-94,-94,-93,-93,-85,-200,-200,-200,-89,-87,-89,-200,-200,-200,-95,-200
1526453986489,-38,-39,-49,-51,-49,-52,-54,-59,-61,-60,-64,-62,-64,-68,-68,-68,-67,-71,-71,-69,-71,-73,-69,-200,-200,-74,-73,-74,-76,-71,-78,-74,-76,-77,-75,-77,-81,-79,-75,-78,-83,-200,-88,-85,-81,-86,-85,-79,-93,-86,-85,-200,-88,-88,-87,-87,-84,-87,-200,-88,-92,-87,-90,-83,-93,-89,-200,-93,-93,-93,-95,-200,-200,-200,-200,-60,-81,-82,-84,-200,-91,-92,-87,-94,-200,-97,-64,-67,-95,-94,-90,-94,-93,-85,-200,-200,-200,-89,-200,-89,-200,-200,-200,-200,-200
1526453989541,-37,-40,-47,-51,-47,-53,-56,-57,-62,-60,-59,-65,-64,-61,-70,-70,-67,-70,-70,-69,-71,-76,-68,-65,-83,-74,-66,-72,-79,-74,-78,-74,-58,-77,-73,-77,-79,-84,-81,-79,-83,-81,-88,-84,-81,-86,-82,-79,-84,-86,-85,-200,-88,-89,-88,-87,-84,-87,-200,-88,-92,-89,-90,-83,-93,-92,-200,-95,-91,-200,-95,-200,-200,-200,-200,-60,-80,-82,-200,-84,-89,-89,-91,-94,-200,-95,-63,-91,-95,-200,-91,-94,-200,-89,-200,-200,-200,-89,-200,-89,-200,-200,-200,-200,-98
1526453992593,-40,-44,-52,-50,-49,-49,-54,-55,-57,-60,-63,-66,-67,-62,-70,-70,-74,-87,-76,-67,-64,-76,-69,-72,-83,-74,-66,-81,-79,-75,-82,-74,-81,-77,-77,-75,-80,-80,-74,-83,-83,-81,-73,-85,-81,-86,-82,-79,-89,-89,-200,-200,-87,-90,-88,-79,-85,-200,-200,-92,-92,-76,-90,-200,-200,-91,-200,-94,-91,-200,-95,-200,-200,-200,-200,-58,-83,-83,-89,-84,-89,-90,-91,-95,-200,-95,-63,-91,-95,-200,-91,-94,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98
1526453995654,-38,-41,-53,-50,-50,-55,-55,-57,-59,-62,-62,-66,-70,-68,-68,-70,-74,-72,-75,-77,-76,-70,-67,-71,-83,-85,-72,-82,-73,-73,-75,-77,-81,-81,-74,-82,-80,-78,-76,-78,-78,-85,-80,-86,-200,-200,-81,-81,-84,-83,-86,-200,-87,-86,-88,-86,-91,-200,-200,-85,-95,-80,-200,-200,-200,-91,-200,-94,-91,-94,-200,-96,-200,-200,-200,-61,-76,-83,-92,-87,-89,-87,-91,-95,-200,-95,-63,-72,-200,-200,-91,-92,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-98
1526453998702,-38,-39,-53,-52,-49,-50,-53,-57,-60,-63,-64,-65,-71,-66,-66,-65,-69,-73,-72,-63,-80,-71,-70,-71,-200,-85,-72,-80,-74,-74,-75,-75,-78,-81,-73,-78,-77,-77,-77,-78,-77,-83,-85,-87,-84,-200,-79,-79,-86,-83,-86,-200,-87,-88,-200,-82,-85,-200,-200,-88,-95,-80,-94,-84,-200,-93,-200,-94,-200,-94,-200,-96,-200,-200,-200,-67,-81,-83,-95,-87,-93,-89,-92,-95,-200,-200,-73,-72,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-95,-200
