,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526461255792,-35,-25,-36,-41,-46,-46,-52,-53,-55,-61,-60,-63,-200,-62,-53,-52,-62,-62,-67,-200,-64,-58,-68,-63,-64,-69,-80,-70,-75,-200,-77,-77,-200,-66,-74,-200,-82,-85,-68,-70,-75,-90,-68,-78,-79,-93,-67,-84,-64,-84,-200
1526461258824,-36,-25,-36,-39,-45,-46,-52,-53,-55,-57,-59,-63,-52,-62,-53,-54,-63,-62,-62,-68,-63,-58,-69,-65,-65,-73,-79,-76,-200,-200,-77,-77,-200,-66,-77,-200,-82,-85,-68,-70,-75,-90,-68,-79,-79,-93,-71,-84,-67,-84,-65
1526461261846,-36,-25,-36,-39,-45,-46,-52,-53,-55,-57,-59,-63,-52,-62,-53,-54,-63,-62,-62,-68,-63,-58,-69,-65,-65,-73,-79,-76,-200,-200,-77,-77,-200,-66,-77,-200,-82,-85,-68,-70,-75,-90,-68,-79,-79,-93,-71,-84,-67,-84,-65
1526461264857,-36,-26,-36,-39,-45,-44,-54,-53,-55,-57,-59,-63,-52,-60,-53,-58,-63,-65,-65,-68,-64,-60,-69,-65,-66,-73,-79,-76,-66,-200,-77,-77,-200,-66,-77,-200,-82,-84,-68,-70,-200,-200,-68,-79,-79,-93,-72,-84,-67,-84,-65
1526461267883,-36,-26,-36,-39,-45,-44,-54,-53,-55,-57,-59,-63,-52,-60,-53,-58,-63,-65,-65,-68,-64,-60,-69,-65,-66,-73,-79,-76,-66,-200,-77,-77,-200,-66,-77,-200,-82,-84,-68,-70,-200,-200,-68,-79,-79,-93,-72,-84,-67,-84,-65
1526461270905,-36,-26,-36,-38,-45,-47,-54,-52,-55,-57,-59,-63,-52,-61,-54,-60,-63,-65,-65,-68,-63,-60,-69,-65,-66,-73,-79,-76,-66,-200,-77,-77,-200,-66,-77,-200,-200,-84,-68,-75,-200,-200,-68,-79,-79,-200,-72,-84,-67,-84,-65
1526461273927,-36,-26,-36,-38,-45,-47,-54,-52,-55,-57,-59,-63,-52,-61,-54,-60,-63,-65,-65,-68,-63,-60,-69,-65,-66,-73,-79,-76,-66,-200,-77,-77,-200,-66,-77,-200,-200,-84,-68,-75,-200,-200,-68,-79,-79,-200,-72,-84,-67,-84,-65
1526461276951,-36,-27,-36,-39,-45,-44,-54,-52,-57,-53,-58,-63,-52,-61,-54,-56,-64,-63,-58,-68,-63,-60,-69,-65,-66,-73,-79,-76,-66,-200,-77,-78,-200,-66,-77,-200,-200,-84,-200,-75,-200,-200,-200,-79,-79,-200,-72,-200,-67,-84,-65
1526461279981,-36,-27,-36,-39,-45,-44,-54,-52,-57,-53,-58,-63,-52,-61,-54,-56,-64,-63,-58,-68,-63,-60,-69,-65,-66,-73,-79,-76,-66,-200,-77,-78,-200,-66,-77,-200,-200,-84,-200,-75,-200,-200,-200,-79,-79,-200,-72,-200,-67,-84,-65
1526461283008,-36,-26,-35,-39,-45,-48,-54,-52,-57,-53,-56,-200,-52,-61,-56,-56,-63,-64,-61,-68,-63,-60,-64,-65,-66,-73,-80,-76,-66,-200,-75,-78,-200,-66,-77,-200,-200,-82,-200,-75,-200,-200,-200,-79,-200,-200,-72,-200,-67,-200,-65
1526461286029,-36,-26,-35,-39,-45,-48,-54,-52,-57,-53,-56,-200,-52,-61,-56,-56,-63,-64,-61,-68,-63,-60,-64,-65,-66,-73,-80,-76,-66,-200,-75,-78,-200,-66,-77,-200,-200,-82,-200,-75,-200,-200,-200,-79,-200,-200,-72,-200,-67,-200,-65
1526461289061,-36,-28,-35,-39,-45,-48,-54,-52,-57,-53,-55,-200,-200,-61,-59,-56,-64,-64,-62,-200,-64,-65,-64,-71,-70,-200,-80,-200,-66,-200,-79,-77,-200,-68,-200,-200,-200,-82,-67,-75,-200,-200,-74,-200,-200,-200,-72,-200,-200,-83,-200
