,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526461674092,-35,-40,-48,-53,-55,-41,-58,-44,-48,-200,-200,-200,-51,-61,-65,-64,-50,-200,-68,-62,-74,-46,-60,-57,-50,-200,-74,-75,-69,-200,-200,-69,-73,-82,-200,-200,-77,-87,-200,-82,-83,-76,-200,-72,-70,-200,-63,-71,-80,-64,-62,-69,-86,-70,-75,-200,-200,-200,-200,-200,-200,-200
1526461677107,-35,-40,-48,-53,-55,-41,-58,-44,-48,-200,-200,-200,-51,-61,-65,-64,-50,-200,-68,-62,-74,-46,-60,-57,-50,-200,-74,-75,-69,-200,-200,-69,-73,-82,-200,-200,-77,-87,-200,-82,-83,-76,-200,-72,-70,-200,-63,-71,-80,-64,-62,-69,-86,-70,-75,-200,-200,-200,-200,-200,-200,-200
1526461680118,-35,-40,-48,-53,-51,-41,-58,-45,-48,-200,-200,-200,-54,-61,-200,-64,-50,-200,-68,-62,-74,-46,-60,-60,-50,-68,-74,-72,-69,-200,-200,-69,-72,-82,-200,-200,-77,-87,-200,-81,-82,-76,-200,-72,-71,-200,-63,-72,-80,-64,-62,-69,-86,-70,-75,-75,-85,-200,-200,-200,-200,-200
1526461683131,-35,-40,-48,-53,-51,-41,-58,-45,-48,-200,-200,-200,-54,-61,-200,-64,-50,-200,-68,-62,-74,-46,-60,-60,-50,-68,-74,-72,-69,-200,-200,-69,-72,-82,-200,-200,-77,-87,-200,-81,-82,-76,-200,-72,-71,-200,-63,-72,-80,-64,-62,-69,-86,-70,-75,-75,-85,-200,-200,-200,-200,-200
1526461686154,-35,-33,-37,-49,-58,-56,-58,-45,-48,-65,-200,-200,-48,-61,-200,-64,-48,-200,-68,-68,-76,-46,-60,-61,-45,-66,-74,-72,-69,-200,-200,-69,-73,-80,-200,-200,-81,-87,-200,-85,-86,-77,-200,-68,-71,-200,-63,-73,-80,-64,-62,-69,-86,-70,-75,-75,-85,-57,-200,-200,-200,-200
1526461689168,-35,-33,-37,-49,-58,-56,-58,-45,-48,-65,-200,-200,-48,-61,-200,-64,-48,-200,-68,-68,-76,-46,-60,-61,-45,-66,-74,-72,-69,-200,-200,-69,-73,-80,-200,-200,-81,-87,-200,-85,-86,-77,-200,-68,-71,-200,-63,-73,-80,-64,-62,-69,-86,-70,-75,-75,-85,-57,-200,-200,-200,-200
1526461692189,-33,-33,-38,-49,-58,-56,-57,-45,-48,-65,-200,-200,-47,-61,-66,-200,-50,-200,-68,-69,-76,-45,-60,-61,-45,-66,-75,-72,-69,-200,-200,-69,-73,-80,-200,-200,-83,-87,-200,-85,-86,-79,-200,-68,-72,-69,-63,-73,-83,-67,-62,-69,-86,-70,-75,-75,-85,-57,-200,-200,-200,-200
1526461695204,-33,-33,-38,-49,-58,-56,-57,-45,-48,-65,-200,-200,-47,-61,-66,-200,-50,-200,-68,-69,-76,-45,-60,-61,-45,-66,-75,-72,-69,-200,-200,-69,-73,-80,-200,-200,-83,-87,-200,-85,-86,-79,-200,-68,-72,-69,-63,-73,-83,-67,-62,-69,-86,-70,-75,-75,-85,-57,-200,-200,-200,-200
1526461698217,-33,-33,-36,-49,-58,-56,-57,-45,-48,-65,-200,-200,-48,-61,-66,-200,-50,-200,-200,-69,-76,-45,-60,-60,-45,-66,-75,-72,-200,-200,-200,-66,-76,-81,-200,-200,-83,-85,-200,-85,-86,-79,-200,-68,-72,-68,-63,-72,-78,-67,-62,-69,-200,-70,-75,-75,-85,-57,-70,-80,-88,-93
1526461701233,-33,-33,-36,-49,-58,-56,-57,-45,-48,-65,-200,-200,-48,-61,-66,-200,-50,-200,-200,-69,-76,-45,-60,-60,-45,-66,-75,-72,-200,-200,-200,-66,-76,-81,-200,-200,-83,-85,-200,-85,-86,-79,-200,-68,-72,-68,-63,-72,-78,-67,-62,-69,-200,-70,-75,-75,-85,-57,-70,-80,-88,-93
1526461704265,-35,-35,-37,-49,-57,-66,-58,-49,-56,-65,-200,-200,-48,-200,-66,-67,-54,-200,-200,-68,-76,-46,-60,-64,-52,-66,-78,-72,-200,-200,-200,-64,-76,-85,-200,-200,-78,-85,-200,-85,-79,-79,-200,-68,-72,-68,-64,-72,-79,-67,-200,-200,-200,-200,-200,-75,-85,-57,-70,-80,-88,-93
1526461707277,-35,-35,-37,-49,-57,-66,-58,-49,-56,-65,-200,-200,-48,-200,-66,-67,-54,-200,-200,-68,-76,-46,-60,-64,-52,-66,-78,-72,-200,-200,-200,-64,-76,-85,-200,-200,-78,-85,-200,-85,-79,-79,-200,-68,-72,-68,-64,-72,-79,-67,-200,-200,-200,-200,-200,-75,-85,-57,-70,-80,-88,-93
