,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309
1526460948021,-32,-37,-49,-41,-54,-48,-43,-48,-44,-67,-59,-63,-51,-64,-63,-63,-71,-65,-67,-59,-71,-67,-74,-72,-72,-200,-200,-69,-200,-56,-86,-85,-90,-73,-62,-75,-79,-200,-200,-200,-200,-200,-200,-200
1526460951042,-32,-37,-49,-41,-54,-48,-43,-48,-44,-67,-59,-63,-51,-64,-63,-63,-71,-65,-67,-59,-71,-67,-74,-72,-72,-200,-200,-69,-200,-56,-86,-85,-90,-73,-62,-75,-79,-200,-200,-200,-200,-200,-200,-200
1526460954068,-36,-41,-41,-41,-53,-40,-41,-47,-43,-55,-58,-63,-48,-62,-60,-63,-63,-72,-62,-58,-67,-70,-69,-67,-76,-200,-200,-65,-200,-56,-200,-85,-90,-73,-62,-75,-79,-61,-73,-200,-200,-200,-200,-200
1526460957094,-36,-41,-41,-41,-53,-40,-41,-47,-43,-55,-58,-63,-48,-62,-60,-63,-63,-72,-62,-58,-67,-70,-69,-67,-76,-200,-200,-65,-200,-56,-200,-85,-90,-73,-62,-75,-79,-61,-73,-200,-200,-200,-200,-200
1526460960111,-49,-47,-41,-44,-49,-42,-43,-53,-43,-50,-62,-70,-52,-58,-64,-63,-77,-64,-82,-61,-67,-70,-69,-67,-74,-200,-200,-75,-200,-57,-200,-85,-90,-73,-62,-75,-79,-61,-73,-72,-200,-200,-200,-200
1526460963128,-49,-47,-41,-44,-49,-42,-43,-53,-43,-50,-62,-70,-52,-58,-64,-63,-77,-64,-82,-61,-67,-70,-69,-67,-74,-200,-200,-75,-200,-57,-200,-85,-90,-73,-62,-75,-79,-61,-73,-72,-200,-200,-200,-200
1526460966149,-41,-47,-37,-44,-50,-42,-38,-46,-43,-53,-59,-62,-50,-56,-59,-68,-64,-67,-71,-61,-67,-70,-73,-67,-78,-200,-86,-70,-200,-57,-85,-85,-90,-71,-63,-75,-79,-61,-73,-72,-73,-92,-200,-200
1526460969180,-41,-47,-37,-44,-50,-42,-38,-46,-43,-53,-59,-62,-50,-56,-59,-68,-64,-67,-71,-61,-67,-70,-73,-67,-78,-200,-86,-70,-200,-57,-85,-85,-90,-71,-63,-75,-79,-61,-73,-72,-73,-92,-200,-200
1526460972189,-41,-40,-35,-44,-50,-39,-36,-46,-43,-53,-62,-60,-50,-56,-59,-68,-63,-69,-69,-61,-67,-70,-73,-68,-78,-200,-86,-70,-200,-57,-85,-85,-90,-71,-67,-75,-79,-61,-73,-72,-74,-92,-68,-200
1526460975212,-41,-40,-35,-44,-50,-39,-36,-46,-43,-53,-62,-60,-50,-56,-59,-68,-63,-69,-69,-61,-67,-70,-73,-68,-78,-200,-86,-70,-200,-57,-85,-85,-90,-71,-67,-75,-79,-61,-73,-72,-74,-92,-68,-200
1526460978237,-43,-37,-36,-43,-50,-39,-38,-44,-51,-53,-62,-59,-50,-56,-59,-67,-61,-69,-69,-61,-71,-69,-74,-68,-72,-200,-86,-69,-200,-58,-85,-85,-200,-71,-67,-200,-200,-61,-73,-72,-74,-92,-68,-88
1526460981262,-43,-37,-36,-43,-50,-39,-38,-44,-51,-53,-62,-59,-50,-56,-59,-67,-61,-69,-69,-61,-71,-69,-74,-68,-72,-200,-86,-69,-200,-58,-85,-85,-200,-71,-67,-200,-200,-61,-73,-72,-74,-92,-68,-88
