,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526458023615,-23,-35,-40,-41,-39,-42,-44,-46,-52,-46,-49,-57,-60,-51,-57,-48,-57,-53,-63,-63,-66,-63,-59,-68,-62,-70,-70,-69,-67,-70,-85,-66,-62,-73,-73,-73,-75,-200,-79,-74,-83,-79,-73,-79,-200,-82,-82,-87,-200,-200,-80,-200,-200,-200,-88,-200,-67,-70,-71,-77,-78,-200,-86,-200,-91,-87,-87,-85,-80,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458026662,-26,-35,-39,-33,-45,-38,-44,-43,-52,-46,-49,-53,-60,-51,-57,-48,-57,-57,-60,-63,-66,-63,-59,-68,-62,-70,-68,-69,-67,-73,-85,-66,-58,-73,-73,-73,-75,-200,-81,-74,-83,-79,-72,-78,-200,-82,-82,-87,-200,-200,-80,-200,-200,-200,-88,-200,-67,-67,-71,-77,-78,-200,-200,-200,-91,-200,-87,-85,-80,-74,-73,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526458029689,-23,-36,-41,-37,-43,-39,-47,-45,-53,-46,-49,-54,-60,-52,-57,-50,-55,-60,-64,-63,-71,-64,-59,-68,-65,-65,-68,-69,-67,-73,-85,-66,-62,-72,-73,-73,-75,-200,-81,-73,-200,-79,-72,-78,-200,-82,-82,-85,-200,-200,-79,-200,-200,-200,-87,-200,-67,-67,-71,-77,-75,-200,-200,-200,-89,-200,-200,-85,-80,-74,-73,-87,-88,-82,-200,-200,-200,-200,-200,-200,-200
1526458032746,-23,-38,-41,-37,-44,-41,-47,-44,-53,-48,-51,-57,-57,-52,-57,-51,-55,-60,-65,-63,-66,-62,-72,-79,-65,-65,-68,-68,-67,-73,-84,-64,-64,-71,-73,-73,-78,-200,-78,-74,-200,-79,-73,-78,-200,-82,-82,-85,-82,-200,-80,-200,-200,-90,-86,-200,-67,-67,-81,-200,-77,-85,-200,-200,-89,-200,-200,-200,-85,-74,-73,-87,-88,-82,-69,-200,-200,-200,-200,-200,-200
1526458035795,-26,-39,-41,-38,-40,-39,-47,-44,-54,-48,-43,-56,-58,-51,-55,-50,-55,-56,-61,-63,-66,-62,-66,-79,-65,-69,-68,-68,-68,-71,-84,-64,-60,-71,-74,-74,-78,-200,-82,-74,-200,-79,-75,-78,-200,-82,-82,-85,-82,-200,-80,-200,-200,-90,-86,-200,-66,-67,-75,-200,-75,-85,-200,-200,-89,-200,-200,-200,-85,-74,-73,-87,-88,-82,-69,-80,-87,-200,-200,-200,-200
1526458038869,-26,-37,-40,-37,-44,-40,-46,-44,-51,-50,-47,-59,-59,-52,-59,-48,-55,-59,-64,-63,-63,-65,-66,-70,-65,-69,-68,-69,-68,-71,-84,-64,-61,-71,-74,-75,-78,-200,-80,-74,-200,-79,-73,-78,-200,-82,-200,-85,-82,-200,-84,-200,-200,-90,-86,-200,-66,-67,-75,-200,-75,-85,-200,-200,-89,-200,-83,-200,-85,-200,-73,-87,-89,-75,-68,-80,-87,-86,-200,-200,-200
1526458041945,-26,-37,-39,-37,-44,-40,-47,-46,-51,-49,-49,-59,-59,-52,-59,-40,-54,-59,-67,-63,-63,-67,-66,-70,-64,-69,-67,-69,-68,-71,-84,-64,-61,-71,-74,-75,-69,-71,-80,-74,-200,-79,-73,-78,-200,-80,-80,-85,-71,-200,-84,-200,-200,-90,-86,-200,-66,-200,-72,-200,-75,-85,-200,-200,-89,-200,-83,-200,-85,-200,-200,-200,-89,-75,-68,-80,-87,-86,-200,-200,-200
1526458045011,-28,-36,-39,-37,-46,-40,-47,-46,-52,-47,-49,-56,-59,-53,-58,-48,-57,-62,-65,-62,-63,-65,-81,-70,-64,-78,-67,-71,-68,-72,-87,-64,-61,-72,-72,-75,-69,-71,-78,-73,-200,-79,-73,-78,-200,-80,-80,-85,-68,-200,-84,-200,-200,-90,-86,-200,-66,-200,-73,-200,-75,-85,-200,-200,-89,-200,-83,-200,-85,-200,-200,-200,-89,-82,-68,-80,-87,-86,-200,-200,-200
1526458048092,-24,-37,-39,-37,-46,-40,-47,-47,-53,-47,-51,-56,-59,-52,-58,-50,-54,-62,-66,-62,-67,-65,-81,-70,-64,-72,-69,-70,-68,-72,-87,-60,-63,-73,-72,-77,-69,-71,-81,-72,-83,-200,-72,-200,-200,-80,-80,-86,-68,-200,-84,-200,-200,-200,-87,-200,-66,-72,-73,-200,-78,-200,-86,-200,-90,-200,-83,-200,-200,-200,-200,-200,-89,-82,-70,-80,-87,-86,-200,-200,-200
1526458051136,-24,-37,-39,-35,-47,-40,-44,-48,-53,-47,-48,-56,-55,-52,-58,-49,-56,-62,-62,-62,-65,-65,-63,-72,-64,-72,-68,-70,-200,-72,-87,-60,-63,-73,-72,-77,-69,-71,-80,-72,-83,-200,-72,-200,-200,-80,-80,-86,-68,-200,-81,-200,-200,-200,-86,-200,-71,-72,-73,-200,-76,-200,-86,-200,-90,-200,-83,-200,-200,-200,-200,-200,-89,-82,-70,-200,-200,-86,-200,-200,-200
1526458054195,-24,-38,-39,-39,-39,-40,-45,-45,-52,-50,-49,-58,-57,-51,-47,-52,-54,-62,-58,-63,-64,-65,-71,-72,-64,-68,-69,-70,-200,-72,-87,-67,-60,-73,-72,-76,-72,-71,-79,-72,-83,-200,-73,-200,-200,-80,-83,-86,-68,-200,-81,-200,-200,-200,-86,-200,-69,-72,-75,-200,-76,-200,-86,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-82,-70,-200,-200,-200,-88,-200,-200
1526458057227,-26,-38,-39,-36,-38,-39,-46,-46,-47,-48,-48,-57,-60,-51,-47,-48,-58,-62,-61,-64,-64,-68,-74,-72,-66,-68,-67,-71,-200,-72,-87,-67,-69,-73,-72,-76,-72,-200,-78,-74,-83,-200,-72,-78,-200,-83,-83,-85,-68,-200,-87,-200,-200,-87,-85,-200,-69,-72,-73,-77,-76,-200,-86,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-82,-70,-200,-200,-200,-88,-76,-83
