,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A20
1526458097639,-27,-29,-29,-41,-48,-49,-47,-54,-48,-59,-45,-48,-50,-58,-61,-59,-57,-56,-53,-68,-62,-55,-65,-61,-61,-58,-70,-66,-77,-71,-68,-65,-200,-72,-69,-200,-69,-78,-71,-69,-64,-73,-70,-67,-200,-78,-78,-74,-79,-78,-80,-81,-76,-80,-87,-85,-200,-81,-200,-77,-200,-91,-86,-88,-85,-200,-200,-91,-200,-53,-73,-75,-75,-200,-73,-200,-82,-200,-69,-200,-200,-200,-81,-200,-67,-79,-200,-200,-77,-91,-86,-73,-77,-80,-71,-200,-200,-200,-200,-200,-200
1526458100692,-37,-29,-33,-40,-49,-47,-48,-53,-48,-57,-48,-48,-51,-56,-61,-58,-57,-56,-56,-68,-63,-55,-65,-61,-61,-58,-70,-65,-73,-71,-68,-65,-200,-71,-69,-200,-69,-78,-66,-68,-65,-72,-70,-67,-200,-78,-78,-74,-200,-78,-80,-81,-76,-80,-87,-85,-200,-81,-69,-77,-90,-91,-200,-88,-85,-200,-200,-91,-200,-61,-73,-75,-75,-200,-73,-75,-82,-200,-69,-200,-200,-200,-81,-200,-67,-79,-200,-200,-77,-200,-86,-73,-77,-80,-71,-200,-200,-200,-200,-200,-200
1526458103782,-32,-28,-33,-36,-49,-46,-48,-50,-48,-57,-48,-48,-50,-53,-61,-61,-56,-58,-56,-68,-65,-55,-66,-60,-61,-58,-64,-63,-72,-71,-68,-65,-200,-71,-69,-200,-69,-78,-66,-68,-65,-72,-70,-67,-200,-77,-77,-78,-79,-76,-80,-81,-76,-80,-87,-200,-200,-80,-81,-77,-90,-91,-200,-88,-85,-200,-200,-91,-200,-61,-65,-76,-200,-200,-73,-75,-78,-200,-69,-200,-200,-200,-81,-200,-67,-79,-200,-200,-87,-91,-200,-70,-77,-80,-71,-200,-200,-200,-200,-200,-200
1526458106824,-28,-28,-29,-36,-51,-48,-50,-51,-48,-57,-44,-51,-49,-57,-56,-61,-56,-58,-58,-200,-61,-55,-65,-64,-61,-68,-58,-64,-72,-72,-68,-65,-200,-71,-69,-66,-61,-78,-66,-68,-67,-72,-70,-67,-200,-77,-77,-78,-79,-77,-200,-81,-76,-80,-87,-86,-200,-80,-81,-200,-90,-91,-200,-87,-86,-200,-200,-91,-200,-61,-65,-76,-200,-200,-73,-75,-78,-200,-69,-200,-200,-200,-81,-200,-67,-79,-200,-200,-81,-91,-200,-70,-77,-80,-71,-80,-200,-200,-200,-200,-200
1526458109864,-32,-28,-35,-36,-50,-48,-50,-51,-48,-57,-44,-51,-49,-57,-52,-58,-56,-57,-56,-200,-61,-54,-65,-66,-61,-69,-64,-64,-72,-72,-68,-65,-200,-71,-69,-66,-61,-78,-66,-68,-67,-72,-200,-200,-78,-77,-77,-77,-79,-76,-200,-81,-76,-80,-88,-86,-200,-78,-81,-200,-90,-200,-200,-87,-86,-200,-200,-200,-200,-53,-67,-76,-200,-200,-200,-75,-78,-200,-71,-200,-200,-200,-81,-200,-67,-200,-200,-200,-79,-91,-200,-70,-77,-200,-71,-80,-71,-200,-200,-200,-200
1526458112910,-29,-28,-35,-36,-50,-47,-50,-53,-48,-57,-45,-51,-50,-57,-53,-59,-55,-57,-56,-200,-59,-56,-69,-66,-61,-69,-64,-64,-71,-72,-68,-200,-200,-71,-69,-66,-65,-78,-66,-69,-67,-72,-200,-200,-78,-77,-76,-77,-78,-76,-200,-78,-76,-82,-88,-86,-200,-79,-81,-200,-90,-90,-200,-87,-86,-200,-200,-200,-200,-50,-67,-76,-200,-200,-200,-76,-78,-200,-74,-70,-200,-74,-84,-200,-200,-74,-79,-85,-79,-91,-200,-70,-200,-200,-200,-80,-71,-83,-200,-200,-200
1526458115959,-27,-30,-35,-36,-50,-49,-50,-52,-57,-57,-45,-51,-52,-57,-53,-58,-58,-57,-59,-200,-66,-56,-69,-61,-61,-65,-65,-64,-71,-72,-68,-200,-200,-200,-69,-66,-61,-79,-200,-70,-65,-72,-200,-200,-78,-77,-76,-77,-78,-78,-200,-78,-76,-79,-88,-86,-200,-79,-81,-200,-200,-90,-200,-87,-86,-200,-200,-200,-200,-51,-67,-68,-200,-200,-200,-76,-78,-200,-64,-70,-200,-74,-84,-200,-200,-74,-79,-85,-79,-91,-200,-70,-200,-200,-200,-80,-71,-83,-76,-85,-200
1526458118999,-27,-28,-35,-40,-51,-45,-46,-51,-51,-57,-47,-52,-50,-57,-55,-59,-54,-57,-56,-200,-63,-53,-67,-61,-61,-65,-64,-64,-73,-72,-68,-200,-200,-76,-70,-66,-62,-79,-200,-74,-63,-74,-200,-200,-78,-77,-76,-77,-78,-77,-200,-82,-76,-80,-88,-86,-200,-83,-200,-76,-91,-90,-200,-87,-86,-200,-200,-200,-88,-51,-67,-68,-200,-200,-200,-76,-200,-200,-64,-70,-200,-74,-84,-200,-66,-74,-79,-85,-79,-200,-200,-70,-200,-200,-200,-80,-71,-83,-76,-87,-92
1526458122057,-27,-28,-35,-40,-48,-48,-50,-51,-50,-58,-48,-45,-40,-59,-60,-58,-54,-56,-57,-200,-63,-53,-68,-59,-61,-65,-65,-62,-73,-200,-68,-200,-200,-76,-70,-66,-62,-79,-200,-73,-65,-73,-73,-59,-78,-77,-78,-77,-78,-76,-200,-82,-79,-80,-88,-86,-200,-82,-200,-76,-91,-90,-200,-87,-85,-200,-200,-200,-88,-52,-65,-68,-200,-79,-200,-76,-200,-200,-64,-70,-200,-74,-84,-200,-66,-72,-75,-83,-79,-200,-200,-70,-200,-200,-200,-200,-71,-83,-76,-86,-92
1526458125107,-31,-27,-30,-39,-50,-48,-49,-51,-50,-58,-46,-43,-44,-59,-60,-58,-54,-58,-57,-200,-63,-51,-68,-59,-60,-65,-63,-62,-73,-200,-69,-75,-200,-76,-70,-200,-62,-79,-62,-73,-65,-73,-77,-59,-200,-77,-76,-75,-78,-76,-200,-82,-79,-80,-200,-86,-200,-82,-200,-76,-91,-90,-200,-87,-85,-200,-200,-200,-88,-52,-60,-68,-79,-79,-200,-76,-200,-200,-65,-70,-200,-74,-84,-200,-65,-72,-75,-83,-200,-200,-200,-70,-78,-200,-200,-200,-200,-83,-76,-86,-92
1526458128173,-30,-27,-30,-42,-50,-48,-49,-51,-48,-58,-49,-50,-49,-60,-54,-60,-61,-57,-57,-200,-63,-51,-68,-61,-60,-65,-63,-66,-73,-200,-69,-75,-200,-74,-70,-200,-62,-79,-62,-75,-65,-73,-77,-59,-200,-77,-76,-76,-78,-76,-200,-82,-79,-80,-200,-200,-200,-82,-200,-76,-91,-200,-200,-87,-85,-200,-200,-200,-88,-48,-60,-72,-79,-79,-200,-76,-200,-200,-63,-200,-200,-200,-84,-200,-62,-72,-75,-83,-200,-200,-200,-70,-78,-82,-200,-200,-200,-200,-76,-86,-92
1526458131216,-28,-28,-33,-38,-50,-48,-47,-51,-46,-59,-53,-46,-52,-60,-54,-60,-62,-56,-57,-200,-60,-53,-66,-62,-60,-59,-58,-64,-72,-200,-69,-75,-200,-74,-70,-200,-71,-200,-63,-72,-66,-73,-77,-59,-200,-77,-76,-76,-78,-79,-200,-82,-79,-80,-200,-200,-200,-82,-200,-76,-91,-200,-200,-87,-85,-200,-200,-89,-88,-51,-60,-69,-79,-79,-200,-80,-81,-200,-63,-200,-200,-200,-200,-200,-62,-72,-75,-83,-200,-200,-200,-73,-78,-82,-200,-200,-200,-81,-200,-86,-92
