,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526458733950,-37,-22,-45,-37,-41,-46,-49,-48,-57,-46,-57,-63,-71,-56,-59,-72,-60,-63,-55,-58,-60,-51,-53,-64,-55,-65,-57,-70,-73,-61,-70,-62,-63,-79,-200,-62,-200,-79,-200,-69,-78,-200,-72,-76,-84,-200,-70,-200,-75,-74,-200,-68,-73,-84,-80,-200,-76,-200,-88,-200,-87,-91,-200,-63,-78,-87,-85,-200,-74,-200,-80,-200,-74,-74,-82,-83,-91,-74,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458737014,-41,-22,-46,-38,-42,-46,-45,-47,-53,-48,-55,-60,-71,-56,-57,-72,-65,-58,-54,-61,-59,-51,-55,-63,-54,-64,-57,-70,-74,-61,-66,-65,-63,-78,-200,-66,-200,-72,-200,-69,-78,-77,-72,-76,-84,-200,-70,-200,-75,-74,-200,-68,-73,-200,-78,-200,-76,-200,-85,-200,-87,-91,-200,-65,-78,-87,-85,-83,-74,-82,-80,-93,-74,-200,-200,-83,-91,-74,-92,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458740119,-42,-22,-47,-42,-38,-43,-44,-47,-54,-46,-57,-57,-71,-63,-58,-65,-65,-58,-52,-58,-63,-59,-55,-65,-55,-65,-57,-70,-75,-61,-66,-60,-63,-78,-200,-65,-200,-72,-200,-69,-200,-77,-72,-76,-84,-200,-70,-200,-72,-74,-200,-69,-71,-200,-76,-200,-76,-200,-85,-86,-87,-91,-75,-65,-78,-87,-85,-83,-74,-78,-81,-89,-74,-85,-85,-83,-91,-74,-92,-78,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458743168,-44,-25,-47,-43,-35,-47,-44,-47,-54,-47,-56,-58,-71,-61,-62,-62,-65,-64,-56,-61,-63,-51,-56,-65,-55,-62,-61,-72,-78,-61,-76,-61,-63,-78,-69,-65,-200,-75,-65,-61,-200,-77,-72,-81,-72,-69,-200,-200,-73,-74,-200,-70,-71,-88,-77,-200,-76,-200,-85,-86,-87,-91,-75,-65,-78,-200,-85,-83,-74,-78,-81,-89,-74,-78,-85,-200,-200,-74,-92,-78,-85,-87,-79,-87,-88,-200,-200,-200,-200,-200,-200,-200
1526458746211,-48,-35,-46,-39,-36,-47,-44,-50,-59,-41,-58,-59,-71,-61,-61,-62,-65,-60,-55,-64,-63,-48,-54,-65,-55,-61,-61,-69,-82,-61,-76,-61,-63,-78,-69,-63,-200,-75,-65,-61,-200,-77,-83,-81,-72,-69,-200,-200,-73,-74,-200,-72,-71,-88,-77,-200,-76,-200,-85,-86,-87,-91,-75,-65,-78,-200,-85,-83,-200,-78,-81,-89,-74,-78,-85,-88,-200,-74,-92,-78,-85,-87,-79,-87,-88,-79,-83,-200,-200,-200,-200,-200
1526458749286,-46,-26,-42,-38,-37,-51,-41,-47,-56,-41,-57,-56,-71,-62,-65,-62,-65,-58,-55,-64,-69,-46,-55,-65,-57,-65,-65,-73,-81,-200,-76,-65,-66,-78,-69,-63,-200,-70,-65,-61,-79,-74,-83,-81,-73,-70,-200,-200,-73,-200,-200,-69,-71,-88,-79,-200,-200,-200,-85,-86,-200,-200,-75,-65,-200,-200,-84,-83,-76,-78,-81,-91,-76,-73,-85,-88,-200,-200,-200,-78,-85,-87,-79,-86,-88,-79,-83,-81,-200,-200,-200,-200
1526458752360,-42,-24,-46,-38,-36,-47,-42,-47,-62,-42,-62,-56,-71,-59,-57,-62,-200,-58,-55,-64,-60,-45,-51,-65,-65,-61,-65,-73,-79,-200,-76,-65,-64,-78,-69,-63,-200,-71,-67,-62,-79,-74,-69,-80,-71,-70,-200,-200,-73,-200,-200,-76,-71,-88,-79,-200,-200,-200,-200,-86,-87,-200,-75,-69,-79,-200,-84,-200,-76,-78,-81,-91,-76,-77,-85,-88,-200,-200,-200,-200,-85,-87,-79,-85,-88,-79,-83,-81,-200,-200,-200,-200
1526458755431,-42,-24,-43,-38,-33,-49,-46,-49,-59,-39,-58,-55,-71,-59,-57,-65,-200,-60,-54,-64,-63,-49,-49,-67,-65,-64,-68,-72,-75,-71,-76,-62,-66,-78,-69,-63,-200,-69,-67,-62,-79,-74,-72,-78,-71,-70,-200,-200,-73,-200,-200,-77,-72,-88,-78,-200,-79,-200,-200,-200,-86,-200,-200,-69,-79,-200,-84,-200,-76,-200,-80,-91,-76,-77,-200,-88,-200,-200,-200,-200,-200,-87,-79,-85,-88,-79,-83,-81,-200,-200,-200,-200
1526458758490,-42,-25,-44,-38,-35,-49,-43,-44,-59,-43,-57,-56,-71,-59,-57,-65,-200,-60,-53,-64,-61,-49,-51,-67,-63,-63,-68,-71,-75,-71,-76,-62,-68,-78,-200,-64,-200,-69,-67,-61,-79,-74,-72,-78,-85,-70,-200,-69,-200,-200,-200,-77,-72,-200,-77,-200,-79,-200,-200,-200,-85,-200,-200,-69,-80,-85,-87,-200,-75,-200,-80,-91,-76,-77,-88,-88,-200,-200,-200,-78,-200,-200,-200,-85,-200,-79,-83,-81,-80,-200,-200,-200
1526458761561,-43,-25,-44,-39,-39,-50,-48,-49,-56,-43,-57,-56,-71,-59,-58,-65,-200,-62,-53,-64,-61,-52,-53,-67,-63,-64,-68,-71,-79,-71,-71,-61,-64,-79,-200,-64,-200,-68,-67,-61,-79,-74,-72,-78,-84,-70,-200,-69,-200,-200,-200,-76,-72,-200,-76,-200,-79,-200,-200,-200,-85,-200,-200,-69,-79,-85,-87,-200,-75,-200,-80,-91,-76,-77,-88,-200,-200,-200,-200,-78,-200,-200,-200,-85,-200,-200,-200,-81,-80,-200,-200,-200
1526458764604,-43,-26,-47,-37,-35,-50,-46,-47,-56,-44,-57,-57,-200,-61,-56,-65,-70,-62,-53,-200,-62,-50,-53,-64,-63,-64,-68,-71,-75,-73,-73,-64,-64,-77,-200,-64,-200,-68,-67,-64,-79,-200,-74,-79,-84,-200,-200,-71,-76,-200,-200,-74,-74,-200,-76,-200,-79,-200,-200,-200,-85,-89,-200,-71,-80,-85,-85,-200,-77,-200,-84,-200,-200,-77,-88,-200,-200,-200,-200,-78,-200,-200,-200,-85,-200,-200,-200,-84,-80,-80,-88,-89
1526458767652,-43,-25,-45,-39,-35,-48,-46,-51,-56,-42,-57,-55,-200,-63,-59,-65,-66,-64,-53,-60,-66,-50,-58,-65,-52,-64,-68,-71,-78,-73,-73,-63,-63,-77,-200,-64,-200,-68,-65,-64,-200,-200,-74,-83,-84,-200,-200,-71,-76,-200,-200,-72,-72,-200,-76,-200,-82,-90,-200,-200,-85,-89,-85,-71,-78,-85,-86,-200,-77,-200,-84,-200,-200,-200,-88,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-84,-80,-80,-88,-89
