,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526455332665,-200,-67,-200,-200,-200,-200,-200,-80,-200,-200,-75,-89,-200,-200,-200,-72,-200,-200,-200
1526455333707,-200,-200,-200,-88,-200,-79,-200,-200,-200,-200,-73,-90,-80,-85,-200,-200,-200,-200,-200
1526455334859,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-84,-200,-77,-87,-200,-69,-200,-200,-200
1526455335920,-200,-70,-79,-200,-200,-200,-200,-200,-200,-73,-81,-200,-200,-200,-78,-70,-200,-200,-200
1526455336969,-73,-74,-200,-200,-200,-200,-66,-85,-200,-200,-75,-200,-76,-200,-79,-71,-200,-200,-200
1526455337064,-69,-200,-82,-200,-200,-77,-200,-79,-200,-78,-93,-83,-79,-200,-200,-200,-200,-200,-200
1526455338187,-69,-200,-82,-200,-200,-200,-66,-200,-81,-74,-200,-200,-79,-200,-200,-70,-200,-200,-200
1526455339258,-200,-200,-74,-200,-80,-200,-65,-200,-200,-200,-75,-200,-200,-84,-80,-200,-93,-200,-200
1526455340355,-200,-200,-77,-90,-84,-200,-70,-79,-86,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455341527,-68,-200,-76,-200,-82,-200,-200,-200,-200,-73,-200,-90,-83,-200,-200,-200,-200,-200,-200
1526455342596,-71,-200,-200,-88,-200,-200,-66,-200,-81,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526455343647,-200,-69,-77,-200,-200,-78,-70,-80,-88,-75,-200,-86,-82,-82,-84,-200,-200,-200,-200
1526455344810,-200,-200,-200,-200,-200,-77,-66,-200,-200,-74,-200,-200,-200,-200,-78,-200,-200,-200,-200
1526455345850,-72,-200,-79,-86,-80,-200,-200,-200,-200,-71,-200,-86,-200,-200,-79,-200,-92,-200,-200
1526455346964,-78,-65,-200,-200,-87,-200,-70,-200,-200,-76,-200,-85,-82,-200,-200,-200,-200,-90,-200
1526455347051,-73,-67,-200,-200,-85,-79,-67,-200,-79,-200,-200,-94,-200,-200,-200,-70,-200,-200,-200
1526455348183,-200,-200,-77,-200,-87,-200,-200,-200,-200,-200,-91,-88,-78,-200,-200,-200,-200,-200,-200
1526455349277,-200,-62,-200,-88,-200,-200,-200,-78,-200,-200,-200,-87,-82,-200,-200,-200,-200,-200,-200
1526455350384,-200,-64,-200,-200,-86,-200,-200,-200,-81,-73,-75,-86,-80,-80,-83,-200,-200,-200,-200
1526455351525,-67,-68,-200,-200,-83,-200,-200,-200,-200,-73,-80,-87,-200,-200,-200,-200,-200,-200,-200
1526455353667,-200,-64,-81,-200,-200,-200,-66,-200,-80,-80,-74,-200,-200,-80,-78,-68,-200,-200,-200
1526455354787,-81,-200,-200,-200,-200,-74,-200,-80,-200,-200,-78,-200,-80,-200,-200,-71,-200,-200,-200
1526455355892,-200,-69,-87,-200,-200,-77,-200,-90,-200,-73,-200,-200,-200,-200,-200,-70,-200,-200,-200
1526455356968,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200
1526455357065,-72,-200,-78,-91,-85,-81,-200,-200,-200,-200,-84,-200,-79,-200,-84,-73,-200,-200,-200
1526455358170,-200,-70,-87,-200,-200,-200,-64,-200,-200,-200,-79,-200,-75,-89,-200,-72,-92,-200,-200
1526455359275,-73,-200,-80,-200,-88,-200,-65,-79,-82,-76,-200,-200,-200,-87,-83,-73,-200,-200,-200
1526455360470,-200,-69,-91,-85,-200,-81,-70,-200,-86,-200,-200,-85,-74,-90,-200,-71,-200,-93,-200
1526455362614,-74,-200,-83,-200,-200,-200,-200,-200,-81,-200,-77,-86,-200,-200,-200,-72,-200,-200,-200
1526455363652,-79,-66,-82,-200,-200,-83,-200,-79,-200,-74,-200,-200,-80,-200,-84,-73,-200,-93,-200
1526455364776,-70,-200,-79,-200,-200,-81,-200,-87,-85,-200,-200,-200,-200,-86,-200,-72,-200,-200,-200
1526455365894,-200,-67,-200,-200,-82,-200,-200,-200,-200,-200,-200,-83,-200,-85,-76,-73,-200,-200,-200
1526455366961,-78,-65,-200,-200,-86,-88,-69,-78,-200,-200,-200,-200,-77,-81,-86,-73,-200,-88,-200
1526455368101,-200,-71,-200,-200,-200,-200,-66,-200,-200,-75,-200,-200,-200,-200,-79,-72,-200,-200,-200
1526455369159,-200,-200,-78,-200,-200,-200,-67,-86,-200,-200,-72,-85,-200,-200,-200,-200,-200,-200,-200
1526455370271,-78,-65,-200,-89,-92,-82,-66,-79,-93,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526455371375,-200,-200,-200,-81,-200,-200,-66,-92,-82,-72,-73,-200,-75,-200,-200,-71,-200,-200,-200
1526455373578,-200,-70,-200,-81,-87,-76,-66,-86,-87,-200,-81,-200,-200,-200,-80,-70,-200,-200,-200
1526455374651,-200,-70,-200,-92,-200,-200,-70,-200,-200,-78,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526455375800,-200,-66,-76,-87,-200,-78,-200,-78,-200,-74,-200,-200,-81,-200,-86,-200,-200,-200,-200
1526455376852,-73,-200,-73,-200,-86,-77,-66,-200,-77,-200,-76,-90,-75,-200,-80,-200,-200,-200,-200
1526455378029,-79,-69,-80,-200,-200,-200,-200,-77,-90,-80,-200,-200,-200,-200,-82,-71,-200,-96,-200
1526455378130,-72,-200,-200,-84,-200,-80,-200,-200,-200,-77,-200,-95,-200,-200,-86,-200,-200,-94,-200
1526455380261,-200,-200,-200,-200,-83,-200,-200,-200,-82,-76,-73,-200,-200,-78,-79,-200,-200,-95,-200
1526455381393,-78,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526455382458,-67,-200,-200,-200,-200,-77,-66,-200,-200,-72,-78,-90,-200,-200,-82,-71,-200,-200,-200
1526455383563,-78,-67,-200,-200,-88,-79,-200,-200,-90,-75,-72,-85,-79,-200,-82,-70,-200,-200,-200
1526455384771,-69,-200,-200,-84,-83,-200,-66,-200,-82,-200,-200,-200,-77,-200,-86,-70,-200,-200,-200
1526455386863,-73,-200,-73,-200,-81,-200,-68,-200,-200,-200,-72,-84,-200,-200,-78,-200,-200,-200,-92
1526455387957,-79,-200,-80,-200,-89,-80,-70,-78,-200,-78,-84,-93,-81,-200,-200,-200,-200,-200,-200
1526455388074,-200,-200,-76,-200,-200,-76,-66,-200,-200,-200,-76,-89,-200,-80,-200,-200,-200,-200,-200
