,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018
1526450318842,-32,-36,-50,-31,-44,-49,-45,-44,-37,-47,-49,-51,-51,-59,-54,-47,-47,-41,-48,-53,-51,-50,-200,-63,-51,-200,-200,-53,-70,-57,-62,-74,-53,-65,-65,-67,-66,-55,-52,-67,-52,-59,-200,-70,-69,-73,-200,-61,-73,-69,-75,-86,-84,-88,-200,-200,-82,-84,-87,-70,-72,-79,-200,-200,-200,-200,-200,-200,-200
1526450321856,-35,-34,-48,-29,-45,-54,-45,-40,-42,-46,-49,-49,-48,-59,-54,-47,-51,-44,-48,-51,-51,-55,-200,-65,-51,-200,-200,-56,-70,-57,-62,-72,-53,-65,-61,-200,-64,-54,-52,-63,-49,-60,-200,-72,-69,-73,-200,-65,-71,-67,-75,-82,-81,-88,-200,-200,-82,-200,-200,-64,-73,-79,-78,-200,-200,-200,-200,-200,-200
1526450324881,-35,-36,-55,-34,-42,-51,-42,-39,-42,-46,-45,-53,-52,-60,-51,-51,-49,-44,-48,-48,-49,-55,-200,-65,-49,-200,-200,-54,-70,-57,-67,-75,-53,-61,-61,-73,-69,-59,-49,-63,-49,-62,-200,-71,-69,-73,-200,-65,-78,-72,-75,-82,-79,-90,-200,-200,-82,-200,-200,-64,-73,-79,-74,-200,-200,-200,-200,-200,-200
1526450327912,-35,-33,-47,-34,-54,-50,-42,-43,-42,-46,-41,-53,-52,-60,-49,-51,-45,-44,-48,-45,-45,-55,-200,-65,-49,-200,-200,-53,-70,-56,-60,-74,-56,-61,-66,-73,-69,-59,-54,-60,-49,-62,-200,-70,-69,-73,-200,-67,-74,-76,-76,-86,-77,-90,-200,-200,-82,-200,-200,-64,-73,-79,-74,-200,-200,-200,-200,-200,-200
1526450330942,-35,-31,-52,-34,-43,-48,-46,-43,-42,-46,-41,-57,-48,-60,-49,-49,-45,-49,-48,-48,-45,-55,-200,-66,-49,-200,-200,-52,-70,-56,-59,-76,-55,-65,-63,-73,-65,-55,-54,-60,-49,-57,-200,-66,-69,-73,-200,-66,-74,-73,-76,-86,-79,-89,-200,-200,-82,-200,-200,-64,-73,-200,-74,-78,-89,-200,-200,-200,-200
1526450333961,-33,-30,-52,-39,-43,-53,-43,-40,-42,-52,-41,-59,-44,-60,-52,-49,-49,-47,-53,-44,-46,-50,-61,-66,-49,-200,-200,-52,-70,-56,-60,-81,-57,-65,-60,-66,-67,-57,-56,-60,-49,-61,-200,-67,-71,-74,-200,-64,-73,-69,-79,-85,-77,-89,-200,-200,-200,-200,-200,-64,-73,-200,-74,-78,-89,-76,-90,-200,-200
1526450337007,-33,-27,-48,-31,-43,-44,-41,-42,-40,-48,-40,-57,-52,-60,-51,-46,-53,-48,-53,-44,-46,-50,-61,-66,-49,-200,-66,-52,-70,-57,-61,-77,-57,-65,-67,-65,-67,-57,-50,-60,-62,-61,-200,-73,-71,-74,-200,-65,-76,-71,-78,-90,-81,-89,-200,-200,-200,-200,-200,-64,-73,-80,-74,-78,-89,-76,-90,-200,-200
1526450340043,-34,-35,-52,-30,-44,-50,-41,-41,-40,-53,-52,-57,-52,-61,-49,-45,-50,-44,-53,-50,-46,-50,-61,-65,-49,-200,-66,-54,-200,-54,-65,-79,-63,-65,-59,-65,-67,-58,-54,-74,-59,-64,-200,-74,-67,-79,-79,-68,-74,-73,-78,-85,-85,-89,-200,-200,-200,-200,-200,-63,-73,-79,-74,-78,-89,-78,-90,-80,-200
1526450343058,-33,-35,-52,-38,-46,-50,-59,-40,-40,-45,-52,-57,-49,-57,-47,-45,-56,-43,-53,-50,-48,-50,-63,-62,-49,-200,-66,-51,-200,-54,-68,-83,-55,-65,-59,-67,-67,-57,-54,-74,-59,-64,-200,-70,-67,-79,-79,-66,-73,-68,-76,-85,-76,-89,-200,-200,-200,-200,-200,-63,-200,-79,-74,-78,-89,-78,-90,-80,-200
1526450346074,-33,-32,-52,-33,-44,-49,-47,-42,-37,-44,-44,-52,-50,-57,-46,-45,-56,-47,-53,-45,-50,-50,-63,-62,-49,-200,-66,-51,-200,-57,-63,-79,-53,-65,-59,-67,-67,-57,-54,-74,-59,-63,-200,-71,-64,-79,-79,-64,-73,-71,-84,-82,-80,-89,-200,-200,-200,-200,-200,-63,-200,-79,-200,-78,-89,-78,-90,-80,-200
1526450349103,-35,-40,-54,-33,-44,-49,-43,-45,-37,-56,-43,-50,-48,-55,-47,-45,-53,-46,-53,-49,-50,-50,-63,-66,-54,-200,-66,-51,-200,-57,-66,-77,-53,-65,-64,-67,-68,-56,-54,-74,-50,-60,-200,-73,-64,-79,-79,-64,-77,-77,-84,-86,-80,-89,-200,-200,-200,-200,-200,-63,-200,-79,-200,-78,-89,-78,-90,-80,-66
1526450352133,-35,-38,-47,-33,-55,-49,-48,-45,-38,-56,-40,-50,-48,-55,-47,-45,-53,-45,-53,-48,-50,-50,-63,-66,-52,-200,-64,-51,-200,-57,-61,-77,-53,-200,-60,-67,-71,-57,-54,-72,-56,-62,-200,-72,-63,-79,-79,-66,-76,-73,-81,-82,-76,-200,-200,-200,-200,-200,-200,-63,-200,-79,-200,-200,-200,-78,-90,-80,-66
