,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526450911569,-35,-200,-34,-44,-36,-37,-42,-200,-52,-50,-200,-50,-45,-62,-50,-200,-55,-56,-51,-200,-47,-200,-50,-57,-57,-69,-75,-57,-59,-72,-200,-69,-73,-200,-74,-66,-73,-73,-71,-200,-75,-200,-64,-72,-78,-74,-81,-200,-77,-80,-78,-80,-88,-88,-52,-50,-67,-83,-200,-83,-87,-200,-200,-81,-73,-86,-77,-77,-74,-80,-76,-83,-200,-200,-200,-200,-200,-200
1526450914595,-35,-200,-33,-44,-39,-37,-42,-200,-52,-52,-200,-49,-46,-52,-50,-200,-55,-57,-51,-200,-47,-200,-50,-53,-56,-71,-75,-53,-59,-72,-200,-71,-69,-200,-74,-66,-73,-73,-71,-200,-75,-200,-64,-71,-200,-76,-87,-200,-77,-80,-82,-80,-88,-88,-52,-50,-67,-200,-200,-200,-87,-200,-200,-200,-73,-86,-77,-77,-74,-80,-76,-83,-73,-200,-200,-200,-200,-200
1526450917614,-35,-200,-49,-44,-38,-37,-45,-200,-53,-55,-200,-49,-55,-52,-46,-200,-53,-53,-54,-200,-45,-200,-52,-53,-56,-66,-59,-56,-59,-66,-200,-72,-71,-200,-74,-66,-73,-73,-64,-200,-200,-200,-64,-69,-200,-71,-83,-200,-76,-76,-78,-79,-90,-88,-52,-50,-67,-200,-200,-200,-87,-200,-200,-200,-200,-200,-77,-77,-74,-80,-76,-83,-73,-76,-200,-200,-200,-200
1526450920642,-35,-200,-36,-44,-35,-36,-48,-200,-49,-54,-200,-50,-55,-52,-49,-200,-56,-56,-55,-200,-47,-200,-56,-57,-58,-64,-59,-60,-59,-66,-84,-73,-66,-200,-74,-59,-73,-77,-60,-200,-200,-200,-68,-68,-200,-69,-81,-200,-78,-81,-77,-78,-90,-88,-52,-54,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-77,-74,-80,-76,-83,-73,-76,-200,-200,-200,-200
1526450923674,-35,-200,-35,-44,-38,-35,-46,-200,-50,-52,-200,-50,-52,-56,-50,-200,-57,-56,-60,-200,-46,-200,-50,-57,-57,-61,-59,-66,-67,-67,-84,-69,-70,-200,-71,-59,-73,-77,-62,-200,-200,-200,-65,-70,-200,-70,-84,-200,-77,-77,-78,-81,-90,-88,-53,-60,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-76,-83,-73,-76,-76,-200,-200,-200
1526450926702,-35,-200,-35,-45,-39,-35,-45,-200,-50,-52,-200,-50,-50,-59,-52,-200,-59,-56,-57,-200,-44,-200,-50,-58,-57,-60,-59,-62,-62,-67,-84,-69,-67,-200,-69,-67,-73,-77,-64,-200,-200,-200,-65,-70,-200,-72,-80,-200,-77,-78,-79,-81,-90,-88,-53,-60,-59,-200,-200,-79,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-73,-76,-76,-76,-200,-200
1526450929724,-35,-200,-34,-45,-37,-35,-45,-200,-47,-52,-200,-51,-47,-59,-52,-200,-63,-56,-57,-200,-43,-200,-54,-58,-59,-64,-64,-58,-66,-67,-84,-74,-62,-200,-69,-67,-200,-77,-62,-200,-200,-200,-65,-76,-200,-70,-80,-200,-73,-84,-81,-81,-90,-88,-53,-60,-59,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-76,-76,-76,-200,-200
1526450932742,-36,-200,-38,-48,-38,-42,-53,-200,-51,-52,-200,-51,-48,-59,-50,-200,-63,-59,-58,-200,-47,-200,-57,-58,-55,-60,-64,-53,-66,-67,-84,-72,-66,-200,-69,-67,-200,-77,-62,-200,-200,-200,-65,-75,-200,-72,-82,-200,-72,-78,-81,-81,-90,-88,-50,-59,-59,-200,-200,-79,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-72,-76,-76,-76,-200,-200
1526450935754,-40,-200,-36,-44,-38,-38,-49,-200,-54,-52,-200,-49,-52,-57,-50,-200,-63,-59,-61,-200,-49,-200,-54,-53,-55,-65,-58,-53,-60,-65,-75,-71,-66,-200,-69,-67,-200,-77,-64,-200,-72,-200,-67,-74,-200,-67,-79,-80,-76,-78,-81,-82,-90,-88,-52,-63,-61,-200,-200,-79,-84,-200,-200,-200,-200,-200,-200,-200,-67,-200,-78,-200,-72,-76,-76,-76,-90,-200
1526450938778,-42,-200,-34,-44,-36,-36,-49,-200,-54,-52,-200,-46,-56,-54,-56,-200,-56,-59,-56,-200,-46,-200,-49,-54,-53,-64,-59,-51,-60,-65,-75,-70,-62,-200,-69,-67,-200,-77,-63,-200,-72,-200,-67,-74,-200,-63,-79,-80,-76,-77,-80,-83,-90,-88,-52,-63,-61,-200,-200,-79,-84,-200,-200,-200,-200,-200,-200,-200,-67,-200,-74,-200,-72,-200,-72,-76,-90,-87
