,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DQKJ,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526450465280,-23,-49,-37,-64,-36,-50,-43,-44,-41,-44,-41,-52,-54,-57,-53,-39,-53,-60,-61,-52,-54,-60,-45,-48,-57,-62,-62,-53,-56,-61,-55,-62,-64,-200,-62,-71,-78,-200,-200,-76,-200,-200,-69,-77,-200,-74,-79,-76,-65,-200,-77,-76,-83,-79,-88,-86,-52,-65,-200,-75,-82,-78,-78,-79,-200,-200,-200
1526450468296,-23,-51,-37,-55,-36,-50,-43,-44,-41,-44,-45,-52,-54,-57,-53,-40,-53,-51,-50,-52,-54,-60,-45,-48,-57,-62,-62,-53,-59,-61,-55,-62,-66,-200,-62,-71,-78,-200,-200,-76,-200,-200,-70,-77,-200,-74,-79,-78,-65,-200,-77,-79,-83,-85,-88,-86,-52,-65,-200,-200,-200,-78,-78,-79,-71,-200,-200
1526450471310,-24,-43,-38,-54,-36,-50,-44,-44,-48,-44,-45,-52,-54,-57,-53,-38,-53,-48,-54,-51,-54,-60,-47,-48,-57,-62,-64,-53,-57,-61,-53,-63,-68,-200,-62,-71,-65,-200,-200,-76,-200,-200,-70,-76,-200,-73,-78,-75,-64,-200,-79,-75,-83,-84,-88,-86,-52,-65,-200,-200,-200,-78,-78,-79,-71,-200,-200
1526450474337,-22,-41,-38,-52,-39,-50,-43,-44,-48,-44,-45,-51,-54,-57,-53,-40,-50,-48,-53,-47,-54,-60,-47,-48,-57,-61,-64,-53,-56,-64,-54,-63,-64,-200,-63,-71,-61,-200,-75,-76,-200,-200,-70,-76,-200,-75,-76,-75,-68,-200,-77,-72,-83,-85,-88,-85,-52,-65,-200,-200,-200,-78,-78,-79,-70,-200,-200
1526450477366,-23,-43,-35,-57,-37,-50,-43,-43,-42,-44,-45,-51,-52,-57,-53,-40,-50,-49,-48,-49,-54,-60,-46,-49,-57,-61,-64,-53,-62,-64,-54,-63,-66,-71,-63,-66,-61,-72,-75,-76,-200,-200,-70,-76,-200,-77,-79,-76,-66,-200,-81,-80,-83,-82,-87,-86,-52,-65,-200,-200,-200,-78,-200,-200,-70,-200,-200
1526450480396,-22,-43,-35,-54,-37,-49,-43,-43,-42,-43,-43,-50,-52,-51,-56,-41,-50,-47,-53,-56,-54,-60,-44,-46,-57,-61,-64,-53,-57,-66,-56,-63,-66,-71,-63,-66,-61,-72,-75,-76,-200,-200,-69,-76,-200,-77,-81,-76,-65,-200,-76,-76,-82,-82,-86,-86,-52,-65,-200,-200,-200,-78,-200,-200,-70,-200,-200
1526450483414,-22,-42,-35,-58,-37,-48,-44,-42,-42,-43,-47,-50,-49,-50,-53,-40,-53,-48,-54,-53,-200,-60,-47,-46,-55,-60,-67,-53,-58,-68,-52,-63,-66,-71,-63,-66,-59,-70,-75,-200,-200,-200,-69,-76,-200,-73,-77,-75,-65,-200,-77,-74,-82,-82,-87,-86,-200,-65,-200,-200,-200,-200,-200,-200,-70,-76,-81
1526450486438,-23,-41,-37,-55,-37,-48,-44,-43,-42,-43,-46,-50,-49,-50,-56,-40,-53,-48,-53,-53,-200,-60,-47,-49,-57,-60,-65,-53,-59,-65,-55,-65,-66,-71,-62,-66,-59,-68,-75,-200,-200,-200,-69,-76,-200,-77,-77,-76,-69,-200,-77,-75,-82,-80,-87,-87,-200,-200,-200,-200,-200,-200,-200,-200,-70,-76,-81
1526450489454,-23,-41,-37,-55,-37,-48,-44,-43,-42,-43,-47,-51,-49,-50,-56,-40,-53,-48,-54,-53,-200,-60,-47,-51,-57,-59,-65,-53,-60,-66,-55,-65,-66,-71,-61,-66,-59,-68,-75,-200,-200,-200,-69,-76,-200,-75,-79,-76,-68,-200,-79,-76,-82,-79,-87,-87,-200,-67,-200,-200,-200,-200,-200,-200,-70,-76,-81
1526450492469,-23,-54,-37,-55,-37,-47,-44,-44,-45,-46,-47,-52,-56,-55,-56,-40,-53,-50,-54,-53,-59,-60,-47,-53,-56,-58,-65,-55,-60,-70,-55,-62,-66,-71,-61,-66,-60,-68,-74,-200,-200,-200,-72,-200,-200,-75,-79,-75,-68,-200,-82,-80,-82,-78,-87,-86,-200,-67,-200,-200,-200,-200,-200,-200,-70,-76,-81
1526450495497,-25,-39,-41,-53,-37,-42,-37,-41,-45,-44,-42,-51,-56,-55,-49,-40,-49,-46,-54,-53,-59,-51,-44,-54,-63,-58,-65,-55,-58,-70,-55,-56,-62,-71,-61,-66,-60,-68,-70,-200,-200,-200,-77,-200,-200,-69,-75,-79,-68,-200,-82,-77,-82,-77,-87,-86,-48,-67,-200,-200,-200,-200,-200,-200,-200,-76,-81
1526450498518,-48,-39,-45,-47,-36,-47,-37,-41,-42,-45,-42,-46,-56,-50,-52,-40,-49,-46,-61,-56,-55,-51,-44,-51,-58,-58,-65,-55,-58,-70,-55,-59,-63,-200,-62,-200,-59,-68,-70,-200,-200,-200,-75,-200,-200,-70,-75,-76,-66,-200,-79,-77,-82,-79,-87,-86,-48,-67,-200,-200,-200,-200,-200,-200,-200,-76,-81
