,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D00EC0,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,WHU-2018,WHU-2018,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D00EB8,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526456180236,-33,-34,-44,-45,-53,-52,-47,-50,-54,-51,-49,-43,-51,-57,-57,-63,-61,-66,-66,-59,-71,-64,-81,-68,-70,-70,-72,-200,-66,-73,-76,-72,-76,-72,-74,-71,-78,-75,-70,-200,-75,-200,-80,-200,-82,-83,-80,-85,-90,-90,-84,-84,-90,-90,-200,-59,-85,-77,-85,-78,-79,-79,-200,-88,-91,-200,-90,-90,-200,-73,-82,-80,-200,-94,-93,-98,-98,-200,-86,-200,-95,-200,-200,-76,-200,-200,-200,-96,-84,-200,-82,-84,-87,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456183289,-25,-36,-47,-48,-49,-49,-46,-48,-54,-51,-50,-43,-49,-58,-61,-64,-61,-73,-66,-66,-69,-67,-77,-62,-70,-70,-66,-68,-65,-78,-75,-72,-73,-75,-75,-77,-78,-76,-73,-200,-71,-200,-82,-67,-79,-79,-81,-88,-90,-90,-84,-84,-97,-91,-93,-59,-80,-75,-200,-78,-79,-80,-200,-88,-200,-200,-90,-90,-200,-68,-82,-70,-200,-92,-91,-98,-98,-200,-85,-92,-95,-200,-200,-76,-85,-200,-200,-96,-84,-200,-82,-84,-87,-93,-71,-94,-96,-200,-200,-200,-200,-200,-200,-200
1526456186341,-39,-36,-44,-54,-49,-50,-46,-51,-53,-53,-49,-41,-49,-59,-61,-60,-73,-73,-64,-68,-72,-63,-74,-67,-75,-69,-67,-69,-67,-78,-72,-71,-68,-75,-79,-75,-78,-73,-74,-78,-75,-200,-82,-67,-77,-86,-81,-87,-90,-90,-86,-84,-97,-91,-93,-54,-85,-75,-200,-72,-79,-80,-200,-93,-200,-200,-93,-200,-200,-73,-82,-88,-200,-92,-91,-96,-97,-200,-85,-92,-95,-200,-200,-76,-86,-200,-200,-93,-200,-200,-200,-200,-200,-93,-71,-94,-96,-93,-200,-200,-200,-200,-200,-200
1526456189395,-38,-37,-45,-49,-44,-50,-46,-52,-55,-52,-50,-43,-58,-60,-62,-58,-70,-69,-61,-67,-58,-63,-72,-61,-75,-68,-64,-69,-70,-72,-68,-68,-70,-76,-77,-74,-78,-74,-74,-78,-79,-200,-86,-82,-80,-81,-83,-85,-87,-88,-86,-85,-97,-91,-93,-53,-85,-75,-200,-71,-81,-80,-200,-93,-200,-96,-93,-92,-200,-74,-81,-96,-200,-96,-91,-96,-97,-200,-80,-92,-200,-89,-200,-76,-83,-200,-200,-93,-87,-200,-200,-200,-200,-200,-82,-94,-93,-93,-200,-200,-200,-200,-200,-200
1526456192442,-39,-36,-44,-45,-51,-51,-47,-52,-55,-47,-54,-47,-50,-58,-58,-58,-70,-71,-66,-67,-73,-63,-68,-69,-68,-68,-75,-64,-67,-77,-73,-73,-73,-70,-77,-77,-71,-72,-75,-78,-77,-200,-86,-82,-82,-75,-79,-90,-93,-88,-86,-86,-200,-92,-200,-53,-80,-200,-85,-73,-79,-77,-200,-89,-200,-96,-93,-89,-200,-74,-80,-96,-200,-90,-200,-96,-97,-200,-80,-90,-200,-94,-200,-75,-83,-200,-200,-93,-87,-200,-200,-200,-200,-200,-82,-200,-93,-93,-200,-200,-200,-200,-200,-200
1526456195498,-27,-38,-44,-48,-51,-52,-47,-44,-57,-50,-51,-44,-52,-59,-60,-62,-70,-67,-63,-64,-73,-66,-68,-62,-73,-63,-72,-64,-65,-77,-70,-67,-80,-68,-77,-77,-78,-78,-72,-200,-76,-200,-86,-82,-75,-74,-79,-90,-90,-88,-200,-85,-200,-88,-200,-58,-82,-76,-86,-77,-79,-81,-200,-87,-200,-96,-200,-89,-200,-79,-81,-86,-200,-90,-200,-200,-97,-73,-80,-90,-200,-94,-200,-75,-83,-200,-200,-200,-87,-200,-200,-200,-200,-200,-82,-93,-93,-200,-200,-200,-200,-200,-200,-200
1526456198549,-26,-38,-45,-49,-52,-51,-47,-48,-58,-48,-51,-44,-55,-59,-64,-61,-70,-65,-64,-64,-65,-65,-73,-65,-70,-68,-70,-64,-65,-70,-70,-68,-80,-68,-74,-81,-78,-78,-72,-200,-73,-200,-200,-200,-77,-73,-78,-89,-90,-87,-200,-85,-91,-88,-200,-57,-81,-77,-82,-77,-82,-81,-200,-87,-200,-200,-200,-89,-200,-76,-80,-84,-200,-93,-94,-200,-200,-76,-89,-90,-200,-94,-200,-75,-200,-95,-200,-96,-200,-200,-200,-87,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526456201604,-26,-40,-45,-49,-51,-55,-46,-46,-58,-47,-50,-41,-54,-59,-64,-63,-67,-66,-64,-62,-66,-65,-75,-65,-72,-69,-70,-200,-66,-69,-71,-68,-74,-54,-73,-79,-78,-77,-73,-200,-74,-200,-200,-81,-77,-73,-79,-90,-90,-89,-200,-85,-91,-89,-200,-56,-82,-77,-82,-77,-74,-81,-200,-87,-200,-93,-200,-92,-200,-76,-81,-86,-200,-93,-94,-96,-95,-76,-89,-200,-200,-200,-200,-73,-83,-96,-200,-96,-87,-200,-200,-87,-200,-93,-200,-96,-200,-200,-94,-200,-200,-200,-200,-200
1526456204659,-37,-38,-44,-45,-50,-51,-49,-52,-56,-45,-51,-40,-57,-59,-57,-60,-67,-64,-65,-64,-67,-68,-74,-67,-71,-70,-72,-200,-66,-71,-64,-68,-71,-73,-74,-82,-78,-77,-74,-200,-75,-200,-82,-80,-76,-75,-80,-89,-91,-88,-200,-90,-91,-90,-200,-56,-85,-77,-87,-75,-74,-200,-200,-86,-200,-93,-200,-92,-200,-79,-80,-87,-200,-91,-94,-96,-96,-76,-89,-200,-200,-200,-200,-75,-83,-96,-96,-96,-90,-200,-200,-87,-200,-93,-200,-96,-200,-200,-94,-85,-94,-95,-200,-200
1526456207712,-36,-37,-42,-49,-47,-51,-46,-52,-57,-51,-51,-43,-53,-59,-59,-61,-65,-69,-66,-64,-61,-64,-68,-63,-71,-67,-72,-200,-67,-68,-74,-69,-71,-73,-74,-73,-200,-79,-78,-200,-74,-200,-82,-80,-82,-83,-83,-89,-90,-88,-200,-90,-91,-89,-200,-51,-84,-78,-87,-75,-74,-86,-200,-86,-200,-93,-200,-200,-200,-83,-81,-87,-83,-95,-94,-200,-96,-200,-84,-200,-200,-200,-200,-74,-83,-96,-96,-95,-90,-200,-200,-200,-200,-200,-82,-96,-200,-200,-92,-85,-94,-95,-200,-200
1526456210762,-35,-37,-44,-47,-44,-52,-47,-48,-57,-46,-49,-41,-57,-57,-60,-58,-65,-65,-65,-65,-73,-69,-74,-61,-69,-69,-72,-69,-67,-68,-74,-71,-73,-73,-75,-76,-200,-76,-73,-200,-74,-80,-82,-80,-81,-83,-85,-88,-94,-88,-90,-84,-94,-92,-200,-59,-84,-77,-86,-75,-81,-86,-200,-86,-200,-93,-200,-89,-200,-83,-80,-87,-83,-95,-200,-200,-96,-72,-79,-200,-97,-200,-200,-73,-200,-200,-96,-95,-90,-200,-84,-200,-200,-200,-82,-96,-200,-200,-92,-85,-94,-95,-88,-200
1526456213818,-27,-36,-47,-48,-50,-51,-46,-48,-55,-47,-50,-41,-49,-57,-60,-62,-69,-69,-65,-65,-68,-65,-79,-61,-70,-71,-69,-66,-65,-75,-75,-71,-79,-71,-75,-81,-77,-77,-74,-200,-74,-79,-81,-79,-78,-86,-85,-85,-94,-200,-90,-81,-94,-88,-200,-58,-81,-77,-86,-76,-80,-86,-200,-89,-200,-200,-92,-89,-200,-75,-87,-83,-83,-90,-200,-200,-200,-77,-86,-80,-97,-94,-200,-73,-200,-200,-200,-95,-200,-97,-84,-85,-200,-200,-82,-96,-200,-200,-92,-87,-200,-200,-88,-95
