,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D02A68,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526463678000,-49,-34,-45,-67,-63,-37,-58,-56,-56,-45,-62,-42,-63,-53,-66,-72,-57,-59,-55,-200,-83,-65,-80,-68,-61,-79,-84,-78,-83,-86,-81,-90,-75,-66,-78,-81,-73,-85,-73,-88,-86,-75,-78,-62,-92,-78,-90,-80,-80,-200,-83,-83,-73,-79,-81,-200,-90,-200,-86,-93,-84,-200,-98,-77,-200,-95,-96,-89,-200,-90,-92,-81,-88,-94,-87,-95,-95,-200,-94,-92,-93,-87,-81,-89,-90,-95,-200,-200,-200,-96,-200,-95,-92,-200,-200,-200,-200,-89,-200,-200,-200,-200,-94,-77,-85,-200,-200,-87,-89,-80,-95,-95,-200,-200,-200,-200,-200,-200,-200
1526463681051,-51,-35,-41,-59,-67,-49,-62,-52,-59,-45,-62,-47,-61,-56,-68,-71,-58,-59,-50,-200,-81,-65,-75,-73,-63,-76,-83,-76,-83,-200,-81,-87,-73,-66,-75,-85,-78,-82,-73,-88,-86,-75,-78,-77,-200,-77,-200,-200,-79,-200,-200,-200,-74,-79,-77,-83,-87,-200,-83,-94,-84,-200,-94,-77,-94,-93,-200,-86,-200,-94,-88,-200,-89,-200,-87,-94,-95,-200,-200,-92,-200,-83,-83,-89,-90,-200,-200,-200,-200,-200,-200,-95,-92,-94,-200,-200,-200,-89,-200,-200,-200,-200,-94,-77,-85,-200,-200,-86,-89,-80,-95,-95,-200,-200,-200,-200,-200,-200,-200
1526463684103,-47,-37,-50,-59,-61,-48,-63,-58,-56,-47,-59,-57,-65,-53,-61,-65,-58,-59,-55,-200,-70,-70,-75,-67,-65,-78,-82,-76,-89,-84,-82,-88,-73,-68,-77,-85,-78,-81,-75,-88,-200,-76,-80,-77,-200,-84,-200,-77,-80,-200,-200,-84,-73,-82,-83,-83,-87,-200,-84,-93,-82,-89,-94,-86,-94,-95,-85,-86,-200,-94,-88,-200,-88,-90,-87,-93,-95,-79,-200,-92,-200,-83,-82,-92,-90,-200,-200,-200,-200,-96,-200,-95,-200,-94,-200,-200,-200,-89,-200,-200,-200,-200,-94,-71,-81,-200,-200,-86,-91,-80,-95,-95,-200,-200,-200,-200,-200,-200,-200
1526463687153,-42,-32,-48,-59,-64,-48,-63,-54,-55,-50,-59,-51,-67,-52,-68,-69,-57,-61,-53,-200,-75,-70,-76,-69,-64,-76,-83,-79,-89,-89,-82,-87,-75,-68,-76,-82,-67,-81,-73,-89,-200,-76,-81,-77,-200,-80,-200,-77,-81,-200,-200,-84,-73,-80,-79,-83,-87,-200,-85,-93,-84,-88,-94,-84,-94,-95,-95,-85,-200,-89,-89,-200,-88,-89,-88,-94,-200,-79,-91,-93,-200,-86,-83,-92,-92,-200,-200,-200,-200,-96,-97,-95,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-81,-200,-200,-86,-92,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200
1526463690208,-45,-35,-49,-59,-67,-46,-58,-57,-60,-46,-59,-49,-64,-52,-65,-70,-59,-56,-52,-200,-70,-65,-76,-67,-65,-78,-83,-79,-86,-89,-82,-87,-74,-67,-78,-84,-72,-85,-74,-86,-200,-79,-80,-60,-200,-82,-200,-77,-81,-200,-200,-84,-75,-89,-79,-83,-88,-200,-83,-93,-84,-88,-97,-85,-200,-94,-95,-85,-200,-91,-92,-84,-90,-89,-88,-94,-200,-79,-91,-93,-89,-88,-81,-89,-92,-200,-93,-200,-200,-95,-97,-96,-200,-200,-200,-200,-200,-87,-93,-200,-95,-92,-97,-71,-82,-200,-85,-200,-92,-200,-200,-95,-97,-86,-94,-200,-200,-200,-200
1526463693259,-46,-34,-50,-60,-62,-54,-58,-54,-60,-46,-60,-50,-66,-51,-70,-70,-61,-60,-52,-200,-70,-69,-79,-68,-63,-78,-82,-77,-85,-89,-77,-87,-74,-68,-75,-84,-66,-82,-72,-90,-200,-78,-80,-63,-200,-76,-200,-77,-81,-200,-200,-200,-75,-87,-80,-83,-85,-200,-83,-94,-87,-87,-97,-84,-200,-94,-93,-86,-200,-93,-92,-81,-89,-92,-88,-92,-200,-200,-91,-93,-89,-84,-83,-87,-92,-97,-93,-200,-200,-95,-97,-96,-200,-200,-200,-200,-200,-87,-93,-200,-95,-92,-96,-200,-81,-91,-85,-87,-92,-200,-92,-95,-97,-79,-94,-96,-200,-200,-200
1526463696314,-47,-32,-42,-65,-62,-49,-58,-55,-58,-48,-60,-45,-65,-53,-66,-71,-64,-59,-53,-200,-72,-64,-77,-69,-64,-77,-82,-79,-85,-86,-80,-90,-71,-67,-76,-85,-67,-80,-73,-87,-200,-75,-80,-63,-200,-77,-200,-200,-79,-78,-200,-85,-75,-80,-79,-83,-86,-200,-84,-93,-80,-87,-94,-86,-200,-93,-93,-86,-200,-93,-92,-81,-89,-91,-200,-94,-200,-200,-200,-200,-89,-84,-80,-88,-91,-96,-93,-200,-200,-95,-97,-96,-96,-200,-200,-200,-200,-89,-93,-200,-92,-92,-96,-200,-83,-91,-85,-87,-200,-79,-92,-95,-200,-86,-94,-96,-91,-200,-200
1526463699373,-42,-35,-44,-65,-69,-50,-55,-56,-57,-53,-63,-46,-64,-51,-62,-67,-59,-59,-52,-79,-70,-66,-77,-70,-63,-79,-83,-80,-86,-87,-80,-90,-72,-67,-80,-84,-70,-89,-74,-87,-200,-73,-80,-82,-200,-74,-200,-200,-82,-78,-200,-85,-72,-79,-78,-84,-88,-200,-84,-93,-80,-87,-94,-86,-200,-93,-93,-85,-200,-94,-89,-83,-87,-91,-200,-94,-200,-200,-200,-92,-200,-87,-80,-89,-90,-96,-93,-200,-200,-96,-200,-96,-96,-200,-200,-200,-97,-89,-200,-200,-92,-200,-96,-75,-81,-89,-200,-87,-93,-79,-95,-95,-97,-85,-94,-96,-91,-93,-200
1526463702430,-46,-35,-42,-58,-62,-51,-58,-55,-57,-56,-63,-44,-64,-53,-64,-74,-58,-60,-53,-79,-70,-65,-77,-68,-61,-75,-82,-79,-86,-87,-80,-90,-72,-67,-78,-80,-70,-83,-73,-84,-200,-64,-80,-82,-200,-82,-200,-80,-79,-78,-85,-85,-75,-80,-79,-84,-88,-200,-85,-93,-82,-87,-94,-86,-200,-89,-91,-87,-200,-95,-91,-83,-89,-93,-86,-92,-200,-200,-200,-94,-200,-87,-84,-91,-92,-96,-93,-200,-200,-93,-200,-96,-95,-200,-200,-200,-97,-89,-200,-200,-92,-200,-200,-76,-81,-90,-200,-200,-93,-79,-95,-95,-96,-85,-94,-200,-91,-93,-96
1526463705484,-42,-31,-49,-51,-65,-51,-61,-56,-58,-43,-59,-44,-57,-57,-68,-68,-58,-45,-54,-79,-67,-68,-77,-70,-66,-74,-82,-75,-84,-84,-79,-90,-78,-69,-81,-80,-70,-79,-71,-85,-82,-75,-81,-77,-200,-79,-200,-80,-80,-200,-85,-83,-78,-80,-83,-84,-86,-200,-85,-90,-82,-90,-96,-87,-200,-89,-91,-87,-200,-92,-86,-81,-86,-88,-89,-92,-200,-200,-200,-93,-87,-86,-83,-90,-92,-200,-93,-200,-200,-95,-200,-200,-93,-200,-200,-200,-97,-93,-200,-200,-200,-200,-95,-66,-82,-90,-200,-200,-93,-200,-95,-95,-96,-85,-93,-91,-200,-93,-96
1526463708542,-37,-37,-42,-59,-70,-52,-60,-55,-62,-50,-65,-46,-66,-54,-66,-70,-58,-58,-53,-76,-74,-68,-200,-70,-66,-74,-82,-80,-81,-84,-79,-91,-71,-67,-77,-81,-200,-85,-73,-84,-82,-81,-82,-77,-200,-72,-200,-80,-80,-200,-85,-83,-73,-83,-83,-87,-88,-93,-88,-91,-82,-89,-94,-87,-200,-88,-91,-87,-200,-87,-88,-81,-91,-89,-89,-92,-98,-200,-200,-92,-87,-82,-85,-90,-92,-200,-94,-200,-200,-95,-200,-200,-91,-96,-200,-200,-200,-93,-200,-200,-200,-200,-95,-66,-82,-88,-200,-200,-200,-200,-200,-93,-96,-200,-93,-91,-200,-90,-96
1526463711576,-37,-35,-45,-56,-67,-51,-63,-56,-56,-47,-66,-47,-59,-54,-65,-72,-57,-58,-53,-77,-69,-69,-78,-69,-66,-78,-82,-79,-82,-84,-80,-89,-73,-66,-77,-80,-75,-82,-73,-82,-82,-75,-82,-61,-200,-74,-200,-200,-81,-200,-200,-83,-73,-79,-85,-88,-86,-92,-86,-92,-85,-87,-94,-83,-200,-92,-200,-85,-200,-89,-90,-82,-86,-89,-91,-200,-97,-200,-200,-93,-87,-87,-86,-91,-200,-200,-94,-200,-200,-94,-200,-96,-91,-96,-200,-200,-200,-87,-200,-200,-200,-200,-95,-87,-82,-88,-200,-85,-93,-200,-95,-93,-96,-87,-93,-91,-200,-90,-200
