,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526463830815,-35,-44,-44,-49,-61,-46,-56,-65,-62,-62,-60,-54,-64,-69,-81,-50,-52,-73,-82,-73,-56,-63,-74,-67,-200,-73,-68,-65,-78,-64,-71,-85,-78,-200,-74,-84,-200,-84,-82,-60,-88,-85,-79,-200,-85,-84,-200,-200,-200,-82,-88,-81,-200,-86,-91,-80,-88,-80,-200,-88,-74,-85,-92,-200,-200,-81,-92,-200,-200,-91,-93,-200,-200,-88,-200,-200,-93,-97,-85,-200,-200,-200,-92,-200,-200,-92,-65,-77,-82,-200,-96,-86,-200,-88,-200,-92,-200,-93,-200,-200,-83,-200,-94,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526463833865,-32,-48,-43,-47,-68,-45,-54,-55,-62,-62,-61,-55,-64,-67,-81,-53,-55,-75,-66,-74,-67,-62,-74,-65,-200,-80,-71,-65,-78,-60,-72,-83,-79,-82,-76,-83,-68,-87,-80,-59,-87,-85,-79,-200,-91,-84,-200,-200,-200,-80,-88,-81,-200,-86,-91,-86,-90,-81,-200,-90,-75,-83,-92,-200,-200,-83,-92,-92,-200,-90,-93,-200,-200,-91,-200,-200,-93,-93,-86,-200,-200,-200,-93,-200,-200,-92,-73,-78,-200,-200,-200,-200,-89,-89,-200,-87,-200,-93,-92,-200,-83,-200,-200,-200,-200,-200,-200,-200,-94,-76,-86,-200,-200,-200,-200
1526463836911,-32,-52,-43,-46,-68,-45,-56,-65,-62,-61,-64,-55,-65,-68,-77,-55,-55,-74,-80,-71,-59,-59,-73,-73,-200,-79,-69,-200,-78,-62,-73,-83,-79,-82,-74,-83,-70,-87,-82,-58,-91,-84,-79,-87,-88,-200,-200,-200,-200,-80,-200,-85,-200,-85,-88,-86,-90,-81,-200,-88,-73,-83,-200,-200,-200,-83,-85,-92,-200,-90,-200,-200,-200,-93,-200,-200,-93,-93,-87,-200,-200,-94,-93,-200,-200,-93,-74,-79,-200,-200,-200,-82,-89,-88,-200,-87,-85,-93,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-76,-89,-200,-200,-200,-200
1526463839967,-33,-52,-43,-51,-68,-50,-56,-65,-62,-62,-67,-59,-66,-63,-78,-53,-54,-74,-68,-70,-59,-62,-72,-64,-200,-80,-72,-80,-78,-62,-72,-82,-79,-82,-76,-86,-72,-86,-82,-60,-87,-84,-77,-70,-90,-78,-200,-200,-200,-80,-200,-81,-200,-85,-89,-86,-88,-81,-200,-88,-77,-83,-200,-200,-200,-92,-85,-92,-200,-90,-200,-200,-200,-92,-200,-200,-200,-93,-86,-200,-200,-94,-93,-200,-200,-93,-74,-79,-84,-200,-200,-89,-89,-90,-200,-87,-88,-93,-88,-200,-85,-200,-200,-200,-200,-200,-200,-97,-200,-76,-89,-200,-200,-200,-200
1526463843016,-32,-47,-40,-46,-66,-48,-49,-65,-65,-59,-67,-58,-64,-63,-72,-55,-54,-74,-68,-69,-69,-62,-72,-63,-200,-80,-77,-64,-200,-64,-71,-81,-77,-200,-76,-86,-70,-86,-81,-60,-83,-81,-81,-70,-90,-78,-200,-200,-200,-82,-200,-82,-200,-86,-89,-200,-88,-83,-200,-88,-69,-200,-200,-200,-200,-92,-85,-200,-200,-200,-80,-200,-200,-89,-200,-200,-200,-200,-86,-200,-200,-94,-200,-200,-200,-93,-72,-78,-84,-200,-200,-89,-200,-90,-200,-200,-88,-200,-88,-200,-85,-200,-200,-200,-200,-200,-92,-97,-200,-200,-89,-83,-89,-200,-200
1526463846067,-35,-45,-38,-49,-67,-44,-53,-64,-63,-60,-67,-59,-60,-74,-75,-53,-51,-74,-77,-73,-65,-61,-72,-63,-200,-71,-71,-84,-200,-60,-71,-82,-77,-200,-75,-85,-66,-86,-84,-58,-83,-83,-81,-70,-92,-79,-200,-200,-200,-82,-200,-82,-200,-85,-94,-200,-88,-80,-200,-92,-74,-200,-93,-200,-200,-80,-200,-200,-200,-200,-80,-91,-200,-88,-200,-200,-200,-200,-87,-90,-200,-200,-200,-200,-200,-200,-74,-78,-82,-200,-200,-88,-200,-90,-200,-200,-88,-91,-200,-200,-85,-200,-200,-200,-200,-200,-91,-97,-200,-200,-200,-83,-89,-200,-200
1526463849114,-32,-48,-39,-52,-67,-47,-52,-62,-60,-62,-200,-55,-60,-62,-75,-55,-54,-74,-64,-72,-69,-61,-71,-74,-200,-73,-76,-79,-200,-63,-70,-80,-77,-81,-74,-83,-69,-86,-81,-60,-86,-83,-77,-61,-90,-79,-200,-200,-200,-82,-200,-82,-200,-85,-94,-200,-200,-82,-200,-92,-75,-200,-93,-200,-200,-83,-200,-200,-200,-200,-80,-91,-200,-94,-94,-200,-200,-93,-87,-89,-200,-200,-200,-200,-200,-200,-73,-77,-80,-200,-200,-89,-200,-90,-200,-94,-200,-91,-200,-200,-85,-200,-200,-200,-200,-200,-91,-97,-200,-200,-200,-83,-89,-200,-200
1526463852178,-31,-53,-43,-45,-65,-50,-46,-65,-66,-57,-67,-55,-67,-62,-70,-54,-55,-74,-73,-72,-69,-60,-76,-66,-200,-79,-58,-79,-71,-63,-72,-79,-79,-81,-73,-83,-70,-86,-81,-59,-88,-81,-75,-87,-86,-79,-200,-200,-200,-82,-200,-85,-200,-86,-94,-200,-200,-82,-200,-92,-77,-200,-93,-200,-200,-90,-200,-200,-93,-200,-200,-91,-200,-89,-94,-91,-200,-93,-87,-91,-200,-200,-200,-200,-200,-93,-71,-78,-80,-200,-200,-89,-200,-90,-200,-83,-200,-91,-200,-200,-84,-200,-93,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-90,-200
1526463855223,-32,-54,-42,-47,-68,-48,-50,-66,-63,-58,-67,-54,-64,-64,-71,-57,-53,-70,-68,-73,-67,-60,-70,-62,-200,-72,-74,-79,-67,-63,-71,-80,-79,-83,-76,-85,-67,-86,-81,-65,-82,-79,-77,-84,-91,-78,-200,-200,-200,-70,-200,-81,-200,-87,-200,-200,-88,-83,-82,-88,-71,-200,-200,-200,-200,-83,-200,-200,-93,-200,-200,-200,-200,-94,-94,-91,-200,-94,-87,-89,-200,-96,-200,-200,-200,-93,-71,-78,-80,-200,-200,-89,-200,-90,-200,-83,-200,-200,-92,-200,-84,-85,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200
1526463858286,-32,-58,-41,-46,-70,-48,-48,-62,-61,-57,-65,-55,-62,-66,-71,-56,-55,-73,-77,-67,-67,-56,-69,-61,-200,-77,-79,-79,-67,-63,-72,-83,-80,-83,-73,-85,-67,-86,-80,-62,-82,-77,-77,-84,-90,-83,-200,-200,-200,-86,-84,-83,-93,-87,-94,-200,-90,-83,-82,-88,-78,-200,-200,-200,-200,-83,-200,-91,-93,-200,-200,-200,-200,-94,-92,-91,-94,-93,-87,-89,-200,-96,-200,-200,-200,-93,-71,-77,-82,-200,-200,-200,-200,-90,-200,-83,-200,-91,-91,-200,-84,-85,-92,-200,-200,-200,-94,-98,-200,-200,-200,-77,-200,-90,-89
1526463861335,-34,-47,-43,-46,-70,-49,-52,-61,-61,-60,-61,-61,-65,-65,-80,-53,-52,-71,-77,-78,-69,-56,-72,-76,-200,-77,-79,-82,-67,-60,-72,-88,-81,-80,-72,-83,-67,-86,-82,-59,-93,-81,-77,-82,-90,-81,-200,-200,-200,-79,-84,-80,-93,-87,-93,-200,-94,-83,-82,-88,-78,-200,-200,-200,-200,-90,-200,-91,-200,-200,-200,-92,-200,-94,-92,-200,-94,-93,-86,-89,-200,-96,-200,-200,-200,-200,-74,-78,-81,-200,-200,-200,-89,-200,-200,-200,-84,-91,-90,-200,-200,-85,-92,-200,-200,-200,-98,-98,-200,-200,-200,-74,-200,-200,-89
1526463864390,-32,-52,-41,-45,-70,-49,-49,-61,-62,-58,-67,-59,-57,-63,-71,-51,-53,-72,-77,-71,-69,-58,-73,-71,-200,-74,-73,-82,-200,-59,-72,-88,-78,-80,-72,-83,-67,-86,-82,-60,-87,-77,-77,-87,-90,-81,-200,-200,-200,-79,-85,-80,-93,-87,-89,-200,-94,-79,-200,-200,-75,-200,-200,-200,-200,-91,-200,-91,-200,-200,-200,-92,-200,-89,-92,-200,-94,-93,-86,-88,-200,-96,-200,-200,-200,-200,-74,-76,-81,-200,-200,-200,-89,-200,-200,-200,-84,-91,-90,-200,-200,-88,-92,-200,-200,-200,-98,-98,-200,-200,-200,-76,-200,-200,-89
