,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018
1526456027296,-35,-43,-50,-51,-46,-58,-66,-59,-67,-59,-74,-59,-66,-71,-84,-200,-69,-74,-73,-72,-81,-76,-86,-200,-81,-84,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-93,-200,-200,-200,-200
1526456030328,-35,-43,-50,-51,-46,-58,-66,-59,-67,-59,-74,-59,-66,-71,-84,-200,-69,-74,-73,-72,-81,-76,-86,-200,-81,-84,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-93,-200,-200,-200,-200
1526456033367,-35,-43,-50,-51,-46,-58,-66,-59,-67,-59,-74,-59,-66,-71,-84,-200,-69,-74,-73,-72,-81,-76,-86,-200,-81,-84,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-93,-200,-200,-200,-200
1526456036414,-33,-47,-50,-57,-46,-62,-67,-64,-66,-64,-73,-70,-66,-78,-200,-63,-69,-72,-80,-70,-77,-74,-72,-200,-81,-84,-78,-200,-200,-200,-200,-88,-200,-77,-200,-200,-84,-200,-83,-200,-200,-200
1526456039426,-33,-48,-50,-52,-46,-62,-65,-64,-66,-61,-70,-70,-65,-78,-200,-63,-69,-72,-75,-78,-77,-74,-76,-200,-81,-86,-78,-200,-200,-200,-200,-88,-200,-77,-200,-200,-84,-200,-83,-200,-200,-200
1526456042438,-33,-48,-50,-52,-46,-62,-65,-64,-66,-61,-70,-70,-65,-78,-200,-63,-69,-72,-75,-78,-77,-74,-76,-200,-81,-86,-78,-200,-200,-200,-200,-88,-200,-77,-200,-200,-84,-200,-83,-200,-200,-200
1526456045475,-33,-48,-50,-52,-46,-62,-65,-64,-66,-61,-70,-70,-65,-78,-200,-63,-69,-72,-75,-78,-77,-74,-76,-200,-81,-86,-78,-200,-200,-200,-200,-88,-200,-77,-200,-200,-84,-200,-83,-200,-200,-200
1526456048521,-34,-44,-49,-52,-48,-61,-67,-64,-66,-61,-70,-70,-65,-69,-80,-82,-69,-75,-80,-72,-200,-200,-76,-200,-78,-86,-78,-94,-200,-200,-200,-200,-200,-79,-200,-200,-83,-200,-200,-87,-200,-200
1526456051546,-34,-44,-49,-56,-48,-61,-67,-65,-66,-61,-72,-70,-65,-71,-80,-67,-69,-74,-75,-73,-78,-84,-76,-200,-81,-84,-78,-94,-200,-200,-200,-200,-200,-79,-200,-200,-83,-200,-200,-87,-200,-200
1526456054567,-32,-46,-50,-59,-48,-61,-64,-61,-66,-62,-72,-69,-65,-72,-80,-67,-69,-74,-75,-71,-80,-84,-81,-200,-81,-85,-78,-94,-200,-90,-200,-200,-200,-79,-200,-200,-83,-200,-200,-87,-88,-200
1526456057611,-32,-46,-50,-59,-48,-61,-64,-61,-66,-62,-72,-69,-65,-72,-80,-67,-69,-74,-75,-71,-80,-84,-81,-200,-81,-85,-78,-94,-200,-90,-200,-200,-200,-79,-200,-200,-83,-200,-200,-87,-88,-200
1526456060651,-45,-37,-50,-55,-47,-59,-69,-60,-65,-63,-72,-67,-65,-70,-200,-64,-72,-76,-85,-72,-80,-84,-81,-200,-81,-80,-78,-200,-200,-92,-200,-200,-200,-78,-200,-200,-82,-200,-200,-200,-88,-89
