,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526455671692,-41,-47,-52,-56,-200,-45,-51,-63,-74,-71,-200,-64,-59,-64,-70,-70,-79,-72,-78,-80,-84,-64,-84,-200,-200,-200,-77,-200,-200,-85,-200,-86,-78,-200
1526455674731,-41,-47,-52,-56,-200,-45,-51,-63,-74,-71,-200,-64,-59,-64,-70,-70,-79,-72,-78,-80,-84,-64,-84,-200,-200,-200,-77,-200,-200,-85,-200,-86,-78,-200
1526455677761,-41,-47,-52,-56,-200,-45,-51,-63,-74,-71,-200,-64,-59,-64,-70,-70,-79,-72,-78,-80,-84,-64,-84,-200,-200,-200,-77,-200,-200,-85,-200,-86,-78,-200
1526455680792,-30,-47,-50,-57,-59,-45,-53,-68,-75,-66,-200,-64,-59,-63,-69,-69,-200,-70,-80,-81,-84,-66,-84,-200,-200,-200,-76,-83,-200,-86,-83,-86,-77,-200
1526455683825,-34,-47,-50,-57,-60,-46,-52,-68,-75,-70,-200,-59,-59,-63,-69,-69,-200,-69,-80,-81,-79,-64,-84,-200,-200,-200,-76,-80,-200,-90,-83,-86,-76,-200
1526455686861,-34,-47,-50,-57,-60,-46,-52,-68,-75,-70,-200,-59,-59,-63,-69,-69,-200,-69,-80,-81,-79,-64,-84,-200,-200,-200,-76,-80,-200,-90,-83,-86,-76,-200
1526455689896,-34,-47,-50,-57,-60,-46,-52,-68,-75,-70,-200,-59,-59,-63,-69,-69,-200,-69,-80,-81,-79,-64,-84,-200,-200,-200,-76,-80,-200,-90,-83,-86,-76,-200
1526455692930,-33,-47,-54,-59,-59,-47,-52,-200,-75,-71,-200,-64,-58,-64,-68,-69,-200,-71,-76,-80,-82,-64,-200,-200,-200,-200,-74,-81,-200,-85,-200,-82,-76,-200
1526455695956,-33,-47,-54,-59,-59,-46,-52,-200,-75,-65,-88,-63,-58,-63,-68,-69,-200,-70,-71,-80,-82,-66,-87,-84,-200,-200,-74,-81,-200,-85,-200,-82,-76,-93
1526455698993,-33,-47,-54,-59,-59,-46,-52,-200,-75,-65,-88,-63,-58,-63,-68,-69,-200,-70,-71,-80,-82,-66,-87,-84,-200,-200,-74,-81,-200,-85,-200,-82,-76,-93
1526455702028,-33,-47,-54,-59,-59,-46,-52,-200,-75,-65,-88,-63,-58,-63,-68,-69,-200,-70,-71,-80,-82,-66,-87,-84,-200,-200,-74,-81,-200,-85,-200,-82,-76,-93
1526455705061,-32,-47,-50,-57,-65,-47,-52,-65,-75,-70,-88,-62,-59,-60,-67,-69,-200,-71,-70,-80,-83,-64,-87,-80,-200,-200,-77,-82,-200,-200,-87,-200,-200,-93
