,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526457976695,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-96,-200,-200,-200
1526457976799,-200,-200,-89,-200,-200,-200,-200,-200,-89,-95,-200,-89,-200,-200,-200,-200,-200
1526457976924,-200,-70,-200,-200,-200,-200,-200,-200,-83,-95,-200,-200,-200,-96,-200,-200,-200
1526457977046,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526457977151,-90,-70,-88,-88,-200,-79,-200,-200,-80,-93,-78,-200,-200,-94,-200,-200,-200
1526457977279,-200,-70,-89,-200,-85,-79,-200,-74,-80,-94,-200,-89,-200,-94,-200,-200,-200
1526457981618,-200,-200,-200,-200,-79,-78,-200,-60,-200,-200,-200,-97,-200,-200,-200,-91,-200
1526457981705,-200,-72,-200,-200,-83,-78,-77,-60,-83,-200,-200,-98,-200,-95,-200,-200,-200
1526457981802,-200,-200,-200,-200,-200,-78,-77,-60,-84,-200,-200,-98,-200,-96,-200,-200,-200
1526457981918,-200,-72,-200,-200,-200,-78,-200,-60,-83,-200,-200,-100,-200,-96,-200,-200,-200
1526457982021,-200,-200,-200,-200,-200,-78,-200,-200,-83,-200,-79,-101,-200,-95,-200,-200,-200
1526457986723,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-85,-96,-200,-200,-200,-200,-200
1526457986916,-200,-75,-86,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526457987138,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-89
1526457987238,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526457987333,-200,-74,-200,-200,-82,-200,-200,-69,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526457991651,-200,-70,-200,-200,-81,-77,-81,-200,-80,-95,-200,-91,-200,-200,-200,-200,-200
1526457991764,-200,-71,-200,-200,-81,-77,-81,-200,-80,-94,-84,-91,-200,-92,-200,-200,-200
1526457991862,-200,-69,-200,-200,-81,-77,-200,-69,-80,-98,-200,-92,-200,-200,-200,-200,-200
1526457991968,-200,-70,-200,-200,-200,-200,-200,-61,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526457996683,-200,-72,-83,-200,-200,-200,-78,-60,-200,-101,-79,-200,-200,-200,-200,-200,-200
1526457996789,-200,-73,-200,-200,-200,-78,-78,-60,-200,-200,-79,-200,-200,-200,-200,-200,-200
1526457996899,-200,-73,-200,-200,-200,-78,-200,-60,-82,-200,-79,-200,-200,-200,-200,-91,-200
1526457997008,-91,-75,-82,-200,-200,-200,-200,-200,-83,-200,-77,-84,-200,-200,-200,-200,-200
1526458001643,-200,-200,-87,-200,-200,-200,-200,-63,-200,-200,-77,-85,-200,-200,-200,-200,-200
1526458001798,-200,-200,-200,-200,-80,-80,-200,-63,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526458001945,-200,-200,-200,-200,-81,-200,-200,-64,-81,-200,-77,-84,-200,-200,-200,-200,-200
