,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
1526458061603,-200,-200,-200,-200,-200,-80,-88,-84,-200,-200,-200,-200,-200
1526458061701,-200,-200,-200,-200,-200,-200,-88,-83,-89,-200,-200,-200,-200
1526458061890,-200,-200,-200,-200,-200,-80,-87,-81,-200,-200,-200,-200,-200
1526458061995,-200,-200,-200,-200,-200,-82,-88,-200,-200,-200,-200,-200,-200
1526458062226,-200,-200,-200,-200,-200,-81,-96,-200,-200,-200,-200,-200,-200
1526458062328,-200,-200,-200,-200,-200,-200,-88,-83,-200,-200,-200,-200,-200
1526458062438,-200,-200,-200,-200,-200,-75,-200,-84,-200,-200,-200,-200,-200
1526458062637,-74,-200,-77,-83,-200,-80,-93,-83,-200,-93,-88,-200,-200
1526458066690,-74,-200,-200,-83,-200,-81,-200,-200,-200,-93,-87,-200,-200
1526458066802,-74,-200,-77,-83,-200,-80,-200,-200,-82,-94,-86,-200,-200
1526458066909,-74,-200,-77,-83,-200,-81,-93,-88,-200,-94,-88,-200,-200
1526458067012,-76,-88,-77,-200,-200,-200,-200,-200,-200,-93,-85,-200,-200
1526458071626,-76,-200,-81,-200,-84,-83,-94,-84,-84,-97,-200,-200,-200
1526458071713,-75,-200,-80,-82,-200,-83,-200,-84,-200,-95,-200,-200,-200
1526458071823,-200,-88,-80,-70,-200,-84,-200,-84,-84,-200,-200,-200,-200
1526458071936,-70,-200,-80,-200,-200,-84,-95,-83,-84,-96,-200,-200,-200
1526458076654,-73,-200,-200,-200,-200,-200,-88,-200,-93,-200,-200,-200,-200
1526458076804,-70,-200,-200,-82,-200,-79,-89,-83,-93,-200,-200,-200,-200
1526458076936,-73,-200,-200,-200,-200,-79,-88,-83,-200,-200,-200,-200,-200
1526458077031,-70,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200
