,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D02A18,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D00ED0,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526453576930,-34,-42,-47,-45,-49,-45,-47,-49,-52,-54,-58,-60,-55,-62,-63,-55,-60,-62,-65,-70,-59,-67,-69,-64,-61,-70,-69,-78,-74,-200,-70,-81,-76,-76,-74,-77,-73,-75,-76,-200,-76,-77,-91,-83,-82,-80,-84,-81,-85,-81,-83,-80,-83,-85,-200,-200,-77,-75,-86,-86,-86,-81,-87,-200,-88,-90,-200,-200,-87,-86,-87,-200,-85,-200,-94,-91,-91,-93,-200,-97,-94,-200,-200,-200,-200,-67,-65,-200,-87,-200,-200,-86,-200,-91,-200,-200,-200,-200,-200,-96,-78,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526453579985,-35,-40,-46,-44,-48,-45,-51,-48,-60,-55,-60,-59,-56,-61,-62,-54,-62,-62,-69,-70,-69,-64,-62,-59,-64,-66,-68,-77,-71,-200,-70,-79,-76,-74,-79,-66,-73,-75,-75,-200,-79,-77,-91,-81,-75,-80,-84,-77,-83,-78,-83,-80,-82,-85,-87,-200,-77,-76,-200,-88,-85,-81,-88,-92,-88,-90,-200,-92,-84,-87,-87,-200,-85,-200,-96,-91,-87,-93,-200,-97,-95,-200,-200,-200,-200,-67,-71,-80,-87,-75,-200,-87,-200,-91,-200,-200,-200,-92,-200,-200,-78,-95,-96,-200,-200,-200,-200,-200,-200,-200
1526453583040,-34,-40,-46,-43,-45,-47,-49,-51,-60,-56,-61,-63,-56,-63,-59,-56,-60,-62,-68,-67,-69,-64,-61,-60,-64,-67,-68,-75,-59,-200,-77,-79,-71,-81,-74,-75,-73,-73,-76,-200,-79,-75,-200,-81,-76,-200,-83,-76,-82,-78,-83,-77,-82,-200,-87,-200,-80,-75,-200,-89,-85,-76,-88,-92,-88,-90,-200,-92,-84,-84,-200,-200,-83,-200,-97,-91,-87,-93,-200,-97,-93,-200,-200,-200,-200,-67,-71,-80,-87,-75,-200,-87,-200,-200,-200,-200,-200,-92,-200,-200,-200,-95,-96,-200,-200,-200,-200,-200,-200,-200
1526453586091,-34,-40,-47,-43,-45,-44,-49,-48,-62,-56,-61,-63,-50,-61,-57,-54,-66,-61,-69,-68,-68,-64,-76,-60,-66,-67,-66,-72,-59,-200,-69,-80,-74,-77,-74,-57,-200,-74,-74,-96,-78,-76,-200,-82,-76,-200,-81,-77,-83,-80,-80,-82,-82,-200,-87,-200,-78,-76,-85,-88,-79,-77,-88,-92,-91,-200,-200,-93,-85,-85,-87,-200,-85,-200,-96,-200,-87,-200,-200,-200,-93,-200,-200,-200,-200,-67,-66,-80,-200,-75,-94,-87,-200,-200,-200,-200,-89,-92,-200,-200,-200,-200,-96,-93,-94,-200,-200,-200,-200,-200
1526453589139,-35,-39,-50,-45,-44,-45,-50,-48,-62,-54,-61,-60,-53,-61,-58,-54,-65,-61,-68,-68,-68,-64,-63,-61,-67,-63,-69,-74,-70,-200,-70,-80,-73,-80,-72,-76,-77,-75,-73,-96,-78,-76,-200,-80,-76,-200,-83,-75,-84,-80,-80,-79,-200,-85,-80,-200,-79,-76,-85,-88,-86,-77,-87,-92,-94,-93,-200,-93,-86,-88,-89,-200,-85,-200,-94,-200,-200,-200,-200,-200,-93,-200,-82,-200,-200,-67,-69,-80,-92,-200,-94,-87,-95,-200,-200,-200,-89,-200,-200,-200,-95,-200,-200,-94,-94,-200,-200,-200,-200,-200
1526453592195,-34,-42,-44,-43,-47,-44,-49,-49,-63,-54,-61,-62,-54,-60,-61,-53,-55,-61,-68,-68,-67,-62,-63,-61,-66,-67,-69,-73,-67,-200,-73,-79,-76,-79,-65,-75,-82,-75,-73,-96,-77,-75,-200,-80,-75,-200,-82,-76,-85,-77,-80,-83,-80,-85,-80,-200,-79,-76,-85,-76,-86,-82,-87,-93,-90,-93,-200,-95,-86,-87,-90,-200,-82,-93,-96,-200,-89,-200,-200,-200,-93,-200,-82,-200,-200,-200,-61,-81,-88,-200,-94,-87,-95,-93,-200,-200,-89,-200,-200,-200,-95,-200,-200,-94,-94,-200,-200,-200,-200,-200
1526453595246,-35,-38,-47,-44,-46,-43,-48,-48,-63,-54,-62,-60,-50,-62,-60,-54,-60,-61,-68,-67,-67,-61,-69,-62,-67,-66,-69,-72,-71,-200,-71,-79,-73,-79,-71,-76,-82,-72,-75,-200,-77,-75,-200,-80,-76,-200,-83,-75,-85,-80,-80,-83,-83,-85,-80,-200,-78,-76,-86,-76,-86,-76,-87,-94,-93,-93,-200,-94,-84,-88,-90,-200,-82,-93,-93,-200,-86,-200,-200,-200,-95,-200,-82,-200,-200,-200,-61,-81,-88,-200,-200,-87,-95,-93,-200,-200,-200,-92,-200,-200,-95,-200,-200,-94,-200,-74,-83,-88,-200,-200
1526453598305,-34,-38,-48,-41,-44,-44,-49,-50,-63,-57,-62,-58,-54,-62,-59,-53,-61,-60,-66,-66,-65,-57,-69,-63,-71,-67,-69,-76,-71,-200,-76,-74,-73,-79,-69,-77,-83,-72,-76,-200,-77,-75,-200,-81,-75,-83,-82,-76,-85,-77,-80,-85,-84,-200,-200,-200,-80,-76,-85,-89,-86,-76,-200,-93,-93,-89,-88,-94,-66,-88,-90,-94,-83,-93,-94,-200,-86,-200,-200,-200,-94,-200,-200,-200,-200,-64,-62,-81,-88,-200,-200,-86,-200,-93,-200,-200,-200,-92,-200,-200,-200,-200,-200,-92,-200,-74,-83,-88,-200,-200
1526453601358,-36,-39,-47,-42,-42,-45,-48,-51,-58,-54,-62,-62,-52,-60,-58,-54,-60,-60,-68,-66,-70,-65,-68,-60,-77,-67,-67,-75,-71,-200,-68,-78,-74,-77,-66,-79,-78,-74,-73,-200,-77,-75,-200,-79,-73,-85,-83,-75,-85,-75,-80,-79,-84,-85,-200,-200,-77,-76,-89,-89,-88,-84,-200,-92,-93,-88,-88,-94,-87,-90,-91,-94,-84,-200,-94,-200,-86,-200,-200,-200,-95,-200,-200,-200,-200,-64,-69,-83,-88,-200,-200,-88,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-89,-200,-74,-83,-88,-90,-91
1526453604413,-35,-40,-40,-42,-46,-44,-47,-47,-62,-55,-62,-58,-53,-60,-58,-55,-66,-60,-69,-66,-70,-65,-70,-62,-71,-66,-68,-73,-73,-81,-68,-78,-74,-79,-66,-76,-78,-73,-73,-200,-77,-76,-200,-80,-73,-85,-82,-76,-84,-75,-80,-79,-82,-86,-78,-200,-77,-74,-85,-89,-86,-84,-200,-92,-200,-89,-88,-200,-84,-89,-91,-94,-84,-200,-94,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-64,-65,-83,-67,-200,-200,-86,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-90,-91
1526453607466,-35,-40,-46,-41,-46,-44,-47,-48,-63,-56,-62,-59,-49,-59,-61,-52,-64,-60,-69,-66,-69,-67,-64,-62,-69,-66,-70,-73,-70,-81,-78,-78,-74,-78,-69,-76,-76,-72,-73,-200,-77,-75,-200,-80,-73,-85,-83,-76,-84,-78,-80,-79,-82,-86,-78,-200,-78,-74,-85,-89,-87,-78,-200,-92,-200,-89,-91,-93,-86,-89,-92,-200,-84,-200,-94,-200,-87,-200,-200,-200,-93,-200,-200,-200,-200,-200,-61,-83,-92,-200,-200,-86,-200,-200,-200,-200,-89,-200,-200,-200,-96,-200,-200,-92,-200,-200,-200,-200,-90,-91
1526453610527,-34,-38,-45,-43,-46,-44,-48,-49,-62,-56,-62,-62,-55,-59,-62,-56,-61,-60,-67,-66,-67,-65,-62,-58,-72,-64,-70,-73,-70,-81,-78,-79,-75,-77,-69,-77,-78,-73,-74,-200,-200,-76,-200,-78,-75,-200,-83,-76,-84,-82,-82,-79,-83,-86,-78,-200,-78,-74,-85,-88,-87,-82,-200,-92,-92,-89,-91,-94,-84,-89,-88,-94,-84,-200,-93,-200,-85,-200,-200,-200,-93,-200,-200,-200,-200,-68,-61,-82,-87,-200,-200,-86,-200,-200,-200,-200,-89,-200,-200,-200,-96,-200,-200,-92,-200,-200,-84,-200,-200,-200
