,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A68,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro
1526453812434,-32,-43,-43,-60,-54,-53,-55,-53,-56,-57,-59,-55,-59,-50,-65,-68,-64,-44,-58,-58,-80,-55,-67,-71,-77,-65,-69,-77,-73,-78,-72,-79,-72,-83,-200,-78,-79,-60,-67,-81,-77,-84,-70,-84,-81,-74,-200,-83,-82,-75,-92,-87,-84,-73,-80,-93,-79,-81,-90,-84,-83,-77,-75,-85,-71,-88,-200,-200,-95,-200,-83,-87,-92,-90,-200,-90,-93,-82,-82,-200,-200,-95,-91,-83,-90,-200,-96,-200,-98,-200,-200,-87,-94,-88,-97,-87,-88,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526453815487,-31,-43,-44,-61,-52,-53,-56,-53,-55,-57,-64,-52,-62,-51,-66,-67,-59,-43,-56,-57,-80,-54,-66,-66,-78,-65,-70,-77,-73,-78,-71,-81,-70,-82,-78,-76,-73,-54,-67,-81,-76,-83,-71,-83,-81,-77,-200,-77,-82,-75,-92,-87,-82,-76,-80,-93,-79,-81,-91,-84,-83,-79,-73,-86,-71,-88,-200,-200,-96,-200,-83,-89,-91,-90,-200,-90,-93,-82,-81,-200,-200,-93,-91,-83,-90,-200,-96,-200,-98,-200,-200,-93,-94,-89,-200,-87,-90,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526453818543,-32,-43,-44,-60,-54,-53,-53,-52,-55,-57,-64,-52,-60,-54,-66,-64,-61,-45,-64,-53,-80,-56,-65,-68,-73,-70,-69,-77,-73,-78,-71,-81,-73,-82,-78,-74,-73,-60,-66,-81,-79,-83,-71,-83,-82,-73,-200,-77,-82,-75,-90,-87,-83,-76,-80,-94,-79,-81,-91,-81,-200,-79,-75,-84,-81,-88,-86,-200,-96,-200,-83,-89,-90,-91,-95,-91,-91,-80,-80,-200,-200,-93,-91,-83,-200,-200,-97,-200,-200,-200,-88,-92,-93,-89,-200,-200,-90,-96,-85,-99,-200,-200,-200,-200,-200,-200
1526453821602,-32,-43,-45,-58,-53,-53,-56,-52,-55,-56,-64,-56,-62,-53,-71,-66,-64,-43,-62,-58,-77,-53,-67,-73,-72,-65,-69,-76,-73,-200,-72,-81,-57,-84,-78,-74,-79,-60,-66,-82,-77,-89,-70,-83,-81,-77,-200,-82,-82,-72,-92,-200,-82,-75,-80,-94,-79,-81,-90,-81,-200,-78,-75,-85,-81,-83,-86,-200,-94,-200,-82,-90,-91,-90,-95,-91,-94,-78,-80,-88,-200,-93,-91,-82,-200,-200,-97,-200,-200,-200,-88,-92,-93,-89,-200,-200,-90,-200,-85,-99,-78,-84,-200,-200,-200,-200
1526453824660,-34,-44,-44,-58,-54,-54,-55,-52,-54,-56,-61,-51,-61,-48,-69,-66,-61,-42,-59,-57,-79,-57,-67,-71,-76,-67,-77,-77,-74,-76,-73,-82,-72,-86,-200,-68,-80,-60,-66,-82,-77,-82,-69,-84,-80,-74,-200,-77,-82,-70,-90,-86,-83,-75,-78,-94,-78,-81,-90,-82,-200,-78,-73,-85,-73,-85,-86,-200,-94,-200,-83,-87,-91,-89,-95,-92,-94,-78,-80,-90,-200,-94,-90,-82,-91,-200,-97,-200,-200,-200,-88,-92,-93,-89,-200,-200,-200,-200,-85,-94,-78,-86,-87,-200,-200,-200
1526453827721,-33,-43,-46,-58,-55,-55,-57,-53,-54,-55,-64,-56,-61,-51,-69,-67,-61,-43,-64,-62,-80,-56,-68,-73,-73,-64,-75,-77,-73,-75,-71,-78,-71,-84,-81,-80,-79,-61,-67,-81,-77,-82,-70,-84,-80,-77,-200,-77,-81,-75,-92,-86,-81,-81,-79,-200,-78,-81,-88,-82,-83,-78,-74,-85,-73,-85,-89,-200,-94,-200,-83,-89,-91,-91,-200,-90,-94,-81,-80,-90,-200,-93,-92,-81,-91,-200,-200,-200,-200,-200,-200,-200,-93,-90,-200,-200,-200,-200,-200,-94,-78,-86,-87,-200,-200,-200
1526453830768,-32,-43,-45,-62,-55,-55,-58,-53,-54,-57,-64,-55,-60,-50,-66,-66,-65,-44,-58,-59,-78,-51,-68,-71,-77,-67,-70,-76,-74,-77,-72,-79,-73,-84,-81,-74,-79,-63,-71,-81,-79,-78,-71,-83,-80,-76,-200,-77,-81,-73,-92,-78,-82,-83,-79,-200,-80,-81,-88,-82,-84,-77,-72,-85,-73,-88,-84,-200,-94,-200,-83,-89,-90,-90,-200,-91,-94,-82,-76,-90,-200,-92,-90,-81,-91,-200,-95,-200,-200,-200,-200,-200,-92,-88,-200,-200,-200,-200,-200,-93,-200,-86,-87,-200,-200,-200
1526453833803,-33,-44,-44,-58,-55,-54,-55,-51,-53,-52,-65,-53,-61,-54,-70,-67,-62,-43,-61,-57,-82,-57,-65,-72,-76,-66,-70,-76,-73,-77,-72,-81,-70,-84,-81,-74,-82,-63,-69,-81,-82,-78,-73,-83,-200,-77,-200,-81,-81,-73,-91,-86,-81,-83,-79,-94,-79,-82,-90,-200,-83,-79,-76,-86,-72,-88,-89,-200,-94,-200,-83,-89,-91,-90,-200,-91,-94,-79,-82,-90,-200,-93,-90,-81,-200,-86,-95,-200,-200,-200,-88,-200,-93,-88,-95,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526453836852,-33,-43,-44,-58,-53,-55,-56,-51,-53,-58,-66,-54,-61,-54,-66,-67,-70,-46,-61,-58,-77,-55,-65,-74,-76,-66,-68,-74,-74,-77,-72,-81,-73,-84,-80,-74,-82,-53,-68,-80,-79,-86,-71,-83,-81,-78,-200,-81,-80,-66,-92,-86,-82,-82,-79,-94,-79,-81,-88,-200,-83,-78,-75,-86,-71,-88,-89,-200,-93,-200,-83,-89,-91,-90,-200,-91,-94,-82,-82,-90,-200,-94,-92,-200,-200,-86,-96,-200,-200,-200,-88,-92,-93,-90,-95,-200,-200,-200,-200,-93,-200,-200,-200,-86,-94,-200
1526453839904,-32,-44,-44,-58,-57,-54,-53,-52,-53,-53,-63,-53,-60,-52,-69,-66,-58,-45,-63,-58,-79,-57,-66,-70,-76,-67,-68,-72,-74,-73,-72,-79,-72,-84,-80,-200,-83,-62,-70,-80,-78,-68,-73,-83,-81,-79,-200,-81,-80,-72,-89,-84,-81,-76,-79,-94,-78,-82,-91,-81,-83,-79,-78,-86,-71,-200,-89,-200,-93,-94,-84,-89,-92,-92,-200,-92,-94,-82,-82,-89,-200,-91,-92,-200,-92,-86,-96,-200,-200,-200,-88,-92,-92,-90,-95,-200,-200,-200,-200,-200,-200,-200,-200,-86,-94,-200
1526453842955,-32,-41,-45,-58,-56,-56,-55,-52,-53,-57,-65,-53,-59,-52,-68,-67,-62,-46,-61,-61,-80,-52,-66,-71,-200,-66,-69,-73,-74,-77,-71,-79,-68,-83,-80,-200,-83,-62,-68,-80,-78,-68,-72,-80,-81,-78,-200,-76,-80,-73,-89,-84,-81,-76,-79,-200,-78,-82,-91,-81,-82,-80,-73,-85,-71,-200,-200,-200,-93,-92,-84,-89,-92,-90,-200,-92,-94,-82,-81,-90,-200,-92,-92,-200,-92,-200,-96,-200,-200,-200,-88,-92,-92,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-94,-200
1526453846003,-35,-44,-43,-58,-55,-56,-57,-54,-53,-58,-65,-54,-60,-49,-68,-66,-62,-44,-61,-62,-78,-57,-66,-71,-73,-69,-68,-76,-74,-77,-73,-81,-72,-83,-78,-200,-83,-61,-68,-80,-78,-79,-70,-83,-81,-78,-86,-79,-80,-74,-90,-85,-83,-74,-81,-200,-78,-82,-91,-79,-82,-79,-77,-85,-71,-84,-90,-200,-200,-94,-83,-87,-91,-90,-200,-92,-200,-79,-80,-92,-200,-95,-92,-200,-92,-86,-200,-200,-200,-96,-94,-200,-92,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96
