,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526453885995,-40,-50,-58,-46,-70,-51,-55,-59,-53,-61,-60,-49,-68,-68,-55,-68,-55,-78,-64,-61,-44,-67,-78,-73,-88,-67,-74,-69,-86,-73,-81,-70,-66,-88,-77,-76,-84,-83,-72,-86,-72,-82,-82,-79,-200,-87,-200,-82,-70,-78,-60,-76,-78,-77,-91,-200,-74,-82,-85,-82,-200,-78,-89,-86,-87,-88,-81,-86,-87,-85,-200,-85,-80,-92,-95,-200,-92,-90,-93,-200,-200,-94,-200,-200,-95,-91,-94,-200,-94,-200,-200,-95,-77,-91,-88,-88,-200,-200,-200,-88,-200,-86,-96,-200,-89,-91,-200,-200,-200,-200,-200,-200,-200
1526453889049,-39,-49,-61,-48,-65,-48,-59,-60,-48,-61,-61,-53,-68,-66,-58,-70,-56,-78,-67,-62,-44,-67,-78,-200,-88,-67,-74,-64,-78,-71,-83,-69,-65,-85,-76,-77,-86,-82,-65,-85,-71,-81,-83,-77,-200,-76,-200,-81,-72,-80,-69,-76,-72,-75,-92,-200,-75,-82,-200,-82,-200,-79,-87,-86,-87,-88,-78,-84,-88,-85,-200,-82,-80,-90,-95,-200,-92,-200,-92,-200,-200,-92,-96,-200,-92,-97,-94,-200,-94,-200,-200,-95,-77,-91,-88,-88,-200,-200,-97,-89,-96,-200,-200,-200,-89,-91,-200,-200,-200,-200,-200,-200,-200
1526453892100,-39,-55,-57,-45,-60,-52,-54,-60,-48,-63,-60,-52,-66,-68,-59,-71,-52,-70,-59,-62,-50,-68,-78,-200,-86,-76,-78,-71,-80,-74,-83,-70,-61,-85,-77,-82,-89,-83,-66,-87,-75,-84,-78,-77,-81,-79,-200,-81,-71,-76,-67,-76,-72,-75,-90,-200,-75,-81,-200,-76,-200,-78,-90,-88,-88,-200,-82,-86,-88,-85,-200,-85,-80,-90,-91,-200,-93,-95,-94,-200,-94,-92,-96,-200,-96,-97,-94,-200,-200,-200,-200,-97,-75,-200,-200,-94,-200,-200,-97,-89,-96,-200,-200,-200,-89,-91,-200,-200,-200,-200,-200,-200,-200
1526453895154,-39,-53,-55,-45,-59,-50,-55,-60,-54,-62,-62,-53,-67,-65,-59,-64,-53,-72,-61,-76,-50,-65,-74,-200,-85,-76,-71,-72,-80,-74,-81,-67,-61,-85,-77,-81,-85,-85,-69,-85,-72,-84,-78,-79,-81,-82,-200,-81,-70,-76,-69,-73,-77,-77,-90,-200,-76,-83,-83,-76,-200,-79,-89,-88,-89,-200,-85,-91,-87,-84,-200,-84,-89,-94,-92,-200,-92,-95,-94,-200,-94,-92,-96,-200,-94,-97,-93,-200,-200,-200,-200,-97,-75,-200,-87,-94,-200,-200,-97,-89,-96,-200,-200,-200,-200,-200,-88,-90,-200,-200,-200,-200,-200
1526453898211,-40,-56,-50,-46,-58,-47,-57,-57,-52,-60,-60,-54,-68,-68,-55,-65,-52,-72,-63,-81,-46,-67,-71,-79,-83,-67,-71,-71,-79,-74,-83,-70,-64,-85,-79,-81,-84,-88,-72,-80,-68,-82,-81,-77,-81,-77,-200,-79,-73,-76,-61,-75,-77,-76,-89,-200,-76,-83,-87,-76,-84,-79,-89,-86,-89,-200,-79,-83,-87,-84,-200,-85,-89,-91,-92,-200,-94,-95,-91,-200,-94,-90,-200,-96,-97,-200,-93,-200,-95,-95,-200,-97,-78,-89,-92,-91,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-88,-90,-96,-200,-200,-200,-200
1526453901269,-46,-52,-52,-46,-68,-48,-55,-58,-49,-61,-60,-55,-68,-68,-53,-63,-55,-72,-61,-81,-46,-67,-72,-76,-81,-67,-73,-71,-79,-76,-83,-70,-63,-88,-77,-81,-84,-88,-72,-80,-69,-82,-81,-76,-81,-83,-200,-81,-73,-200,-67,-74,-77,-76,-91,-200,-86,-85,-87,-200,-84,-77,-88,-87,-89,-200,-78,-81,-88,-84,-96,-85,-89,-90,-92,-200,-94,-200,-91,-200,-200,-90,-200,-96,-97,-96,-93,-200,-95,-95,-200,-96,-79,-89,-92,-91,-200,-91,-200,-89,-200,-200,-200,-200,-200,-200,-88,-90,-96,-200,-200,-200,-200
1526453904321,-37,-47,-54,-49,-71,-45,-53,-63,-49,-61,-61,-55,-69,-69,-56,-66,-48,-74,-68,-78,-48,-67,-72,-76,-85,-67,-70,-71,-76,-75,-82,-68,-62,-88,-77,-81,-80,-78,-58,-80,-69,-83,-78,-75,-86,-83,-200,-80,-70,-200,-63,-77,-77,-77,-92,-200,-73,-85,-87,-80,-84,-77,-91,-87,-84,-200,-80,-89,-88,-85,-96,-85,-200,-88,-91,-200,-94,-200,-93,-97,-200,-89,-95,-96,-94,-96,-200,-200,-95,-95,-200,-96,-79,-89,-92,-91,-200,-91,-200,-89,-200,-200,-200,-200,-200,-91,-200,-200,-96,-200,-200,-200,-200
1526453907375,-47,-53,-54,-48,-58,-48,-59,-58,-47,-62,-63,-49,-66,-69,-56,-66,-57,-71,-59,-76,-45,-68,-72,-76,-81,-73,-75,-68,-83,-74,-84,-76,-60,-88,-77,-81,-86,-86,-69,-77,-68,-85,-82,-77,-86,-83,-84,-79,-79,-200,-66,-79,-78,-77,-89,-200,-73,-86,-200,-84,-200,-80,-90,-88,-96,-200,-76,-82,-86,-85,-96,-85,-200,-91,-90,-200,-200,-200,-95,-97,-200,-90,-96,-97,-93,-96,-200,-200,-95,-200,-200,-96,-81,-73,-86,-200,-200,-91,-200,-86,-200,-200,-200,-200,-200,-91,-200,-200,-200,-95,-96,-200,-200
1526453910434,-50,-50,-63,-45,-66,-52,-54,-58,-53,-60,-53,-50,-70,-73,-58,-65,-55,-68,-56,-63,-52,-65,-73,-86,-84,-73,-76,-73,-81,-79,-82,-72,-63,-72,-77,-84,-81,-87,-69,-84,-71,-83,-79,-75,-80,-78,-84,-80,-76,-200,-65,-75,-77,-77,-91,-200,-73,-79,-200,-80,-200,-77,-92,-87,-84,-87,-87,-88,-86,-84,-200,-84,-200,-92,-90,-200,-88,-93,-91,-97,-93,-90,-95,-97,-93,-95,-200,-200,-95,-200,-200,-200,-78,-73,-86,-200,-200,-88,-200,-90,-200,-200,-200,-200,-200,-91,-85,-200,-200,-95,-96,-94,-200
1526453913504,-47,-47,-54,-45,-58,-44,-49,-59,-48,-61,-58,-50,-66,-69,-58,-65,-53,-74,-66,-80,-49,-64,-70,-84,-84,-75,-76,-71,-81,-76,-83,-73,-63,-72,-77,-80,-80,-86,-66,-81,-68,-81,-82,-76,-67,-78,-84,-79,-75,-200,-67,-74,-77,-74,-91,-200,-80,-84,-84,-80,-87,-78,-93,-86,-84,-85,-89,-85,-86,-84,-200,-84,-85,-92,-87,-200,-86,-93,-92,-200,-93,-90,-94,-97,-93,-95,-200,-200,-95,-200,-200,-200,-76,-73,-86,-200,-200,-93,-200,-87,-200,-200,-200,-200,-200,-200,-85,-200,-200,-95,-96,-94,-200
1526453916558,-47,-49,-53,-45,-65,-47,-55,-56,-48,-60,-57,-52,-68,-68,-62,-64,-56,-73,-56,-74,-48,-65,-68,-84,-84,-75,-76,-72,-83,-77,-82,-68,-62,-72,-77,-84,-81,-89,-68,-80,-72,-81,-86,-76,-67,-78,-200,-79,-78,-200,-67,-76,-76,-77,-91,-200,-78,-85,-86,-82,-87,-78,-92,-86,-85,-80,-90,-86,-89,-87,-200,-84,-86,-89,-87,-200,-86,-90,-89,-200,-93,-90,-94,-200,-91,-95,-200,-95,-96,-200,-200,-200,-76,-89,-200,-200,-200,-88,-200,-89,-200,-200,-92,-200,-91,-200,-85,-200,-96,-95,-200,-96,-200
1526453919623,-40,-44,-59,-45,-61,-50,-55,-58,-50,-60,-58,-52,-67,-67,-62,-65,-53,-71,-66,-64,-44,-64,-74,-84,-200,-75,-77,-72,-83,-75,-83,-68,-61,-200,-77,-80,-79,-88,-68,-80,-72,-83,-79,-77,-67,-78,-200,-79,-74,-80,-66,-75,-79,-77,-91,-200,-74,-85,-86,-78,-84,-76,-90,-87,-83,-80,-75,-89,-89,-86,-200,-88,-86,-90,-87,-200,-90,-96,-92,-200,-200,-90,-95,-200,-94,-200,-200,-95,-96,-200,-200,-200,-76,-89,-87,-200,-200,-88,-200,-87,-200,-200,-94,-97,-91,-200,-200,-200,-96,-200,-200,-96,-96
