,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A48,WHU-2018,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526453729602,-34,-42,-47,-51,-63,-56,-54,-52,-62,-67,-57,-69,-58,-55,-62,-68,-76,-56,-66,-66,-74,-74,-51,-81,-72,-81,-71,-81,-75,-75,-75,-74,-85,-79,-82,-86,-85,-84,-77,-77,-81,-89,-79,-83,-200,-87,-83,-84,-81,-82,-200,-82,-84,-91,-76,-200,-94,-90,-95,-95,-88,-85,-96,-200,-95,-90,-95,-76,-90,-94,-200,-200,-96,-91,-200,-77,-90,-200,-89,-77,-92,-99,-82,-89,-200,-83,-90,-200,-200,-200,-200,-96,-77,-97,-97,-200,-200,-200,-200,-200,-200,-200
1526453732655,-34,-42,-50,-50,-70,-56,-56,-52,-62,-67,-57,-70,-58,-59,-55,-60,-72,-57,-66,-67,-74,-74,-55,-200,-71,-71,-71,-71,-79,-75,-75,-72,-89,-81,-78,-86,-84,-84,-77,-77,-81,-90,-80,-82,-85,-87,-83,-84,-88,-85,-200,-83,-86,-91,-76,-200,-92,-90,-95,-93,-86,-83,-96,-200,-93,-90,-95,-89,-91,-92,-95,-200,-96,-91,-200,-200,-88,-88,-89,-77,-92,-200,-77,-86,-200,-85,-90,-200,-200,-200,-200,-96,-77,-97,-97,-200,-200,-200,-200,-200,-200,-200
1526453735705,-27,-42,-51,-49,-63,-55,-55,-57,-61,-65,-57,-70,-58,-60,-63,-60,-72,-63,-65,-67,-74,-71,-55,-200,-73,-70,-75,-67,-76,-75,-75,-73,-89,-81,-73,-87,-83,-85,-77,-77,-83,-89,-80,-82,-82,-87,-83,-84,-88,-83,-200,-83,-85,-91,-200,-200,-92,-90,-95,-93,-86,-83,-96,-200,-96,-90,-96,-89,-92,-94,-95,-200,-96,-91,-200,-200,-88,-88,-200,-77,-92,-200,-78,-85,-98,-86,-90,-200,-200,-86,-200,-96,-77,-97,-97,-95,-200,-200,-200,-200,-200,-200
1526453738754,-34,-43,-51,-51,-65,-61,-55,-56,-62,-65,-57,-70,-58,-59,-62,-62,-76,-60,-66,-68,-74,-72,-55,-200,-73,-71,-75,-72,-76,-75,-77,-75,-82,-81,-78,-86,-83,-84,-76,-77,-83,-89,-80,-84,-82,-88,-83,-86,-88,-81,-200,-84,-85,-89,-200,-200,-93,-91,-200,-94,-86,-84,-200,-200,-96,-200,-96,-88,-91,-94,-95,-200,-96,-92,-200,-82,-87,-88,-200,-200,-91,-200,-78,-85,-98,-84,-90,-200,-200,-86,-200,-200,-200,-200,-200,-95,-97,-200,-200,-200,-200,-200
1526453741806,-32,-42,-47,-44,-65,-56,-53,-56,-61,-66,-57,-69,-58,-59,-63,-62,-72,-62,-66,-61,-73,-74,-57,-200,-73,-81,-71,-72,-76,-76,-77,-72,-85,-81,-79,-87,-86,-87,-78,-77,-80,-89,-80,-82,-82,-88,-83,-84,-88,-82,-200,-84,-85,-89,-200,-87,-90,-89,-94,-92,-88,-83,-95,-200,-92,-90,-96,-91,-91,-94,-200,-200,-200,-92,-200,-82,-87,-200,-89,-78,-83,-200,-78,-84,-98,-87,-90,-200,-200,-86,-200,-96,-200,-200,-200,-95,-97,-200,-200,-200,-200,-200
1526453744856,-26,-41,-48,-51,-64,-55,-52,-55,-62,-64,-57,-69,-59,-57,-55,-61,-76,-64,-64,-67,-74,-74,-55,-200,-67,-70,-72,-70,-75,-75,-77,-72,-85,-82,-79,-86,-84,-85,-78,-79,-83,-90,-79,-83,-200,-88,-83,-83,-83,-85,-200,-84,-85,-91,-200,-87,-92,-90,-94,-95,-88,-84,-95,-200,-94,-93,-200,-91,-91,-93,-97,-200,-200,-90,-200,-82,-87,-200,-79,-78,-92,-200,-200,-90,-200,-87,-90,-89,-200,-86,-200,-97,-77,-200,-200,-97,-97,-200,-200,-200,-200,-200
1526453747909,-32,-41,-47,-49,-68,-58,-57,-48,-62,-64,-58,-70,-61,-60,-55,-70,-74,-56,-65,-67,-76,-73,-55,-79,-69,-80,-75,-67,-76,-78,-200,-73,-85,-81,-77,-88,-85,-85,-78,-77,-82,-90,-79,-83,-200,-91,-82,-83,-87,-82,-200,-200,-85,-89,-200,-85,-92,-90,-94,-94,-85,-84,-92,-200,-94,-92,-94,-91,-93,-94,-97,-200,-200,-90,-200,-200,-82,-200,-90,-79,-92,-200,-200,-85,-200,-84,-88,-89,-81,-200,-200,-97,-77,-200,-200,-97,-200,-95,-200,-200,-200,-200
1526453750969,-30,-41,-52,-52,-70,-58,-56,-54,-61,-65,-58,-65,-60,-60,-55,-61,-78,-62,-66,-66,-76,-73,-56,-79,-71,-70,-72,-67,-75,-78,-200,-75,-85,-78,-79,-89,-84,-86,-77,-79,-82,-89,-79,-83,-200,-91,-83,-83,-87,-83,-200,-200,-87,-92,-200,-88,-91,-88,-94,-94,-86,-85,-92,-200,-93,-92,-93,-89,-91,-93,-97,-200,-200,-92,-200,-200,-88,-200,-90,-79,-92,-200,-79,-85,-200,-86,-91,-89,-81,-95,-200,-94,-77,-200,-200,-97,-200,-95,-200,-200,-200,-200
1526453754021,-34,-41,-48,-50,-68,-61,-56,-52,-61,-65,-58,-65,-58,-57,-63,-62,-72,-64,-65,-67,-76,-72,-57,-200,-71,-80,-71,-77,-75,-78,-200,-75,-85,-77,-78,-87,-83,-88,-78,-79,-86,-91,-79,-81,-200,-87,-83,-84,-89,-84,-200,-87,-85,-92,-200,-89,-92,-89,-200,-95,-86,-85,-92,-200,-93,-91,-93,-90,-90,-94,-200,-200,-95,-91,-200,-200,-88,-200,-90,-89,-93,-200,-80,-84,-86,-87,-91,-200,-80,-86,-200,-95,-77,-200,-200,-97,-200,-200,-200,-200,-200,-200
1526453757076,-35,-41,-47,-50,-75,-57,-58,-54,-64,-68,-58,-70,-59,-58,-56,-60,-72,-63,-64,-67,-75,-73,-55,-200,-71,-81,-71,-68,-75,-78,-200,-75,-85,-77,-77,-85,-83,-87,-78,-81,-86,-91,-81,-83,-200,-87,-84,-83,-89,-80,-200,-85,-85,-92,-94,-88,-92,-88,-200,-95,-86,-85,-92,-200,-93,-89,-93,-90,-91,-94,-200,-200,-95,-92,-200,-79,-88,-200,-90,-89,-92,-200,-83,-85,-86,-87,-91,-200,-80,-86,-200,-95,-77,-200,-200,-97,-200,-200,-93,-94,-200,-200
1526453760123,-27,-41,-50,-52,-67,-56,-53,-55,-61,-66,-58,-70,-61,-56,-62,-70,-78,-62,-67,-67,-76,-74,-55,-200,-74,-81,-74,-78,-75,-77,-75,-71,-85,-80,-81,-87,-83,-86,-77,-79,-83,-89,-79,-82,-200,-87,-83,-83,-89,-83,-200,-85,-85,-89,-94,-88,-92,-88,-94,-93,-87,-85,-95,-200,-96,-89,-93,-90,-90,-94,-200,-200,-95,-92,-200,-79,-88,-200,-88,-79,-92,-200,-84,-87,-86,-83,-89,-200,-80,-85,-200,-95,-77,-200,-200,-97,-200,-200,-93,-94,-96,-96
1526453763174,-32,-41,-48,-49,-69,-61,-54,-54,-61,-63,-59,-66,-58,-58,-55,-62,-77,-57,-67,-69,-77,-72,-54,-200,-74,-82,-69,-78,-76,-77,-75,-72,-85,-81,-78,-89,-83,-86,-80,-79,-82,-89,-78,-82,-200,-200,-83,-83,-200,-80,-200,-86,-87,-90,-94,-87,-93,-88,-94,-94,-88,-85,-93,-200,-96,-89,-93,-91,-92,-93,-200,-200,-95,-92,-200,-79,-88,-200,-90,-79,-92,-200,-84,-84,-200,-88,-89,-200,-80,-85,-200,-96,-77,-200,-200,-96,-200,-200,-93,-94,-96,-96
