,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,whu2011314,WHU-2018,whjx-gaofeng-13,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526454234665,-27,-35,-46,-61,-58,-48,-59,-53,-53,-60,-59,-54,-67,-58,-68,-69,-61,-58,-65,-61,-62,-72,-57,-65,-72,-74,-65,-69,-75,-89,-76,-81,-72,-81,-76,-76,-80,-77,-86,-77,-200,-200,-71,-86,-85,-77,-86,-200,-89,-83,-80,-86,-91,-75,-82,-89,-84,-82,-90,-84,-82,-200,-85,-200,-96,-95,-90,-87,-84,-77,-86,-93,-91,-200,-91,-83,-200,-95,-200,-89,-200,-200,-92,-200,-94,-91,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-88,-94,-95,-94,-200,-200,-200,-200,-200,-200,-200
1526454237717,-31,-37,-50,-57,-53,-50,-45,-58,-51,-59,-55,-58,-200,-62,-68,-73,-59,-47,-65,-64,-59,-76,-62,-76,-70,-74,-64,-61,-68,-87,-76,-200,-71,-76,-76,-78,-81,-73,-82,-79,-200,-200,-71,-86,-81,-77,-85,-200,-89,-81,-84,-86,-86,-74,-80,-89,-84,-81,-92,-78,-82,-74,-85,-94,-90,-86,-200,-87,-85,-80,-86,-91,-91,-200,-91,-200,-85,-95,-200,-87,-200,-94,-92,-200,-94,-91,-200,-200,-200,-200,-200,-95,-94,-200,-200,-82,-94,-93,-200,-200,-200,-200,-88,-200,-200,-94,-94,-95,-200,-200,-200,-200,-200
1526454240775,-31,-34,-49,-57,-54,-48,-45,-56,-51,-57,-57,-60,-67,-61,-70,-67,-67,-52,-64,-62,-64,-73,-59,-71,-69,-75,-63,-71,-69,-89,-200,-200,-74,-76,-76,-80,-79,-76,-82,-78,-200,-200,-200,-86,-83,-83,-82,-200,-200,-84,-89,-86,-86,-76,-79,-89,-84,-84,-94,-75,-82,-83,-87,-93,-90,-88,-87,-200,-85,-80,-200,-93,-91,-90,-91,-93,-85,-95,-200,-87,-200,-92,-92,-200,-200,-94,-200,-88,-200,-200,-200,-95,-94,-200,-80,-81,-94,-93,-200,-93,-200,-83,-88,-200,-200,-94,-94,-95,-200,-200,-200,-200,-200
1526454243829,-31,-37,-47,-62,-54,-48,-49,-56,-53,-59,-52,-56,-67,-61,-70,-68,-65,-54,-65,-59,-58,-78,-56,-67,-69,-71,-67,-69,-69,-84,-200,-200,-71,-76,-76,-79,-79,-76,-87,-77,-200,-78,-68,-200,-82,-84,-86,-200,-200,-86,-83,-88,-86,-77,-79,-86,-86,-84,-93,-76,-81,-83,-87,-93,-90,-90,-85,-200,-83,-86,-200,-93,-90,-90,-200,-90,-85,-95,-200,-89,-200,-92,-200,-200,-200,-94,-200,-88,-200,-200,-200,-200,-93,-87,-80,-84,-200,-93,-200,-93,-82,-89,-200,-200,-200,-95,-94,-95,-94,-200,-200,-200,-200
1526454246884,-32,-33,-48,-63,-50,-51,-45,-55,-52,-59,-59,-60,-67,-60,-71,-76,-73,-52,-64,-60,-68,-77,-55,-70,-69,-71,-65,-66,-73,-84,-81,-200,-72,-77,-75,-79,-80,-76,-82,-78,-200,-78,-68,-200,-79,-84,-79,-200,-200,-87,-84,-88,-200,-77,-63,-86,-89,-85,-94,-76,-81,-83,-87,-93,-93,-87,-88,-200,-82,-84,-200,-93,-88,-89,-200,-90,-88,-96,-200,-87,-200,-92,-92,-200,-200,-94,-200,-88,-200,-200,-200,-200,-96,-87,-79,-82,-200,-200,-200,-94,-84,-86,-200,-97,-200,-95,-200,-200,-94,-86,-200,-200,-200
1526454249938,-32,-37,-47,-60,-43,-47,-45,-56,-53,-58,-58,-62,-66,-61,-71,-70,-64,-50,-61,-60,-67,-73,-52,-73,-70,-73,-66,-67,-68,-89,-77,-76,-72,-77,-75,-79,-79,-76,-83,-77,-200,-87,-68,-90,-85,-83,-84,-200,-90,-87,-83,-87,-91,-76,-63,-86,-88,-85,-94,-76,-80,-200,-89,-200,-93,-87,-86,-200,-88,-82,-200,-200,-90,-89,-200,-91,-89,-91,-200,-87,-200,-92,-93,-200,-200,-93,-200,-200,-200,-200,-74,-200,-96,-87,-79,-82,-200,-200,-200,-95,-82,-86,-200,-97,-200,-95,-200,-200,-92,-86,-95,-200,-200
1526454252991,-34,-34,-48,-56,-52,-50,-46,-59,-55,-61,-58,-62,-71,-64,-70,-66,-63,-50,-60,-64,-70,-73,-53,-65,-70,-72,-68,-76,-68,-89,-82,-75,-70,-75,-79,-78,-81,-76,-81,-77,-200,-77,-71,-88,-85,-83,-87,-200,-92,-85,-82,-85,-91,-79,-63,-200,-84,-84,-92,-81,-81,-200,-89,-200,-93,-87,-86,-87,-88,-82,-200,-200,-90,-89,-200,-91,-89,-91,-200,-92,-200,-94,-93,-200,-200,-93,-200,-89,-200,-200,-74,-95,-96,-200,-75,-87,-200,-200,-200,-95,-81,-86,-200,-94,-200,-200,-200,-200,-92,-86,-95,-91,-200
1526454256051,-26,-36,-49,-61,-55,-49,-50,-53,-52,-58,-59,-58,-71,-61,-66,-70,-60,-52,-63,-60,-63,-73,-58,-65,-69,-71,-65,-67,-73,-88,-77,-75,-74,-72,-79,-80,-79,-76,-86,-75,-200,-77,-71,-88,-85,-83,-67,-200,-92,-86,-81,-83,-91,-75,-84,-200,-83,-84,-96,-82,-78,-200,-89,-74,-93,-94,-85,-87,-86,-82,-200,-200,-91,-200,-89,-85,-84,-91,-200,-88,-200,-93,-94,-200,-200,-93,-200,-89,-200,-200,-76,-87,-96,-200,-75,-83,-200,-200,-200,-95,-81,-200,-200,-94,-200,-200,-200,-94,-92,-200,-95,-91,-90
1526454259107,-30,-34,-51,-59,-52,-48,-47,-53,-52,-58,-58,-63,-71,-61,-66,-69,-58,-55,-63,-58,-62,-76,-58,-67,-70,-71,-64,-68,-65,-90,-80,-75,-72,-66,-78,-79,-79,-77,-85,-76,-200,-81,-71,-88,-85,-83,-82,-86,-80,-85,-81,-86,-200,-75,-84,-200,-85,-83,-93,-79,-81,-200,-200,-84,-200,-94,-88,-87,-86,-80,-200,-93,-88,-200,-89,-88,-84,-200,-200,-88,-200,-92,-94,-200,-200,-94,-96,-89,-200,-200,-76,-87,-96,-200,-81,-83,-200,-200,-200,-200,-81,-200,-200,-94,-200,-96,-200,-95,-95,-200,-200,-91,-90
1526454262169,-30,-37,-50,-59,-54,-48,-55,-50,-53,-56,-58,-56,-67,-62,-69,-70,-71,-55,-66,-63,-65,-72,-53,-67,-70,-71,-64,-65,-79,-90,-80,-75,-72,-74,-77,-79,-77,-79,-86,-76,-200,-81,-72,-88,-84,-84,-82,-86,-80,-85,-80,-86,-200,-66,-83,-200,-85,-83,-94,-77,-79,-200,-91,-84,-200,-92,-86,-200,-86,-80,-200,-93,-89,-200,-89,-88,-84,-91,-200,-87,-200,-95,-94,-200,-200,-95,-94,-89,-200,-200,-77,-87,-96,-86,-81,-83,-200,-95,-200,-200,-200,-200,-200,-200,-200,-95,-200,-95,-95,-200,-200,-200,-90
