,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,DLINK_D00ED8,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,WHU-2018,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A88,WHU-2018
1526453652188,-59,-46,-58,-59,-67,-57,-60,-62,-63,-73,-69,-76,-62,-80,-58,-66,-76,-73,-51,-85,-77,-80,-64,-74,-69,-76,-82,-83,-70,-85,-70,-200,-74,-93,-85,-74,-84,-84,-87,-90,-92,-85,-85,-91,-92,-87,-77,-82,-82,-79,-200,-200,-96,-80,-200,-200,-91,-88,-200,-78,-94,-91,-89,-95,-86,-86,-93,-200,-90,-89,-88,-96,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-89,-91,-90,-200,-200,-94,-200,-200,-200,-86,-200,-200,-200,-98,-200,-94,-200,-200
1526453655225,-60,-51,-56,-59,-70,-56,-63,-62,-69,-70,-70,-79,-68,-80,-56,-59,-78,-73,-51,-85,-77,-81,-65,-71,-70,-76,-89,-74,-73,-82,-78,-200,-73,-83,-86,-74,-80,-81,-87,-84,-87,-88,-83,-91,-90,-90,-87,-86,-83,-84,-86,-200,-200,-80,-93,-92,-90,-86,-200,-77,-94,-92,-89,-95,-86,-92,-91,-200,-90,-89,-89,-97,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-89,-88,-200,-200,-94,-200,-200,-96,-86,-200,-200,-95,-98,-96,-200,-200,-200
1526453658279,-58,-49,-54,-63,-66,-51,-60,-59,-66,-70,-64,-80,-61,-75,-56,-61,-76,-74,-50,-89,-77,-79,-68,-76,-75,-75,-80,-78,-71,-82,-78,-80,-75,-83,-86,-74,-78,-83,-93,-89,-92,-88,-83,-85,-90,-90,-85,-86,-84,-80,-93,-200,-94,-81,-93,-92,-91,-85,-200,-79,-96,-92,-88,-95,-86,-92,-92,-200,-90,-84,-89,-96,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-89,-90,-200,-200,-94,-200,-200,-95,-86,-200,-200,-95,-98,-96,-200,-200,-200
1526453661334,-54,-50,-56,-59,-69,-51,-62,-61,-66,-68,-66,-79,-61,-76,-55,-58,-76,-73,-50,-89,-76,-79,-67,-74,-68,-75,-80,-78,-71,-82,-78,-80,-76,-90,-89,-75,-80,-83,-91,-89,-92,-88,-81,-85,-90,-90,-80,-86,-83,-82,-93,-94,-94,-81,-93,-92,-91,-88,-98,-75,-95,-92,-89,-200,-86,-92,-92,-200,-200,-84,-90,-96,-200,-91,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-90,-89,-200,-200,-94,-200,-200,-94,-200,-200,-93,-95,-200,-96,-200,-200,-200
1526453664386,-60,-49,-55,-63,-68,-53,-62,-61,-67,-69,-68,-76,-67,-77,-55,-62,-76,-72,-50,-78,-77,-79,-66,-74,-77,-76,-80,-80,-70,-82,-78,-80,-76,-92,-87,-77,-83,-83,-90,-89,-88,-89,-81,-89,-91,-90,-88,-86,-82,-80,-86,-94,-94,-80,-200,-200,-90,-86,-98,-81,-95,-92,-89,-200,-86,-88,-92,-200,-200,-85,-90,-96,-200,-95,-200,-92,-200,-200,-94,-200,-200,-200,-200,-88,-89,-90,-200,-200,-94,-200,-200,-94,-200,-200,-93,-200,-200,-97,-200,-200,-200
1526453667439,-57,-48,-56,-61,-70,-53,-60,-62,-66,-72,-67,-81,-68,-72,-56,-55,-76,-71,-50,-78,-77,-79,-64,-72,-77,-76,-80,-78,-66,-82,-78,-200,-76,-92,-87,-76,-79,-83,-92,-89,-89,-85,-81,-89,-90,-91,-88,-85,-83,-80,-94,-94,-200,-81,-92,-200,-90,-86,-98,-80,-95,-92,-89,-200,-86,-87,-93,-200,-200,-92,-90,-200,-200,-94,-200,-91,-200,-200,-94,-200,-200,-200,-200,-89,-89,-90,-200,-200,-200,-200,-200,-94,-200,-200,-93,-93,-200,-97,-200,-93,-200
1526453670486,-58,-50,-58,-60,-72,-52,-60,-61,-66,-71,-65,-82,-62,-71,-56,-61,-76,-74,-50,-89,-75,-80,-68,-76,-75,-75,-80,-76,-69,-83,-78,-200,-76,-86,-87,-76,-83,-82,-92,-89,-97,-86,-89,-89,-90,-91,-79,-83,-83,-83,-94,-200,-200,-81,-92,-200,-90,-88,-200,-80,-91,-92,-88,-200,-86,-86,-93,-200,-200,-90,-89,-200,-200,-94,-200,-92,-200,-200,-97,-200,-200,-200,-200,-89,-90,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-97,-200,-93,-200
1526453673537,-58,-50,-54,-64,-69,-52,-60,-61,-67,-69,-65,-78,-62,-75,-54,-58,-77,-72,-50,-83,-76,-79,-66,-74,-68,-75,-81,-76,-69,-82,-78,-200,-74,-92,-87,-76,-82,-84,-91,-87,-97,-85,-90,-91,-91,-89,-89,-82,-84,-81,-94,-200,-200,-81,-92,-200,-89,-87,-200,-80,-94,-92,-89,-200,-85,-92,-92,-200,-200,-90,-88,-200,-200,-94,-200,-94,-200,-200,-97,-200,-200,-200,-200,-89,-89,-89,-200,-200,-200,-200,-200,-95,-200,-200,-91,-93,-200,-97,-200,-93,-95
1526453676581,-56,-50,-54,-58,-71,-51,-59,-61,-65,-72,-67,-78,-61,-75,-56,-61,-76,-74,-50,-83,-78,-79,-66,-74,-68,-75,-81,-76,-69,-81,-78,-200,-75,-86,-87,-76,-84,-82,-91,-88,-97,-88,-80,-91,-91,-91,-86,-83,-83,-80,-87,-200,-200,-81,-200,-200,-90,-86,-200,-81,-95,-200,-89,-200,-85,-91,-91,-200,-200,-86,-89,-200,-200,-200,-200,-91,-200,-200,-97,-200,-200,-200,-200,-89,-89,-89,-200,-200,-200,-200,-200,-95,-200,-200,-93,-200,-200,-97,-200,-200,-95
1526453679625,-56,-51,-54,-64,-71,-52,-58,-61,-66,-70,-66,-77,-68,-75,-55,-53,-78,-72,-50,-83,-76,-79,-65,-74,-69,-76,-81,-76,-72,-82,-80,-200,-74,-85,-85,-73,-84,-82,-92,-88,-200,-85,-80,-85,-91,-91,-77,-83,-83,-83,-87,-200,-200,-81,-200,-200,-90,-89,-200,-83,-94,-200,-89,-94,-86,-93,-93,-200,-200,-86,-89,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-88,-89,-89,-200,-200,-200,-200,-200,-95,-200,-200,-93,-200,-200,-200,-200,-200,-95
1526453682667,-55,-48,-57,-59,-68,-51,-61,-60,-67,-70,-66,-77,-61,-73,-55,-61,-76,-74,-50,-84,-77,-79,-68,-74,-69,-76,-200,-79,-72,-83,-78,-200,-68,-86,-87,-77,-83,-85,-92,-88,-200,-85,-81,-85,-92,-90,-87,-87,-83,-80,-87,-200,-200,-78,-91,-200,-89,-86,-200,-81,-92,-200,-200,-94,-87,-86,-93,-200,-200,-86,-91,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-88,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526453685714,-57,-48,-57,-63,-71,-52,-60,-59,-63,-70,-65,-82,-68,-76,-56,-62,-73,-72,-50,-84,-78,-79,-67,-72,-76,-75,-200,-78,-72,-82,-78,-200,-75,-93,-87,-76,-78,-82,-91,-88,-200,-85,-81,-83,-91,-88,-89,-86,-83,-82,-87,-200,-200,-81,-92,-200,-89,-86,-200,-81,-93,-88,-200,-94,-87,-87,-93,-200,-200,-91,-89,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-89,-90,-90,-200,-200,-200,-200,-200,-200,-200,-89,-200,-97,-200,-200,-200,-200,-200
