,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
1526449788998,-63,-87,-90,-200,-200,-200,-67,-200,-82,-200,-84,-200,-200,-200,-200
1526449789193,-64,-200,-87,-200,-74,-68,-200,-200,-82,-200,-200,-91,-200,-200,-200
1526449789301,-64,-200,-89,-200,-200,-68,-61,-200,-82,-200,-84,-200,-200,-200,-200
1526449789400,-200,-200,-88,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526449793522,-200,-200,-86,-200,-82,-71,-74,-200,-200,-82,-200,-200,-90,-91,-200
1526449793631,-200,-80,-85,-200,-82,-200,-200,-200,-91,-82,-200,-200,-89,-200,-200
1526449793732,-200,-200,-86,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-92,-200
1526449793840,-87,-200,-86,-200,-83,-200,-200,-200,-88,-200,-200,-200,-200,-91,-200
1526449798466,-200,-90,-90,-88,-79,-65,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526449798570,-63,-90,-91,-200,-80,-66,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526449798674,-200,-89,-89,-200,-80,-66,-65,-200,-90,-200,-200,-200,-200,-200,-200
1526449798780,-62,-200,-90,-200,-80,-200,-65,-200,-200,-200,-200,-89,-200,-200,-200
1526449798917,-200,-200,-200,-88,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449803461,-200,-200,-200,-83,-200,-66,-62,-200,-81,-200,-200,-200,-200,-200,-200
1526449803559,-64,-200,-88,-200,-73,-67,-62,-88,-82,-200,-84,-200,-200,-200,-200
1526449803661,-64,-93,-200,-200,-200,-66,-62,-200,-82,-92,-85,-92,-200,-200,-200
1526449803766,-64,-200,-85,-200,-73,-68,-62,-200,-200,-200,-85,-200,-200,-200,-200
1526449803881,-200,-78,-85,-200,-200,-67,-62,-200,-89,-82,-200,-200,-200,-200,-200
1526449808567,-200,-79,-86,-200,-200,-68,-200,-200,-89,-82,-200,-200,-200,-200,-200
1526449808676,-200,-78,-85,-200,-200,-200,-72,-200,-88,-82,-200,-200,-200,-200,-200
1526449808793,-200,-78,-85,-200,-83,-68,-200,-200,-88,-82,-200,-200,-90,-200,-200
1526449808894,-64,-77,-89,-200,-75,-200,-61,-200,-82,-90,-200,-200,-200,-90,-200
1526449813603,-65,-94,-87,-81,-200,-66,-61,-200,-82,-90,-85,-200,-200,-200,-200
1526449813721,-65,-92,-200,-81,-75,-66,-61,-200,-81,-200,-200,-200,-200,-200,-200
1526449813832,-64,-93,-200,-200,-200,-68,-200,-200,-82,-200,-85,-200,-200,-200,-200
1526449813942,-65,-200,-200,-200,-200,-66,-200,-200,-200,-200,-85,-200,-200,-200,-200
