,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D02A18
1526466031531,-29,-50,-44,-42,-63,-43,-42,-66,-52,-52,-64,-64,-200,-51,-200,-200,-67,-51,-70,-200,-200,-200,-200,-82,-66,-200,-77,-200,-72,-80,-87,-87,-200,-78,-85,-77,-200,-87,-85,-49,-63,-71,-37,-47,-64,-70,-72,-56,-74,-54,-76,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466034551,-29,-50,-44,-42,-63,-43,-42,-66,-52,-52,-64,-64,-200,-51,-200,-200,-67,-51,-70,-200,-200,-200,-200,-82,-66,-200,-77,-200,-72,-80,-87,-87,-200,-78,-85,-77,-200,-87,-85,-49,-63,-71,-37,-47,-64,-70,-72,-56,-74,-54,-76,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466037563,-26,-51,-42,-42,-63,-44,-42,-66,-51,-52,-62,-64,-200,-51,-200,-200,-64,-52,-200,-200,-200,-200,-200,-82,-66,-200,-78,-200,-71,-75,-87,-89,-200,-79,-83,-75,-200,-87,-88,-50,-200,-200,-37,-47,-64,-68,-75,-56,-74,-54,-76,-61,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466040584,-26,-51,-42,-42,-63,-44,-42,-66,-51,-52,-62,-64,-200,-51,-200,-200,-64,-52,-200,-200,-200,-200,-200,-82,-66,-200,-78,-200,-71,-75,-87,-89,-200,-79,-83,-75,-200,-87,-88,-50,-200,-200,-37,-47,-64,-68,-75,-56,-74,-54,-76,-61,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466043625,-26,-52,-42,-40,-63,-43,-42,-66,-51,-54,-58,-66,-200,-51,-200,-200,-65,-52,-69,-200,-200,-66,-200,-82,-66,-200,-78,-200,-73,-76,-87,-89,-200,-79,-82,-78,-200,-86,-87,-52,-200,-200,-38,-47,-63,-68,-75,-53,-74,-55,-76,-64,-69,-60,-60,-78,-200,-200,-200,-200,-200,-200
1526466046639,-26,-52,-42,-40,-200,-43,-42,-66,-51,-54,-58,-66,-200,-51,-200,-200,-65,-52,-69,-200,-200,-66,-200,-82,-66,-200,-78,-200,-73,-76,-87,-89,-200,-79,-82,-78,-200,-86,-87,-52,-200,-200,-38,-47,-63,-68,-75,-53,-200,-55,-76,-64,-69,-60,-60,-78,-200,-200,-200,-200,-200,-200
1526466049668,-26,-52,-44,-40,-200,-44,-44,-66,-49,-51,-58,-65,-200,-52,-200,-62,-67,-53,-69,-200,-200,-66,-200,-81,-66,-200,-78,-200,-73,-76,-87,-89,-200,-77,-82,-78,-200,-85,-87,-52,-200,-75,-38,-48,-63,-68,-75,-53,-200,-55,-76,-64,-69,-62,-60,-78,-79,-80,-80,-200,-200,-200
1526466052684,-26,-52,-44,-40,-200,-44,-44,-200,-49,-51,-58,-65,-200,-52,-200,-62,-67,-53,-69,-200,-200,-66,-200,-81,-66,-200,-78,-200,-73,-76,-87,-89,-200,-77,-82,-78,-200,-85,-87,-52,-200,-75,-38,-48,-63,-68,-75,-53,-200,-55,-200,-64,-69,-62,-60,-78,-79,-80,-80,-200,-200,-200
1526466055702,-26,-50,-44,-40,-200,-43,-41,-200,-50,-53,-58,-65,-200,-52,-200,-62,-63,-53,-69,-200,-200,-63,-73,-81,-66,-200,-79,-200,-70,-75,-87,-89,-200,-79,-82,-77,-200,-85,-87,-53,-200,-75,-38,-48,-61,-68,-75,-53,-200,-55,-200,-64,-69,-58,-60,-78,-79,-80,-80,-56,-87,-88
1526466058728,-26,-50,-44,-40,-200,-43,-41,-200,-50,-53,-58,-65,-200,-52,-200,-62,-63,-53,-69,-200,-200,-63,-73,-81,-66,-200,-79,-200,-70,-75,-87,-89,-200,-79,-82,-77,-200,-85,-87,-53,-200,-75,-38,-48,-61,-68,-75,-53,-200,-55,-200,-64,-69,-58,-60,-78,-79,-80,-80,-56,-87,-88
1526466061754,-26,-49,-43,-40,-200,-42,-42,-200,-50,-53,-58,-67,-200,-52,-200,-62,-63,-53,-68,-200,-200,-63,-73,-83,-63,-200,-78,-75,-73,-79,-87,-89,-200,-79,-82,-77,-200,-85,-86,-53,-200,-75,-38,-48,-61,-68,-75,-53,-200,-55,-200,-64,-69,-62,-59,-78,-79,-80,-80,-56,-87,-88
1526466064770,-26,-49,-43,-40,-200,-42,-42,-200,-50,-53,-58,-67,-200,-52,-200,-62,-63,-53,-68,-200,-200,-63,-73,-83,-63,-200,-78,-75,-73,-79,-87,-200,-200,-79,-82,-77,-200,-85,-86,-53,-200,-75,-38,-48,-61,-200,-75,-53,-200,-55,-200,-64,-69,-62,-59,-78,-79,-80,-80,-56,-87,-88
