,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526460033676,-39,-45,-39,-49,-63,-88,-57,-68,-50,-44,-55,-63,-56,-200,-60,-48,-47,-67,-61,-68,-69,-200,-69,-80,-200,-76,-73,-76,-78,-77,-200,-80,-200,-200,-200,-200,-200,-200,-73,-83,-74,-200,-75,-81,-73,-87,-200,-84,-200,-200,-63,-72,-200,-80,-200,-87,-65,-81,-200,-200,-81,-200,-200,-200,-200,-200,-74,-84,-70,-85,-91,-91,-92,-200,-200,-200,-200,-200,-200
1526460036718,-40,-38,-32,-46,-63,-58,-54,-65,-52,-43,-53,-63,-56,-200,-61,-44,-47,-64,-58,-68,-59,-67,-76,-76,-200,-78,-68,-66,-77,-200,-200,-83,-200,-85,-83,-70,-200,-200,-73,-200,-72,-200,-75,-78,-72,-73,-200,-84,-200,-200,-63,-73,-200,-80,-200,-200,-200,-78,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-91,-76,-85,-88,-200,-200,-200,-200
1526460039729,-32,-46,-32,-44,-62,-55,-54,-59,-52,-37,-87,-62,-59,-61,-62,-45,-44,-68,-62,-68,-59,-62,-76,-69,-200,-73,-65,-66,-75,-200,-70,-81,-200,-85,-69,-71,-200,-200,-73,-200,-73,-200,-77,-81,-73,-73,-200,-89,-200,-200,-63,-73,-200,-80,-200,-200,-200,-78,-200,-200,-81,-200,-87,-200,-200,-200,-200,-200,-70,-200,-200,-91,-76,-85,-88,-83,-84,-200,-200
1526460042736,-38,-46,-33,-45,-62,-50,-200,-59,-55,-41,-52,-62,-59,-63,-62,-46,-44,-63,-67,-200,-200,-63,-200,-69,-200,-75,-63,-74,-73,-200,-70,-78,-200,-76,-87,-71,-200,-200,-67,-200,-75,-200,-74,-81,-71,-200,-200,-87,-200,-200,-70,-200,-200,-82,-200,-87,-64,-200,-80,-200,-200,-200,-85,-200,-200,-82,-200,-200,-200,-200,-200,-200,-82,-82,-200,-83,-84,-200,-200
1526460045784,-32,-46,-33,-45,-63,-56,-56,-60,-59,-39,-51,-62,-54,-71,-62,-45,-42,-65,-65,-66,-200,-75,-78,-75,-200,-76,-64,-71,-74,-200,-70,-79,-200,-76,-70,-70,-200,-200,-67,-200,-72,-200,-74,-81,-71,-200,-200,-87,-200,-200,-70,-200,-200,-82,-200,-87,-64,-200,-80,-79,-200,-200,-85,-200,-200,-82,-200,-200,-200,-200,-200,-200,-83,-82,-200,-83,-84,-83,-200
1526460048797,-32,-46,-33,-45,-60,-65,-58,-59,-57,-40,-51,-200,-52,-71,-63,-45,-42,-69,-62,-67,-200,-63,-80,-75,-200,-76,-64,-71,-75,-200,-68,-80,-200,-76,-69,-70,-200,-200,-67,-200,-68,-200,-74,-79,-71,-200,-200,-87,-200,-200,-70,-200,-200,-84,-200,-87,-61,-200,-80,-78,-200,-86,-85,-200,-200,-81,-200,-200,-200,-200,-200,-89,-79,-82,-200,-200,-200,-83,-200
1526460051839,-32,-46,-31,-46,-57,-56,-58,-61,-55,-39,-52,-200,-61,-64,-63,-44,-44,-68,-55,-67,-70,-62,-79,-77,-200,-59,-65,-200,-74,-200,-68,-84,-73,-74,-71,-71,-200,-200,-200,-200,-69,-200,-68,-80,-72,-74,-200,-88,-200,-200,-69,-200,-200,-82,-200,-200,-60,-200,-200,-78,-83,-86,-200,-78,-200,-82,-200,-200,-86,-200,-200,-91,-81,-200,-200,-200,-200,-200,-200
1526460054904,-32,-48,-32,-48,-56,-55,-55,-61,-55,-39,-49,-200,-68,-66,-63,-43,-44,-69,-67,-70,-70,-69,-80,-72,-200,-75,-68,-73,-77,-200,-68,-84,-73,-74,-79,-74,-200,-200,-200,-200,-69,-200,-76,-80,-70,-74,-200,-88,-200,-200,-70,-200,-200,-82,-200,-85,-55,-200,-200,-78,-83,-86,-85,-81,-200,-82,-200,-200,-86,-200,-200,-91,-81,-200,-200,-200,-200,-82,-200
1526460057976,-32,-41,-33,-52,-57,-59,-58,-200,-57,-39,-53,-200,-61,-65,-200,-44,-42,-70,-59,-69,-200,-62,-76,-77,-200,-79,-67,-73,-74,-73,-62,-86,-71,-70,-78,-73,-200,-200,-200,-200,-68,-200,-74,-80,-69,-74,-200,-86,-200,-200,-68,-200,-200,-200,-200,-86,-55,-200,-200,-78,-200,-200,-80,-81,-200,-82,-87,-200,-200,-200,-200,-200,-79,-76,-88,-200,-200,-82,-200
1526460061025,-40,-41,-32,-46,-57,-56,-58,-62,-56,-39,-48,-59,-62,-65,-200,-43,-44,-69,-65,-70,-200,-62,-76,-77,-200,-79,-70,-73,-73,-73,-62,-82,-71,-74,-77,-73,-200,-200,-68,-200,-69,-200,-82,-82,-70,-74,-200,-86,-200,-200,-68,-77,-200,-200,-200,-85,-57,-75,-80,-77,-200,-200,-78,-81,-200,-82,-87,-200,-200,-200,-200,-200,-79,-76,-88,-200,-200,-82,-200
1526460064096,-32,-41,-32,-44,-59,-58,-58,-62,-55,-41,-56,-62,-62,-63,-62,-48,-44,-69,-61,-70,-200,-63,-200,-200,-200,-74,-65,-82,-76,-200,-200,-73,-200,-74,-74,-70,-200,-87,-68,-200,-72,-200,-77,-78,-73,-72,-200,-86,-200,-200,-74,-78,-200,-200,-200,-86,-69,-75,-80,-77,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-91
1526460067099,-40,-41,-38,-46,-58,-54,-200,-63,-57,-46,-51,-56,-200,-57,-64,-47,-52,-70,-61,-67,-200,-64,-200,-200,-200,-75,-67,-82,-75,-200,-200,-85,-67,-200,-74,-70,-200,-87,-78,-200,-73,-200,-70,-83,-72,-75,-200,-86,-200,-200,-68,-78,-200,-85,-200,-86,-69,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-91
