,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011314,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,DLINK_D013A8,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526459854895,-32,-40,-39,-46,-50,-38,-54,-59,-57,-57,-70,-51,-200,-49,-200,-56,-51,-64,-67,-200,-58,-59,-70,-67,-200,-71,-79,-200,-200,-81,-84,-77,-200,-76,-78,-200,-73,-200,-200,-200,-200,-200,-59,-85,-68,-50,-200,-53,-74,-62,-69,-200,-80,-56,-200,-50,-200,-200,-65,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-58,-200,-86,-86,-86,-80,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459857963,-32,-40,-38,-48,-47,-41,-54,-59,-57,-60,-65,-53,-200,-52,-200,-55,-51,-64,-62,-200,-58,-62,-70,-67,-200,-66,-79,-200,-200,-81,-83,-77,-200,-80,-78,-200,-73,-79,-200,-200,-200,-82,-59,-85,-66,-52,-200,-53,-74,-62,-70,-67,-80,-83,-200,-47,-200,-200,-65,-200,-72,-200,-200,-83,-200,-200,-79,-200,-200,-200,-200,-65,-200,-86,-86,-86,-80,-83,-83,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459860996,-31,-41,-38,-47,-48,-38,-54,-59,-57,-61,-63,-54,-200,-48,-200,-57,-51,-63,-68,-200,-200,-66,-70,-67,-200,-66,-200,-200,-76,-81,-83,-70,-200,-74,-200,-200,-200,-79,-200,-81,-78,-81,-200,-86,-65,-52,-200,-53,-200,-66,-74,-67,-200,-84,-200,-47,-85,-200,-200,-200,-72,-200,-200,-200,-200,-200,-79,-200,-200,-200,-86,-67,-200,-200,-200,-200,-200,-200,-83,-89,-67,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459864054,-39,-40,-36,-45,-51,-37,-62,-58,-55,-62,-69,-56,-200,-50,-63,-57,-50,-64,-62,-64,-200,-65,-68,-73,-200,-200,-77,-200,-77,-81,-83,-76,-200,-74,-200,-200,-200,-79,-200,-81,-78,-81,-65,-84,-65,-51,-200,-44,-63,-57,-70,-66,-81,-56,-200,-48,-85,-88,-63,-200,-73,-74,-200,-200,-200,-200,-80,-80,-85,-200,-86,-67,-200,-200,-200,-200,-200,-200,-200,-200,-67,-82,-74,-80,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459867107,-28,-35,-34,-53,-48,-41,-59,-58,-56,-57,-70,-55,-200,-68,-59,-58,-49,-64,-62,-64,-63,-77,-69,-73,-200,-66,-77,-200,-76,-79,-83,-77,-200,-80,-73,-200,-200,-200,-200,-200,-200,-82,-65,-83,-65,-51,-200,-46,-67,-58,-70,-66,-77,-84,-200,-47,-200,-88,-59,-200,-73,-74,-200,-200,-200,-200,-80,-80,-85,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-74,-80,-84,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459870117,-31,-40,-39,-48,-47,-41,-57,-64,-57,-62,-63,-55,-200,-49,-59,-55,-53,-200,-62,-200,-62,-66,-69,-76,-200,-66,-200,-200,-76,-81,-82,-78,-200,-80,-73,-200,-200,-200,-200,-200,-200,-82,-60,-83,-65,-52,-200,-46,-67,-58,-74,-200,-81,-83,-200,-49,-200,-86,-59,-200,-72,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-63,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-87,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459873165,-50,-39,-39,-61,-46,-34,-56,-59,-57,-63,-76,-56,-77,-49,-68,-55,-67,-65,-65,-200,-73,-60,-70,-65,-200,-66,-200,-200,-76,-80,-84,-77,-92,-80,-73,-200,-72,-200,-200,-200,-200,-82,-60,-82,-65,-67,-200,-62,-79,-80,-67,-200,-80,-83,-200,-62,-200,-86,-91,-200,-86,-200,-200,-83,-200,-200,-79,-200,-200,-200,-200,-63,-81,-77,-200,-200,-200,-83,-200,-200,-200,-200,-72,-200,-200,-87,-86,-86,-87,-88,-91,-200,-200,-200,-200,-200,-200
1526459876189,-37,-39,-39,-44,-46,-38,-56,-60,-57,-64,-76,-54,-77,-51,-56,-56,-60,-63,-66,-200,-58,-66,-69,-76,-200,-67,-78,-200,-77,-80,-84,-78,-92,-79,-77,-200,-72,-200,-200,-200,-82,-200,-79,-83,-59,-67,-200,-45,-65,-71,-67,-200,-80,-83,-200,-62,-200,-87,-91,-200,-73,-78,-200,-83,-200,-200,-79,-200,-200,-200,-200,-69,-81,-80,-200,-200,-200,-84,-81,-200,-72,-78,-200,-200,-200,-200,-200,-86,-87,-88,-91,-68,-85,-86,-200,-200,-200
1526459879246,-36,-40,-38,-47,-46,-68,-55,-60,-57,-66,-200,-55,-200,-50,-54,-57,-51,-64,-64,-200,-60,-62,-70,-75,-75,-70,-78,-200,-75,-81,-83,-77,-200,-75,-76,-200,-200,-200,-200,-200,-82,-200,-79,-70,-67,-40,-200,-43,-63,-62,-70,-200,-81,-84,-200,-49,-200,-86,-200,-200,-73,-78,-200,-200,-75,-200,-79,-200,-200,-200,-88,-69,-200,-80,-200,-200,-200,-84,-81,-200,-71,-78,-75,-78,-200,-200,-200,-200,-200,-200,-200,-68,-88,-86,-200,-200,-200
1526459882305,-32,-39,-37,-41,-47,-38,-65,-62,-57,-63,-72,-56,-200,-56,-60,-56,-51,-65,-59,-200,-60,-58,-68,-68,-75,-70,-63,-200,-75,-80,-83,-77,-200,-77,-76,-200,-200,-200,-200,-200,-81,-82,-59,-70,-67,-40,-200,-43,-63,-62,-88,-200,-80,-83,-200,-50,-200,-86,-200,-200,-73,-78,-78,-79,-75,-200,-79,-200,-200,-200,-88,-69,-200,-80,-200,-200,-200,-84,-81,-200,-71,-78,-75,-78,-200,-200,-200,-86,-200,-200,-200,-68,-88,-86,-90,-200,-200
1526459885365,-39,-41,-38,-61,-53,-37,-59,-58,-58,-58,-62,-54,-200,-47,-62,-56,-52,-65,-65,-200,-200,-62,-70,-64,-200,-200,-63,-200,-76,-81,-77,-77,-200,-74,-200,-200,-200,-200,-200,-84,-81,-82,-64,-84,-68,-50,-200,-200,-62,-59,-68,-200,-79,-56,-80,-51,-200,-84,-200,-200,-72,-200,-78,-79,-200,-200,-200,-200,-200,-200,-200,-65,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-69,-200,-200,-90,-87,-200
1526459888381,-30,-35,-39,-42,-48,-88,-61,-56,-58,-58,-78,-50,-200,-48,-54,-57,-55,-63,-68,-69,-72,-75,-70,-71,-200,-59,-200,-88,-75,-81,-84,-70,-200,-74,-200,-200,-200,-200,-200,-84,-90,-200,-55,-84,-66,-53,-200,-45,-67,-78,-68,-67,-80,-82,-80,-66,-90,-83,-77,-200,-72,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-88,-200,-200,-200,-200,-83,-200,-200,-200,-200,-75,-200,-200,-91,-200,-83,-200,-200,-200,-68,-200,-200,-200,-87,-88
