,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D00EC0,DLINK_D00E98
1526460515333,-34,-36,-41,-55,-56,-41,-50,-50,-47,-50,-52,-55,-57,-53,-77,-59,-58,-200,-65,-57,-59,-73,-64,-69,-200,-65,-52,-79,-77,-68,-72,-73,-67,-70,-59,-200,-70,-200,-61,-200,-200,-78,-77,-74,-76,-87,-200,-200,-200,-79,-69,-91,-84,-59,-200,-200,-200,-200,-85,-67,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-80,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-87,-89,-77,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460518386,-34,-38,-40,-54,-72,-66,-50,-49,-47,-56,-49,-55,-61,-67,-77,-66,-71,-54,-80,-76,-59,-73,-82,-69,-200,-73,-54,-200,-69,-68,-200,-73,-67,-200,-81,-200,-200,-200,-62,-200,-200,-78,-77,-74,-77,-87,-200,-200,-200,-79,-80,-91,-84,-59,-200,-200,-200,-200,-85,-81,-200,-200,-72,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-80,-85,-92,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-77,-83,-75,-85,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460521394,-33,-37,-41,-65,-69,-46,-50,-49,-47,-51,-48,-55,-52,-55,-77,-58,-58,-51,-66,-57,-200,-200,-74,-69,-200,-65,-52,-200,-77,-69,-200,-200,-67,-70,-65,-200,-71,-200,-63,-200,-68,-81,-78,-74,-77,-85,-200,-200,-200,-79,-80,-89,-57,-61,-200,-200,-200,-200,-200,-67,-69,-200,-63,-200,-76,-200,-200,-200,-200,-200,-200,-200,-77,-69,-83,-92,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-83,-200,-74,-85,-90,-91,-79,-82,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460524413,-34,-36,-40,-55,-57,-46,-50,-49,-47,-53,-88,-54,-67,-57,-76,-58,-58,-71,-51,-57,-200,-200,-68,-68,-200,-65,-52,-84,-78,-69,-200,-80,-67,-69,-63,-200,-71,-200,-62,-200,-69,-81,-74,-73,-76,-85,-200,-200,-200,-79,-80,-89,-57,-61,-200,-200,-200,-200,-200,-66,-69,-200,-63,-200,-76,-200,-200,-200,-200,-200,-200,-200,-88,-69,-83,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-83,-200,-74,-200,-200,-200,-79,-82,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460527475,-33,-37,-41,-55,-57,-46,-47,-50,-47,-49,-49,-55,-67,-56,-76,-66,-58,-71,-73,-58,-60,-200,-68,-67,-200,-71,-51,-84,-77,-69,-200,-80,-65,-70,-63,-200,-74,-200,-63,-200,-69,-79,-78,-73,-77,-85,-88,-200,-83,-79,-79,-89,-56,-61,-83,-77,-81,-200,-200,-66,-69,-200,-70,-200,-76,-200,-200,-200,-200,-87,-86,-200,-88,-79,-83,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-85,-200,-74,-200,-200,-200,-79,-82,-85,-87,-85,-89,-200,-200,-200,-200,-200,-200,-200
1526460530526,-32,-38,-41,-78,-54,-74,-50,-50,-47,-52,-51,-55,-71,-56,-76,-58,-58,-57,-66,-58,-58,-200,-63,-68,-200,-70,-53,-200,-80,-69,-77,-74,-66,-70,-200,-200,-74,-200,-61,-200,-200,-79,-78,-200,-69,-200,-88,-200,-83,-200,-78,-200,-56,-200,-83,-77,-81,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-87,-86,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-82,-200,-200,-200,-200,-200,-85,-89,-84,-84,-200,-200,-200,-200,-200
1526460533591,-31,-37,-40,-66,-58,-45,-48,-50,-47,-50,-48,-57,-87,-68,-75,-68,-57,-57,-66,-54,-58,-74,-63,-70,-200,-83,-53,-200,-77,-69,-77,-74,-63,-70,-68,-200,-86,-79,-59,-200,-200,-200,-77,-200,-76,-200,-200,-200,-200,-90,-77,-200,-200,-59,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-83,-63,-200,-200,-200,-200,-200,-84,-84,-200,-200,-200,-200,-200
1526460536648,-33,-39,-43,-58,-72,-46,-50,-50,-52,-50,-50,-56,-57,-52,-76,-59,-59,-200,-52,-54,-62,-76,-69,-71,-200,-65,-50,-200,-78,-69,-77,-73,-66,-70,-70,-200,-86,-79,-61,-200,-200,-200,-77,-65,-77,-200,-200,-200,-83,-78,-80,-89,-56,-59,-200,-200,-200,-76,-200,-66,-69,-200,-70,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-80,-83,-200,-200,-200,-70,-200,-91,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-83,-63,-200,-200,-200,-200,-200,-200,-200,-83,-84,-89,-200,-200
1526460539716,-33,-37,-41,-58,-55,-46,-50,-49,-48,-50,-49,-55,-66,-57,-76,-59,-58,-200,-66,-57,-59,-76,-64,-69,-200,-71,-53,-200,-78,-69,-77,-74,-67,-70,-65,-200,-200,-200,-59,-200,-200,-79,-77,-65,-76,-88,-200,-200,-82,-77,-79,-89,-50,-200,-70,-200,-200,-76,-200,-66,-68,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-80,-83,-200,-200,-200,-70,-200,-91,-200,-200,-200,-87,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-83,-84,-89,-200,-200
1526460542767,-33,-38,-42,-60,-50,-41,-50,-49,-47,-52,-48,-56,-80,-54,-76,-57,-55,-57,-66,-50,-59,-76,-69,-72,-200,-66,-53,-200,-79,-69,-77,-74,-66,-70,-66,-200,-200,-200,-63,-67,-200,-79,-78,-70,-76,-88,-200,-200,-82,-77,-76,-89,-53,-62,-70,-200,-200,-77,-200,-66,-68,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-75,-76,-80,-83,-200,-200,-200,-70,-200,-91,-200,-200,-200,-87,-200,-200,-83,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-83,-84,-89,-79,-88
1526460545835,-34,-38,-40,-58,-50,-41,-50,-49,-47,-50,-50,-56,-80,-53,-76,-57,-58,-54,-64,-54,-55,-75,-69,-70,-200,-66,-50,-200,-79,-200,-200,-74,-67,-66,-66,-200,-64,-82,-60,-67,-71,-200,-71,-67,-77,-200,-200,-200,-82,-200,-82,-200,-56,-62,-200,-200,-200,-77,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-75,-200,-73,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-83,-75,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-88
1526460548894,-33,-39,-42,-56,-58,-41,-50,-49,-45,-50,-50,-55,-200,-57,-76,-58,-58,-54,-64,-54,-55,-75,-69,-71,-75,-66,-53,-200,-78,-200,-200,-74,-80,-66,-66,-68,-64,-82,-63,-67,-71,-200,-76,-67,-76,-200,-200,-200,-82,-78,-76,-200,-55,-200,-200,-200,-200,-200,-85,-200,-68,-200,-200,-200,-66,-200,-200,-200,-200,-200,-85,-73,-200,-73,-200,-200,-200,-200,-69,-200,-89,-200,-200,-200,-200,-200,-200,-200,-87,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
