,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,WHU-2018,WHU-2018,WHU-2018,whu2011314,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro
1526459932243,-34,-38,-34,-52,-50,-44,-49,-47,-42,-46,-41,-51,-57,-55,-58,-55,-86,-72,-58,-51,-67,-58,-59,-68,-200,-62,-67,-73,-72,-200,-200,-75,-59,-200,-76,-80,-69,-200,-200,-200,-200,-76,-77,-78,-87,-83,-75,-85,-200,-79,-200,-200,-74,-76,-200,-200,-200,-200,-200,-200,-76,-82,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-74,-77,-86,-76,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459935284,-26,-36,-35,-41,-58,-43,-51,-53,-55,-46,-43,-47,-58,-60,-56,-53,-86,-51,-55,-52,-68,-58,-59,-68,-200,-62,-67,-67,-72,-200,-200,-75,-54,-77,-76,-77,-69,-200,-200,-200,-200,-80,-75,-77,-87,-82,-74,-85,-200,-80,-200,-200,-71,-76,-200,-200,-73,-81,-200,-200,-78,-82,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-77,-83,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526459938333,-26,-35,-42,-45,-60,-42,-53,-46,-55,-54,-44,-47,-58,-57,-56,-53,-62,-84,-48,-51,-69,-68,-59,-66,-200,-67,-71,-67,-73,-200,-200,-76,-54,-77,-76,-82,-69,-200,-200,-200,-200,-78,-76,-73,-87,-78,-74,-85,-200,-80,-200,-200,-73,-76,-200,-200,-73,-80,-200,-200,-78,-81,-200,-66,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-73,-200,-200,-200,-200,-76,-77,-83,-85,-86,-200,-200,-200,-200,-200,-200,-200
1526459941399,-34,-37,-35,-45,-52,-40,-51,-46,-54,-55,-43,-49,-58,-50,-57,-55,-62,-51,-51,-51,-62,-73,-59,-66,-75,-67,-75,-68,-76,-200,-200,-76,-54,-77,-200,-80,-200,-200,-200,-82,-82,-78,-74,-83,-82,-78,-73,-200,-200,-80,-200,-200,-74,-200,-200,-200,-73,-80,-200,-200,-78,-83,-200,-65,-88,-200,-200,-200,-200,-200,-75,-200,-200,-88,-200,-200,-82,-73,-86,-200,-200,-200,-200,-200,-83,-85,-86,-81,-200,-200,-200,-200,-200,-200
1526459944455,-31,-46,-37,-45,-55,-40,-52,-48,-77,-55,-44,-51,-50,-59,-57,-57,-66,-48,-67,-53,-67,-68,-200,-200,-73,-64,-75,-67,-70,-200,-200,-76,-200,-200,-200,-75,-200,-200,-200,-82,-82,-200,-76,-84,-79,-75,-75,-83,-83,-200,-200,-85,-75,-200,-200,-200,-200,-77,-78,-200,-76,-78,-200,-69,-87,-200,-200,-200,-200,-200,-75,-200,-200,-88,-200,-200,-200,-200,-86,-200,-200,-200,-78,-200,-200,-200,-84,-81,-83,-91,-200,-200,-200,-200
1526459947468,-27,-35,-37,-43,-49,-44,-50,-48,-60,-200,-44,-51,-50,-55,-59,-54,-66,-48,-47,-49,-66,-54,-62,-70,-73,-73,-66,-68,-71,-200,-200,-77,-200,-200,-200,-76,-200,-200,-200,-200,-200,-83,-79,-83,-79,-78,-77,-87,-83,-200,-200,-85,-79,-200,-200,-71,-77,-84,-78,-200,-76,-78,-200,-68,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-82,-200,-83,-200,-200,-200,-78,-200,-200,-200,-84,-200,-83,-91,-200,-200,-200,-200
1526459950513,-25,-36,-35,-43,-52,-44,-52,-49,-60,-200,-40,-56,-200,-55,-59,-53,-65,-46,-48,-49,-81,-64,-62,-70,-200,-73,-66,-65,-71,-200,-200,-77,-57,-200,-200,-77,-200,-66,-200,-200,-200,-83,-84,-84,-200,-79,-59,-87,-200,-200,-200,-200,-74,-200,-200,-71,-77,-84,-200,-200,-76,-83,-200,-68,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-82,-200,-82,-200,-85,-200,-200,-200,-82,-200,-84,-200,-84,-200,-200,-200,-85,-200,-200,-200
1526459953530,-30,-37,-35,-41,-51,-200,-51,-59,-52,-200,-43,-49,-200,-55,-59,-55,-65,-46,-55,-47,-81,-65,-62,-70,-200,-73,-200,-67,-70,-200,-200,-200,-55,-72,-200,-76,-200,-66,-200,-200,-200,-200,-74,-72,-81,-78,-75,-200,-200,-200,-82,-200,-74,-200,-200,-83,-77,-200,-79,-200,-79,-83,-200,-66,-200,-200,-200,-88,-200,-88,-200,-200,-200,-81,-200,-200,-200,-200,-85,-200,-200,-200,-82,-200,-84,-200,-84,-200,-200,-200,-85,-200,-200,-200
1526459956606,-29,-47,-36,-42,-51,-200,-47,-59,-45,-200,-38,-46,-200,-60,-59,-55,-68,-51,-47,-53,-81,-61,-62,-65,-65,-70,-63,-68,-70,-200,-200,-76,-55,-78,-200,-73,-200,-66,-200,-200,-200,-200,-74,-86,-81,-82,-57,-200,-200,-200,-82,-200,-73,-200,-200,-83,-76,-200,-79,-200,-79,-78,-200,-67,-200,-200,-200,-88,-200,-88,-200,-200,-200,-81,-200,-200,-200,-84,-80,-200,-75,-200,-82,-200,-84,-200,-84,-200,-200,-200,-88,-200,-200,-200
1526459959663,-33,-42,-37,-45,-51,-200,-47,-49,-42,-49,-40,-48,-200,-53,-53,-63,-65,-51,-47,-53,-200,-61,-63,-65,-65,-70,-63,-69,-200,-200,-200,-75,-55,-81,-200,-78,-200,-85,-200,-200,-200,-80,-74,-74,-200,-82,-76,-83,-200,-200,-200,-200,-74,-200,-200,-200,-74,-81,-200,-200,-80,-74,-90,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-79,-200,-75,-200,-200,-200,-84,-200,-200,-200,-200,-200,-88,-91,-200,-200
1526459962718,-31,-38,-34,-50,-55,-41,-53,-49,-41,-47,-41,-47,-57,-58,-59,-63,-65,-57,-62,-51,-70,-61,-63,-67,-65,-70,-70,-69,-200,-200,-200,-77,-55,-81,-200,-80,-200,-64,-200,-200,-200,-80,-74,-86,-200,-75,-73,-83,-200,-200,-200,-84,-70,-200,-200,-200,-74,-81,-200,-200,-80,-74,-90,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-84,-200,-200,-84,-80,-200,-75,-200,-200,-200,-82,-200,-200,-200,-200,-200,-88,-91,-85,-200
1526459965757,-32,-21,-38,-44,-61,-41,-47,-200,-41,-47,-41,-49,-57,-55,-59,-59,-64,-57,-54,-52,-69,-63,-200,-70,-200,-66,-70,-68,-70,-200,-200,-78,-200,-200,-200,-78,-200,-64,-200,-200,-200,-80,-74,-85,-200,-81,-59,-81,-200,-200,-200,-84,-71,-200,-200,-200,-74,-200,-86,-200,-200,-79,-200,-200,-85,-200,-82,-200,-200,-200,-200,-200,-200,-83,-84,-200,-200,-200,-81,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-85,-90
