,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526442194995,-27,-44,-38,-55,-58,-71,-62,-56,-60,-63,-77,-74,-73,-77,-82,-86,-78,-80,-83,-200,-85,-200,-88,-86,-200,-200,-200,-91,-200,-200,-200
1526442198018,-27,-44,-38,-55,-58,-71,-62,-56,-60,-63,-77,-74,-73,-77,-82,-86,-78,-80,-83,-200,-85,-200,-88,-86,-200,-200,-200,-91,-200,-200,-200
1526442201026,-27,-44,-38,-55,-58,-71,-62,-56,-60,-63,-77,-74,-73,-77,-82,-86,-78,-80,-83,-200,-85,-200,-88,-86,-200,-200,-200,-91,-200,-200,-200
1526442204063,-27,-43,-40,-56,-55,-70,-63,-56,-64,-63,-75,-200,-76,-79,-200,-84,-200,-81,-200,-200,-86,-82,-85,-88,-200,-200,-200,-89,-87,-200,-200
1526442207093,-27,-44,-39,-55,-56,-68,-63,-56,-60,-62,-75,-78,-74,-79,-200,-84,-200,-81,-86,-200,-86,-82,-85,-88,-87,-200,-200,-89,-87,-200,-200
1526442210125,-27,-44,-39,-55,-56,-68,-63,-56,-60,-62,-75,-78,-74,-79,-200,-84,-200,-81,-86,-200,-86,-82,-85,-88,-87,-200,-200,-89,-87,-200,-200
1526442213158,-27,-44,-39,-55,-56,-68,-63,-56,-60,-62,-75,-78,-74,-79,-200,-84,-200,-81,-86,-200,-86,-82,-85,-88,-87,-200,-200,-89,-87,-200,-200
1526442216200,-26,-43,-39,-58,-57,-64,-64,-58,-60,-64,-75,-78,-73,-78,-83,-200,-81,-79,-86,-200,-87,-82,-86,-86,-87,-200,-200,-91,-200,-87,-200
1526442219244,-28,-48,-40,-59,-58,-67,-62,-59,-63,-64,-73,-76,-73,-85,-83,-84,-81,-79,-86,-200,-85,-78,-86,-86,-87,-200,-200,-91,-200,-87,-91
1526442222276,-28,-48,-40,-59,-58,-67,-62,-59,-63,-64,-73,-76,-73,-85,-83,-84,-81,-79,-86,-200,-85,-78,-86,-86,-87,-200,-200,-91,-200,-87,-91
1526442225306,-28,-48,-40,-59,-58,-67,-62,-59,-63,-64,-73,-76,-73,-85,-83,-84,-81,-79,-86,-200,-85,-78,-86,-86,-87,-200,-200,-91,-200,-87,-91
1526442228352,-27,-41,-43,-60,-58,-67,-63,-60,-62,-64,-72,-76,-74,-82,-77,-84,-84,-80,-82,-88,-85,-77,-200,-85,-200,-200,-200,-91,-200,-200,-91
