,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D00EC0,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro
1526465679799,-34,-48,-61,-67,-74,-56,-59,-63,-78,-63,-58,-69,-80,-72,-81,-79,-73,-81,-79,-73,-77,-200,-200,-79,-81,-87,-200,-72,-200,-87,-87,-86,-200,-86,-82,-200,-90,-200,-200,-71,-84,-200,-200,-200,-200,-200,-200,-87,-72,-200,-85,-200,-90,-90,-200,-200,-200,-200,-84,-200,-89,-88,-200,-200,-200,-200,-200,-200
1526465682841,-37,-48,-58,-67,-200,-65,-60,-63,-65,-63,-58,-74,-200,-70,-76,-200,-73,-73,-79,-78,-81,-200,-75,-76,-81,-200,-79,-72,-200,-87,-87,-86,-200,-200,-82,-200,-200,-200,-200,-71,-200,-85,-88,-200,-200,-78,-200,-87,-72,-200,-85,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-88,-86,-88,-90,-91,-200,-200
1526465685849,-35,-46,-69,-63,-65,-61,-66,-65,-78,-61,-69,-79,-85,-71,-73,-200,-200,-77,-75,-79,-84,-82,-79,-79,-200,-200,-80,-200,-200,-200,-200,-200,-200,-83,-200,-200,-89,-200,-200,-82,-84,-200,-200,-87,-200,-200,-200,-84,-84,-90,-200,-200,-200,-87,-88,-200,-200,-200,-85,-200,-200,-200,-81,-200,-200,-200,-83,-200
1526465688900,-36,-49,-77,-63,-65,-65,-65,-68,-77,-62,-71,-79,-85,-73,-75,-85,-200,-78,-78,-80,-85,-84,-81,-78,-82,-200,-80,-200,-200,-200,-200,-83,-200,-83,-200,-200,-89,-200,-200,-82,-84,-82,-200,-87,-200,-200,-200,-84,-84,-89,-80,-200,-200,-87,-88,-200,-200,-88,-85,-86,-200,-200,-83,-200,-200,-200,-77,-200
1526465691911,-34,-46,-66,-65,-67,-61,-68,-65,-84,-60,-69,-85,-85,-71,-75,-76,-200,-77,-76,-79,-82,-84,-78,-61,-79,-200,-80,-200,-200,-200,-200,-83,-200,-83,-200,-200,-89,-200,-200,-82,-85,-81,-83,-87,-200,-200,-200,-84,-84,-89,-80,-200,-200,-87,-88,-200,-200,-88,-85,-86,-200,-200,-83,-200,-200,-90,-82,-200
1526465694955,-36,-48,-64,-68,-67,-58,-66,-69,-80,-59,-69,-85,-200,-73,-200,-76,-200,-77,-77,-81,-84,-200,-78,-76,-75,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-81,-85,-80,-83,-89,-200,-200,-200,-200,-200,-90,-200,-200,-200,-89,-200,-200,-200,-90,-84,-85,-200,-87,-200,-200,-200,-90,-78,-200
1526465697975,-40,-48,-64,-61,-69,-61,-67,-64,-86,-68,-70,-77,-200,-71,-75,-200,-200,-79,-75,-79,-83,-86,-78,-76,-80,-200,-200,-200,-200,-200,-85,-200,-200,-86,-200,-200,-91,-200,-200,-81,-79,-82,-200,-89,-200,-200,-200,-200,-200,-90,-200,-200,-200,-89,-200,-200,-200,-90,-84,-85,-200,-87,-200,-200,-200,-89,-78,-200
1526465701060,-34,-47,-59,-63,-70,-59,-64,-62,-81,-62,-69,-200,-83,-67,-75,-200,-77,-85,-75,-200,-84,-80,-82,-74,-78,-200,-200,-200,-200,-200,-86,-83,-85,-83,-87,-200,-200,-200,-200,-88,-78,-81,-200,-87,-200,-79,-89,-88,-81,-89,-83,-200,-200,-87,-200,-89,-88,-200,-85,-87,-200,-200,-84,-200,-200,-200,-74,-200
1526465704127,-39,-47,-62,-61,-70,-61,-71,-64,-78,-61,-68,-71,-79,-67,-75,-200,-77,-79,-77,-200,-80,-80,-82,-75,-78,-91,-82,-77,-200,-200,-86,-83,-85,-83,-84,-200,-200,-200,-200,-88,-78,-87,-86,-87,-200,-79,-91,-88,-81,-91,-83,-200,-200,-87,-200,-89,-88,-200,-85,-87,-200,-200,-88,-200,-90,-200,-74,-200
1526465707179,-36,-47,-59,-65,-65,-61,-68,-64,-61,-75,-68,-73,-79,-70,-75,-200,-74,-79,-76,-78,-82,-200,-79,-74,-80,-91,-82,-77,-200,-200,-86,-88,-85,-83,-86,-200,-200,-200,-200,-83,-79,-79,-86,-200,-200,-200,-91,-200,-75,-91,-83,-200,-200,-200,-200,-89,-87,-200,-88,-87,-200,-200,-88,-200,-90,-200,-74,-200
1526465710194,-36,-48,-58,-62,-64,-60,-60,-65,-60,-66,-68,-73,-200,-72,-75,-75,-74,-77,-74,-77,-80,-200,-78,-74,-80,-200,-81,-78,-84,-200,-86,-81,-200,-200,-87,-200,-200,-200,-200,-83,-83,-78,-86,-88,-200,-200,-200,-200,-80,-89,-200,-200,-200,-200,-200,-89,-87,-200,-88,-200,-200,-200,-200,-200,-200,-200,-76,-200
1526465713239,-36,-47,-60,-62,-64,-58,-58,-64,-73,-67,-68,-72,-200,-73,-200,-75,-200,-77,-76,-77,-82,-84,-77,-59,-80,-200,-82,-78,-84,-200,-200,-81,-200,-200,-86,-200,-200,-200,-200,-200,-83,-78,-86,-88,-200,-200,-90,-87,-80,-89,-87,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-81
