,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,whu2011309,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011314,DLINK_D00EC0,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,DLINK_D00EB8,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526465374049,-39,-31,-47,-56,-37,-40,-50,-50,-58,-51,-56,-52,-86,-61,-57,-42,-54,-64,-64,-70,-60,-44,-200,-73,-63,-67,-200,-72,-71,-60,-73,-79,-76,-200,-77,-200,-61,-71,-64,-77,-200,-85,-79,-80,-84,-76,-84,-67,-200,-76,-200,-78,-72,-73,-65,-200,-200,-83,-200,-71,-200,-200,-58,-73,-200,-78,-200,-200,-89,-200,-90,-200,-200,-76,-80,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526465377117,-37,-30,-48,-58,-38,-38,-50,-51,-55,-51,-64,-54,-58,-66,-56,-40,-90,-61,-64,-70,-59,-45,-200,-73,-63,-70,-200,-74,-72,-70,-73,-79,-72,-200,-77,-200,-61,-71,-64,-72,-82,-85,-79,-80,-83,-76,-84,-64,-200,-76,-200,-76,-68,-73,-67,-200,-74,-83,-200,-71,-200,-200,-58,-73,-70,-78,-200,-200,-89,-200,-90,-200,-200,-200,-77,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526465380155,-43,-34,-47,-57,-37,-45,-53,-49,-53,-51,-54,-55,-58,-66,-58,-40,-54,-61,-62,-70,-61,-45,-200,-73,-66,-70,-78,-55,-73,-65,-200,-200,-75,-73,-73,-200,-200,-71,-65,-72,-82,-200,-60,-200,-84,-79,-85,-64,-200,-82,-200,-76,-68,-200,-67,-200,-74,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-74,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526465383216,-38,-34,-48,-57,-43,-40,-46,-45,-55,-51,-61,-57,-58,-58,-58,-43,-54,-62,-70,-78,-58,-47,-57,-73,-57,-200,-78,-74,-73,-63,-200,-200,-75,-70,-75,-200,-67,-200,-65,-200,-200,-80,-75,-79,-82,-81,-81,-200,-200,-82,-65,-65,-64,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-81,-200,-74,-200,-88,-84,-200,-200,-200,-200,-200,-200
1526465386221,-34,-43,-40,-200,-39,-44,-47,-46,-57,-46,-58,-60,-69,-54,-61,-43,-200,-66,-69,-76,-59,-44,-57,-200,-88,-200,-200,-78,-200,-63,-88,-200,-71,-66,-75,-200,-64,-200,-200,-200,-200,-81,-71,-72,-70,-84,-82,-68,-200,-90,-65,-65,-64,-74,-200,-80,-72,-78,-200,-200,-200,-200,-53,-200,-200,-78,-200,-200,-200,-70,-81,-82,-200,-75,-81,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200
1526465389285,-39,-50,-42,-49,-37,-44,-45,-49,-59,-51,-58,-62,-67,-54,-61,-43,-54,-65,-73,-77,-62,-44,-57,-200,-60,-200,-200,-75,-67,-68,-88,-200,-71,-65,-75,-78,-64,-200,-200,-70,-200,-82,-76,-72,-82,-82,-83,-66,-200,-87,-65,-68,-69,-74,-200,-80,-72,-78,-200,-200,-200,-200,-53,-200,-200,-78,-200,-200,-200,-70,-83,-82,-200,-75,-81,-200,-200,-200,-200,-84,-85,-90,-200,-200,-200,-200
1526465392358,-36,-71,-44,-52,-40,-40,-46,-49,-55,-51,-52,-47,-67,-54,-58,-41,-83,-65,-70,-80,-57,-47,-200,-69,-60,-200,-200,-73,-71,-68,-200,-200,-73,-68,-200,-78,-200,-200,-200,-70,-200,-78,-77,-200,-70,-81,-81,-63,-200,-87,-200,-68,-66,-73,-200,-200,-200,-81,-200,-200,-200,-200,-56,-73,-200,-200,-200,-200,-200,-200,-83,-200,-200,-89,-200,-200,-86,-200,-200,-200,-85,-90,-89,-200,-200,-200
1526465395379,-38,-33,-47,-51,-39,-42,-45,-50,-58,-51,-51,-56,-66,-53,-58,-43,-83,-65,-70,-80,-59,-45,-200,-74,-60,-70,-200,-72,-74,-67,-200,-200,-73,-70,-73,-78,-66,-200,-63,-70,-200,-80,-75,-200,-73,-73,-82,-63,-200,-87,-64,-68,-61,-73,-200,-200,-78,-81,-200,-200,-200,-200,-56,-73,-200,-89,-200,-200,-200,-200,-83,-200,-200,-89,-200,-200,-86,-76,-200,-200,-85,-90,-89,-200,-200,-200
1526465398440,-39,-35,-44,-53,-40,-41,-44,-48,-58,-53,-71,-62,-61,-53,-62,-43,-200,-62,-71,-200,-67,-46,-200,-74,-59,-70,-200,-74,-70,-69,-200,-83,-73,-67,-73,-200,-67,-200,-71,-200,-200,-79,-76,-200,-62,-84,-80,-71,-200,-88,-64,-68,-61,-63,-72,-200,-78,-200,-200,-200,-200,-200,-55,-200,-77,-89,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526465401480,-37,-36,-43,-52,-40,-38,-45,-49,-54,-53,-65,-59,-61,-54,-61,-44,-51,-60,-71,-200,-58,-44,-66,-200,-67,-56,-200,-77,-68,-69,-200,-83,-76,-67,-200,-200,-68,-200,-71,-200,-200,-79,-75,-200,-81,-85,-80,-65,-200,-87,-200,-68,-64,-56,-72,-200,-200,-81,-200,-200,-200,-200,-55,-200,-77,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200
1526465404558,-38,-43,-44,-52,-44,-44,-44,-48,-69,-49,-52,-60,-63,-55,-61,-45,-51,-57,-71,-200,-58,-44,-66,-74,-61,-56,-200,-76,-68,-62,-69,-200,-72,-66,-200,-200,-76,-200,-200,-200,-200,-83,-75,-75,-82,-81,-81,-65,-200,-87,-200,-68,-71,-82,-200,-200,-73,-81,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-74,-84
1526465407615,-37,-35,-43,-54,-40,-42,-46,-63,-53,-49,-55,-56,-63,-53,-59,-43,-51,-63,-68,-78,-58,-46,-200,-74,-59,-200,-200,-57,-69,-68,-69,-200,-45,-69,-200,-200,-76,-200,-57,-54,-200,-56,-76,-75,-77,-82,-45,-65,-200,-200,-200,-69,-71,-79,-200,-200,-73,-200,-200,-200,-200,-200,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-84
