,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D013A8,DLINK_D02A20,DLINK_D02A88,D-Link_DIR-823Pro,whu2011314,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526450048406,-38,-46,-36,-52,-54,-55,-200,-59,-49,-50,-76,-64,-63,-55,-67,-53,-64,-61,-84,-200,-68,-63,-68,-200,-73,-73,-77,-74,-200,-69,-200,-75,-79,-200,-69,-200,-200,-75,-78,-69,-200,-83,-84,-83,-76,-81,-200,-68,-81,-83,-85,-200,-85,-200,-83,-200,-63,-71,-78,-200,-80,-81,-200,-200,-200,-79,-200,-200,-86,-200,-200,-84,-200,-83,-200,-200,-200,-91,-200,-73,-200,-80,-83,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450051412,-36,-51,-40,-48,-50,-49,-54,-52,-54,-51,-73,-65,-200,-50,-59,-51,-65,-66,-200,-200,-69,-57,-200,-200,-73,-72,-69,-73,-200,-69,-200,-80,-79,-200,-67,-200,-76,-77,-78,-200,-200,-83,-200,-200,-76,-81,-200,-200,-87,-83,-85,-200,-200,-200,-80,-200,-66,-71,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-84,-200,-83,-74,-200,-200,-87,-200,-73,-200,-85,-200,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450054460,-36,-48,-43,-49,-50,-60,-78,-59,-50,-55,-68,-75,-75,-56,-62,-54,-63,-66,-200,-200,-69,-70,-200,-200,-65,-85,-67,-72,-200,-77,-74,-77,-68,-82,-69,-200,-76,-53,-78,-70,-200,-83,-77,-200,-89,-81,-200,-67,-87,-78,-85,-200,-82,-200,-80,-200,-68,-71,-200,-75,-200,-200,-200,-200,-73,-86,-200,-200,-200,-200,-77,-84,-200,-83,-74,-200,-200,-87,-200,-73,-83,-85,-200,-89,-89,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450057498,-37,-54,-37,-50,-52,-60,-78,-54,-54,-53,-69,-70,-75,-59,-62,-51,-63,-200,-200,-72,-73,-70,-200,-200,-65,-68,-67,-72,-200,-76,-74,-79,-74,-84,-65,-200,-200,-79,-68,-77,-200,-80,-79,-200,-89,-200,-200,-68,-82,-81,-200,-86,-82,-200,-200,-200,-68,-200,-200,-78,-200,-200,-200,-80,-73,-77,-200,-200,-200,-200,-77,-200,-200,-200,-200,-81,-200,-200,-200,-69,-83,-200,-200,-87,-200,-84,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526450060572,-37,-57,-41,-49,-50,-54,-78,-52,-53,-61,-71,-70,-65,-52,-61,-51,-63,-61,-200,-72,-68,-69,-200,-200,-65,-68,-67,-76,-200,-76,-74,-79,-69,-81,-72,-200,-200,-81,-66,-77,-200,-80,-79,-200,-89,-200,-200,-68,-82,-81,-200,-88,-82,-200,-200,-200,-65,-200,-73,-78,-200,-200,-200,-80,-70,-76,-200,-200,-200,-200,-79,-200,-200,-200,-200,-81,-200,-200,-72,-69,-83,-200,-80,-87,-200,-84,-83,-70,-200,-200,-200,-200,-200,-200,-200
1526450063635,-38,-53,-43,-47,-51,-50,-200,-50,-53,-57,-72,-65,-65,-55,-60,-52,-58,-61,-77,-200,-84,-69,-68,-70,-66,-74,-200,-80,-200,-70,-80,-80,-71,-81,-74,-200,-200,-78,-66,-200,-200,-200,-75,-200,-200,-80,-200,-70,-80,-83,-200,-88,-86,-200,-85,-200,-65,-200,-73,-200,-200,-200,-200,-200,-70,-76,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-72,-75,-85,-200,-80,-200,-200,-200,-200,-70,-85,-88,-200,-200,-200,-200,-200
1526450066703,-39,-55,-37,-47,-52,-79,-53,-52,-54,-56,-67,-63,-60,-52,-62,-56,-60,-61,-75,-200,-69,-66,-65,-70,-66,-74,-73,-74,-200,-68,-80,-79,-71,-200,-69,-200,-200,-78,-200,-200,-200,-75,-81,-200,-70,-80,-82,-56,-80,-83,-200,-86,-86,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-86,-200,-77,-200,-87,-200,-73,-85,-200,-200,-200,-200,-200,-200,-71,-80,-88,-88,-200,-200,-200,-200
1526450069764,-36,-56,-40,-46,-52,-69,-67,-52,-59,-54,-74,-67,-60,-57,-63,-63,-64,-65,-90,-72,-83,-64,-65,-200,-70,-76,-67,-76,-200,-83,-200,-74,-78,-200,-67,-86,-200,-75,-72,-200,-200,-90,-81,-200,-70,-200,-82,-69,-82,-84,-200,-87,-87,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-85,-87,-87,-200,-200,-86,-72,-77,-200,-87,-200,-73,-200,-200,-89,-200,-200,-200,-93,-70,-80,-200,-88,-82,-200,-200,-200
1526450072825,-37,-58,-35,-49,-52,-53,-57,-57,-50,-57,-64,-64,-60,-55,-69,-60,-64,-65,-67,-56,-65,-73,-65,-200,-73,-68,-71,-59,-200,-83,-200,-76,-72,-200,-66,-86,-200,-70,-73,-200,-200,-90,-76,-200,-83,-200,-82,-72,-81,-82,-88,-87,-87,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-85,-87,-87,-200,-200,-81,-72,-77,-200,-87,-200,-73,-86,-200,-89,-200,-200,-200,-93,-70,-80,-200,-88,-82,-83,-89,-200
1526450075868,-41,-49,-35,-47,-51,-48,-57,-59,-49,-54,-73,-63,-61,-54,-68,-60,-67,-200,-69,-56,-65,-71,-70,-200,-73,-72,-71,-72,-200,-79,-200,-78,-72,-200,-67,-200,-200,-75,-73,-200,-200,-79,-77,-200,-83,-78,-200,-72,-85,-82,-88,-200,-89,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-73,-71,-200,-200,-200,-200,-200,-200,-200,-73,-200,-74,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-89,-200
1526450078928,-41,-49,-37,-48,-57,-54,-56,-56,-52,-53,-74,-63,-68,-54,-62,-53,-63,-200,-69,-65,-200,-70,-72,-200,-71,-76,-200,-69,-200,-79,-74,-75,-74,-84,-69,-200,-79,-78,-69,-75,-200,-79,-75,-200,-200,-79,-200,-200,-85,-75,-200,-200,-89,-200,-200,-200,-70,-200,-78,-200,-200,-200,-200,-200,-77,-71,-200,-200,-200,-200,-200,-200,-86,-83,-78,-77,-200,-200,-77,-70,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450081976,-43,-54,-35,-46,-50,-52,-53,-56,-51,-63,-74,-71,-63,-53,-62,-53,-66,-70,-200,-65,-60,-71,-72,-200,-71,-73,-80,-71,-200,-200,-74,-71,-76,-84,-70,-200,-79,-78,-70,-69,-200,-200,-75,-200,-200,-79,-200,-200,-79,-83,-200,-85,-85,-200,-200,-200,-70,-200,-78,-200,-200,-85,-200,-200,-77,-75,-80,-200,-200,-200,-200,-200,-86,-84,-78,-77,-200,-200,-77,-70,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88
