,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526450710633,-71,-43,-47,-42,-38,-43,-52,-53,-51,-52,-49,-71,-59,-53,-54,-71,-58,-60,-61,-200,-61,-200,-61,-72,-69,-69,-200,-200,-63,-76,-68,-64,-72,-62,-200,-67,-64,-200,-200,-80,-67,-73,-75,-200,-74,-200,-200,-79,-200,-80,-86,-200,-200,-200,-200,-200,-82,-200,-89,-200,-70,-200,-200,-200,-86,-71,-200,-70,-80,-200,-200,-200,-200,-90,-85,-200,-200,-200,-200,-200,-200,-75,-83,-200,-200,-200,-74,-63,-81,-82,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450713680,-32,-49,-53,-42,-40,-42,-53,-51,-51,-58,-49,-56,-200,-58,-56,-73,-63,-59,-61,-72,-64,-200,-61,-200,-62,-68,-74,-73,-61,-65,-200,-200,-200,-63,-200,-67,-67,-200,-200,-80,-200,-78,-70,-76,-58,-200,-200,-79,-200,-81,-200,-89,-200,-200,-200,-200,-79,-200,-90,-200,-200,-200,-73,-200,-200,-69,-200,-200,-78,-200,-200,-200,-200,-200,-81,-200,-70,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-85,-200,-200,-200,-70,-82,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450716743,-27,-49,-50,-43,-42,-42,-52,-52,-52,-58,-49,-59,-57,-56,-55,-64,-66,-59,-61,-68,-64,-200,-60,-200,-67,-68,-74,-73,-62,-59,-200,-200,-200,-61,-200,-62,-86,-200,-75,-80,-200,-78,-70,-76,-58,-200,-200,-80,-200,-80,-200,-89,-200,-200,-200,-200,-82,-200,-90,-200,-200,-200,-73,-200,-86,-68,-200,-200,-78,-200,-200,-200,-200,-87,-84,-200,-70,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-85,-200,-200,-200,-70,-82,-86,-88,-74,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526450719806,-30,-42,-52,-43,-40,-47,-54,-52,-52,-49,-50,-53,-59,-58,-74,-59,-62,-61,-60,-84,-60,-200,-62,-200,-66,-62,-74,-73,-62,-59,-200,-65,-73,-63,-200,-67,-86,-200,-75,-81,-200,-78,-70,-76,-58,-200,-74,-83,-200,-81,-200,-89,-200,-200,-200,-200,-84,-200,-90,-200,-200,-76,-73,-200,-86,-69,-200,-200,-78,-200,-200,-200,-80,-87,-84,-200,-70,-200,-200,-200,-200,-74,-200,-200,-85,-200,-200,-83,-76,-200,-200,-70,-82,-83,-88,-74,-91,-80,-200,-200,-200,-200,-200,-200,-200
1526450722865,-26,-42,-55,-64,-41,-44,-46,-52,-54,-52,-50,-53,-59,-58,-56,-59,-59,-63,-60,-84,-62,-200,-63,-75,-66,-90,-200,-75,-62,-65,-65,-65,-73,-63,-200,-67,-200,-200,-75,-83,-77,-81,-200,-200,-200,-200,-74,-79,-200,-80,-200,-200,-200,-200,-200,-86,-84,-200,-200,-82,-70,-76,-200,-200,-200,-74,-200,-70,-200,-78,-200,-200,-80,-87,-85,-83,-200,-77,-200,-200,-200,-74,-82,-200,-85,-91,-200,-83,-76,-83,-200,-200,-200,-83,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526450725916,-25,-43,-54,-50,-45,-44,-57,-74,-57,-52,-50,-54,-57,-56,-54,-65,-66,-63,-57,-68,-62,-200,-65,-75,-67,-90,-200,-75,-62,-65,-67,-200,-200,-62,-200,-74,-63,-200,-75,-81,-64,-81,-200,-200,-200,-200,-74,-75,-74,-80,-200,-200,-200,-200,-200,-86,-81,-200,-200,-82,-70,-75,-200,-200,-200,-76,-200,-70,-200,-78,-200,-200,-200,-200,-85,-83,-200,-77,-200,-200,-200,-200,-82,-200,-85,-91,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-79,-86,-200,-200,-200,-200,-200
1526450728928,-81,-43,-47,-47,-47,-70,-47,-49,-44,-43,-49,-57,-57,-51,-59,-60,-57,-55,-62,-69,-62,-200,-67,-200,-67,-200,-200,-200,-62,-65,-67,-68,-78,-67,-200,-70,-63,-200,-75,-79,-75,-63,-200,-200,-200,-200,-74,-72,-74,-82,-200,-83,-200,-200,-200,-86,-83,-200,-200,-200,-64,-86,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-84,-200,-79,-200,-200,-200,-200,-200,-200,-79,-86,-200,-200,-200,-200,-200
1526450731946,-25,-46,-50,-40,-53,-53,-51,-55,-45,-37,-53,-59,-57,-51,-60,-57,-60,-62,-61,-69,-53,-200,-66,-59,-200,-200,-63,-70,-63,-56,-200,-68,-69,-67,-200,-75,-67,-200,-200,-73,-62,-78,-71,-200,-200,-200,-200,-72,-200,-68,-200,-83,-200,-82,-200,-200,-83,-200,-200,-200,-62,-86,-81,-200,-200,-66,-200,-74,-200,-200,-200,-200,-200,-200,-85,-77,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
1526450734986,-30,-46,-50,-44,-53,-53,-54,-53,-45,-37,-54,-59,-55,-50,-60,-56,-58,-60,-61,-69,-53,-200,-67,-61,-200,-69,-63,-71,-63,-56,-200,-200,-69,-62,-200,-74,-69,-200,-200,-74,-77,-78,-71,-200,-200,-200,-200,-72,-200,-68,-87,-81,-200,-80,-200,-200,-85,-87,-200,-200,-63,-200,-81,-200,-200,-66,-200,-74,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-80,-86,-200,-200,-200
1526450738046,-25,-46,-51,-44,-54,-53,-53,-55,-46,-35,-55,-55,-63,-50,-62,-56,-58,-52,-59,-69,-45,-69,-65,-62,-64,-75,-63,-71,-63,-66,-200,-74,-68,-57,-200,-72,-69,-200,-77,-73,-67,-78,-71,-200,-200,-200,-200,-72,-200,-82,-87,-81,-200,-80,-81,-200,-86,-87,-200,-200,-63,-200,-81,-200,-200,-66,-200,-74,-82,-200,-200,-200,-200,-200,-87,-82,-200,-200,-200,-200,-200,-200,-200,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-80,-86,-200,-200,-200
1526450741102,-25,-45,-52,-43,-55,-53,-54,-56,-44,-37,-55,-56,-63,-50,-63,-58,-60,-54,-61,-72,-52,-69,-68,-63,-64,-75,-67,-200,-63,-67,-83,-74,-68,-56,-200,-76,-200,-200,-77,-77,-65,-78,-200,-200,-73,-200,-200,-76,-200,-83,-89,-81,-200,-200,-81,-200,-83,-200,-87,-75,-64,-68,-80,-200,-90,-66,-200,-200,-82,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-77,-200,-200,-84,-86,-200,-200,-200,-74,-200,-200,-200,-80,-200,-200,-200,-200,-200,-78,-200,-200,-200,-76,-86,-200
1526450744158,-28,-40,-56,-42,-44,-47,-67,-56,-55,-49,-56,-50,-74,-54,-76,-63,-63,-64,-58,-79,-52,-200,-54,-63,-65,-200,-67,-200,-56,-67,-81,-200,-200,-59,-200,-65,-200,-200,-91,-80,-82,-78,-200,-200,-84,-200,-200,-74,-200,-81,-89,-81,-81,-200,-82,-200,-82,-200,-87,-75,-63,-83,-80,-200,-90,-200,-200,-71,-200,-200,-200,-200,-86,-200,-200,-200,-73,-200,-200,-87,-75,-73,-200,-82,-83,-200,-200,-200,-70,-200,-200,-200,-80,-200,-200,-200,-200,-84,-78,-200,-90,-200,-76,-86,-81
