,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526450791545,-44,-50,-56,-46,-51,-49,-54,-42,-53,-59,-46,-54,-59,-52,-69,-200,-66,-67,-64,-73,-64,-67,-64,-77,-200,-60,-65,-61,-68,-75,-200,-62,-80,-200,-84,-78,-75,-200,-200,-85,-80,-200,-200,-200,-79,-83,-69,-200,-200,-76,-58,-89,-85,-90,-75,-200,-200,-200,-200,-200,-74,-73,-200,-200,-87,-200,-200,-200,-200,-200,-200,-82,-200,-200,-73,-200,-200,-200,-78,-85,-85,-78,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450794616,-44,-49,-55,-45,-51,-50,-53,-42,-52,-59,-46,-56,-58,-52,-69,-200,-66,-67,-64,-73,-64,-68,-78,-77,-65,-60,-65,-63,-68,-74,-200,-65,-80,-79,-67,-78,-75,-200,-91,-85,-80,-77,-200,-82,-79,-83,-70,-200,-200,-77,-85,-89,-85,-90,-86,-89,-91,-200,-200,-200,-72,-75,-200,-200,-87,-200,-200,-72,-200,-200,-200,-82,-200,-200,-73,-200,-200,-82,-81,-85,-85,-78,-86,-80,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450797665,-41,-50,-56,-45,-51,-49,-54,-45,-52,-59,-44,-56,-58,-56,-68,-200,-66,-67,-63,-73,-200,-69,-78,-200,-69,-62,-65,-65,-68,-56,-200,-65,-79,-79,-67,-76,-200,-200,-91,-85,-81,-77,-78,-82,-84,-84,-69,-80,-200,-77,-59,-89,-85,-89,-75,-89,-91,-200,-200,-200,-78,-75,-200,-200,-200,-200,-78,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-81,-200,-200,-200,-200,-80,-83,-87,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450800736,-46,-51,-56,-44,-52,-49,-49,-43,-52,-59,-45,-57,-61,-55,-68,-80,-66,-67,-62,-73,-69,-69,-63,-200,-70,-62,-65,-60,-68,-75,-200,-62,-80,-79,-67,-78,-77,-76,-91,-85,-66,-77,-74,-82,-78,-82,-70,-79,-200,-77,-85,-89,-85,-89,-75,-89,-91,-200,-200,-81,-77,-75,-200,-200,-86,-200,-76,-72,-200,-200,-200,-200,-200,-200,-200,-200,-82,-82,-81,-200,-200,-200,-200,-80,-83,-87,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450803786,-46,-49,-56,-44,-52,-49,-50,-43,-52,-57,-45,-53,-61,-56,-66,-200,-65,-66,-64,-200,-68,-67,-64,-200,-70,-84,-66,-61,-63,-75,-200,-63,-79,-77,-84,-78,-200,-73,-200,-86,-80,-200,-200,-200,-200,-83,-70,-200,-200,-200,-85,-88,-85,-200,-74,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-38,-44,-52,-52,-55,-57,-63,-70,-70,-71,-74,-76,-77,-77,-80,-200,-200,-200
1526450806808,-43,-49,-56,-46,-52,-48,-52,-42,-52,-56,-47,-51,-55,-58,-66,-200,-65,-67,-58,-72,-68,-67,-64,-200,-70,-68,-65,-60,-66,-65,-200,-63,-78,-78,-83,-78,-200,-73,-200,-86,-80,-77,-200,-200,-200,-83,-70,-200,-200,-75,-85,-89,-85,-200,-75,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-73,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-43,-46,-52,-70,-57,-57,-50,-75,-61,-71,-74,-77,-77,-77,-80,-200,-200,-200
1526450809816,-44,-59,-56,-61,-51,-48,-52,-41,-52,-59,-43,-52,-55,-57,-70,-200,-65,-66,-58,-73,-68,-67,-63,-200,-200,-68,-65,-60,-67,-75,-200,-62,-78,-77,-83,-78,-75,-73,-200,-85,-66,-78,-200,-200,-200,-83,-69,-200,-200,-75,-85,-89,-86,-200,-75,-79,-91,-200,-200,-200,-72,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-73,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-47,-51,-52,-52,-56,-57,-50,-75,-61,-72,-200,-77,-78,-73,-200,-200,-200,-200
1526450812875,-44,-50,-56,-42,-51,-50,-55,-42,-52,-59,-47,-55,-200,-55,-70,-200,-66,-67,-200,-73,-200,-200,-63,-200,-200,-200,-65,-63,-67,-67,-200,-62,-78,-78,-83,-78,-75,-200,-200,-85,-80,-78,-200,-82,-200,-83,-67,-200,-200,-200,-200,-89,-85,-200,-75,-79,-91,-200,-200,-200,-200,-200,-71,-200,-87,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-47,-49,-52,-59,-79,-56,-52,-200,-200,-71,-200,-76,-88,-70,-200,-200,-200,-200
1526450815945,-45,-50,-58,-44,-52,-49,-53,-44,-53,-59,-44,-55,-59,-56,-70,-200,-65,-67,-200,-73,-200,-67,-64,-200,-69,-200,-65,-69,-64,-75,-200,-64,-78,-73,-83,-78,-75,-200,-200,-85,-80,-78,-200,-82,-82,-83,-70,-200,-200,-200,-85,-89,-85,-200,-75,-79,-91,-200,-200,-82,-200,-74,-71,-86,-87,-200,-83,-70,-200,-200,-200,-81,-200,-200,-200,-200,-79,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-38,-44,-52,-70,-55,-57,-52,-200,-73,-71,-200,-76,-88,-70,-200,-200,-200,-200
1526450818996,-42,-50,-56,-50,-51,-62,-54,-44,-53,-61,-46,-56,-62,-57,-200,-200,-65,-67,-200,-200,-64,-67,-65,-79,-69,-56,-65,-63,-75,-75,-83,-64,-79,-79,-83,-78,-78,-74,-200,-200,-81,-200,-200,-83,-82,-66,-70,-200,-200,-200,-85,-200,-84,-200,-74,-200,-200,-200,-200,-82,-200,-74,-200,-86,-200,-200,-83,-70,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-38,-62,-54,-58,-57,-55,-50,-200,-73,-200,-200,-79,-200,-200,-200,-84,-87,-200
1526450822057,-43,-48,-56,-47,-51,-49,-55,-44,-52,-59,-45,-54,-62,-57,-69,-70,-65,-67,-200,-74,-68,-200,-64,-79,-200,-63,-65,-63,-68,-75,-83,-200,-77,-79,-200,-65,-78,-74,-200,-200,-79,-200,-200,-85,-200,-84,-70,-200,-200,-200,-85,-200,-85,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-79,-47,-44,-50,-60,-58,-55,-50,-200,-62,-79,-200,-79,-76,-74,-200,-84,-87,-79
1526450825126,-43,-50,-56,-43,-52,-51,-53,-41,-52,-58,-46,-56,-62,-57,-70,-70,-65,-67,-200,-74,-64,-67,-65,-79,-200,-62,-64,-63,-67,-74,-83,-200,-77,-79,-200,-78,-78,-74,-200,-200,-80,-200,-200,-85,-200,-65,-70,-200,-200,-200,-85,-200,-85,-200,-74,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-77,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-79,-200,-200,-200,-200,-79,-47,-44,-52,-50,-56,-60,-50,-200,-62,-79,-200,-79,-76,-74,-200,-84,-87,-79
