,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro
1526451140472,-31,-44,-40,-55,-53,-52,-48,-54,-53,-49,-66,-50,-57,-56,-66,-87,-56,-57,-67,-57,-200,-66,-72,-200,-200,-200,-69,-67,-63,-64,-200,-200,-64,-200,-200,-200,-78,-73,-200,-200,-200,-200,-62,-76,-79,-83,-80,-200,-77,-200,-200,-200,-85,-200,-200,-84,-83,-200,-200,-200,-200,-84,-78,-78,-78,-200,-78,-67,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-83,-200,-200,-200,-200,-81,-81,-87,-74,-200,-200,-200,-200,-200
1526451143516,-17,-42,-43,-49,-52,-52,-47,-51,-53,-50,-70,-44,-200,-54,-200,-87,-63,-57,-55,-62,-200,-85,-71,-200,-200,-200,-69,-200,-66,-62,-73,-200,-65,-200,-200,-200,-200,-78,-200,-200,-200,-84,-200,-200,-83,-83,-200,-200,-81,-200,-200,-200,-85,-200,-200,-86,-200,-200,-200,-200,-200,-89,-200,-200,-78,-200,-78,-62,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-74,-78,-200,-200,-200,-200
1526451146565,-32,-38,-40,-53,-49,-55,-50,-55,-57,-55,-52,-48,-52,-53,-200,-81,-63,-70,-55,-62,-73,-85,-71,-200,-200,-200,-83,-65,-55,-67,-73,-76,-74,-200,-200,-200,-200,-70,-200,-200,-73,-84,-50,-200,-80,-79,-80,-81,-80,-200,-79,-69,-87,-200,-200,-86,-85,-200,-200,-200,-200,-89,-81,-200,-200,-200,-78,-62,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-82,-200,-200,-200
1526451149617,-31,-33,-39,-51,-57,-43,-58,-56,-53,-48,-50,-50,-54,-53,-75,-82,-63,-70,-59,-56,-73,-68,-67,-200,-68,-78,-65,-75,-55,-49,-69,-76,-74,-200,-200,-200,-200,-70,-73,-200,-73,-84,-54,-200,-81,-78,-80,-81,-82,-200,-79,-71,-87,-200,-200,-86,-84,-200,-200,-200,-88,-84,-81,-200,-200,-200,-78,-62,-200,-200,-200,-87,-81,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-81,-82,-200,-200,-200
1526451152675,-27,-42,-36,-54,-49,-45,-58,-56,-53,-52,-56,-50,-72,-57,-75,-88,-57,-70,-69,-65,-200,-65,-67,-200,-68,-78,-65,-68,-72,-64,-67,-200,-66,-200,-200,-200,-200,-52,-73,-200,-200,-200,-54,-77,-81,-81,-78,-81,-86,-200,-200,-71,-200,-200,-200,-200,-84,-80,-200,-200,-88,-83,-75,-200,-200,-200,-200,-200,-200,-81,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451155737,-27,-39,-42,-54,-52,-47,-58,-54,-51,-50,-53,-52,-62,-57,-75,-68,-56,-58,-59,-78,-200,-67,-67,-200,-64,-78,-73,-78,-75,-68,-67,-67,-66,-73,-200,-200,-200,-73,-68,-200,-200,-200,-63,-77,-81,-71,-73,-81,-81,-200,-200,-71,-200,-200,-200,-200,-84,-80,-200,-200,-87,-83,-75,-79,-200,-200,-200,-200,-200,-81,-200,-90,-200,-200,-200,-200,-200,-200,-80,-200,-87,-200,-200,-89,-78,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526451158777,-30,-39,-44,-52,-53,-45,-42,-51,-57,-51,-54,-54,-65,-62,-74,-78,-56,-66,-55,-62,-200,-66,-73,-200,-66,-89,-68,-69,-72,-71,-200,-69,-200,-77,-200,-200,-200,-71,-68,-200,-200,-200,-63,-200,-79,-82,-76,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-79,-79,-200,-200,-81,-200,-200,-200,-200,-89,-200,-200,-86,-200,-200,-200,-80,-200,-87,-200,-80,-200,-75,-83,-200,-200,-200,-200,-200,-76,-200,-200
1526451161812,-30,-40,-42,-56,-53,-46,-53,-53,-55,-50,-57,-47,-67,-62,-65,-81,-200,-63,-58,-59,-200,-68,-73,-200,-69,-77,-69,-69,-72,-67,-200,-69,-200,-77,-200,-200,-200,-74,-200,-200,-82,-200,-62,-200,-82,-74,-75,-200,-82,-78,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-50,-79,-200,-200,-200,-81,-200,-69,-200,-200,-89,-200,-200,-86,-200,-200,-200,-200,-81,-200,-200,-80,-200,-75,-200,-82,-200,-200,-200,-200,-76,-200,-200
1526451164875,-30,-39,-43,-55,-54,-48,-53,-53,-54,-54,-54,-46,-62,-60,-61,-81,-67,-66,-58,-57,-200,-68,-200,-73,-68,-77,-69,-70,-200,-68,-200,-69,-200,-200,-200,-200,-200,-70,-200,-200,-82,-200,-61,-77,-83,-79,-77,-200,-82,-78,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-54,-200,-200,-200,-200,-200,-200,-69,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-82,-83,-200,-200,-200,-200,-81,-84
1526451167937,-31,-38,-42,-55,-53,-45,-52,-53,-59,-52,-58,-47,-63,-60,-61,-82,-67,-63,-80,-58,-200,-71,-75,-73,-68,-200,-69,-71,-74,-67,-71,-75,-200,-200,-200,-200,-200,-71,-69,-200,-200,-200,-61,-77,-82,-85,-79,-200,-81,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-86,-82,-200,-200,-200,-200,-200,-70,-69,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-90,-200,-200,-200,-83,-200,-200,-81,-78,-81,-84
