,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A38,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz
1526464439446,-30,-30,-36,-36,-46,-40,-47,-44,-51,-47,-46,-59,-43,-56,-92,-54,-44,-49,-57,-47,-57,-60,-55,-45,-50,-54,-54,-53,-51,-71,-71,-55,-67,-56,-200,-200,-71,-73,-66,-64,-200,-66,-75,-65,-200,-200,-200,-66,-69,-84,-200,-200,-66,-76,-86,-80,-200,-72,-200,-200,-83,-70,-79,-200,-72,-86,-200,-200,-200,-200,-75,-88,-79,-75,-75,-200,-80,-200,-53,-200,-200,-77,-200,-88,-74,-79,-83,-81,-58,-74,-200,-92,-83,-85,-89,-89,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464442531,-26,-31,-37,-36,-44,-41,-52,-40,-55,-46,-43,-46,-45,-56,-68,-56,-45,-50,-55,-47,-57,-60,-56,-47,-48,-56,-54,-50,-52,-71,-71,-55,-66,-56,-200,-200,-73,-74,-66,-64,-200,-72,-75,-65,-200,-200,-200,-66,-70,-83,-200,-200,-66,-76,-85,-80,-200,-72,-200,-200,-200,-70,-79,-77,-72,-81,-200,-200,-200,-200,-75,-88,-79,-75,-75,-79,-80,-200,-49,-200,-200,-77,-200,-88,-74,-79,-83,-81,-58,-74,-200,-200,-83,-85,-89,-89,-80,-87,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464445583,-27,-31,-37,-36,-38,-38,-52,-40,-55,-46,-44,-48,-47,-54,-68,-54,-44,-49,-54,-47,-60,-59,-56,-46,-48,-55,-54,-50,-52,-73,-71,-55,-65,-56,-73,-200,-72,-74,-75,-63,-200,-69,-75,-65,-200,-200,-200,-67,-69,-83,-200,-200,-200,-200,-85,-81,-200,-74,-200,-200,-200,-70,-79,-77,-72,-81,-200,-200,-200,-200,-75,-88,-79,-75,-75,-79,-80,-200,-49,-200,-200,-77,-200,-88,-74,-79,-85,-200,-56,-74,-200,-200,-200,-200,-89,-89,-80,-86,-78,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526464448651,-30,-31,-36,-38,-42,-43,-48,-40,-55,-46,-46,-46,-45,-54,-68,-55,-44,-49,-56,-47,-60,-59,-59,-49,-51,-55,-54,-50,-52,-73,-71,-55,-65,-58,-73,-200,-72,-75,-69,-63,-70,-69,-200,-83,-200,-200,-78,-67,-73,-82,-200,-200,-79,-72,-84,-81,-200,-75,-200,-200,-78,-71,-79,-77,-72,-81,-200,-200,-200,-200,-76,-200,-200,-75,-77,-76,-82,-200,-49,-78,-80,-77,-200,-88,-74,-79,-85,-200,-57,-200,-200,-85,-200,-200,-200,-200,-80,-86,-78,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526464451710,-30,-31,-38,-34,-43,-42,-48,-41,-55,-47,-45,-55,-43,-55,-68,-55,-46,-49,-53,-47,-57,-59,-55,-47,-49,-61,-59,-50,-48,-69,-71,-54,-65,-58,-73,-200,-70,-75,-67,-63,-69,-69,-200,-79,-69,-200,-70,-67,-73,-82,-80,-200,-78,-72,-84,-81,-74,-72,-200,-200,-84,-71,-79,-77,-71,-81,-200,-200,-200,-83,-75,-200,-76,-75,-77,-76,-82,-200,-49,-78,-80,-77,-200,-200,-200,-200,-85,-61,-57,-200,-200,-85,-200,-200,-200,-200,-200,-86,-78,-82,-70,-72,-87,-200,-200,-200,-200,-200
1526464454789,-34,-31,-35,-38,-41,-42,-44,-44,-52,-46,-46,-48,-43,-55,-68,-56,-43,-50,-53,-47,-56,-59,-55,-46,-48,-61,-58,-50,-49,-66,-69,-54,-68,-62,-73,-200,-70,-75,-67,-63,-69,-67,-200,-68,-69,-200,-70,-67,-73,-81,-79,-200,-78,-72,-84,-81,-74,-72,-200,-200,-84,-71,-200,-77,-71,-81,-200,-200,-200,-83,-75,-200,-75,-75,-77,-76,-82,-200,-47,-78,-80,-200,-200,-200,-200,-200,-85,-61,-57,-200,-200,-85,-200,-200,-200,-200,-80,-86,-78,-82,-70,-72,-87,-200,-200,-200,-200,-200
1526464457870,-32,-32,-40,-38,-37,-41,-44,-42,-52,-46,-41,-48,-46,-55,-64,-57,-43,-50,-53,-47,-56,-60,-58,-46,-48,-61,-58,-50,-49,-66,-69,-55,-68,-62,-73,-200,-71,-75,-67,-63,-71,-67,-78,-68,-69,-200,-70,-67,-73,-82,-79,-200,-78,-72,-84,-81,-74,-73,-76,-200,-84,-70,-74,-200,-70,-81,-200,-200,-91,-83,-76,-200,-75,-75,-77,-76,-82,-200,-47,-78,-80,-200,-200,-200,-200,-200,-86,-62,-57,-200,-200,-87,-200,-200,-200,-200,-80,-86,-200,-82,-70,-72,-85,-80,-84,-200,-200,-200
1526464460930,-32,-33,-38,-39,-37,-43,-48,-42,-51,-46,-49,-46,-46,-57,-60,-53,-43,-50,-53,-45,-56,-56,-57,-48,-48,-53,-54,-51,-51,-70,-68,-56,-68,-59,-71,-200,-71,-75,-81,-63,-71,-67,-78,-73,-69,-200,-70,-77,-73,-82,-79,-200,-78,-72,-84,-200,-74,-73,-76,-200,-76,-71,-74,-200,-71,-81,-200,-200,-91,-83,-76,-200,-75,-75,-77,-76,-82,-200,-52,-73,-80,-200,-200,-200,-200,-200,-86,-62,-56,-200,-200,-87,-200,-200,-200,-200,-80,-200,-85,-82,-70,-72,-85,-80,-84,-82,-90,-200
1526464464018,-31,-31,-43,-39,-37,-39,-48,-42,-50,-45,-45,-46,-42,-54,-60,-57,-42,-50,-84,-44,-56,-56,-57,-48,-49,-54,-54,-52,-48,-69,-72,-55,-65,-59,-71,-200,-71,-76,-81,-200,-71,-67,-78,-71,-69,-200,-69,-68,-200,-85,-79,-200,-78,-79,-84,-200,-74,-73,-76,-200,-76,-71,-74,-200,-73,-81,-200,-200,-90,-83,-79,-200,-74,-75,-200,-76,-200,-200,-52,-73,-200,-77,-200,-200,-200,-200,-86,-62,-56,-200,-200,-87,-200,-200,-200,-200,-80,-200,-85,-200,-70,-72,-85,-80,-84,-82,-90,-200
1526464467076,-32,-31,-41,-35,-38,-39,-47,-42,-50,-44,-45,-46,-42,-55,-60,-57,-47,-49,-84,-45,-56,-56,-57,-48,-49,-54,-54,-45,-48,-73,-68,-55,-67,-53,-71,-200,-71,-73,-81,-200,-64,-71,-78,-67,-200,-200,-69,-68,-200,-83,-79,-200,-200,-79,-82,-200,-200,-73,-73,-200,-76,-71,-74,-69,-73,-81,-200,-200,-89,-200,-79,-200,-74,-200,-200,-76,-200,-200,-52,-73,-200,-79,-200,-200,-200,-87,-86,-62,-56,-200,-200,-87,-200,-200,-200,-200,-80,-200,-85,-200,-200,-200,-85,-80,-84,-84,-90,-200
1526464470151,-32,-31,-37,-36,-42,-40,-49,-47,-51,-40,-45,-55,-42,-55,-60,-56,-43,-49,-57,-48,-55,-56,-57,-42,-53,-54,-56,-45,-48,-73,-68,-55,-67,-60,-68,-200,-71,-73,-81,-200,-64,-71,-78,-74,-200,-200,-68,-68,-200,-83,-200,-200,-72,-79,-83,-200,-200,-73,-73,-200,-81,-70,-74,-69,-73,-200,-200,-200,-89,-200,-78,-200,-74,-200,-200,-80,-200,-200,-53,-73,-200,-79,-200,-200,-200,-87,-86,-62,-56,-200,-200,-87,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-85,-80,-84,-84,-90,-200
1526464473211,-29,-31,-37,-38,-39,-42,-49,-43,-47,-40,-45,-55,-44,-55,-68,-53,-43,-48,-57,-48,-55,-57,-55,-42,-53,-55,-56,-50,-52,-73,-68,-55,-66,-60,-68,-200,-71,-74,-65,-200,-64,-71,-78,-74,-200,-200,-68,-68,-73,-80,-200,-200,-72,-79,-84,-200,-200,-200,-73,-200,-81,-70,-200,-69,-73,-200,-200,-200,-89,-200,-78,-200,-74,-76,-200,-80,-200,-200,-51,-73,-200,-79,-200,-200,-200,-87,-200,-200,-56,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-85,-200,-200,-84,-90,-82
