,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro
1526464518527,-29,-39,-41,-41,-44,-43,-40,-64,-38,-28,-57,-40,-43,-43,-51,-51,-40,-58,-44,-51,-46,-53,-66,-53,-69,-51,-57,-64,-53,-47,-71,-57,-64,-64,-74,-200,-200,-71,-72,-69,-63,-200,-65,-74,-73,-200,-66,-67,-200,-71,-70,-75,-200,-200,-200,-200,-62,-79,-65,-200,-79,-81,-200,-200,-200,-68,-200,-84,-200,-200,-200,-85,-200,-77,-86,-64,-73,-87,-200,-61,-67,-200,-85,-71,-200,-200,-200,-76,-200,-200,-72,-82,-79,-80,-79,-81,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464521601,-27,-36,-37,-35,-45,-42,-44,-64,-38,-30,-57,-42,-43,-43,-54,-51,-39,-58,-43,-52,-45,-52,-62,-52,-59,-63,-56,-64,-49,-50,-71,-57,-64,-71,-74,-200,-200,-71,-72,-64,-63,-200,-68,-74,-73,-200,-66,-67,-200,-73,-70,-75,-200,-200,-200,-200,-62,-80,-64,-65,-70,-81,-200,-200,-200,-68,-200,-84,-200,-200,-200,-85,-77,-76,-86,-64,-200,-87,-200,-200,-67,-200,-85,-71,-200,-200,-90,-76,-200,-200,-60,-82,-79,-80,-79,-81,-86,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526464524684,-30,-35,-39,-38,-45,-43,-41,-64,-38,-32,-57,-44,-46,-43,-53,-52,-39,-58,-43,-52,-45,-52,-62,-52,-57,-50,-57,-64,-53,-50,-71,-57,-64,-63,-74,-200,-200,-72,-72,-64,-63,-200,-66,-74,-74,-200,-66,-71,-200,-72,-82,-78,-200,-200,-200,-200,-62,-80,-68,-65,-70,-81,-200,-200,-200,-68,-200,-86,-69,-200,-200,-85,-71,-76,-89,-200,-78,-87,-200,-200,-200,-200,-85,-71,-200,-200,-90,-76,-200,-200,-60,-82,-79,-80,-79,-73,-88,-82,-76,-200,-200,-200,-200,-200,-200,-200
1526464527754,-30,-37,-37,-37,-44,-43,-41,-62,-39,-30,-200,-44,-46,-43,-61,-58,-40,-60,-43,-50,-43,-55,-62,-52,-57,-58,-57,-200,-49,-65,-71,-57,-64,-63,-74,-200,-200,-72,-72,-64,-59,-200,-67,-72,-74,-200,-66,-71,-200,-72,-82,-78,-200,-200,-200,-72,-62,-79,-67,-65,-70,-81,-200,-200,-200,-68,-200,-86,-69,-200,-200,-86,-75,-76,-89,-66,-78,-87,-200,-200,-200,-200,-83,-71,-74,-200,-90,-76,-200,-200,-60,-200,-79,-80,-81,-73,-88,-82,-78,-70,-89,-200,-200,-200,-200,-200
1526464530828,-30,-35,-40,-37,-46,-46,-41,-62,-41,-31,-200,-44,-46,-43,-52,-58,-38,-60,-43,-50,-44,-55,-62,-53,-63,-58,-58,-66,-49,-57,-61,-58,-64,-63,-74,-74,-200,-72,-73,-64,-59,-200,-66,-72,-75,-200,-69,-71,-200,-72,-82,-78,-200,-200,-200,-72,-200,-76,-67,-65,-70,-77,-200,-200,-200,-68,-200,-83,-69,-200,-200,-86,-75,-76,-89,-62,-78,-85,-200,-60,-200,-200,-83,-71,-74,-74,-90,-79,-200,-200,-60,-200,-200,-200,-80,-73,-88,-82,-78,-70,-89,-200,-200,-200,-200,-200
1526464533890,-28,-37,-41,-37,-43,-46,-41,-62,-41,-31,-60,-39,-47,-42,-44,-52,-37,-61,-44,-55,-44,-55,-60,-53,-63,-47,-58,-66,-50,-57,-69,-58,-67,-66,-82,-74,-200,-74,-73,-70,-59,-200,-65,-74,-74,-200,-70,-73,-200,-71,-82,-78,-200,-200,-200,-72,-200,-76,-73,-65,-70,-78,-200,-200,-200,-68,-200,-81,-69,-200,-200,-84,-75,-76,-89,-62,-78,-84,-200,-60,-200,-200,-83,-200,-73,-74,-90,-79,-200,-200,-60,-200,-200,-200,-80,-73,-88,-82,-78,-70,-89,-81,-200,-200,-200,-200
1526464536957,-27,-35,-41,-41,-48,-44,-43,-64,-41,-33,-60,-44,-44,-42,-52,-52,-40,-61,-43,-55,-43,-54,-60,-53,-59,-48,-58,-58,-50,-56,-69,-58,-67,-66,-82,-74,-200,-74,-73,-70,-62,-200,-65,-74,-74,-200,-70,-70,-200,-70,-82,-78,-200,-200,-200,-72,-200,-75,-73,-200,-200,-78,-200,-200,-200,-70,-200,-81,-69,-200,-200,-84,-75,-80,-89,-64,-78,-84,-200,-60,-200,-200,-83,-200,-73,-74,-88,-79,-200,-200,-200,-200,-200,-200,-80,-73,-88,-200,-78,-70,-89,-81,-200,-200,-200,-200
1526464540028,-28,-35,-41,-44,-45,-44,-46,-63,-40,-30,-61,-42,-47,-40,-53,-55,-40,-59,-42,-49,-44,-54,-60,-52,-59,-48,-58,-58,-47,-60,-69,-57,-67,-66,-77,-74,-200,-73,-73,-70,-62,-200,-65,-74,-74,-200,-70,-70,-200,-67,-75,-76,-200,-200,-200,-70,-200,-76,-70,-200,-200,-78,-200,-200,-200,-70,-200,-81,-200,-200,-200,-84,-75,-80,-200,-64,-200,-84,-200,-60,-69,-200,-83,-200,-73,-74,-88,-79,-200,-200,-200,-200,-200,-77,-80,-73,-200,-200,-78,-70,-89,-80,-75,-90,-200,-200
1526464543106,-27,-35,-37,-38,-47,-46,-44,-58,-40,-32,-61,-45,-48,-41,-53,-53,-40,-59,-42,-49,-44,-54,-60,-52,-58,-49,-59,-58,-51,-60,-70,-57,-71,-66,-79,-74,-200,-73,-73,-69,-64,-200,-65,-75,-74,-200,-71,-73,-200,-67,-74,-76,-200,-200,-200,-70,-200,-80,-70,-200,-68,-78,-200,-200,-200,-69,-200,-83,-200,-200,-200,-84,-200,-80,-200,-64,-200,-84,-200,-60,-69,-200,-200,-200,-75,-74,-88,-79,-77,-200,-200,-200,-200,-77,-79,-73,-200,-200,-200,-200,-90,-80,-75,-90,-83,-85
1526464546172,-28,-36,-37,-42,-47,-47,-51,-58,-41,-38,-61,-40,-55,-41,-53,-53,-40,-59,-51,-49,-44,-54,-60,-52,-58,-49,-59,-58,-49,-60,-70,-57,-68,-66,-79,-200,-200,-74,-64,-69,-64,-200,-65,-75,-74,-200,-67,-73,-200,-68,-74,-76,-200,-200,-200,-70,-200,-77,-70,-200,-68,-79,-200,-200,-200,-69,-200,-82,-200,-200,-200,-80,-200,-80,-200,-64,-200,-84,-200,-200,-69,-200,-200,-200,-75,-200,-88,-200,-77,-200,-200,-200,-200,-77,-79,-73,-200,-200,-200,-200,-90,-80,-75,-90,-83,-85
1526464549235,-25,-34,-39,-44,-45,-43,-45,-64,-41,-30,-58,-40,-47,-43,-46,-53,-42,-59,-44,-48,-40,-53,-60,-52,-57,-49,-58,-58,-55,-60,-70,-57,-67,-65,-79,-200,-200,-72,-64,-69,-61,-200,-64,-75,-74,-200,-67,-73,-200,-66,-74,-76,-200,-200,-200,-70,-200,-77,-71,-200,-68,-79,-89,-200,-200,-71,-200,-82,-200,-200,-200,-83,-200,-78,-200,-62,-200,-85,-200,-61,-68,-200,-200,-200,-73,-200,-88,-200,-77,-200,-200,-200,-80,-77,-79,-74,-200,-200,-200,-200,-83,-80,-75,-90,-83,-85
1526464552284,-27,-34,-39,-43,-47,-45,-45,-64,-40,-33,-58,-47,-47,-39,-53,-48,-41,-61,-43,-51,-45,-53,-68,-51,-57,-50,-58,-57,-58,-60,-70,-57,-67,-64,-74,-200,-200,-72,-64,-69,-67,-200,-64,-75,-73,-200,-66,-73,-200,-64,-74,-76,-200,-200,-200,-70,-200,-77,-69,-200,-68,-79,-89,-200,-200,-71,-200,-82,-200,-200,-200,-83,-200,-77,-200,-62,-200,-85,-200,-61,-68,-200,-200,-200,-73,-200,-200,-200,-77,-200,-200,-200,-80,-77,-79,-74,-200,-200,-200,-200,-83,-80,-75,-90,-83,-85
