,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00EB8,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A88,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526464363078,-24,-43,-37,-49,-45,-56,-49,-50,-57,-32,-43,-48,-49,-38,-46,-70,-67,-49,-55,-43,-50,-70,-45,-48,-56,-55,-56,-53,-200,-71,-57,-57,-58,-73,-57,-78,-63,-70,-56,-61,-200,-77,-200,-72,-69,-64,-74,-200,-200,-200,-200,-200,-200,-64,-86,-83,-200,-71,-86,-200,-74,-84,-74,-75,-90,-200,-200,-200,-85,-91,-200,-65,-65,-200,-200,-200,-89,-62,-200,-200,-200,-200,-64,-200,-68,-89,-77,-81,-85,-88,-71,-73,-71,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464366131,-23,-36,-33,-48,-40,-56,-50,-45,-200,-33,-41,-45,-48,-38,-42,-72,-67,-46,-49,-44,-46,-59,-45,-49,-56,-50,-56,-53,-75,-71,-57,-57,-59,-70,-58,-79,-68,-70,-80,-61,-200,-77,-200,-76,-69,-62,-72,-200,-200,-62,-200,-200,-200,-64,-200,-83,-200,-72,-86,-200,-75,-86,-74,-75,-90,-200,-80,-86,-87,-200,-200,-65,-65,-200,-200,-200,-200,-62,-200,-200,-200,-200,-64,-200,-70,-90,-77,-81,-85,-88,-71,-73,-75,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464369196,-24,-35,-34,-49,-37,-56,-49,-45,-59,-33,-45,-48,-48,-38,-45,-72,-67,-46,-50,-44,-44,-59,-47,-47,-56,-60,-56,-53,-75,-67,-56,-58,-55,-70,-58,-81,-68,-64,-58,-61,-200,-75,-200,-76,-67,-58,-74,-200,-200,-62,-200,-200,-200,-64,-200,-83,-200,-73,-86,-200,-75,-88,-74,-75,-90,-200,-80,-86,-87,-200,-200,-200,-68,-200,-200,-200,-200,-62,-200,-200,-200,-200,-64,-200,-73,-90,-200,-81,-200,-200,-71,-73,-75,-89,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464372259,-24,-35,-36,-49,-37,-51,-49,-45,-59,-33,-43,-43,-48,-37,-46,-70,-66,-50,-50,-41,-45,-59,-48,-47,-58,-48,-56,-53,-75,-67,-55,-58,-60,-70,-57,-81,-70,-64,-58,-61,-200,-75,-70,-75,-67,-58,-74,-200,-200,-62,-200,-200,-200,-55,-200,-83,-200,-73,-86,-200,-75,-85,-74,-75,-90,-200,-80,-90,-87,-200,-200,-200,-66,-85,-200,-200,-200,-62,-200,-200,-200,-200,-64,-200,-73,-90,-200,-76,-76,-200,-200,-200,-78,-89,-88,-78,-86,-88,-92,-200,-200,-200,-200,-200,-200
1526464375330,-25,-38,-40,-49,-35,-55,-50,-45,-59,-33,-38,-43,-48,-30,-49,-69,-66,-48,-54,-42,-43,-57,-47,-49,-59,-46,-200,-54,-81,-67,-56,-58,-57,-70,-57,-81,-70,-66,-58,-62,-200,-75,-70,-77,-67,-58,-74,-200,-200,-62,-85,-200,-200,-59,-200,-83,-200,-73,-86,-200,-75,-85,-74,-78,-90,-200,-80,-90,-87,-200,-200,-200,-66,-85,-200,-200,-200,-62,-200,-200,-200,-200,-62,-200,-73,-90,-79,-76,-76,-200,-200,-200,-78,-89,-81,-78,-86,-88,-92,-200,-200,-200,-200,-200,-200
1526464378394,-25,-35,-34,-48,-35,-51,-51,-44,-59,-33,-36,-43,-49,-32,-47,-69,-66,-44,-54,-42,-46,-56,-47,-49,-59,-50,-51,-54,-81,-67,-57,-58,-57,-69,-57,-81,-70,-66,-58,-62,-200,-76,-69,-78,-69,-61,-76,-200,-67,-62,-80,-81,-77,-59,-200,-83,-200,-73,-86,-200,-75,-89,-76,-78,-200,-200,-80,-90,-87,-200,-200,-200,-66,-77,-200,-200,-88,-200,-200,-200,-200,-88,-62,-200,-73,-90,-79,-76,-76,-200,-200,-200,-78,-200,-80,-78,-86,-88,-92,-200,-200,-200,-200,-200,-200
1526464381449,-22,-39,-37,-48,-36,-53,-51,-44,-58,-33,-35,-47,-48,-35,-46,-69,-67,-43,-52,-42,-45,-56,-48,-49,-59,-50,-58,-54,-81,-62,-56,-58,-58,-69,-57,-81,-70,-66,-58,-62,-200,-75,-69,-77,-66,-61,-74,-200,-67,-200,-80,-81,-77,-59,-200,-200,-200,-73,-86,-200,-200,-85,-76,-78,-200,-200,-200,-90,-200,-200,-200,-68,-66,-77,-200,-200,-88,-200,-200,-200,-200,-88,-62,-200,-74,-200,-79,-85,-76,-200,-66,-86,-78,-200,-80,-78,-86,-88,-92,-82,-200,-200,-200,-200,-200
1526464384520,-24,-40,-34,-50,-37,-53,-51,-45,-58,-33,-38,-44,-48,-33,-46,-70,-66,-44,-54,-42,-45,-56,-48,-49,-59,-48,-55,-54,-81,-69,-56,-58,-58,-68,-57,-83,-70,-66,-52,-62,-200,-79,-69,-77,-64,-63,-74,-200,-67,-200,-80,-81,-77,-62,-74,-200,-200,-200,-200,-74,-200,-87,-76,-78,-200,-200,-200,-90,-200,-200,-200,-68,-70,-77,-200,-200,-89,-62,-200,-200,-200,-88,-61,-200,-74,-200,-79,-85,-76,-200,-66,-86,-78,-200,-80,-79,-86,-88,-92,-82,-200,-200,-200,-200,-200
1526464387595,-24,-35,-34,-46,-40,-55,-51,-45,-58,-33,-38,-46,-49,-29,-43,-71,-70,-45,-49,-45,-49,-52,-47,-51,-57,-48,-55,-54,-81,-67,-56,-59,-57,-68,-58,-83,-71,-65,-52,-62,-81,-79,-69,-77,-64,-63,-76,-76,-69,-200,-80,-81,-77,-60,-74,-200,-200,-200,-200,-74,-200,-87,-76,-78,-200,-200,-200,-200,-88,-200,-200,-68,-70,-77,-200,-200,-89,-61,-200,-200,-200,-85,-61,-200,-74,-200,-79,-85,-200,-200,-66,-69,-72,-200,-80,-79,-200,-200,-200,-82,-84,-200,-200,-200,-200
1526464390656,-25,-39,-37,-46,-40,-55,-51,-45,-58,-32,-38,-46,-49,-34,-43,-71,-69,-45,-53,-44,-48,-52,-46,-48,-57,-48,-55,-54,-200,-67,-56,-59,-57,-69,-57,-82,-71,-62,-52,-61,-81,-79,-69,-77,-62,-63,-73,-76,-69,-200,-80,-81,-74,-60,-74,-200,-200,-200,-200,-74,-200,-89,-76,-200,-200,-200,-200,-200,-88,-200,-200,-68,-66,-77,-200,-200,-89,-61,-200,-74,-200,-85,-63,-200,-74,-200,-200,-85,-200,-88,-66,-69,-72,-200,-80,-80,-200,-200,-200,-82,-84,-63,-77,-81,-200
1526464393723,-26,-35,-37,-51,-40,-52,-49,-50,-71,-32,-37,-47,-49,-32,-46,-71,-70,-45,-61,-43,-46,-52,-46,-47,-60,-51,-55,-54,-200,-66,-56,-58,-57,-69,-55,-81,-71,-62,-51,-61,-81,-79,-200,-77,-62,-60,-75,-76,-70,-200,-200,-200,-78,-56,-74,-200,-200,-200,-85,-74,-200,-89,-200,-200,-200,-200,-200,-200,-86,-200,-200,-68,-66,-200,-200,-200,-88,-61,-200,-74,-200,-85,-56,-200,-76,-200,-200,-82,-200,-88,-71,-69,-72,-200,-200,-80,-200,-200,-200,-82,-84,-63,-77,-81,-77
1526464396778,-26,-46,-37,-55,-39,-51,-50,-46,-70,-32,-41,-43,-49,-35,-46,-71,-70,-45,-57,-43,-43,-52,-46,-44,-60,-48,-55,-54,-200,-66,-56,-58,-60,-69,-56,-80,-70,-64,-57,-61,-81,-79,-65,-77,-62,-60,-75,-76,-65,-200,-200,-200,-78,-58,-74,-200,-200,-74,-85,-74,-200,-88,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-66,-200,-200,-200,-88,-61,-200,-68,-200,-85,-56,-200,-76,-200,-200,-82,-200,-88,-71,-75,-74,-200,-200,-80,-200,-200,-200,-200,-84,-63,-77,-81,-77
