,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A20,DLINK_D02A48,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,whjx-gaofeng-13,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D00E98,WHU-2018,whjx-xiaozhuyang-1,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whjx-gaofeng-1,D-Link_DIR-823Pro
1526462536214,-32,-37,-49,-42,-44,-70,-51,-73,-59,-54,-60,-80,-67,-59,-63,-69,-79,-68,-85,-80,-87,-82,-73,-75,-75,-72,-75,-200,-83,-83,-87,-85,-200,-79,-82,-84,-73,-75,-91,-88,-90,-200,-92,-92,-93,-92,-200,-91,-96,-97,-90,-91,-84,-200,-90,-92,-94,-200,-200,-200,-78,-86,-86,-91,-96,-93,-200,-50,-92,-92,-95,-93,-200,-200,-93,-97,-89,-86,-86,-95,-90,-97,-98,-95,-96,-96,-200,-200,-200,-200,-200,-200,-200
1526462539259,-27,-40,-42,-43,-46,-69,-51,-67,-59,-54,-59,-80,-64,-57,-67,-65,-79,-63,-80,-78,-89,-82,-73,-75,-75,-70,-75,-200,-200,-81,-86,-87,-90,-82,-86,-79,-74,-75,-91,-84,-90,-200,-93,-92,-200,-92,-97,-93,-96,-97,-90,-90,-83,-200,-89,-89,-94,-200,-200,-200,-79,-86,-86,-91,-200,-93,-200,-200,-94,-96,-95,-200,-200,-200,-200,-97,-89,-86,-86,-95,-90,-200,-200,-95,-96,-88,-84,-89,-95,-200,-200,-200,-200
1526462542305,-35,-41,-43,-46,-46,-61,-50,-68,-61,-62,-60,-81,-64,-60,-65,-66,-77,-63,-80,-76,-88,-82,-74,-77,-76,-69,-76,-82,-200,-77,-87,-88,-84,-82,-83,-87,-81,-200,-200,-84,-90,-200,-93,-92,-200,-200,-97,-92,-200,-96,-200,-90,-82,-200,-89,-90,-94,-200,-200,-200,-79,-86,-200,-91,-94,-93,-200,-73,-93,-96,-200,-200,-200,-200,-95,-200,-200,-97,-200,-93,-200,-200,-200,-200,-200,-88,-84,-90,-95,-94,-200,-200,-200
1526462545356,-30,-37,-46,-42,-45,-67,-50,-69,-59,-55,-61,-84,-64,-60,-65,-73,-79,-67,-73,-75,-78,-71,-74,-79,-82,-72,-75,-82,-200,-75,-89,-89,-84,-82,-86,-88,-76,-200,-94,-85,-90,-91,-93,-93,-200,-200,-91,-91,-95,-96,-200,-92,-86,-91,-87,-90,-94,-95,-200,-200,-76,-200,-200,-200,-94,-96,-200,-73,-94,-96,-200,-200,-200,-200,-95,-200,-200,-97,-200,-93,-200,-200,-200,-200,-200,-95,-84,-90,-95,-94,-80,-200,-200
1526462548401,-30,-44,-40,-44,-41,-67,-54,-66,-62,-58,-64,-82,-64,-57,-73,-69,-76,-60,-73,-77,-79,-69,-74,-79,-75,-75,-76,-82,-88,-76,-85,-89,-84,-200,-86,-88,-77,-200,-87,-85,-90,-91,-92,-93,-93,-200,-91,-91,-95,-94,-200,-92,-86,-91,-87,-90,-200,-95,-200,-200,-82,-91,-200,-200,-94,-96,-200,-73,-93,-200,-200,-200,-200,-200,-95,-200,-200,-95,-200,-93,-200,-200,-200,-200,-200,-95,-200,-90,-200,-94,-80,-200,-200
1526462551443,-44,-42,-42,-46,-46,-67,-49,-65,-58,-62,-58,-70,-67,-60,-74,-65,-78,-68,-73,-78,-79,-76,-200,-79,-81,-69,-78,-200,-81,-76,-88,-94,-89,-200,-92,-90,-77,-200,-89,-85,-90,-91,-92,-93,-93,-200,-91,-91,-95,-94,-200,-91,-86,-91,-86,-95,-89,-91,-200,-200,-82,-91,-83,-200,-200,-96,-200,-55,-93,-88,-95,-200,-200,-96,-200,-200,-200,-95,-85,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-80,-200,-200
1526462554489,-33,-40,-42,-47,-43,-69,-50,-62,-58,-57,-61,-84,-65,-57,-69,-69,-75,-73,-78,-83,-75,-77,-58,-81,-82,-71,-80,-200,-80,-78,-86,-94,-90,-200,-85,-82,-73,-85,-88,-90,-89,-200,-92,-89,-94,-200,-94,-94,-200,-92,-200,-91,-84,-200,-84,-91,-89,-91,-200,-200,-76,-82,-83,-200,-95,-200,-200,-67,-93,-93,-95,-95,-200,-96,-94,-200,-200,-95,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200
1526462557539,-35,-36,-40,-42,-46,-68,-49,-63,-54,-55,-58,-78,-65,-62,-67,-68,-81,-73,-78,-75,-76,-77,-70,-78,-76,-71,-73,-82,-80,-78,-85,-91,-80,-200,-80,-82,-74,-85,-89,-88,-93,-200,-200,-89,-94,-200,-94,-91,-94,-94,-200,-90,-89,-94,-89,-91,-88,-97,-200,-200,-76,-82,-83,-200,-93,-98,-200,-67,-92,-89,-97,-95,-200,-96,-94,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-94,-200
1526462560581,-40,-39,-38,-42,-44,-68,-50,-73,-40,-60,-60,-81,-64,-62,-65,-77,-84,-69,-78,-76,-81,-77,-76,-79,-78,-69,-72,-82,-80,-78,-87,-91,-80,-200,-79,-87,-75,-85,-89,-88,-91,-200,-200,-93,-94,-200,-94,-91,-95,-94,-200,-90,-89,-92,-86,-91,-92,-97,-200,-200,-76,-82,-200,-200,-93,-98,-200,-67,-93,-89,-97,-95,-200,-200,-94,-200,-200,-94,-88,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-94,-200
1526462563627,-38,-39,-37,-43,-43,-67,-52,-69,-56,-58,-57,-80,-65,-63,-65,-67,-81,-63,-77,-78,-82,-77,-77,-82,-78,-70,-75,-82,-80,-79,-91,-91,-83,-83,-82,-86,-78,-200,-91,-89,-93,-200,-200,-93,-95,-200,-88,-90,-95,-94,-200,-90,-85,-94,-87,-200,-89,-96,-200,-200,-74,-200,-200,-200,-93,-97,-200,-200,-93,-89,-96,-93,-200,-200,-200,-200,-200,-95,-88,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-96,-200,-94,-97
1526462566671,-30,-40,-38,-44,-44,-66,-51,-65,-59,-61,-59,-80,-63,-58,-72,-70,-77,-67,-74,-77,-82,-69,-74,-80,-85,-75,-76,-83,-80,-75,-87,-88,-83,-82,-86,-85,-81,-200,-91,-86,-89,-200,-200,-92,-94,-94,-95,-91,-94,-200,-200,-200,-85,-92,-90,-88,-92,-96,-200,-200,-74,-90,-200,-200,-94,-97,-200,-200,-92,-200,-96,-93,-200,-200,-200,-96,-200,-96,-88,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-97
1526462569718,-33,-42,-40,-44,-47,-65,-49,-62,-56,-62,-59,-73,-60,-58,-70,-69,-76,-67,-73,-77,-81,-68,-74,-79,-79,-69,-80,-83,-80,-75,-84,-89,-83,-82,-92,-85,-81,-85,-88,-86,-89,-200,-200,-89,-94,-94,-93,-90,-92,-200,-200,-88,-85,-92,-86,-88,-91,-96,-200,-200,-82,-90,-200,-90,-94,-97,-200,-200,-92,-200,-96,-93,-200,-200,-200,-96,-93,-96,-200,-200,-200,-93,-200,-200,-200,-200,-200,-86,-200,-96,-200,-200,-97
