,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526462928364,-36,-44,-45,-53,-58,-53,-59,-54,-65,-62,-65,-65,-64,-73,-75,-68,-67,-67,-73,-78,-78,-80,-73,-64,-78,-85,-84,-85,-83,-81,-200,-91,-87,-89,-86,-86,-85,-86,-92,-94,-90,-90,-89,-90,-91,-91,-97,-93,-200,-200,-200,-200,-200,-200,-94,-94,-74,-84,-91,-85,-94,-92,-94,-95,-200,-100,-85,-93,-96,-95,-200,-83,-92,-98,-90,-95,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462931410,-38,-42,-45,-52,-52,-54,-57,-55,-62,-62,-64,-65,-67,-73,-73,-68,-54,-67,-81,-78,-76,-79,-75,-65,-81,-82,-78,-85,-91,-80,-88,-200,-87,-89,-85,-87,-91,-83,-92,-92,-90,-91,-88,-90,-92,-91,-97,-93,-200,-200,-200,-200,-200,-200,-94,-200,-74,-83,-91,-85,-96,-95,-94,-96,-98,-96,-86,-93,-96,-94,-200,-83,-93,-97,-200,-95,-94,-83,-100,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462934469,-37,-45,-47,-50,-52,-53,-57,-55,-64,-62,-64,-62,-71,-73,-75,-68,-68,-68,-81,-78,-76,-77,-74,-62,-81,-82,-83,-83,-84,-80,-88,-200,-88,-88,-86,-87,-91,-85,-92,-93,-91,-91,-88,-90,-91,-93,-97,-93,-200,-94,-200,-200,-91,-200,-94,-94,-75,-85,-200,-88,-96,-95,-94,-96,-98,-96,-86,-93,-200,-95,-95,-84,-93,-97,-200,-95,-94,-83,-100,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462937515,-37,-47,-42,-52,-52,-50,-56,-54,-63,-58,-64,-62,-67,-73,-76,-68,-67,-70,-80,-81,-78,-80,-75,-65,-81,-85,-79,-83,-87,-80,-86,-82,-86,-92,-86,-87,-89,-86,-91,-93,-91,-88,-88,-92,-94,-90,-200,-93,-200,-94,-96,-200,-94,-200,-94,-94,-74,-83,-200,-88,-95,-92,-94,-95,-98,-96,-85,-97,-95,-95,-95,-85,-95,-97,-91,-97,-200,-83,-100,-94,-95,-98,-200,-200,-200,-200,-200,-200
1526462940567,-42,-45,-43,-58,-56,-55,-64,-55,-63,-61,-62,-62,-68,-73,-72,-70,-73,-68,-80,-75,-76,-81,-75,-63,-85,-83,-80,-88,-81,-81,-86,-82,-87,-90,-85,-87,-87,-90,-91,-93,-90,-88,-88,-91,-91,-90,-200,-85,-200,-94,-96,-200,-94,-200,-94,-94,-73,-82,-200,-87,-95,-92,-94,-95,-200,-96,-87,-97,-95,-95,-95,-85,-95,-200,-91,-97,-200,-200,-200,-94,-95,-98,-93,-94,-200,-200,-200,-200
1526462943612,-41,-49,-46,-52,-50,-62,-56,-53,-62,-57,-68,-67,-67,-71,-77,-79,-58,-68,-74,-83,-76,-80,-74,-65,-85,-84,-80,-88,-93,-84,-200,-200,-88,-90,-89,-90,-84,-91,-91,-93,-90,-200,-88,-93,-93,-95,-97,-95,-200,-200,-96,-200,-95,-200,-96,-92,-76,-84,-200,-88,-95,-93,-200,-200,-97,-96,-87,-96,-200,-200,-200,-84,-95,-97,-200,-200,-200,-200,-200,-200,-95,-200,-93,-94,-93,-95,-200,-200
1526462946656,-41,-45,-45,-54,-50,-59,-60,-54,-53,-62,-65,-62,-68,-72,-71,-77,-70,-68,-70,-81,-75,-79,-76,-66,-82,-81,-79,-88,-83,-84,-89,-200,-83,-90,-87,-88,-83,-91,-96,-90,-88,-200,-89,-91,-92,-92,-94,-95,-92,-200,-200,-200,-95,-97,-97,-92,-75,-85,-200,-88,-93,-93,-200,-96,-97,-200,-86,-96,-200,-200,-200,-86,-200,-97,-90,-200,-200,-83,-200,-200,-200,-98,-93,-91,-93,-95,-200,-200
1526462949703,-48,-43,-46,-56,-53,-53,-62,-46,-63,-65,-63,-62,-68,-71,-71,-75,-71,-71,-70,-84,-80,-80,-78,-71,-82,-86,-80,-87,-86,-80,-89,-85,-87,-200,-86,-88,-86,-88,-96,-90,-90,-200,-91,-91,-93,-92,-95,-93,-92,-200,-96,-200,-95,-97,-97,-92,-79,-82,-200,-88,-93,-93,-200,-93,-97,-200,-89,-92,-95,-200,-200,-81,-200,-97,-90,-200,-200,-83,-200,-200,-200,-98,-200,-90,-93,-95,-95,-200
1526462952730,-51,-47,-47,-59,-54,-54,-59,-55,-62,-60,-64,-65,-68,-70,-73,-73,-73,-71,-77,-78,-78,-79,-81,-72,-78,-87,-80,-87,-86,-81,-89,-85,-89,-200,-85,-95,-87,-88,-96,-92,-90,-200,-89,-91,-93,-93,-95,-90,-93,-200,-96,-94,-200,-97,-97,-93,-80,-82,-200,-86,-95,-94,-200,-93,-200,-200,-89,-92,-96,-200,-200,-86,-96,-200,-90,-200,-200,-83,-200,-200,-200,-98,-200,-90,-200,-200,-95,-200
1526462955773,-46,-47,-45,-57,-51,-59,-60,-56,-62,-61,-64,-69,-67,-73,-77,-77,-72,-71,-78,-84,-81,-79,-74,-71,-78,-86,-81,-86,-88,-81,-200,-84,-87,-88,-93,-88,-85,-95,-200,-88,-89,-91,-90,-67,-93,-91,-95,-94,-94,-200,-96,-96,-94,-200,-97,-93,-76,-82,-200,-87,-95,-94,-200,-96,-200,-200,-92,-98,-96,-200,-200,-86,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-95,-97
1526462958817,-51,-46,-43,-58,-52,-49,-64,-55,-67,-58,-63,-60,-68,-69,-76,-74,-70,-71,-68,-82,-78,-79,-76,-71,-78,-86,-78,-86,-88,-81,-79,-84,-87,-88,-86,-91,-85,-95,-200,-88,-92,-91,-92,-92,-200,-93,-200,-94,-94,-200,-200,-96,-94,-96,-200,-93,-77,-82,-200,-87,-90,-94,-200,-96,-200,-200,-92,-98,-78,-200,-200,-86,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-94,-97
1526462961857,-52,-44,-46,-57,-52,-50,-65,-56,-65,-59,-66,-60,-70,-69,-74,-76,-69,-200,-79,-81,-78,-200,-77,-71,-200,-89,-81,-87,-88,-82,-86,-84,-88,-88,-88,-91,-85,-89,-200,-89,-89,-89,-92,-93,-200,-91,-200,-92,-94,-200,-200,-96,-96,-96,-200,-92,-76,-84,-200,-85,-92,-92,-200,-96,-200,-98,-88,-96,-94,-200,-200,-81,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-94,-97
