,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0121.0012-vlucci.com A1.4.0.1,011e.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0125.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
1526464747499,-75,-200,-87,-85,-94,-200,-90,-75,-200,-200,-200,-200,-200,-89,-93,-200,-200
1526464747602,-76,-200,-200,-85,-200,-200,-200,-74,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526464747725,-76,-200,-200,-85,-200,-200,-200,-74,-200,-200,-200,-200,-200,-89,-200,-200,-200
1526464747830,-200,-200,-200,-84,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464747928,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464752371,-82,-200,-200,-90,-200,-200,-200,-78,-200,-95,-91,-90,-200,-200,-85,-200,-200
1526464752501,-200,-200,-200,-89,-200,-200,-200,-80,-200,-93,-200,-95,-200,-200,-84,-92,-200
1526464752618,-80,-200,-200,-200,-200,-200,-200,-200,-94,-200,-98,-200,-200,-200,-85,-200,-200
1526464752723,-79,-200,-92,-200,-200,-200,-200,-76,-93,-200,-92,-94,-200,-200,-83,-91,-200
1526464752842,-200,-98,-89,-87,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-85,-91,-200
1526464757390,-85,-200,-200,-200,-97,-200,-200,-78,-200,-200,-90,-200,-200,-89,-200,-200,-96
1526464757502,-89,-200,-200,-91,-200,-200,-200,-78,-200,-200,-200,-200,-200,-93,-200,-200,-96
1526464757611,-200,-200,-200,-88,-200,-200,-200,-79,-200,-200,-200,-86,-200,-200,-200,-101,-95
1526464757754,-90,-200,-200,-200,-200,-200,-200,-81,-200,-90,-200,-91,-200,-200,-200,-200,-97
1526464757878,-85,-200,-89,-89,-200,-200,-200,-81,-200,-92,-200,-200,-200,-96,-200,-200,-200
1526464762411,-81,-200,-200,-83,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464762509,-81,-200,-200,-86,-200,-200,-200,-74,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526464762616,-200,-200,-200,-85,-200,-200,-200,-73,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526464762730,-85,-200,-200,-86,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464762848,-86,-200,-88,-85,-200,-200,-200,-73,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526464762925,-200,-94,-200,-86,-200,-200,-200,-73,-200,-200,-200,-94,-200,-200,-88,-200,-200
1526464767461,-74,-96,-200,-87,-200,-200,-200,-78,-200,-88,-200,-200,-200,-89,-89,-200,-200
1526464767562,-74,-200,-200,-88,-200,-200,-200,-78,-200,-89,-200,-92,-200,-200,-89,-91,-200
1526464767667,-75,-200,-200,-87,-99,-94,-200,-78,-200,-89,-200,-200,-200,-200,-89,-91,-200
1526464767856,-75,-200,-200,-200,-98,-95,-200,-78,-92,-200,-97,-200,-200,-200,-200,-92,-200
1526464767945,-78,-200,-200,-200,-200,-200,-200,-81,-95,-200,-98,-93,-200,-200,-200,-200,-200
1526464772437,-200,-200,-200,-87,-97,-200,-94,-79,-95,-200,-200,-86,-200,-200,-94,-200,-96
1526464772626,-79,-200,-200,-88,-96,-200,-92,-79,-96,-200,-200,-93,-200,-200,-200,-200,-96
1526464772731,-80,-200,-200,-88,-100,-200,-92,-81,-200,-96,-200,-200,-200,-98,-92,-200,-94
1526464772874,-81,-200,-98,-200,-200,-200,-92,-200,-99,-200,-200,-200,-200,-200,-92,-200,-95
1526464772939,-79,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-90,-200,-200,-95,-200,-97
1526464777377,-200,-200,-200,-86,-95,-200,-200,-74,-200,-200,-200,-200,-92,-200,-92,-200,-200
1526464777480,-200,-200,-85,-200,-200,-200,-200,-72,-200,-200,-200,-200,-93,-200,-93,-200,-200
1526464777670,-76,-200,-200,-200,-200,-200,-93,-72,-200,-200,-200,-200,-94,-90,-93,-200,-200
1526464777781,-76,-200,-89,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-92,-200,-200
1526464777885,-75,-200,-95,-88,-200,-200,-200,-77,-94,-88,-200,-88,-200,-200,-93,-200,-200
1526464782507,-75,-200,-200,-88,-200,-200,-200,-79,-94,-200,-200,-200,-200,-93,-89,-91,-200
1526464782699,-76,-200,-94,-88,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-88,-91,-200
