,vlucci.com AC-V1.4.0.0,0121.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011e.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011f.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0125.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0120.0012-vlucci.com A1.4.0.1
1526464852521,-89,-86,-88,-83,-200,-88,-200,-200,-200,-200,-200
1526464852631,-88,-86,-87,-83,-200,-87,-200,-200,-200,-200,-200
1526464852723,-89,-86,-200,-200,-200,-87,-200,-200,-95,-200,-200
1526464852828,-88,-87,-86,-83,-200,-88,-200,-200,-200,-200,-200
1526464852944,-200,-81,-86,-200,-200,-87,-200,-200,-200,-200,-200
1526464857441,-200,-81,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526464857555,-200,-81,-86,-200,-200,-89,-200,-200,-91,-98,-200
1526464857640,-82,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526464857741,-82,-81,-87,-82,-96,-89,-200,-200,-90,-200,-99
1526464857869,-82,-81,-86,-200,-95,-89,-200,-98,-200,-200,-200
1526464862433,-89,-88,-200,-84,-96,-200,-200,-200,-200,-200,-200
1526464862530,-200,-87,-91,-85,-96,-95,-99,-200,-200,-200,-200
1526464862673,-89,-200,-200,-84,-97,-200,-200,-200,-200,-200,-200
1526464862769,-89,-88,-92,-84,-97,-200,-200,-200,-200,-200,-200
1526464862874,-89,-88,-200,-85,-96,-200,-200,-200,-200,-200,-200
