,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro
1526459336138,-35,-42,-44,-51,-48,-54,-57,-56,-53,-63,-200,-67,-57,-65,-58,-60,-64,-200,-71,-73,-68,-62,-200,-74,-82,-77,-200,-79,-80,-87,-200,-200,-200,-200,-86,-200,-200,-81,-68,-80,-84,-90,-200,-200
1526459339156,-31,-42,-44,-51,-48,-54,-57,-56,-53,-63,-200,-67,-57,-65,-58,-60,-64,-200,-71,-73,-68,-62,-200,-74,-82,-77,-200,-79,-80,-87,-200,-200,-200,-200,-86,-200,-200,-81,-68,-80,-84,-90,-200,-200
1526459342180,-32,-42,-40,-50,-50,-56,-56,-53,-51,-60,-200,-67,-62,-68,-61,-67,-66,-78,-66,-71,-68,-61,-200,-72,-82,-77,-200,-79,-88,-87,-200,-200,-200,-200,-86,-200,-200,-81,-200,-74,-84,-90,-82,-87
1526459345200,-35,-42,-40,-50,-50,-56,-56,-53,-51,-60,-200,-67,-62,-68,-61,-67,-66,-78,-66,-71,-68,-61,-200,-72,-82,-77,-200,-79,-88,-87,-200,-200,-200,-200,-86,-200,-200,-81,-200,-74,-84,-90,-82,-87
1526459348219,-31,-41,-40,-51,-50,-52,-59,-58,-52,-60,-200,-69,-58,-69,-61,-61,-66,-78,-69,-71,-68,-64,-200,-72,-79,-79,-200,-78,-84,-87,-200,-200,-200,-200,-86,-200,-200,-81,-200,-74,-84,-90,-82,-87
1526459351232,-33,-41,-40,-51,-50,-52,-59,-58,-52,-60,-200,-69,-58,-69,-61,-61,-66,-78,-69,-71,-68,-64,-200,-72,-79,-79,-200,-78,-84,-87,-200,-200,-200,-200,-86,-200,-200,-81,-200,-74,-84,-90,-82,-87
1526459354246,-33,-40,-46,-52,-55,-52,-57,-58,-50,-60,-200,-71,-58,-65,-58,-64,-70,-82,-69,-71,-72,-64,-200,-74,-75,-79,-86,-82,-80,-88,-200,-200,-200,-200,-86,-200,-200,-81,-67,-74,-84,-90,-82,-87
1526459357255,-31,-40,-46,-52,-55,-52,-57,-58,-50,-60,-200,-71,-58,-65,-58,-64,-70,-82,-69,-71,-72,-64,-200,-74,-75,-79,-86,-82,-80,-88,-200,-200,-200,-200,-86,-200,-200,-81,-67,-74,-84,-90,-82,-87
1526459360276,-29,-42,-48,-51,-55,-48,-55,-58,-49,-54,-200,-71,-58,-68,-58,-64,-72,-82,-69,-78,-73,-65,-200,-74,-75,-79,-86,-82,-80,-87,-200,-200,-200,-200,-86,-81,-200,-200,-66,-74,-200,-90,-82,-87
1526459363288,-31,-42,-48,-51,-55,-48,-55,-58,-49,-54,-200,-71,-58,-68,-58,-64,-72,-82,-69,-78,-73,-65,-200,-74,-75,-79,-86,-82,-80,-87,-200,-200,-200,-200,-86,-81,-200,-200,-66,-74,-200,-90,-82,-87
