,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,DLINK_D00EC0,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A30,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,DLINK_D02A60
1526463422823,-60,-48,-54,-50,-54,-62,-58,-64,-52,-65,-58,-52,-66,-51,-67,-64,-53,-64,-72,-67,-77,-64,-63,-61,-71,-74,-68,-68,-71,-72,-79,-68,-86,-200,-82,-200,-200,-86,-82,-200,-200,-77,-84,-200,-200,-82,-200,-200,-91,-90,-200,-84,-87,-83,-200,-80,-82,-200,-200,-87,-200,-89,-200,-68,-84,-83,-200,-68,-75,-200,-88,-88,-85,-87,-88,-200,-200
1526463425835,-50,-45,-52,-50,-57,-62,-61,-64,-50,-64,-61,-51,-65,-49,-72,-66,-58,-66,-72,-70,-76,-69,-69,-62,-71,-74,-67,-71,-71,-72,-79,-69,-86,-69,-82,-200,-200,-86,-82,-200,-200,-77,-81,-200,-200,-82,-88,-200,-91,-90,-200,-84,-86,-85,-200,-85,-200,-200,-200,-87,-200,-89,-200,-68,-200,-82,-200,-68,-75,-200,-88,-200,-85,-87,-88,-200,-200
1526463428872,-51,-46,-51,-49,-55,-60,-62,-59,-50,-64,-59,-51,-71,-49,-69,-66,-55,-70,-76,-64,-76,-71,-66,-61,-68,-74,-69,-75,-71,-70,-79,-70,-90,-69,-81,-200,-82,-86,-87,-200,-200,-76,-82,-200,-200,-82,-88,-200,-91,-90,-200,-83,-86,-84,-200,-85,-200,-200,-200,-87,-200,-89,-200,-71,-200,-82,-200,-74,-75,-200,-200,-200,-200,-87,-88,-200,-200
1526463431896,-57,-47,-52,-53,-55,-62,-62,-60,-50,-63,-62,-50,-73,-49,-67,-60,-54,-70,-75,-64,-76,-68,-65,-58,-70,-75,-72,-77,-71,-66,-77,-69,-90,-69,-81,-200,-82,-86,-87,-200,-200,-76,-82,-200,-200,-82,-88,-200,-91,-200,-200,-83,-82,-83,-200,-81,-90,-200,-200,-200,-200,-200,-200,-71,-200,-82,-200,-73,-72,-200,-200,-200,-200,-87,-200,-90,-200
1526463434909,-55,-44,-52,-50,-54,-60,-63,-60,-52,-64,-65,-50,-63,-48,-69,-69,-53,-64,-76,-64,-74,-68,-69,-61,-70,-68,-67,-67,-74,-78,-68,-69,-90,-66,-81,-200,-82,-86,-80,-200,-200,-79,-82,-200,-200,-200,-88,-82,-91,-200,-200,-83,-82,-83,-200,-81,-90,-200,-200,-200,-200,-200,-200,-71,-200,-77,-200,-67,-72,-200,-90,-200,-200,-200,-200,-90,-200
1526463437943,-46,-50,-53,-49,-59,-63,-62,-57,-50,-67,-65,-57,-64,-47,-65,-69,-53,-65,-76,-66,-60,-73,-68,-63,-71,-68,-69,-68,-74,-75,-82,-73,-83,-69,-81,-200,-82,-86,-79,-78,-200,-75,-85,-200,-85,-200,-85,-82,-91,-89,-200,-83,-82,-85,-200,-81,-90,-200,-200,-88,-200,-200,-200,-71,-200,-76,-200,-67,-72,-200,-90,-200,-200,-200,-200,-90,-89
1526463440970,-51,-50,-53,-48,-53,-58,-62,-62,-49,-74,-63,-54,-66,-52,-65,-72,-52,-64,-76,-63,-74,-70,-65,-61,-68,-68,-68,-73,-72,-72,-82,-73,-86,-65,-200,-200,-78,-84,-79,-78,-200,-77,-85,-200,-85,-200,-85,-82,-91,-89,-200,-81,-81,-83,-200,-81,-90,-200,-200,-88,-200,-200,-200,-200,-200,-76,-200,-67,-72,-200,-90,-200,-200,-88,-200,-90,-89
1526463443984,-47,-47,-56,-48,-51,-59,-64,-64,-48,-71,-68,-54,-63,-52,-63,-74,-55,-65,-72,-65,-69,-72,-64,-60,-71,-68,-67,-73,-69,-80,-83,-68,-86,-64,-200,-200,-78,-84,-78,-78,-200,-74,-80,-200,-85,-82,-85,-79,-200,-88,-200,-81,-87,-82,-200,-200,-90,-200,-200,-91,-200,-89,-200,-200,-200,-83,-200,-200,-200,-84,-200,-200,-200,-87,-200,-200,-89
1526463447021,-55,-47,-52,-51,-53,-65,-62,-63,-52,-61,-68,-54,-63,-52,-63,-64,-54,-72,-70,-62,-69,-72,-58,-59,-72,-69,-64,-70,-72,-73,-83,-73,-86,-64,-79,-200,-78,-84,-77,-200,-200,-74,-79,-200,-200,-82,-200,-79,-200,-90,-200,-81,-87,-85,-200,-79,-90,-200,-200,-91,-200,-89,-200,-66,-200,-84,-200,-200,-75,-84,-200,-200,-200,-87,-200,-200,-200
1526463450056,-49,-51,-55,-49,-53,-57,-58,-64,-49,-66,-69,-50,-62,-52,-65,-66,-57,-68,-73,-64,-69,-72,-66,-61,-68,-69,-64,-76,-71,-75,-81,-74,-87,-66,-83,-200,-200,-88,-78,-200,-200,-75,-79,-200,-200,-82,-200,-79,-90,-90,-200,-200,-84,-84,-200,-77,-88,-200,-200,-91,-200,-88,-200,-66,-200,-84,-200,-200,-64,-84,-200,-200,-200,-87,-200,-200,-200
1526463453087,-54,-50,-55,-48,-54,-62,-60,-61,-51,-65,-69,-57,-64,-50,-67,-66,-53,-67,-73,-63,-76,-70,-65,-62,-71,-67,-67,-77,-69,-74,-78,-68,-86,-64,-82,-200,-200,-88,-76,-80,-200,-75,-80,-200,-200,-82,-200,-200,-90,-90,-200,-200,-88,-84,-200,-77,-88,-200,-200,-88,-200,-88,-200,-66,-200,-84,-200,-73,-64,-200,-200,-200,-200,-87,-200,-200,-200
1526463456114,-50,-50,-54,-53,-52,-62,-60,-68,-54,-70,-68,-53,-62,-52,-64,-61,-55,-69,-72,-63,-73,-70,-63,-61,-71,-67,-68,-77,-69,-71,-78,-72,-86,-65,-82,-200,-200,-88,-78,-80,-200,-74,-78,-200,-200,-200,-200,-200,-90,-90,-200,-84,-86,-84,-200,-77,-88,-200,-200,-88,-200,-88,-200,-66,-84,-84,-200,-73,-74,-84,-90,-200,-200,-200,-200,-200,-200
