,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A58,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526463069996,-50,-44,-59,-42,-54,-39,-65,-63,-57,-57,-61,-68,-63,-54,-65,-66,-61,-62,-73,-61,-75,-67,-75,-84,-65,-80,-65,-72,-80,-84,-84,-74,-200,-200,-200,-79,-87,-91,-80,-75,-75,-83,-83,-88,-83,-200,-91,-200,-90,-200,-83,-87,-90,-88,-200,-200,-79,-86,-82,-87,-84,-91,-200,-79,-82,-87,-90,-89,-200,-200,-200
1526463073019,-57,-41,-49,-38,-54,-42,-73,-54,-56,-61,-59,-66,-60,-60,-65,-61,-67,-64,-72,-69,-75,-61,-75,-84,-65,-77,-66,-72,-80,-78,-85,-200,-200,-200,-200,-200,-84,-76,-80,-87,-75,-83,-83,-88,-200,-200,-91,-200,-200,-200,-83,-200,-90,-88,-200,-200,-79,-86,-82,-87,-84,-91,-200,-79,-82,-87,-90,-89,-200,-200,-200
1526463076030,-53,-40,-46,-36,-65,-49,-61,-53,-56,-63,-57,-60,-60,-56,-63,-67,-68,-63,-68,-69,-72,-68,-80,-84,-65,-74,-69,-79,-80,-78,-85,-200,-200,-200,-200,-200,-84,-77,-80,-89,-80,-83,-84,-88,-200,-200,-91,-200,-200,-200,-83,-200,-90,-88,-200,-200,-79,-86,-83,-200,-84,-90,-89,-200,-200,-87,-200,-89,-200,-200,-200
1526463079062,-49,-41,-50,-34,-58,-42,-69,-49,-56,-70,-61,-63,-65,-63,-64,-67,-71,-59,-67,-86,-74,-68,-80,-84,-66,-73,-66,-79,-80,-78,-89,-84,-200,-200,-200,-77,-84,-78,-200,-89,-74,-83,-84,-200,-200,-200,-91,-200,-200,-90,-200,-93,-90,-88,-200,-200,-200,-89,-83,-200,-84,-90,-91,-200,-200,-87,-200,-89,-200,-200,-200
1526463082095,-49,-39,-51,-39,-61,-42,-59,-54,-57,-72,-62,-67,-53,-54,-68,-67,-67,-63,-71,-86,-72,-70,-80,-200,-65,-73,-71,-79,-79,-77,-89,-84,-200,-200,-200,-77,-85,-78,-200,-89,-64,-200,-84,-200,-200,-200,-200,-200,-200,-90,-85,-93,-89,-88,-87,-91,-200,-89,-86,-200,-84,-90,-91,-200,-200,-200,-200,-200,-91,-200,-200
1526463085130,-49,-41,-48,-37,-56,-41,-62,-51,-54,-63,-63,-58,-62,-57,-65,-68,-65,-63,-75,-86,-72,-73,-80,-200,-65,-71,-72,-79,-80,-80,-89,-84,-200,-200,-200,-77,-85,-77,-200,-82,-75,-88,-85,-200,-200,-200,-200,-200,-200,-90,-85,-93,-89,-90,-87,-91,-200,-89,-84,-200,-90,-90,-91,-200,-200,-85,-200,-200,-91,-92,-200
1526463088161,-50,-45,-49,-39,-69,-38,-60,-55,-57,-60,-66,-55,-65,-55,-68,-74,-68,-61,-71,-200,-71,-69,-75,-70,-71,-73,-71,-200,-84,-80,-84,-79,-200,-200,-200,-200,-82,-79,-200,-83,-75,-85,-85,-200,-87,-91,-200,-200,-200,-89,-82,-200,-89,-90,-87,-91,-200,-88,-84,-200,-90,-200,-200,-200,-200,-85,-200,-87,-91,-92,-88
1526463091191,-50,-44,-51,-42,-65,-39,-66,-56,-56,-62,-60,-55,-56,-60,-71,-69,-68,-61,-70,-80,-72,-68,-82,-75,-67,-77,-71,-200,-78,-77,-84,-79,-200,-200,-200,-200,-82,-84,-200,-83,-75,-85,-87,-200,-87,-91,-200,-200,-200,-89,-82,-200,-200,-90,-200,-200,-79,-88,-84,-200,-90,-200,-200,-200,-200,-86,-92,-87,-200,-92,-87
1526463094223,-50,-41,-47,-39,-60,-41,-67,-53,-58,-62,-60,-55,-59,-57,-67,-67,-68,-65,-66,-80,-73,-70,-82,-75,-71,-77,-71,-200,-79,-77,-81,-79,-200,-200,-76,-81,-82,-77,-200,-81,-75,-88,-87,-200,-91,-91,-200,-200,-200,-89,-82,-200,-200,-200,-200,-200,-79,-88,-200,-200,-200,-200,-200,-200,-200,-86,-92,-87,-200,-200,-87
1526463097253,-50,-43,-46,-39,-64,-41,-71,-53,-44,-62,-59,-72,-62,-56,-66,-67,-67,-63,-65,-84,-73,-67,-81,-81,-73,-74,-71,-77,-79,-76,-81,-200,-200,-200,-76,-79,-82,-78,-200,-84,-77,-88,-87,-200,-83,-91,-200,-200,-200,-200,-82,-200,-89,-200,-200,-200,-79,-88,-200,-200,-200,-200,-200,-200,-200,-86,-92,-200,-200,-200,-87
