,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D013A8,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,TP-LINK_1398,whu2011314,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526448501326,-33,-40,-48,-45,-48,-55,-56,-67,-59,-66,-59,-60,-80,-59,-75,-200,-70,-66,-70,-69,-58,-200,-71,-61,-79,-77,-76,-73,-77,-85,-81,-84,-72,-81,-75,-200,-82,-200,-200,-200,-200,-200,-200,-90,-87,-200,-200,-200
1526448504361,-38,-40,-45,-46,-47,-65,-54,-58,-60,-65,-58,-60,-71,-59,-75,-64,-68,-66,-63,-67,-58,-200,-73,-63,-76,-73,-74,-72,-69,-85,-78,-88,-74,-81,-77,-93,-78,-200,-200,-200,-200,-200,-200,-200,-87,-94,-200,-200
1526448507412,-33,-41,-46,-46,-46,-65,-54,-59,-60,-68,-59,-63,-71,-59,-75,-63,-68,-66,-65,-67,-58,-200,-73,-63,-77,-73,-74,-72,-69,-85,-78,-88,-74,-81,-77,-93,-78,-200,-86,-200,-200,-82,-200,-200,-87,-94,-82,-92
1526448510451,-33,-41,-46,-46,-46,-65,-54,-59,-60,-68,-59,-63,-71,-59,-75,-63,-68,-66,-65,-67,-58,-200,-73,-63,-77,-73,-74,-72,-69,-85,-78,-88,-74,-81,-77,-93,-78,-200,-86,-200,-200,-82,-200,-200,-87,-94,-82,-92
1526448513506,-33,-41,-46,-46,-46,-65,-54,-59,-60,-68,-59,-63,-71,-59,-75,-63,-68,-66,-65,-67,-58,-200,-73,-63,-77,-73,-74,-72,-69,-85,-78,-88,-74,-81,-77,-93,-78,-200,-86,-200,-200,-82,-200,-200,-87,-94,-82,-92
1526448516544,-32,-40,-48,-45,-47,-67,-57,-59,-59,-64,-59,-59,-69,-59,-77,-64,-68,-66,-65,-70,-58,-200,-77,-63,-75,-73,-200,-69,-72,-86,-80,-83,-75,-200,-77,-90,-81,-200,-86,-200,-89,-80,-200,-200,-200,-200,-82,-92
1526448519585,-32,-40,-48,-45,-47,-67,-57,-59,-59,-64,-59,-59,-69,-59,-77,-64,-68,-66,-65,-70,-58,-200,-77,-63,-75,-73,-200,-69,-72,-86,-80,-83,-75,-200,-77,-90,-81,-200,-86,-200,-89,-80,-200,-200,-200,-200,-82,-92
1526448522618,-32,-40,-48,-45,-47,-67,-57,-59,-59,-64,-59,-59,-69,-59,-77,-64,-68,-66,-65,-70,-58,-200,-77,-63,-75,-73,-200,-69,-72,-86,-80,-83,-75,-200,-77,-90,-81,-200,-86,-200,-89,-80,-200,-200,-200,-200,-82,-92
1526448525663,-32,-40,-48,-45,-47,-67,-57,-59,-59,-64,-59,-59,-69,-59,-77,-64,-68,-66,-65,-70,-58,-200,-77,-63,-75,-73,-200,-69,-72,-86,-80,-83,-75,-200,-77,-90,-81,-200,-86,-200,-89,-80,-200,-200,-200,-200,-82,-92
1526448528706,-35,-42,-46,-47,-49,-64,-52,-65,-54,-58,-59,-58,-69,-58,-80,-66,-72,-68,-64,-66,-59,-200,-70,-63,-75,-200,-73,-200,-77,-200,-78,-81,-200,-200,-73,-200,-77,-200,-200,-200,-200,-82,-200,-200,-200,-200,-79,-200
