,WHU-2018,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526448876128,-31,-42,-29,-46,-47,-55,-63,-67,-42,-75,-59,-77,-68,-68,-59,-66,-64,-72,-69,-200,-68,-69,-70,-72,-77,-66,-74,-81,-73,-84,-62,-62,-83,-200,-80,-200,-81,-200,-86,-71,-200,-200,-83,-200,-89,-90,-86,-200,-200
1526448879171,-31,-42,-29,-46,-47,-55,-63,-67,-42,-75,-59,-77,-68,-68,-59,-66,-64,-72,-69,-200,-68,-69,-70,-72,-77,-66,-74,-81,-73,-84,-62,-62,-83,-200,-80,-200,-81,-200,-86,-71,-200,-200,-83,-200,-89,-90,-86,-200,-200
1526448882201,-31,-42,-29,-46,-47,-55,-63,-67,-42,-75,-59,-77,-68,-68,-59,-66,-64,-72,-69,-200,-68,-69,-70,-72,-77,-66,-74,-81,-73,-84,-62,-62,-83,-200,-80,-200,-81,-200,-86,-71,-200,-200,-83,-200,-89,-90,-86,-200,-200
1526448885241,-24,-43,-29,-46,-47,-57,-63,-69,-42,-70,-60,-77,-66,-66,-59,-200,-64,-72,-67,-200,-68,-68,-70,-69,-76,-67,-74,-81,-72,-86,-66,-62,-82,-200,-77,-200,-81,-83,-86,-72,-200,-200,-83,-200,-89,-200,-200,-88,-200
1526448888285,-24,-43,-30,-47,-47,-57,-60,-69,-42,-70,-65,-77,-66,-66,-58,-200,-64,-71,-66,-77,-64,-68,-70,-69,-75,-67,-75,-80,-74,-86,-64,-62,-82,-200,-75,-200,-81,-83,-86,-72,-200,-200,-85,-200,-89,-200,-200,-88,-80
1526448891321,-24,-43,-30,-47,-47,-57,-60,-69,-42,-70,-65,-77,-66,-66,-58,-200,-64,-71,-66,-77,-64,-68,-70,-69,-75,-67,-75,-80,-74,-86,-64,-62,-82,-200,-75,-200,-81,-83,-86,-72,-200,-200,-85,-200,-89,-200,-200,-88,-80
1526448894367,-24,-43,-30,-47,-47,-57,-60,-69,-42,-70,-65,-77,-66,-66,-58,-200,-64,-71,-66,-77,-64,-68,-70,-69,-75,-67,-75,-80,-74,-86,-64,-62,-82,-200,-75,-200,-81,-83,-86,-72,-200,-200,-85,-200,-89,-200,-200,-88,-80
1526448897419,-27,-43,-30,-46,-47,-62,-61,-67,-44,-71,-65,-200,-66,-62,-62,-69,-68,-71,-66,-77,-71,-68,-200,-200,-77,-78,-74,-79,-74,-200,-65,-62,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-80
1526448900456,-27,-43,-30,-46,-46,-62,-61,-67,-44,-68,-65,-200,-66,-62,-62,-69,-68,-71,-66,-77,-71,-68,-200,-200,-77,-78,-74,-79,-74,-200,-65,-62,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-80
1526448903501,-27,-43,-30,-46,-46,-62,-61,-67,-44,-68,-65,-200,-66,-62,-62,-69,-68,-71,-66,-77,-71,-68,-200,-200,-77,-78,-74,-79,-74,-200,-65,-62,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-80
1526448906514,-27,-43,-30,-46,-46,-62,-61,-67,-44,-68,-65,-200,-66,-62,-62,-69,-68,-71,-66,-77,-71,-68,-200,-200,-77,-78,-74,-79,-74,-200,-65,-62,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-80
1526448909555,-34,-42,-30,-49,-45,-63,-65,-69,-43,-69,-62,-200,-67,-67,-69,-66,-65,-74,-200,-200,-69,-67,-71,-200,-78,-67,-74,-200,-200,-200,-64,-62,-200,-200,-79,-85,-200,-200,-200,-74,-200,-200,-81,-200,-85,-91,-200,-200,-200
