,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526448568856,-55,-41,-41,-47,-58,-66,-200,-59,-66,-80,-68,-61,-52,-200,-60,-67,-79,-88,-70,-85,-74,-75,-80,-200,-80,-73,-70,-84,-72,-200,-78,-79,-200,-81,-200,-85,-200,-200,-200,-200,-86,-200,-87,-88,-78,-78,-77,-86,-200,-200,-200,-200
1526448571899,-55,-41,-41,-47,-58,-66,-200,-59,-66,-80,-68,-61,-52,-200,-60,-67,-79,-88,-70,-85,-74,-75,-80,-200,-80,-73,-70,-84,-72,-200,-78,-79,-200,-81,-200,-85,-200,-200,-200,-200,-86,-200,-87,-88,-78,-78,-77,-86,-200,-200,-200,-200
1526448574943,-55,-41,-41,-47,-58,-66,-200,-59,-66,-80,-68,-61,-52,-200,-60,-67,-79,-88,-70,-85,-74,-75,-80,-200,-80,-73,-70,-84,-72,-200,-78,-79,-200,-81,-200,-85,-200,-200,-200,-200,-86,-200,-87,-88,-78,-78,-77,-86,-200,-200,-200,-200
1526448577979,-55,-38,-38,-47,-61,-65,-200,-59,-66,-200,-66,-60,-58,-200,-60,-67,-79,-88,-74,-85,-71,-74,-80,-200,-84,-73,-75,-83,-74,-200,-78,-75,-200,-87,-200,-200,-200,-200,-200,-200,-86,-200,-87,-87,-78,-77,-77,-86,-90,-200,-200,-200
1526448581018,-51,-38,-40,-46,-60,-66,-200,-60,-72,-79,-67,-62,-57,-200,-60,-67,-78,-88,-73,-85,-72,-73,-80,-200,-85,-70,-75,-83,-73,-200,-78,-75,-200,-87,-200,-200,-200,-200,-200,-200,-86,-200,-87,-87,-79,-77,-77,-86,-90,-200,-200,-200
1526448584060,-51,-38,-40,-46,-60,-66,-200,-60,-72,-79,-67,-62,-57,-200,-60,-67,-78,-88,-73,-85,-72,-73,-80,-200,-85,-70,-75,-83,-73,-200,-78,-75,-200,-87,-200,-200,-200,-200,-200,-200,-86,-200,-87,-87,-79,-77,-77,-86,-90,-200,-200,-200
1526448587104,-51,-38,-40,-46,-60,-66,-200,-60,-72,-79,-67,-62,-57,-200,-60,-67,-78,-88,-73,-85,-72,-73,-80,-200,-85,-70,-75,-83,-73,-200,-78,-75,-200,-87,-200,-200,-200,-200,-200,-200,-86,-200,-87,-87,-79,-77,-77,-86,-90,-200,-200,-200
1526448590115,-55,-40,-39,-48,-60,-67,-200,-59,-69,-79,-66,-58,-58,-87,-59,-67,-79,-200,-73,-200,-72,-76,-200,-200,-84,-74,-72,-83,-73,-200,-76,-75,-200,-87,-200,-200,-200,-200,-200,-89,-87,-88,-87,-200,-76,-200,-200,-200,-200,-91,-200,-200
1526448593157,-56,-44,-39,-56,-59,-67,-73,-59,-71,-79,-66,-62,-58,-87,-60,-67,-79,-200,-71,-200,-72,-73,-200,-200,-84,-75,-76,-83,-73,-200,-76,-75,-200,-87,-200,-200,-200,-200,-200,-89,-87,-88,-87,-89,-76,-200,-200,-200,-200,-91,-84,-85
1526448596205,-56,-44,-39,-56,-59,-67,-73,-59,-71,-79,-66,-62,-58,-87,-60,-67,-79,-200,-71,-200,-72,-73,-200,-200,-84,-75,-76,-83,-73,-200,-76,-75,-200,-87,-200,-200,-200,-200,-200,-89,-87,-88,-87,-89,-76,-200,-200,-200,-200,-91,-84,-85
1526448599245,-56,-44,-39,-56,-59,-67,-73,-59,-71,-79,-66,-62,-58,-87,-60,-67,-79,-200,-71,-200,-72,-73,-200,-200,-84,-75,-76,-83,-73,-200,-76,-75,-200,-87,-200,-200,-200,-200,-200,-89,-87,-88,-87,-89,-76,-200,-200,-200,-200,-91,-84,-85
1526448602283,-55,-42,-37,-49,-60,-66,-73,-58,-67,-78,-66,-58,-58,-200,-59,-69,-79,-200,-72,-200,-69,-72,-80,-200,-200,-70,-72,-200,-72,-200,-80,-76,-200,-90,-200,-200,-200,-200,-200,-89,-87,-200,-200,-89,-76,-81,-200,-200,-200,-94,-84,-84
