,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1
1526443617631,-200,-83,-200,-70,-200,-67,-80,-200,-200,-92,-200,-78,-200,-200,-86,-89
1526443617734,-200,-200,-200,-200,-96,-67,-200,-89,-200,-93,-200,-200,-200,-200,-200,-200
1526443617848,-81,-83,-200,-200,-200,-200,-85,-200,-200,-93,-90,-78,-200,-200,-88,-91
1526443622079,-200,-200,-200,-200,-200,-78,-85,-200,-200,-200,-200,-86,-92,-200,-83,-200
1526443622224,-200,-77,-200,-80,-200,-78,-85,-200,-200,-200,-89,-86,-200,-200,-82,-200
1526443622322,-87,-77,-200,-79,-200,-78,-86,-90,-200,-200,-89,-86,-200,-200,-200,-200
1526443627375,-200,-200,-200,-81,-200,-84,-200,-90,-200,-101,-200,-200,-200,-200,-90,-200
1526443627883,-89,-79,-200,-200,-200,-200,-200,-200,-200,-101,-200,-200,-200,-200,-200,-200
1526443628002,-88,-77,-200,-200,-200,-82,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200
1526443628104,-83,-77,-200,-80,-200,-82,-84,-91,-90,-200,-84,-78,-200,-200,-200,-89
1526443632092,-82,-87,-200,-67,-200,-64,-83,-86,-200,-200,-84,-78,-200,-200,-200,-89
1526443632191,-82,-200,-200,-67,-200,-64,-82,-200,-200,-200,-83,-78,-200,-200,-81,-200
1526443632299,-200,-200,-200,-67,-200,-65,-83,-86,-200,-200,-200,-77,-200,-200,-200,-89
1526443632405,-88,-89,-200,-67,-200,-63,-200,-88,-200,-200,-200,-77,-200,-200,-200,-200
1526443637061,-200,-200,-200,-80,-200,-63,-80,-200,-200,-200,-200,-80,-200,-200,-200,-200
1526443637171,-200,-200,-200,-81,-200,-63,-200,-89,-200,-200,-200,-80,-200,-200,-79,-200
1526443637268,-200,-79,-200,-81,-200,-63,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526443637380,-200,-200,-200,-200,-200,-64,-80,-200,-200,-96,-91,-78,-200,-200,-200,-200
1526443642047,-86,-200,-200,-200,-200,-69,-81,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526443642144,-87,-90,-200,-200,-200,-71,-82,-200,-200,-200,-200,-82,-200,-200,-87,-200
1526443642252,-87,-89,-200,-200,-200,-69,-200,-200,-200,-200,-200,-82,-200,-200,-86,-200
1526443642395,-87,-89,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200
1526443642501,-200,-77,-200,-78,-200,-69,-83,-200,-200,-200,-84,-81,-90,-200,-81,-200
1526443647095,-200,-200,-200,-78,-200,-64,-83,-91,-200,-96,-84,-81,-89,-200,-82,-200
1526443647200,-200,-200,-200,-79,-200,-64,-83,-200,-200,-96,-200,-200,-200,-200,-82,-200
1526443647309,-200,-77,-200,-78,-200,-64,-82,-200,-200,-200,-84,-81,-200,-200,-82,-200
1526443647410,-200,-77,-200,-78,-200,-64,-83,-89,-200,-96,-200,-81,-200,-200,-82,-200
1526443652482,-200,-200,-200,-76,-200,-64,-200,-90,-200,-97,-83,-200,-90,-200,-83,-200
1526443652584,-200,-78,-200,-77,-200,-64,-200,-89,-200,-200,-83,-81,-200,-200,-200,-200
1526443652729,-200,-200,-200,-77,-200,-64,-200,-200,-200,-200,-83,-200,-90,-200,-83,-200
1526443657055,-200,-80,-200,-200,-200,-69,-200,-200,-200,-200,-200,-80,-88,-200,-81,-200
1526443657140,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-80,-88,-200,-81,-200
1526443657266,-88,-80,-200,-78,-97,-69,-80,-200,-200,-200,-200,-80,-89,-200,-80,-89
1526443662066,-85,-88,-200,-95,-98,-69,-81,-200,-200,-200,-200,-81,-90,-200,-200,-200
1526443662161,-86,-200,-200,-200,-96,-69,-200,-200,-200,-200,-200,-81,-200,-200,-88,-200
1526443662271,-85,-87,-200,-200,-200,-69,-81,-200,-200,-200,-200,-81,-200,-200,-88,-200
1526443662373,-200,-87,-200,-200,-200,-69,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200
1526443667039,-200,-81,-200,-77,-200,-65,-81,-89,-200,-200,-84,-200,-200,-200,-81,-200
1526443667134,-200,-82,-200,-77,-200,-65,-82,-200,-200,-200,-84,-78,-92,-200,-81,-200
1526443667233,-200,-83,-200,-77,-200,-65,-82,-88,-200,-200,-200,-78,-90,-200,-80,-200
1526443667362,-200,-81,-200,-200,-200,-65,-200,-200,-200,-200,-200,-78,-90,-200,-81,-200
1526443667466,-200,-200,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
