,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011314,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz
1526453340402,-15,-31,-44,-48,-41,-57,-59,-59,-39,-56,-53,-49,-53,-52,-64,-53,-63,-56,-59,-60,-61,-71,-65,-65,-88,-65,-52,-73,-62,-73,-69,-68,-65,-65,-70,-78,-68,-77,-81,-75,-200,-77,-73,-72,-76,-74,-75,-84,-77,-71,-200,-78,-200,-67,-77,-200,-83,-83,-79,-200,-83,-79,-200,-83,-200,-79,-84,-200,-200,-79,-82,-82,-82,-200,-200,-92,-89,-200,-200,-87,-200,-200,-91,-87,-65,-60,-200,-86,-88,-200,-91,-86,-200,-84,-200,-200,-58,-70,-200,-83,-89,-200,-90,-200,-74,-68,-200,-200,-200,-85,-72,-200,-82,-200,-200,-79,-85,-200,-200,-200,-200,-200
1526453343436,-23,-32,-37,-41,-40,-35,-51,-52,-37,-42,-41,-51,-53,-50,-53,-57,-57,-60,-59,-53,-58,-70,-69,-59,-88,-59,-62,-64,-64,-67,-72,-68,-68,-65,-68,-78,-66,-200,-81,-75,-200,-66,-73,-72,-76,-74,-66,-84,-76,-200,-200,-76,-75,-79,-77,-200,-81,-83,-80,-89,-83,-82,-200,-83,-200,-79,-200,-200,-200,-90,-82,-82,-82,-200,-200,-200,-200,-81,-200,-87,-200,-200,-91,-87,-65,-60,-200,-86,-88,-200,-91,-86,-89,-84,-200,-200,-63,-70,-72,-83,-200,-200,-200,-200,-74,-68,-200,-200,-78,-200,-200,-200,-82,-200,-200,-78,-85,-90,-200,-200,-200,-200
1526453346489,-22,-31,-35,-40,-38,-44,-50,-53,-37,-49,-45,-50,-53,-53,-53,-50,-54,-55,-60,-59,-64,-66,-53,-59,-88,-69,-51,-61,-51,-59,-66,-63,-64,-65,-75,-78,-65,-73,-78,-73,-200,-67,-77,-71,-76,-200,-63,-76,-63,-200,-200,-74,-75,-79,-77,-200,-81,-82,-80,-89,-83,-82,-200,-200,-200,-84,-200,-200,-89,-80,-82,-81,-82,-90,-200,-200,-200,-81,-200,-85,-200,-200,-200,-87,-200,-200,-200,-84,-200,-200,-200,-86,-89,-86,-200,-200,-63,-70,-76,-82,-84,-200,-200,-92,-67,-68,-200,-200,-78,-86,-200,-200,-81,-200,-200,-75,-85,-90,-200,-200,-200,-200
1526453349525,-23,-32,-36,-43,-40,-57,-47,-50,-42,-47,-48,-50,-53,-52,-57,-50,-51,-59,-60,-57,-64,-63,-53,-60,-88,-60,-51,-69,-61,-66,-71,-66,-71,-65,-71,-78,-67,-73,-77,-76,-200,-71,-76,-71,-200,-72,-64,-75,-63,-200,-200,-74,-75,-77,-200,-81,-86,-82,-81,-89,-83,-82,-200,-200,-200,-84,-200,-200,-88,-79,-82,-81,-200,-90,-200,-200,-200,-81,-200,-85,-200,-200,-200,-200,-200,-64,-74,-84,-200,-86,-200,-84,-89,-86,-200,-200,-63,-200,-76,-81,-84,-200,-200,-88,-64,-200,-200,-200,-78,-86,-65,-200,-85,-200,-200,-75,-200,-87,-90,-200,-200,-200
1526453352579,-23,-33,-39,-44,-41,-49,-46,-56,-36,-47,-47,-51,-54,-52,-50,-49,-60,-59,-55,-58,-57,-55,-66,-55,-67,-61,-60,-61,-68,-65,-70,-71,-72,-65,-69,-78,-68,-73,-77,-76,-200,-71,-75,-71,-71,-73,-66,-75,-79,-200,-200,-79,-68,-77,-76,-81,-83,-86,-80,-89,-82,-82,-200,-200,-200,-82,-200,-200,-84,-77,-84,-81,-89,-90,-200,-200,-200,-81,-200,-85,-200,-91,-200,-200,-200,-71,-74,-84,-87,-86,-200,-87,-89,-86,-200,-200,-63,-200,-72,-81,-84,-200,-200,-88,-65,-200,-200,-200,-78,-86,-65,-200,-85,-200,-200,-75,-200,-87,-90,-79,-200,-200
1526453355618,-14,-31,-45,-51,-40,-53,-57,-50,-40,-52,-54,-52,-53,-52,-54,-50,-62,-60,-62,-65,-66,-63,-68,-55,-67,-62,-57,-65,-65,-65,-72,-70,-67,-65,-68,-78,-70,-73,-77,-76,-200,-69,-78,-71,-71,-73,-62,-77,-65,-77,-200,-79,-68,-77,-76,-81,-83,-85,-82,-200,-82,-83,-200,-200,-200,-87,-200,-200,-84,-81,-80,-82,-89,-86,-200,-200,-200,-81,-200,-88,-200,-91,-200,-200,-200,-71,-74,-84,-87,-86,-200,-87,-200,-84,-200,-200,-63,-76,-72,-83,-84,-200,-200,-88,-63,-200,-200,-200,-200,-86,-69,-200,-85,-200,-200,-75,-200,-87,-90,-79,-200,-200
1526453358669,-23,-33,-40,-41,-38,-50,-50,-49,-35,-47,-44,-49,-53,-37,-51,-50,-61,-57,-56,-59,-68,-66,-67,-59,-67,-62,-58,-65,-64,-62,-69,-63,-69,-69,-68,-78,-65,-76,-65,-76,-200,-69,-74,-200,-71,-70,-69,-77,-65,-77,-200,-74,-68,-73,-77,-81,-87,-82,-80,-85,-82,-81,-200,-200,-200,-86,-200,-200,-83,-77,-82,-82,-89,-89,-200,-200,-200,-82,-200,-86,-200,-91,-200,-200,-61,-69,-75,-200,-87,-86,-200,-87,-88,-84,-200,-200,-63,-66,-72,-81,-200,-200,-85,-88,-63,-200,-200,-200,-200,-89,-69,-200,-76,-200,-200,-200,-200,-87,-90,-79,-200,-200
1526453361721,-20,-31,-38,-42,-39,-51,-50,-47,-42,-47,-44,-50,-52,-51,-51,-51,-61,-58,-58,-56,-68,-62,-67,-59,-67,-62,-58,-60,-64,-67,-71,-68,-64,-67,-68,-200,-65,-76,-68,-74,-200,-69,-73,-200,-71,-70,-69,-77,-65,-77,-79,-76,-68,-73,-77,-78,-84,-84,-78,-88,-86,-85,-200,-200,-200,-77,-83,-81,-87,-81,-79,-82,-89,-89,-200,-200,-200,-82,-87,-85,-200,-91,-200,-200,-61,-69,-75,-200,-87,-200,-87,-85,-88,-85,-200,-92,-54,-66,-72,-81,-86,-87,-85,-200,-63,-200,-200,-200,-200,-89,-69,-200,-76,-200,-200,-200,-200,-200,-200,-79,-200,-200
1526453364757,-22,-15,-39,-42,-41,-50,-54,-51,-31,-48,-47,-51,-57,-51,-49,-53,-60,-52,-56,-57,-68,-65,-69,-61,-200,-55,-57,-67,-68,-67,-72,-68,-75,-67,-68,-77,-68,-74,-68,-75,-200,-69,-73,-200,-73,-76,-66,-77,-75,-77,-79,-76,-74,-73,-74,-78,-82,-81,-80,-88,-86,-81,-200,-200,-200,-81,-84,-81,-90,-81,-79,-82,-89,-89,-200,-200,-200,-82,-87,-85,-200,-91,-200,-200,-61,-69,-75,-200,-200,-200,-87,-85,-88,-85,-200,-92,-54,-66,-200,-77,-86,-87,-85,-200,-63,-200,-77,-200,-200,-89,-69,-200,-76,-200,-200,-200,-200,-200,-200,-72,-86,-89
1526453367814,-25,-31,-35,-42,-40,-44,-52,-51,-38,-48,-48,-51,-61,-52,-50,-50,-57,-59,-59,-60,-60,-61,-69,-63,-200,-61,-63,-62,-65,-67,-71,-69,-62,-61,-69,-77,-68,-74,-67,-74,-200,-67,-73,-200,-78,-66,-61,-75,-75,-72,-79,-76,-74,-73,-76,-78,-82,-78,-82,-88,-86,-82,-200,-81,-200,-79,-84,-81,-90,-83,-79,-200,-89,-89,-200,-200,-200,-82,-87,-88,-200,-91,-200,-200,-61,-69,-73,-85,-200,-200,-87,-85,-90,-85,-200,-92,-58,-66,-200,-80,-89,-86,-85,-200,-64,-200,-77,-200,-200,-89,-200,-200,-76,-200,-200,-76,-200,-200,-200,-72,-86,-89
1526453370851,-23,-31,-37,-43,-41,-52,-54,-49,-41,-46,-54,-51,-53,-52,-52,-58,-57,-58,-60,-68,-65,-71,-69,-63,-200,-61,-62,-63,-65,-91,-72,-68,-64,-66,-68,-77,-71,-74,-67,-76,-200,-68,-75,-200,-69,-66,-62,-72,-77,-72,-79,-76,-74,-200,-82,-78,-82,-82,-81,-88,-86,-81,-200,-79,-200,-78,-84,-81,-90,-80,-79,-83,-86,-200,-200,-200,-200,-200,-87,-87,-200,-200,-200,-200,-200,-200,-73,-85,-200,-200,-87,-83,-88,-85,-200,-92,-71,-200,-200,-80,-89,-86,-200,-200,-64,-200,-77,-200,-200,-200,-200,-86,-83,-200,-200,-79,-200,-200,-200,-72,-86,-89
1526453373898,-25,-33,-40,-47,-45,-35,-50,-51,-37,-50,-46,-49,-56,-52,-56,-51,-58,-55,-60,-60,-58,-63,-69,-63,-200,-69,-66,-63,-60,-91,-74,-67,-71,-66,-70,-78,-72,-77,-70,-71,-200,-70,-69,-200,-79,-74,-62,-76,-77,-75,-200,-76,-72,-200,-82,-200,-83,-89,-78,-200,-200,-83,-200,-79,-200,-74,-84,-83,-86,-80,-200,-83,-86,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-69,-73,-85,-200,-86,-200,-83,-88,-200,-200,-200,-71,-200,-200,-77,-86,-85,-200,-89,-64,-200,-77,-200,-200,-200,-200,-86,-83,-200,-200,-79,-200,-200,-200,-72,-86,-89
