,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,whu2011314,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526453205846,-7,-45,-22,-52,-47,-54,-55,-53,-49,-52,-58,-56,-55,-56,-62,-66,-64,-56,-62,-61,-58,-58,-63,-60,-67,-60,-59,-65,-65,-65,-60,-71,-61,-76,-200,-70,-69,-57,-71,-55,-60,-75,-73,-200,-200,-74,-78,-76,-200,-71,-76,-73,-200,-73,-78,-84,-79,-82,-78,-80,-84,-78,-78,-80,-70,-70,-81,-80,-80,-72,-80,-200,-83,-81,-82,-79,-75,-87,-86,-87,-200,-85,-200,-88,-85,-200,-87,-86,-87,-200,-200,-200,-89,-200,-91,-86,-79,-84,-200,-85,-74,-200,-74,-200,-200,-91,-200,-92,-90,-200,-70,-84,-91,-83,-80,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526453208898,-16,-35,-37,-38,-49,-44,-46,-46,-49,-48,-52,-55,-53,-55,-55,-59,-54,-55,-64,-59,-58,-58,-58,-60,-64,-59,-62,-65,-63,-200,-63,-72,-61,-71,-200,-70,-72,-70,-66,-69,-61,-75,-73,-90,-200,-200,-78,-200,-76,-72,-76,-73,-200,-200,-78,-84,-78,-82,-79,-80,-84,-79,-77,-81,-80,-200,-82,-77,-80,-72,-79,-200,-83,-87,-82,-79,-75,-88,-85,-87,-80,-83,-86,-88,-85,-85,-84,-86,-87,-200,-200,-200,-89,-200,-91,-86,-70,-85,-81,-82,-74,-200,-75,-200,-200,-91,-200,-200,-90,-200,-71,-81,-91,-84,-80,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526453211949,-6,-36,-36,-48,-50,-46,-47,-46,-49,-50,-77,-63,-58,-61,-57,-63,-55,-57,-64,-59,-64,-58,-58,-60,-63,-61,-60,-65,-63,-62,-64,-71,-61,-69,-200,-70,-78,-67,-76,-69,-61,-75,-74,-89,-200,-200,-84,-75,-76,-72,-74,-77,-75,-200,-79,-84,-79,-79,-78,-80,-84,-80,-77,-81,-81,-77,-88,-79,-80,-72,-80,-200,-83,-87,-82,-83,-75,-88,-84,-85,-77,-84,-86,-88,-85,-86,-84,-86,-200,-200,-200,-200,-89,-200,-91,-86,-72,-83,-81,-86,-72,-200,-75,-106,-200,-200,-200,-200,-89,-200,-71,-81,-200,-84,-80,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526453214964,-7,-44,-38,-38,-57,-43,-56,-60,-49,-44,-57,-53,-59,-63,-57,-66,-53,-60,-64,-59,-57,-58,-58,-51,-61,-61,-59,-64,-63,-68,-67,-71,-62,-69,-200,-71,-70,-65,-78,-69,-61,-75,-74,-89,-200,-200,-73,-73,-76,-70,-75,-74,-75,-200,-75,-76,-78,-82,-79,-82,-200,-80,-77,-80,-80,-83,-80,-81,-200,-200,-79,-200,-83,-87,-82,-82,-200,-87,-84,-85,-77,-85,-86,-87,-83,-86,-82,-200,-200,-200,-200,-200,-200,-200,-200,-85,-72,-82,-81,-87,-72,-200,-77,-106,-88,-200,-200,-90,-89,-200,-76,-81,-200,-84,-75,-200,-84,-86,-200,-200,-200,-200,-200,-200
1526453217984,-17,-35,-35,-41,-49,-47,-45,-45,-49,-49,-49,-61,-53,-54,-56,-59,-53,-55,-200,-60,-56,-58,-58,-59,-59,-59,-60,-65,-60,-64,-64,-72,-62,-66,-200,-70,-71,-67,-74,-200,-61,-74,-75,-89,-200,-200,-72,-76,-200,-72,-76,-74,-75,-200,-74,-76,-79,-82,-79,-79,-200,-80,-78,-80,-79,-83,-81,-79,-200,-200,-80,-200,-85,-200,-82,-86,-200,-87,-84,-85,-77,-85,-200,-87,-83,-85,-82,-85,-200,-200,-200,-200,-200,-200,-200,-85,-72,-85,-200,-83,-72,-200,-76,-106,-88,-200,-200,-90,-91,-200,-76,-200,-200,-200,-75,-200,-84,-86,-200,-200,-200,-200,-200,-200
1526453221024,-17,-36,-36,-44,-48,-44,-47,-52,-49,-52,-45,-58,-55,-55,-57,-57,-54,-55,-200,-60,-55,-58,-63,-60,-59,-59,-54,-65,-60,-66,-65,-69,-62,-68,-200,-70,-69,-67,-74,-70,-60,-74,-75,-200,-200,-200,-64,-82,-200,-72,-76,-74,-200,-200,-75,-62,-79,-79,-79,-79,-85,-80,-77,-76,-77,-83,-82,-79,-200,-200,-78,-200,-84,-200,-83,-86,-200,-87,-83,-85,-77,-86,-200,-87,-83,-84,-80,-85,-200,-200,-200,-200,-200,-200,-200,-84,-85,-83,-200,-83,-71,-200,-76,-200,-88,-200,-200,-90,-91,-200,-69,-200,-200,-200,-75,-200,-84,-86,-81,-82,-200,-200,-200,-200
1526453224065,-17,-36,-37,-38,-49,-44,-46,-47,-49,-50,-50,-54,-54,-59,-56,-56,-55,-52,-200,-62,-59,-58,-65,-56,-59,-59,-58,-62,-60,-65,-64,-70,-62,-68,-200,-71,-71,-64,-76,-70,-60,-68,-73,-200,-200,-200,-77,-82,-200,-72,-76,-74,-200,-72,-74,-76,-78,-75,-78,-81,-78,-80,-77,-79,-80,-200,-81,-79,-75,-200,-78,-200,-83,-83,-83,-84,-200,-87,-83,-85,-77,-83,-200,-87,-83,-85,-84,-85,-200,-200,-200,-200,-200,-93,-200,-84,-59,-84,-200,-83,-72,-200,-75,-200,-200,-200,-200,-90,-91,-200,-69,-200,-200,-200,-200,-200,-200,-86,-79,-82,-78,-90,-200,-200
1526453227105,-17,-35,-37,-38,-47,-45,-48,-46,-49,-46,-45,-55,-55,-49,-51,-66,-57,-55,-200,-59,-58,-58,-58,-61,-59,-61,-58,-65,-63,-65,-64,-70,-62,-70,-71,-70,-69,-65,-76,-70,-63,-68,-73,-200,-200,-200,-74,-74,-200,-72,-76,-75,-200,-72,-75,-76,-79,-81,-78,-81,-78,-200,-78,-79,-77,-200,-82,-79,-75,-70,-78,-200,-83,-83,-82,-84,-200,-87,-84,-85,-77,-83,-200,-88,-85,-85,-84,-85,-200,-200,-200,-200,-200,-93,-92,-85,-59,-83,-200,-83,-72,-200,-75,-200,-200,-200,-200,-92,-88,-200,-69,-200,-200,-200,-200,-200,-200,-200,-79,-82,-78,-90,-200,-200
1526453230141,-6,-35,-23,-39,-50,-46,-54,-55,-49,-52,-50,-62,-60,-56,-54,-59,-57,-55,-62,-61,-58,-58,-58,-63,-200,-61,-64,-63,-64,-65,-63,-72,-62,-69,-71,-71,-78,-71,-79,-70,-60,-67,-73,-200,-200,-200,-79,-79,-74,-72,-58,-76,-200,-72,-75,-76,-79,-79,-78,-80,-82,-80,-78,-79,-77,-79,-82,-80,-83,-70,-78,-200,-85,-83,-82,-82,-200,-88,-84,-85,-75,-85,-200,-86,-85,-85,-84,-200,-200,-200,-200,-200,-200,-93,-92,-85,-59,-83,-200,-86,-72,-200,-80,-200,-200,-200,-200,-92,-88,-200,-69,-200,-200,-200,-200,-200,-200,-200,-83,-82,-80,-92,-86,-200
1526453233172,-17,-35,-36,-44,-48,-46,-46,-44,-48,-49,-48,-54,-55,-56,-57,-56,-54,-58,-62,-61,-58,-58,-64,-59,-200,-61,-61,-65,-61,-66,-58,-72,-65,-68,-66,-70,-73,-66,-73,-200,-61,-68,-75,-200,-200,-200,-74,-74,-75,-71,-75,-74,-200,-72,-75,-76,-79,-75,-78,-58,-78,-80,-78,-79,-76,-70,-82,-80,-75,-70,-82,-89,-85,-83,-82,-81,-200,-86,-84,-85,-75,-84,-200,-88,-85,-86,-85,-87,-86,-90,-200,-200,-200,-93,-92,-85,-59,-83,-200,-83,-71,-200,-80,-200,-90,-200,-200,-92,-88,-200,-200,-200,-200,-200,-77,-200,-89,-200,-83,-200,-80,-90,-87,-200
1526453236210,-17,-36,-38,-43,-51,-46,-46,-47,-48,-50,-51,-55,-53,-52,-48,-57,-53,-58,-62,-59,-57,-58,-58,-58,-60,-63,-60,-65,-60,-68,-67,-72,-65,-68,-69,-71,-73,-66,-75,-200,-61,-72,-75,-86,-200,-200,-73,-74,-75,-70,-76,-74,-74,-200,-75,-76,-79,-82,-80,-83,-78,-79,-78,-79,-77,-70,-82,-79,-74,-70,-82,-89,-85,-200,-82,-81,-200,-86,-84,-85,-76,-83,-200,-88,-85,-86,-85,-87,-86,-90,-200,-200,-91,-200,-92,-84,-79,-82,-200,-84,-73,-200,-76,-200,-90,-89,-200,-92,-88,-200,-200,-200,-200,-200,-81,-200,-89,-200,-83,-200,-80,-90,-88,-200
1526453239251,-17,-36,-38,-42,-48,-44,-46,-47,-49,-44,-48,-58,-55,-55,-51,-56,-56,-55,-66,-59,-56,-58,-58,-59,-60,-62,-64,-54,-64,-68,-65,-70,-62,-69,-69,-71,-75,-65,-74,-200,-61,-68,-75,-86,-200,-78,-78,-72,-75,-72,-76,-76,-74,-200,-75,-77,-77,-82,-81,-80,-84,-79,-77,-81,-77,-70,-82,-79,-76,-200,-79,-89,-84,-200,-83,-86,-82,-90,-84,-85,-76,-83,-200,-88,-200,-88,-85,-87,-86,-90,-200,-200,-91,-200,-200,-84,-79,-82,-200,-86,-73,-200,-76,-89,-90,-89,-200,-94,-88,-200,-200,-200,-200,-200,-81,-200,-89,-200,-83,-200,-80,-90,-88,-87
