,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526452382449,-49,-34,-43,-35,-38,-56,-63,-45,-55,-52,-60,-47,-49,-200,-50,-70,-52,-57,-50,-66,-48,-51,-62,-49,-55,-57,-67,-71,-61,-72,-65,-64,-57,-51,-70,-68,-62,-69,-47,-79,-65,-74,-73,-77,-70,-73,-68,-77,-79,-75,-200,-200,-74,-71,-80,-200,-67,-75,-77,-56,-86,-200,-200,-80,-73,-66,-76,-85,-81,-81,-75,-85,-200,-81,-90,-200,-83,-82,-89,-200,-83,-200,-85,-87,-86,-200,-81,-89,-84,-92,-200,-75,-200,-82,-84,-86,-90,-89,-200,-200,-57,-84,-87,-200,-200,-200,-84,-200,-73,-200,-83,-85,-87,-92,-80,-89,-200,-200,-200
1526452385494,-49,-34,-40,-38,-39,-57,-63,-52,-53,-62,-61,-47,-49,-200,-48,-69,-49,-55,-51,-59,-57,-60,-62,-69,-55,-57,-66,-71,-63,-63,-62,-65,-59,-57,-70,-68,-61,-71,-47,-79,-72,-76,-75,-76,-70,-70,-200,-200,-78,-77,-200,-200,-73,-71,-80,-200,-64,-75,-77,-57,-86,-78,-200,-79,-74,-66,-81,-85,-79,-81,-78,-85,-200,-80,-200,-200,-83,-200,-89,-200,-83,-200,-85,-87,-86,-200,-81,-89,-84,-92,-200,-75,-200,-200,-84,-86,-90,-89,-200,-200,-57,-84,-87,-200,-200,-200,-84,-200,-200,-200,-84,-85,-87,-91,-80,-89,-81,-200,-200
1526452388530,-51,-34,-44,-35,-42,-57,-66,-48,-54,-53,-53,-61,-49,-200,-49,-69,-50,-57,-51,-60,-48,-60,-63,-69,-52,-58,-68,-71,-59,-70,-61,-67,-56,-53,-70,-65,-62,-70,-52,-79,-65,-77,-72,-76,-70,-76,-200,-74,-78,-77,-200,-200,-74,-70,-82,-200,-70,-75,-77,-57,-86,-78,-200,-79,-74,-67,-76,-83,-79,-80,-78,-85,-200,-79,-200,-90,-83,-200,-89,-200,-84,-200,-200,-84,-86,-200,-81,-89,-84,-92,-200,-200,-200,-200,-84,-86,-90,-89,-200,-90,-200,-200,-87,-200,-200,-200,-84,-200,-200,-200,-84,-85,-87,-91,-81,-89,-81,-68,-81
1526452391547,-51,-34,-44,-35,-42,-57,-66,-48,-54,-53,-53,-61,-49,-200,-49,-69,-50,-57,-51,-60,-48,-60,-63,-69,-52,-58,-68,-71,-59,-70,-61,-67,-56,-53,-70,-65,-62,-70,-52,-79,-65,-77,-72,-76,-70,-76,-200,-74,-78,-77,-200,-200,-74,-70,-82,-200,-70,-75,-77,-57,-86,-78,-200,-79,-74,-67,-76,-83,-79,-80,-78,-85,-200,-79,-200,-90,-83,-200,-89,-200,-84,-200,-200,-84,-86,-200,-81,-89,-84,-92,-200,-200,-200,-200,-84,-86,-90,-89,-200,-90,-200,-200,-87,-200,-200,-200,-84,-200,-200,-200,-84,-85,-87,-91,-81,-89,-81,-68,-81
1526452394564,-51,-34,-44,-35,-42,-57,-66,-48,-54,-53,-53,-61,-49,-200,-49,-69,-50,-57,-51,-60,-48,-60,-63,-69,-52,-58,-68,-71,-59,-70,-61,-67,-56,-53,-70,-65,-62,-70,-52,-79,-65,-77,-72,-76,-70,-76,-200,-74,-78,-77,-200,-200,-74,-70,-82,-200,-70,-75,-77,-57,-86,-78,-200,-79,-74,-67,-76,-83,-79,-80,-78,-85,-200,-79,-200,-90,-83,-200,-89,-200,-84,-200,-200,-84,-86,-200,-81,-89,-84,-92,-200,-200,-200,-200,-84,-86,-90,-89,-200,-90,-200,-200,-87,-200,-200,-200,-84,-200,-200,-200,-84,-85,-87,-91,-81,-89,-81,-68,-81
1526452397580,-51,-34,-44,-35,-42,-57,-66,-48,-54,-53,-53,-61,-49,-200,-49,-69,-50,-57,-51,-60,-48,-60,-63,-69,-52,-58,-68,-71,-59,-70,-61,-67,-56,-53,-70,-65,-62,-70,-52,-79,-65,-77,-72,-76,-70,-76,-200,-74,-78,-77,-200,-200,-74,-70,-82,-200,-70,-75,-77,-57,-86,-78,-200,-79,-74,-67,-76,-83,-79,-80,-78,-85,-200,-79,-200,-90,-83,-200,-89,-200,-84,-200,-200,-84,-86,-200,-81,-89,-84,-92,-200,-200,-200,-200,-84,-86,-90,-89,-200,-90,-200,-200,-87,-200,-200,-200,-84,-200,-200,-200,-84,-85,-87,-91,-81,-89,-81,-68,-81
1526452400627,-51,-34,-44,-35,-42,-57,-66,-48,-54,-53,-53,-61,-49,-200,-49,-69,-50,-57,-51,-60,-48,-60,-63,-69,-52,-58,-68,-71,-59,-70,-61,-67,-56,-53,-70,-65,-62,-70,-52,-79,-65,-77,-72,-76,-70,-76,-200,-74,-78,-77,-200,-200,-74,-70,-82,-200,-70,-75,-77,-57,-86,-78,-200,-79,-74,-67,-76,-83,-79,-80,-78,-85,-200,-79,-200,-90,-83,-200,-89,-200,-84,-200,-200,-84,-86,-200,-81,-89,-84,-92,-200,-200,-200,-200,-84,-86,-90,-89,-200,-90,-200,-200,-87,-200,-200,-200,-84,-200,-200,-200,-84,-85,-87,-91,-81,-89,-81,-68,-81
1526452403675,-51,-34,-44,-35,-42,-57,-66,-48,-54,-53,-53,-61,-49,-200,-49,-69,-50,-57,-51,-60,-48,-60,-63,-69,-52,-58,-68,-71,-59,-70,-61,-67,-56,-53,-70,-65,-62,-70,-52,-79,-65,-77,-72,-76,-70,-76,-200,-74,-78,-77,-200,-200,-74,-70,-82,-200,-70,-75,-77,-57,-86,-78,-200,-79,-74,-67,-76,-83,-79,-80,-78,-85,-200,-79,-200,-90,-83,-200,-89,-200,-84,-200,-200,-84,-86,-200,-81,-89,-84,-92,-200,-200,-200,-200,-84,-86,-90,-89,-200,-90,-200,-200,-87,-200,-200,-200,-84,-200,-200,-200,-84,-85,-87,-91,-81,-89,-81,-68,-81
1526452406724,-51,-34,-44,-35,-42,-57,-66,-48,-54,-53,-53,-61,-49,-200,-49,-69,-50,-57,-51,-60,-48,-60,-63,-69,-52,-58,-68,-71,-59,-70,-61,-67,-56,-53,-70,-65,-62,-70,-52,-79,-65,-77,-72,-76,-70,-76,-200,-74,-78,-77,-200,-200,-74,-70,-82,-200,-70,-75,-77,-57,-86,-78,-200,-79,-74,-67,-76,-83,-79,-80,-78,-85,-200,-79,-200,-90,-83,-200,-89,-200,-84,-200,-200,-84,-86,-200,-81,-89,-84,-92,-200,-200,-200,-200,-84,-86,-90,-89,-200,-90,-200,-200,-87,-200,-200,-200,-84,-200,-200,-200,-84,-85,-87,-91,-81,-89,-81,-68,-81
1526452409772,-51,-34,-44,-35,-42,-57,-66,-48,-54,-53,-53,-61,-49,-200,-49,-69,-50,-57,-51,-60,-48,-60,-63,-69,-52,-58,-68,-71,-59,-70,-61,-67,-56,-53,-70,-65,-62,-70,-52,-79,-65,-77,-72,-76,-70,-76,-200,-74,-78,-77,-200,-200,-74,-70,-82,-200,-70,-75,-77,-57,-86,-78,-200,-79,-74,-67,-76,-83,-79,-80,-78,-85,-200,-79,-200,-90,-83,-200,-89,-200,-84,-200,-200,-84,-86,-200,-81,-89,-84,-92,-200,-200,-200,-200,-84,-86,-90,-89,-200,-90,-200,-200,-87,-200,-200,-200,-84,-200,-200,-200,-84,-85,-87,-91,-81,-89,-81,-68,-81
1526452412789,-51,-34,-44,-35,-42,-57,-66,-48,-54,-53,-53,-61,-49,-200,-49,-69,-50,-57,-51,-60,-48,-60,-63,-69,-52,-58,-68,-71,-59,-70,-61,-67,-56,-53,-70,-65,-62,-70,-52,-79,-65,-77,-72,-76,-70,-76,-200,-74,-78,-77,-200,-200,-74,-70,-82,-200,-70,-75,-77,-57,-86,-78,-200,-79,-74,-67,-76,-83,-79,-80,-78,-85,-200,-79,-200,-90,-83,-200,-89,-200,-84,-200,-200,-84,-86,-200,-81,-89,-84,-92,-200,-200,-200,-200,-84,-86,-90,-89,-200,-90,-200,-200,-87,-200,-200,-200,-84,-200,-200,-200,-84,-85,-87,-91,-81,-89,-81,-68,-81
1526452415839,-51,-34,-44,-35,-42,-57,-66,-48,-54,-53,-53,-61,-49,-200,-49,-69,-50,-57,-51,-60,-48,-60,-63,-69,-52,-58,-68,-71,-59,-70,-61,-67,-56,-53,-70,-65,-62,-70,-52,-79,-65,-77,-72,-76,-70,-76,-200,-74,-78,-77,-200,-200,-74,-70,-82,-200,-70,-75,-77,-57,-86,-78,-200,-79,-74,-67,-76,-83,-79,-80,-78,-85,-200,-79,-200,-90,-83,-200,-89,-200,-84,-200,-200,-84,-86,-200,-81,-89,-84,-92,-200,-200,-200,-200,-84,-86,-90,-89,-200,-90,-200,-200,-87,-200,-200,-200,-84,-200,-200,-200,-84,-85,-87,-91,-81,-89,-81,-68,-81
