,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A88,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526461091983,-45,-40,-69,-46,-54,-66,-62,-60,-57,-54,-57,-77,-62,-71,-72,-74,-70,-53,-81,-61,-78,-77,-82,-200,-200,-82,-81,-78,-81,-82,-82,-84,-200,-79,-81,-71,-200,-70,-78,-200,-73,-76,-84,-88,-200,-200,-200,-86,-200,-200,-200,-83,-85,-90,-76,-200,-81,-91,-200,-200,-200,-200,-200,-89,-81,-79,-79,-88,-200,-78,-89,-200,-86,-92,-81,-200,-87,-90,-89,-85,-88,-89,-91,-85,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461095017,-45,-47,-61,-53,-55,-66,-62,-58,-56,-53,-56,-77,-66,-74,-72,-74,-67,-62,-84,-58,-78,-77,-82,-200,-200,-69,-81,-200,-80,-79,-82,-83,-200,-79,-81,-73,-76,-84,-200,-200,-75,-73,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-85,-90,-76,-200,-83,-91,-200,-200,-200,-200,-200,-89,-81,-79,-82,-88,-200,-78,-91,-200,-86,-92,-84,-88,-87,-90,-89,-87,-200,-200,-200,-85,-88,-90,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526461098028,-44,-42,-60,-46,-53,-65,-60,-56,-52,-52,-58,-77,-63,-70,-68,-69,-63,-62,-84,-59,-75,-72,-200,-80,-86,-66,-81,-200,-80,-79,-200,-83,-200,-78,-86,-71,-76,-84,-200,-78,-71,-73,-200,-83,-89,-200,-200,-200,-200,-200,-200,-200,-200,-81,-76,-200,-83,-200,-200,-200,-200,-200,-200,-89,-77,-78,-82,-200,-200,-79,-91,-200,-86,-92,-84,-88,-87,-200,-200,-87,-200,-200,-200,-200,-200,-200,-85,-77,-200,-200,-200,-200,-200,-200,-200
1526461101038,-41,-43,-62,-46,-50,-64,-57,-53,-58,-51,-54,-80,-67,-70,-67,-69,-67,-54,-84,-56,-75,-80,-200,-80,-86,-65,-81,-74,-80,-81,-81,-85,-200,-78,-86,-72,-76,-81,-76,-78,-70,-74,-86,-83,-89,-200,-200,-83,-200,-200,-87,-89,-200,-81,-200,-200,-78,-200,-90,-200,-200,-200,-200,-86,-77,-78,-81,-200,-200,-79,-91,-90,-200,-200,-82,-88,-88,-200,-200,-87,-200,-200,-200,-200,-200,-200,-85,-77,-76,-91,-200,-200,-200,-200,-200
1526461104083,-41,-43,-59,-46,-54,-69,-58,-55,-55,-52,-57,-80,-63,-69,-69,-69,-65,-54,-200,-60,-75,-80,-200,-80,-86,-67,-81,-74,-200,-81,-80,-85,-200,-78,-86,-73,-76,-81,-76,-78,-73,-74,-86,-83,-200,-200,-200,-83,-200,-200,-87,-88,-200,-81,-200,-200,-78,-88,-90,-200,-200,-200,-200,-86,-86,-79,-83,-200,-200,-78,-200,-90,-200,-200,-82,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-76,-91,-200,-200,-200,-200,-200
1526461107112,-41,-43,-61,-44,-51,-65,-60,-52,-55,-51,-56,-81,-65,-68,-67,-68,-67,-54,-200,-57,-75,-79,-200,-200,-200,-68,-200,-76,-200,-81,-80,-85,-200,-200,-76,-71,-200,-81,-76,-76,-70,-75,-86,-200,-200,-200,-200,-80,-200,-200,-87,-88,-200,-200,-200,-200,-78,-88,-90,-200,-200,-200,-200,-86,-80,-79,-83,-200,-200,-83,-200,-90,-200,-200,-82,-200,-88,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-91,-83,-200,-200,-200,-200
1526461110133,-42,-45,-58,-44,-54,-65,-59,-55,-56,-51,-54,-83,-65,-68,-61,-68,-67,-60,-200,-56,-77,-81,-200,-79,-200,-66,-200,-76,-200,-81,-77,-200,-200,-76,-80,-71,-200,-200,-76,-78,-70,-73,-86,-200,-200,-200,-200,-80,-200,-200,-87,-88,-200,-87,-74,-200,-78,-88,-90,-200,-200,-200,-200,-90,-78,-79,-83,-200,-200,-83,-200,-90,-200,-88,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-86,-200,-73,-91,-83,-200,-200,-200,-200
1526461113141,-43,-44,-56,-44,-52,-67,-58,-56,-53,-53,-54,-83,-67,-67,-63,-73,-66,-60,-200,-49,-77,-79,-84,-79,-200,-67,-79,-73,-200,-200,-80,-200,-200,-74,-80,-67,-200,-77,-200,-78,-70,-76,-200,-79,-200,-200,-200,-80,-200,-200,-200,-88,-200,-87,-74,-200,-200,-90,-200,-200,-83,-200,-200,-90,-78,-77,-83,-200,-200,-79,-200,-200,-200,-88,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-86,-200,-73,-89,-83,-90,-200,-200,-200
1526461116153,-44,-43,-66,-42,-53,-67,-59,-53,-53,-51,-53,-83,-68,-67,-69,-69,-62,-57,-85,-59,-75,-80,-84,-77,-88,-66,-82,-73,-79,-79,-81,-200,-200,-74,-86,-67,-200,-81,-76,-78,-72,-75,-83,-79,-200,-200,-200,-82,-200,-200,-200,-200,-85,-87,-74,-200,-200,-90,-91,-200,-85,-200,-200,-90,-78,-79,-200,-200,-200,-79,-200,-200,-90,-88,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-83,-75,-74,-89,-83,-90,-85,-200,-200
1526461119191,-46,-43,-60,-43,-52,-65,-59,-54,-52,-50,-55,-200,-65,-64,-66,-73,-66,-58,-85,-61,-75,-82,-84,-77,-87,-55,-82,-72,-79,-79,-81,-200,-200,-79,-84,-67,-77,-64,-77,-77,-70,-75,-82,-79,-83,-200,-200,-80,-200,-200,-85,-200,-83,-88,-75,-200,-78,-90,-90,-200,-85,-200,-200,-89,-78,-78,-80,-90,-200,-79,-200,-200,-90,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-88,-83,-75,-75,-89,-200,-75,-85,-200,-200
1526461122207,-42,-43,-62,-43,-50,-67,-59,-53,-54,-51,-54,-83,-68,-67,-66,-71,-63,-57,-85,-54,-75,-81,-84,-77,-87,-55,-82,-75,-79,-79,-81,-200,-200,-79,-81,-66,-77,-64,-77,-77,-72,-77,-82,-80,-83,-200,-200,-80,-200,-200,-85,-200,-80,-88,-75,-200,-78,-87,-90,-200,-85,-200,-200,-89,-200,-78,-81,-90,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-88,-83,-75,-75,-200,-200,-75,-85,-77,-90
1526461125234,-43,-42,-61,-44,-54,-67,-58,-53,-54,-52,-57,-83,-67,-67,-68,-71,-64,-57,-200,-60,-75,-80,-84,-75,-87,-59,-82,-75,-200,-200,-81,-200,-200,-73,-81,-66,-77,-80,-77,-76,-71,-72,-82,-80,-82,-200,-200,-79,-200,-200,-85,-200,-80,-88,-75,-200,-78,-87,-90,-200,-85,-200,-200,-89,-200,-79,-81,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-88,-88,-200,-75,-200,-80,-75,-200,-77,-90
