,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro
1526460439187,-48,-48,-58,-71,-55,-52,-78,-58,-77,-55,-60,-81,-79,-84,-89,-200,-89,-200,-87,-63,-75,-200,-90,-77,-200,-200,-200,-90,-90,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-83,-81,-200,-84,-88,-90,-200,-200,-200,-200,-88,-88,-89,-88,-88,-200,-200,-200,-200,-200
1526460442208,-47,-53,-53,-68,-56,-53,-72,-55,-80,-72,-69,-83,-86,-85,-87,-200,-89,-200,-89,-63,-69,-200,-90,-77,-90,-200,-200,-90,-90,-200,-200,-200,-200,-91,-200,-200,-90,-200,-200,-87,-81,-81,-84,-88,-90,-200,-200,-87,-200,-88,-88,-88,-88,-88,-200,-200,-200,-200,-200
1526460445237,-52,-49,-51,-72,-56,-55,-63,-59,-75,-71,-69,-84,-86,-85,-92,-200,-89,-85,-89,-60,-70,-200,-90,-75,-90,-200,-200,-88,-90,-200,-200,-200,-200,-91,-90,-200,-90,-200,-200,-87,-76,-81,-80,-200,-200,-200,-200,-87,-200,-88,-88,-88,-88,-88,-91,-200,-200,-200,-200
1526460448244,-55,-49,-52,-75,-52,-55,-60,-56,-74,-68,-67,-85,-81,-85,-88,-200,-89,-85,-89,-61,-72,-200,-200,-76,-90,-200,-200,-88,-90,-200,-200,-200,-200,-200,-90,-200,-90,-200,-200,-87,-76,-81,-79,-200,-200,-200,-200,-87,-200,-88,-88,-86,-88,-88,-91,-200,-200,-200,-200
1526460451271,-47,-50,-52,-75,-57,-52,-66,-57,-76,-66,-61,-81,-81,-85,-89,-200,-200,-85,-89,-61,-69,-200,-200,-79,-90,-200,-200,-87,-200,-200,-200,-200,-200,-91,-90,-200,-90,-200,-200,-88,-76,-82,-80,-200,-200,-200,-200,-87,-200,-200,-200,-87,-200,-200,-91,-200,-200,-200,-200
1526460454279,-54,-50,-55,-72,-55,-49,-65,-61,-75,-77,-60,-79,-80,-85,-89,-200,-200,-85,-89,-59,-68,-89,-200,-79,-200,-200,-200,-87,-200,-200,-200,-200,-200,-91,-90,-200,-90,-200,-200,-88,-76,-80,-80,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-91,-200,-200,-200,-200
1526460457305,-56,-50,-52,-73,-59,-52,-65,-58,-75,-69,-60,-86,-80,-85,-90,-200,-200,-200,-89,-57,-68,-89,-200,-79,-200,-200,-200,-88,-200,-200,-200,-200,-200,-85,-90,-200,-90,-200,-200,-87,-76,-81,-80,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-91,-200,-200,-200,-200
1526460460312,-57,-51,-52,-64,-53,-55,-66,-58,-75,-66,-61,-80,-82,-87,-88,-200,-200,-200,-90,-61,-73,-92,-200,-79,-200,-200,-200,-88,-200,-200,-200,-200,-200,-85,-90,-200,-92,-200,-200,-87,-74,-79,-80,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-91,-200,-200,-200,-200
1526460463336,-51,-49,-52,-69,-51,-52,-68,-59,-77,-69,-68,-80,-82,-87,-88,-200,-200,-200,-90,-58,-73,-92,-200,-77,-200,-200,-200,-86,-200,-200,-200,-200,-200,-85,-90,-200,-92,-200,-200,-87,-74,-79,-200,-200,-200,-200,-200,-89,-200,-200,-200,-87,-200,-200,-91,-91,-200,-200,-200
1526460466357,-52,-49,-52,-70,-56,-54,-65,-59,-75,-70,-64,-82,-80,-87,-86,-83,-93,-200,-90,-60,-70,-88,-200,-77,-89,-200,-200,-86,-200,-200,-200,-200,-200,-85,-90,-200,-91,-200,-200,-85,-74,-79,-84,-91,-200,-200,-200,-89,-200,-200,-87,-87,-200,-200,-91,-91,-90,-90,-91
